pos	X
57.0	1.819e-12
57.005	9.09502e-13
57.01	1.36425e-12
57.015	1.13688e-12
57.02	1.13688e-12
57.025	1.36425e-12
57.03	1.59162e-12
57.035	1.59162e-12
57.04	2.27375e-12
57.045	2.04638e-12
57.05	1.59162e-12
57.055	9.09502e-13
57.06	1.13688e-12
57.065	4.54751e-13
57.07	2.27375e-13
57.075	9.09502e-13
57.08	1.13688e-12
57.085	9.09502e-13
57.09	1.13688e-12
57.095	1.13688e-12
57.1	1.36425e-12
57.105	6.82124e-13
57.11	1.36425e-12
57.115	1.36425e-12
57.12	6.82124e-13
57.125	1.13688e-12
57.13	9.09502e-13
57.135	1.13688e-12
57.14	9.09502e-13
57.145	2.27375e-13
57.15	6.82124e-13
57.155	-6.82124e-13
57.16	2.27375e-13
57.165	-2.27375e-13
57.17	2.27375e-13
57.175	9.09502e-13
57.18	4.54751e-13
57.185	0.0
57.19	0.0
57.195	0.0
57.2	0.0
57.205	-2.27375e-13
57.21	0.0
57.215	-6.82124e-13
57.22	-4.54751e-13
57.225	-2.27375e-13
57.23	-6.82124e-13
57.235	-1.36425e-12
57.24	-1.36425e-12
57.245	-4.54751e-13
57.25	-1.13688e-12
57.255	-1.59162e-12
57.26	-1.36425e-12
57.265	-1.36425e-12
57.27	-1.36425e-12
57.275	-9.09502e-13
57.28	-1.36425e-12
57.285	-9.09502e-13
57.29	-1.819e-12
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-2.50112e-12
57.31	-1.59162e-12
57.315	-2.04638e-12
57.32	-1.59162e-12
57.325	-1.819e-12
57.33	-1.819e-12
57.335	-2.27375e-12
57.34	-1.59162e-12
57.345	-2.04638e-12
57.35	-1.819e-12
57.355	-1.36425e-12
57.36	-1.36425e-12
57.365	-1.59162e-12
57.37	-2.04638e-12
57.375	-2.50112e-12
57.38	-1.819e-12
57.385	-2.04638e-12
57.39	-1.36425e-12
57.395	-1.59162e-12
57.4	-1.819e-12
57.405	-1.819e-12
57.41	-1.13688e-12
57.415	-1.13688e-12
57.42	-1.59162e-12
57.425	-2.50112e-12
57.43	-1.36425e-12
57.435	-1.59162e-12
57.44	-1.36425e-12
57.445	-1.59162e-12
57.45	-1.819e-12
57.455	-1.819e-12
57.46	-1.819e-12
57.465	-1.36425e-12
57.47	-1.59162e-12
57.475	-1.36425e-12
57.48	-1.59162e-12
57.485	-1.36425e-12
57.49	-1.819e-12
57.495	-1.819e-12
57.5	-1.819e-12
57.505	-2.04638e-12
57.51	-2.04638e-12
57.515	-1.36425e-12
57.52	-1.819e-12
57.525	-1.36425e-12
57.53	-1.36425e-12
57.535	-1.36425e-12
57.54	-1.36425e-12
57.545	-2.04638e-12
57.55	-6.82124e-13
57.555	-6.82124e-13
57.56	-9.09502e-13
57.565	-1.13688e-12
57.57	-1.13688e-12
57.575	-1.13688e-12
57.58	-6.82124e-13
57.585	-6.82124e-13
57.59	2.27375e-13
57.595	0.0
57.6	-2.27375e-13
57.605	-4.54751e-13
57.61	-4.54751e-13
57.615	-2.27375e-13
57.62	-2.27375e-13
57.625	-6.82124e-13
57.63	0.0
57.635	-6.82124e-13
57.64	-9.09502e-13
57.645	-4.54751e-13
57.65	-2.27375e-13
57.655	-4.54751e-13
57.66	-6.82124e-13
57.665	0.0
57.67	0.0
57.675	-2.27375e-13
57.68	-2.27375e-13
57.685	-6.82124e-13
57.69	-1.13688e-12
57.695	-1.13688e-12
57.7	-1.13688e-12
57.705	-4.54751e-13
57.71	-6.82124e-13
57.715	-4.54751e-13
57.72	-6.82124e-13
57.725	2.27375e-13
57.73	-2.27375e-13
57.735	-2.27375e-13
57.74	0.0
57.745	-2.27375e-13
57.75	0.0
57.755	4.54751e-13
57.76	4.54751e-13
57.765	0.0
57.77	0.0
57.775	2.27375e-13
57.78	0.0
57.785	0.0
57.79	6.82124e-13
57.795	4.54751e-13
57.8	4.54751e-13
57.805	6.82124e-13
57.81	4.54751e-13
57.815	2.27375e-13
57.82	4.54751e-13
57.825	6.82124e-13
57.83	2.27375e-13
57.835	6.82124e-13
57.84	4.54751e-13
57.845	9.09502e-13
57.85	2.27375e-13
57.855	6.82124e-13
57.86	9.09502e-13
57.865	2.27375e-13
57.87	2.27375e-13
57.875	4.54751e-13
57.88	1.13688e-12
57.885	6.82124e-13
57.89	1.819e-12
57.895	1.59162e-12
57.9	1.819e-12
57.905	1.36425e-12
57.91	1.13688e-12
57.915	1.819e-12
57.92	1.819e-12
57.925	1.819e-12
57.93	1.819e-12
57.935	2.27375e-12
57.94	2.27375e-12
57.945	2.04638e-12
57.95	1.36425e-12
57.955	2.04638e-12
57.96	2.27375e-12
57.965	2.27375e-12
57.97	2.7285e-12
57.975	2.95587e-12
57.98	2.04638e-12
57.985	2.27375e-12
57.99	2.7285e-12
57.995	2.95587e-12
58.0	2.27375e-12
58.005	2.27375e-12
58.01	2.50112e-12
58.015	3.18325e-12
58.02	2.7285e-12
58.025	3.18325e-12
58.03	2.95587e-12
58.035	2.7285e-12
58.04	2.7285e-12
58.045	2.95587e-12
58.05	2.95587e-12
58.055	2.95587e-12
58.06	2.7285e-12
58.065	2.27375e-12
58.07	2.27375e-12
58.075	2.50112e-12
58.08	2.95587e-12
58.085	2.27375e-12
58.09	2.95587e-12
58.095	2.95587e-12
58.1	2.50112e-12
58.105	2.7285e-12
