pos	X
57.0	4.54751e-13
57.005	6.82124e-13
57.01	4.54751e-13
57.015	9.09502e-13
57.02	1.13688e-12
57.025	0.0
57.03	1.13688e-12
57.035	4.54751e-13
57.04	1.13688e-12
57.045	6.82124e-13
57.05	1.36425e-12
57.055	6.82124e-13
57.06	6.82124e-13
57.065	1.13688e-12
57.07	4.54751e-13
57.075	4.54751e-13
57.08	9.09502e-13
57.085	9.09502e-13
57.09	0.0
57.095	4.54751e-13
57.1	4.54751e-13
57.105	6.82124e-13
57.11	2.27375e-13
57.115	4.54751e-13
57.12	9.09502e-13
57.125	-2.27375e-13
57.13	2.27375e-13
57.135	2.27375e-13
57.14	9.09502e-13
57.145	4.54751e-13
57.15	0.0
57.155	9.09502e-13
57.16	0.0
57.165	9.09502e-13
57.17	4.54751e-13
57.175	-2.27375e-13
57.18	0.0
57.185	4.54751e-13
57.19	2.27375e-13
57.195	0.0
57.2	2.27375e-13
57.205	4.54751e-13
57.21	4.54751e-13
57.215	-4.54751e-13
57.22	4.54751e-13
57.225	-2.27375e-13
57.23	4.54751e-13
57.235	6.82124e-13
57.24	0.0
57.245	0.0
57.25	0.0
57.255	0.0
57.26	4.54751e-13
57.265	0.0
57.27	-2.27375e-13
57.275	-9.09502e-13
57.28	0.0
57.285	2.27375e-13
57.29	4.54751e-13
57.295	0.0
57.3	-4.54751e-13
57.305	0.0
57.31	2.27375e-13
57.315	-6.82124e-13
57.32	-4.54751e-13
57.325	0.0
57.33	-4.54751e-13
57.335	-2.27375e-13
57.34	0.0
57.345	0.0
57.35	0.0
57.355	-9.09502e-13
57.36	-2.27375e-13
57.365	-9.09502e-13
57.37	-1.13688e-12
57.375	-6.82124e-13
57.38	0.0
57.385	-4.54751e-13
57.39	0.0
57.395	0.0
57.4	2.27375e-13
57.405	0.0
57.41	2.27375e-13
57.415	-9.09502e-13
57.42	-4.54751e-13
57.425	-6.82124e-13
57.43	-2.27375e-13
57.435	-4.54751e-13
57.44	-2.27375e-13
