pos	X
57.0	4.54751e-13
57.005	4.54751e-13
57.01	1.13688e-12
57.015	9.09502e-13
57.02	2.27375e-13
57.025	0.0
57.03	9.09502e-13
57.035	9.09502e-13
57.04	4.54751e-13
57.045	6.82124e-13
57.05	4.54751e-13
57.055	2.27375e-13
57.06	6.82124e-13
57.065	4.54751e-13
57.07	4.54751e-13
57.075	9.09502e-13
57.08	9.09502e-13
57.085	1.13688e-12
57.09	6.82124e-13
57.095	9.09502e-13
57.1	6.82124e-13
57.105	1.13688e-12
57.11	2.27375e-13
57.115	0.0
57.12	1.13688e-12
57.125	0.0
57.13	2.27375e-13
57.135	2.27375e-13
57.14	4.54751e-13
57.145	1.36425e-12
57.15	9.09502e-13
57.155	1.13688e-12
57.16	6.82124e-13
57.165	6.82124e-13
57.17	1.13688e-12
57.175	6.82124e-13
57.18	1.36425e-12
57.185	2.27375e-13
57.19	4.54751e-13
57.195	1.13688e-12
57.2	1.36425e-12
57.205	1.36425e-12
57.21	1.13688e-12
57.215	4.54751e-13
57.22	9.09502e-13
57.225	4.54751e-13
57.23	6.82124e-13
57.235	2.27375e-13
57.24	1.59162e-12
57.245	6.82124e-13
57.25	1.13688e-12
57.255	1.13688e-12
57.26	4.54751e-13
57.265	1.13688e-12
57.27	1.36425e-12
57.275	9.09502e-13
57.28	1.13688e-12
57.285	1.819e-12
57.29	4.54751e-13
57.295	6.82124e-13
57.3	4.54751e-13
57.305	4.54751e-13
57.31	4.54751e-13
57.315	4.54751e-13
57.32	4.54751e-13
57.325	2.27375e-13
57.33	2.27375e-13
57.335	2.27375e-13
57.34	4.54751e-13
57.345	2.27375e-13
57.35	4.54751e-13
57.355	6.82124e-13
57.36	2.27375e-13
57.365	4.54751e-13
57.37	2.27375e-13
57.375	9.09502e-13
57.38	1.819e-12
57.385	9.09502e-13
57.39	4.54751e-13
57.395	2.27375e-13
57.4	2.27375e-13
57.405	2.27375e-13
57.41	0.0
57.415	2.27375e-13
57.42	4.54751e-13
57.425	6.82124e-13
57.43	0.0
57.435	6.82124e-13
57.44	4.54751e-13
57.445	2.27375e-13
57.45	-6.82124e-13
57.455	0.0
57.46	2.27375e-13
57.465	2.27375e-13
57.47	0.0
57.475	4.54751e-13
57.48	4.54751e-13
57.485	-2.27375e-13
57.49	2.27375e-13
57.495	9.09502e-13
57.5	6.82124e-13
57.505	4.54751e-13
57.51	4.54751e-13
57.515	9.09502e-13
57.52	0.0
57.525	4.54751e-13
57.53	0.0
57.535	9.09502e-13
57.54	1.13688e-12
57.545	9.09502e-13
57.55	9.09502e-13
57.555	4.54751e-13
57.56	4.54751e-13
57.565	1.13688e-12
57.57	4.54751e-13
57.575	4.54751e-13
57.58	9.09502e-13
57.585	1.13688e-12
57.59	1.13688e-12
57.595	2.27375e-13
57.6	1.13688e-12
57.605	1.36425e-12
57.61	9.09502e-13
57.615	9.09502e-13
57.62	1.13688e-12
57.625	9.09502e-13
57.63	1.13688e-12
57.635	9.09502e-13
57.64	2.27375e-13
57.645	6.82124e-13
57.65	4.54751e-13
57.655	1.36425e-12
57.66	1.36425e-12
57.665	4.54751e-13
57.67	2.27375e-13
57.675	1.36425e-12
57.68	9.09502e-13
57.685	6.82124e-13
57.69	1.13688e-12
57.695	1.13688e-12
57.7	4.54751e-13
57.705	9.09502e-13
57.71	4.54751e-13
57.715	4.54751e-13
57.72	9.09502e-13
57.725	9.09502e-13
57.73	2.27375e-13
57.735	6.82124e-13
57.74	4.54751e-13
57.745	1.59162e-12
57.75	9.09502e-13
57.755	1.13688e-12
57.76	1.13688e-12
57.765	1.36425e-12
57.77	6.82124e-13
57.775	1.13688e-12
57.78	9.09502e-13
57.785	9.09502e-13
57.79	1.59162e-12
57.795	9.09502e-13
57.8	0.0
57.805	4.54751e-13
57.81	1.13688e-12
57.815	9.09502e-13
57.82	4.54751e-13
57.825	9.09502e-13
57.83	1.13688e-12
57.835	1.13688e-12
57.84	4.54751e-13
57.845	9.09502e-13
57.85	4.54751e-13
57.855	4.54751e-13
57.86	9.09502e-13
57.865	6.82124e-13
57.87	9.09502e-13
57.875	4.54751e-13
57.88	1.13688e-12
57.885	1.59162e-12
57.89	1.13688e-12
57.895	6.82124e-13
57.9	1.13688e-12
57.905	1.36425e-12
57.91	9.09502e-13
57.915	1.13688e-12
57.92	1.13688e-12
57.925	1.36425e-12
57.93	1.59162e-12
57.935	1.13688e-12
57.94	1.36425e-12
57.945	1.59162e-12
57.95	1.13688e-12
57.955	9.09502e-13
57.96	4.54751e-13
57.965	1.13688e-12
57.97	1.59162e-12
57.975	1.36425e-12
57.98	1.13688e-12
57.985	2.27375e-13
57.99	1.13688e-12
57.995	6.82124e-13
58.0	1.36425e-12
58.005	1.36425e-12
58.01	1.36425e-12
58.015	1.13688e-12
58.02	1.13688e-12
58.025	1.819e-12
58.03	1.59162e-12
58.035	1.59162e-12
58.04	1.819e-12
58.045	1.819e-12
58.05	1.819e-12
58.055	1.59162e-12
58.06	1.36425e-12
58.065	1.819e-12
58.07	2.50112e-12
58.075	2.04638e-12
58.08	1.36425e-12
58.085	1.819e-12
58.09	1.36425e-12
58.095	1.819e-12
58.1	1.819e-12
58.105	2.04638e-12
58.11	1.819e-12
58.115	2.7285e-12
58.12	2.7285e-12
58.125	3.18325e-12
58.13	3.18325e-12
58.135	3.63801e-12
58.14	3.63801e-12
58.145	4.5475e-12
58.15	4.32013e-12
58.155	4.32013e-12
58.16	4.77487e-12
58.165	4.77487e-12
58.17	5.457e-12
58.175	6.36649e-12
58.18	6.82124e-12
58.185	7.04861e-12
58.19	7.95813e-12
58.195	8.41288e-12
58.2	8.86763e-12
58.205	9.54975e-12
58.21	1.02319e-11
58.215	1.02319e-11
58.22	1.0914e-11
58.225	1.11414e-11
58.23	1.22782e-11
58.235	1.29604e-11
58.24	1.43246e-11
58.245	1.47794e-11
58.25	1.54615e-11
58.255	1.6371e-11
