pos	X
57.0	1.13688e-12
57.005	4.54751e-13
57.01	4.54751e-13
57.015	0.0
57.02	4.54751e-13
57.025	6.82124e-13
57.03	4.54751e-13
57.035	1.13688e-12
57.04	4.54751e-13
57.045	4.54751e-13
57.05	2.27375e-13
57.055	4.54751e-13
57.06	6.82124e-13
57.065	9.09502e-13
57.07	1.36425e-12
57.075	9.09502e-13
57.08	1.13688e-12
57.085	2.27375e-13
57.09	0.0
57.095	0.0
57.1	0.0
57.105	2.27375e-13
57.11	1.13688e-12
57.115	6.82124e-13
57.12	4.54751e-13
57.125	4.54751e-13
57.13	1.13688e-12
57.135	6.82124e-13
57.14	2.27375e-13
57.145	0.0
57.15	-4.54751e-13
57.155	4.54751e-13
57.16	0.0
57.165	4.54751e-13
57.17	4.54751e-13
57.175	6.82124e-13
57.18	9.09502e-13
57.185	9.09502e-13
57.19	9.09502e-13
57.195	1.13688e-12
57.2	6.82124e-13
57.205	6.82124e-13
57.21	4.54751e-13
57.215	6.82124e-13
57.22	1.13688e-12
57.225	1.13688e-12
57.23	6.82124e-13
57.235	6.82124e-13
57.24	2.27375e-13
57.245	0.0
57.25	1.36425e-12
57.255	1.13688e-12
57.26	0.0
57.265	2.27375e-13
57.27	2.27375e-13
57.275	4.54751e-13
57.28	6.82124e-13
57.285	0.0
57.29	4.54751e-13
57.295	4.54751e-13
57.3	4.54751e-13
57.305	4.54751e-13
57.31	6.82124e-13
57.315	4.54751e-13
57.32	-2.27375e-13
57.325	9.09502e-13
57.33	6.82124e-13
57.335	1.13688e-12
57.34	1.13688e-12
57.345	6.82124e-13
57.35	-2.27375e-13
57.355	9.09502e-13
57.36	9.09502e-13
57.365	4.54751e-13
57.37	4.54751e-13
57.375	9.09502e-13
57.38	9.09502e-13
57.385	2.27375e-13
57.39	6.82124e-13
57.395	9.09502e-13
57.4	0.0
57.405	2.27375e-13
57.41	2.27375e-13
57.415	-2.27375e-13
57.42	4.54751e-13
57.425	9.09502e-13
57.43	1.13688e-12
57.435	2.27375e-13
57.44	4.54751e-13
57.445	4.54751e-13
57.45	4.54751e-13
57.455	4.54751e-13
57.46	6.82124e-13
57.465	9.09502e-13
57.47	4.54751e-13
57.475	1.819e-12
57.48	2.27375e-13
57.485	2.27375e-13
57.49	-2.27375e-13
57.495	2.27375e-13
57.5	2.27375e-13
57.505	2.27375e-13
57.51	4.54751e-13
57.515	0.0
57.52	1.13688e-12
57.525	1.13688e-12
57.53	1.13688e-12
57.535	4.54751e-13
57.54	6.82124e-13
57.545	9.09502e-13
57.55	4.54751e-13
57.555	2.27375e-13
57.56	2.27375e-13
57.565	6.82124e-13
57.57	4.54751e-13
57.575	2.27375e-13
57.58	9.09502e-13
57.585	9.09502e-13
