pos	X
57.0	9.09502e-13
57.005	9.09502e-13
57.01	1.13688e-12
57.015	-2.27375e-13
57.02	4.54751e-13
57.025	1.13688e-12
57.03	2.27375e-13
57.035	4.54751e-13
57.04	4.54751e-13
57.045	9.09502e-13
57.05	1.13688e-12
57.055	4.54751e-13
57.06	1.13688e-12
57.065	6.82124e-13
57.07	1.13688e-12
57.075	6.82124e-13
57.08	9.09502e-13
57.085	1.13688e-12
57.09	1.36425e-12
57.095	6.82124e-13
57.1	1.13688e-12
57.105	1.13688e-12
57.11	4.54751e-13
57.115	0.0
57.12	1.13688e-12
57.125	2.27375e-13
57.13	2.27375e-13
57.135	4.54751e-13
57.14	4.54751e-13
57.145	4.54751e-13
57.15	6.82124e-13
57.155	4.54751e-13
57.16	6.82124e-13
57.165	4.54751e-13
57.17	4.54751e-13
57.175	9.09502e-13
57.18	1.36425e-12
57.185	1.13688e-12
57.19	6.82124e-13
57.195	9.09502e-13
57.2	9.09502e-13
57.205	1.13688e-12
57.21	4.54751e-13
57.215	1.13688e-12
57.22	1.59162e-12
57.225	4.54751e-13
57.23	6.82124e-13
57.235	1.13688e-12
57.24	6.82124e-13
57.245	9.09502e-13
57.25	4.54751e-13
57.255	6.82124e-13
57.26	9.09502e-13
57.265	4.54751e-13
57.27	0.0
57.275	1.13688e-12
57.28	2.27375e-13
57.285	6.82124e-13
57.29	4.54751e-13
57.295	1.13688e-12
57.3	4.54751e-13
57.305	1.13688e-12
57.31	1.13688e-12
57.315	1.13688e-12
57.32	6.82124e-13
57.325	1.13688e-12
57.33	6.82124e-13
57.335	1.36425e-12
57.34	1.13688e-12
57.345	9.09502e-13
57.35	2.27375e-13
57.355	2.27375e-13
57.36	2.27375e-13
57.365	4.54751e-13
57.37	1.13688e-12
57.375	1.13688e-12
57.38	9.09502e-13
57.385	6.82124e-13
57.39	1.36425e-12
57.395	4.54751e-13
57.4	6.82124e-13
57.405	4.54751e-13
57.41	1.13688e-12
57.415	9.09502e-13
57.42	6.82124e-13
57.425	4.54751e-13
57.43	1.13688e-12
57.435	9.09502e-13
57.44	4.54751e-13
57.445	1.13688e-12
57.45	2.27375e-13
57.455	6.82124e-13
57.46	6.82124e-13
57.465	1.13688e-12
57.47	6.82124e-13
57.475	9.09502e-13
57.48	1.13688e-12
57.485	9.09502e-13
57.49	4.54751e-13
57.495	4.54751e-13
57.5	6.82124e-13
57.505	4.54751e-13
57.51	2.27375e-13
57.515	6.82124e-13
57.52	4.54751e-13
57.525	4.54751e-13
57.53	0.0
57.535	4.54751e-13
57.54	6.82124e-13
57.545	4.54751e-13
57.55	2.27375e-13
57.555	6.82124e-13
57.56	2.27375e-13
57.565	-2.27375e-13
57.57	4.54751e-13
