pos	X
57.0	9.09502e-13
57.005	0.0
57.01	1.13688e-12
57.015	2.27375e-13
57.02	4.54751e-13
57.025	1.36425e-12
57.03	4.54751e-13
57.035	4.54751e-13
57.04	9.09502e-13
57.045	2.27375e-13
57.05	6.82124e-13
57.055	9.09502e-13
57.06	2.27375e-13
57.065	6.82124e-13
57.07	4.54751e-13
57.075	6.82124e-13
57.08	1.13688e-12
57.085	6.82124e-13
57.09	4.54751e-13
57.095	0.0
57.1	2.27375e-13
57.105	0.0
57.11	6.82124e-13
57.115	1.13688e-12
57.12	1.13688e-12
57.125	1.13688e-12
57.13	0.0
57.135	9.09502e-13
57.14	1.13688e-12
57.145	4.54751e-13
57.15	0.0
57.155	2.27375e-13
57.16	0.0
57.165	6.82124e-13
57.17	1.36425e-12
57.175	9.09502e-13
57.18	4.54751e-13
57.185	6.82124e-13
57.19	2.27375e-13
57.195	1.13688e-12
57.2	4.54751e-13
57.205	9.09502e-13
57.21	2.27375e-13
57.215	-4.54751e-13
57.22	2.27375e-13
57.225	4.54751e-13
57.23	6.82124e-13
57.235	0.0
57.24	4.54751e-13
57.245	4.54751e-13
57.25	1.13688e-12
57.255	6.82124e-13
57.26	2.27375e-13
57.265	6.82124e-13
57.27	6.82124e-13
57.275	2.27375e-13
57.28	4.54751e-13
57.285	4.54751e-13
57.29	4.54751e-13
57.295	4.54751e-13
57.3	2.27375e-13
57.305	1.13688e-12
57.31	1.36425e-12
57.315	4.54751e-13
57.32	1.13688e-12
57.325	2.27375e-13
57.33	4.54751e-13
57.335	9.09502e-13
57.34	4.54751e-13
57.345	6.82124e-13
57.35	0.0
57.355	4.54751e-13
57.36	2.27375e-13
57.365	2.27375e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	9.09502e-13
57.385	9.09502e-13
57.39	1.13688e-12
57.395	1.13688e-12
57.4	2.27375e-13
57.405	9.09502e-13
57.41	1.13688e-12
57.415	0.0
57.42	4.54751e-13
57.425	0.0
57.43	2.27375e-13
57.435	0.0
57.44	0.0
57.445	0.0
57.45	0.0
57.455	0.0
57.46	4.54751e-13
57.465	4.54751e-13
57.47	9.09502e-13
57.475	1.13688e-12
57.48	4.54751e-13
57.485	6.82124e-13
57.49	4.54751e-13
57.495	0.0
57.5	0.0
57.505	0.0
57.51	-2.27375e-13
57.515	0.0
57.52	1.13688e-12
57.525	4.54751e-13
57.53	-2.27375e-13
57.535	4.54751e-13
57.54	6.82124e-13
57.545	1.13688e-12
57.55	1.13688e-12
57.555	4.54751e-13
57.56	0.0
57.565	0.0
57.57	0.0
57.575	1.13688e-12
57.58	6.82124e-13
57.585	1.36425e-12
57.59	1.13688e-12
57.595	4.54751e-13
57.6	2.27375e-13
57.605	6.82124e-13
57.61	6.82124e-13
57.615	2.27375e-13
57.62	0.0
57.625	4.54751e-13
57.63	2.27375e-13
57.635	6.82124e-13
57.64	1.13688e-12
57.645	9.09502e-13
57.65	6.82124e-13
57.655	-2.27375e-13
57.66	2.27375e-13
57.665	9.09502e-13
57.67	9.09502e-13
57.675	4.54751e-13
57.68	4.54751e-13
57.685	6.82124e-13
57.69	0.0
57.695	2.27375e-13
57.7	-4.54751e-13
57.705	4.54751e-13
57.71	4.54751e-13
57.715	1.13688e-12
57.72	9.09502e-13
57.725	4.54751e-13
57.73	2.27375e-13
57.735	0.0
57.74	2.27375e-13
57.745	2.27375e-13
57.75	0.0
57.755	2.27375e-13
57.76	4.54751e-13
57.765	4.54751e-13
57.77	0.0
57.775	6.82124e-13
57.78	0.0
57.785	4.54751e-13
57.79	0.0
57.795	4.54751e-13
57.8	4.54751e-13
57.805	2.27375e-13
57.81	-4.54751e-13
57.815	2.27375e-13
57.82	4.54751e-13
57.825	2.27375e-13
57.83	-2.27375e-13
57.835	0.0
57.84	0.0
57.845	6.82124e-13
57.85	2.27375e-13
57.855	4.54751e-13
57.86	6.82124e-13
57.865	4.54751e-13
57.87	6.82124e-13
57.875	9.09502e-13
57.88	0.0
57.885	1.13688e-12
57.89	9.09502e-13
57.895	4.54751e-13
57.9	0.0
57.905	2.27375e-13
57.91	0.0
57.915	0.0
57.92	4.54751e-13
57.925	9.09502e-13
57.93	2.27375e-13
57.935	1.13688e-12
57.94	1.13688e-12
57.945	6.82124e-13
57.95	9.09502e-13
57.955	4.54751e-13
57.96	4.54751e-13
57.965	2.27375e-13
57.97	6.82124e-13
57.975	0.0
57.98	0.0
57.985	1.13688e-12
57.99	4.54751e-13
