pos	X
57.0	6.82124e-13
57.005	4.54751e-13
57.01	2.27375e-13
57.015	6.82124e-13
57.02	4.54751e-13
57.025	6.82124e-13
57.03	1.13688e-12
57.035	1.13688e-12
57.04	6.82124e-13
57.045	4.54751e-13
57.05	0.0
57.055	6.82124e-13
57.06	2.27375e-13
57.065	4.54751e-13
57.07	1.13688e-12
57.075	1.13688e-12
57.08	2.27375e-13
57.085	9.09502e-13
57.09	1.13688e-12
57.095	6.82124e-13
57.1	-2.27375e-13
57.105	9.09502e-13
57.11	6.82124e-13
57.115	2.27375e-13
57.12	4.54751e-13
57.125	9.09502e-13
57.13	9.09502e-13
57.135	9.09502e-13
57.14	6.82124e-13
57.145	4.54751e-13
57.15	2.27375e-13
57.155	6.82124e-13
57.16	1.13688e-12
57.165	1.13688e-12
57.17	9.09502e-13
57.175	4.54751e-13
57.18	6.82124e-13
57.185	9.09502e-13
57.19	1.13688e-12
57.195	0.0
57.2	4.54751e-13
57.205	2.27375e-13
57.21	6.82124e-13
57.215	0.0
57.22	4.54751e-13
57.225	4.54751e-13
57.23	0.0
57.235	4.54751e-13
57.24	6.82124e-13
57.245	4.54751e-13
57.25	9.09502e-13
57.255	9.09502e-13
57.26	4.54751e-13
57.265	6.82124e-13
57.27	9.09502e-13
57.275	9.09502e-13
57.28	6.82124e-13
57.285	1.13688e-12
57.29	6.82124e-13
57.295	4.54751e-13
57.3	4.54751e-13
57.305	4.54751e-13
57.31	4.54751e-13
57.315	9.09502e-13
57.32	6.82124e-13
57.325	6.82124e-13
57.33	4.54751e-13
57.335	1.13688e-12
57.34	9.09502e-13
57.345	0.0
57.35	4.54751e-13
57.355	4.54751e-13
57.36	6.82124e-13
57.365	4.54751e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	1.13688e-12
57.385	9.09502e-13
57.39	4.54751e-13
57.395	9.09502e-13
57.4	1.13688e-12
57.405	6.82124e-13
57.41	9.09502e-13
57.415	1.13688e-12
57.42	6.82124e-13
57.425	6.82124e-13
57.43	1.13688e-12
57.435	4.54751e-13
57.44	-2.27375e-13
57.445	0.0
