pos	X
59.3	2.27375e-12
59.305	2.27375e-12
59.31	2.27375e-12
59.315	2.27375e-12
59.32	2.27375e-12
59.325	2.27375e-12
59.33	2.50112e-12
59.335	2.7285e-12
59.34	2.50112e-12
59.345	2.27375e-12
59.35	2.27375e-12
59.355	2.27375e-12
59.36	2.27375e-12
59.365	2.27375e-12
59.37	2.50112e-12
59.375	2.50112e-12
59.38	2.50112e-12
59.385	2.7285e-12
59.39	2.7285e-12
59.395	2.95587e-12
59.4	2.95587e-12
59.405	2.50112e-12
59.41	2.7285e-12
59.415	2.95587e-12
59.42	3.18325e-12
59.425	3.18325e-12
59.43	3.18325e-12
59.435	2.95587e-12
59.44	3.63801e-12
59.445	3.63801e-12
59.45	3.63801e-12
59.455	3.86538e-12
59.46	4.5475e-12
59.465	4.32013e-12
59.47	4.32013e-12
59.475	4.77487e-12
59.48	5.00225e-12
59.485	5.00225e-12
59.49	5.22962e-12
59.495	5.68437e-12
59.5	6.13912e-12
59.505	6.13912e-12
59.51	6.13912e-12
59.515	6.82124e-12
59.52	6.82124e-12
59.525	7.73076e-12
59.53	7.95813e-12
59.535	7.95813e-12
59.54	8.86763e-12
59.545	9.095e-12
59.55	9.32238e-12
59.555	1.04592e-11
59.56	1.0914e-11
59.565	1.15961e-11
59.57	1.22782e-11
59.575	1.2733e-11
59.58	1.31877e-11
59.585	1.36425e-11
59.59	1.43246e-11
59.595	1.4552e-11
59.6	1.54615e-11
59.605	1.61436e-11
59.61	1.65984e-11
59.615	1.70531e-11
59.62	1.70531e-11
59.625	1.72805e-11
59.63	1.77353e-11
59.635	1.77353e-11
59.64	1.72805e-11
59.645	1.72805e-11
59.65	1.61436e-11
59.655	1.54615e-11
59.66	1.43246e-11
59.665	1.29604e-11
59.67	1.13687e-11
59.675	9.095e-12
59.68	6.36649e-12
59.685	3.63801e-12
59.69	4.54751e-13
59.695	-4.09275e-12
59.7	-8.86763e-12
59.705	-1.40972e-11
59.71	-2.0009e-11
59.715	-2.75123e-11
59.72	-3.50158e-11
59.725	-4.32012e-11
59.73	-5.38878e-11
59.735	-6.52567e-11
59.74	-7.68527e-11
59.745	-9.11773e-11
59.75	-1.05502e-10
59.755	-1.20054e-10
59.76	-1.35516e-10
59.765	-1.53023e-10
59.77	-1.73032e-10
59.775	-1.92359e-10
59.78	-2.1305e-10
59.785	-2.32149e-10
59.79	-2.48521e-10
59.795	-2.6421e-10
59.8	-2.74897e-10
59.805	-2.82173e-10
59.81	-2.82173e-10
59.815	-2.75579e-10
59.82	-2.62846e-10
59.825	-2.39426e-10
59.83	-2.06456e-10
59.835	-1.58026e-10
59.84	-1.03001e-10
59.845	-3.86537e-11
59.85	3.04683e-11
59.855	1.07321e-10
59.86	1.93041e-10
59.865	2.84219e-10
59.87	3.73122e-10
59.875	4.50656e-10
59.88	5.29784e-10
59.885	5.99133e-10
59.89	6.58932e-10
59.895	7.00769e-10
59.9	7.31919e-10
59.905	7.42379e-10
59.91	7.33966e-10
59.915	7.08273e-10
59.92	6.69846e-10
59.925	6.10957e-10
59.93	5.38424e-10
59.935	4.55431e-10
59.94	3.73577e-10
59.945	2.75579e-10
59.95	1.7235e-10
59.955	7.29874e-11
59.96	-1.88721e-11
59.965	-1.18008e-10
59.97	-2.09639e-10
59.975	-2.85583e-10
59.98	-3.5857e-10
59.985	-4.19051e-10
59.99	-4.70667e-10
59.995	-5.04318e-10
60.0	-5.30694e-10
60.005	-5.45018e-10
60.01	-5.46155e-10
60.015	-5.36151e-10
60.02	-5.16142e-10
60.025	-4.87265e-10
60.03	-4.51793e-10
60.035	-4.13822e-10
60.04	-3.63118e-10
60.045	-3.12868e-10
60.05	-2.65574e-10
60.055	-2.09867e-10
60.06	-1.56661e-10
60.065	-1.10277e-10
60.07	-6.13913e-11
60.075	-1.40972e-11
60.08	2.84218e-11
60.085	6.2983e-11
60.09	9.86806e-11
60.095	1.28922e-10
60.1	1.51204e-10
60.105	1.70304e-10
60.11	1.86447e-10
60.115	1.97589e-10
60.12	2.02818e-10
60.125	2.04182e-10
60.13	2.01681e-10
60.135	1.94633e-10
60.14	1.86447e-10
60.145	1.74624e-10
60.15	1.58935e-10
60.155	1.42337e-10
60.16	1.2392e-10
60.165	1.06639e-10
60.17	8.59477e-11
60.175	6.34377e-11
60.18	4.3656e-11
60.185	2.59207e-11
60.19	9.32238e-12
60.195	-7.50339e-12
60.2	-2.41017e-11
60.205	-3.93359e-11
60.21	-5.04772e-11
60.215	-6.1164e-11
60.22	-7.00315e-11
60.225	-7.61706e-11
60.23	-7.98086e-11
60.235	-8.11728e-11
60.24	-8.14002e-11
60.245	-8.07181e-11
60.25	-7.70801e-11
60.255	-7.29874e-11
60.26	-6.75304e-11
60.265	-6.00271e-11
60.27	-5.29783e-11
60.275	-4.29738e-11
60.28	-3.31968e-11
60.285	-2.45565e-11
60.29	-1.59163e-11
60.295	-6.82124e-12
60.3	1.36425e-12
60.305	8.41288e-12
60.31	1.47794e-11
60.315	2.04637e-11
60.32	2.47838e-11
60.325	2.84218e-11
60.33	3.11504e-11
60.335	3.25147e-11
60.34	3.31968e-11
60.345	3.29694e-11
