pos	X
58.5	2.27375e-12
58.505	2.50112e-12
58.51	2.95587e-12
58.515	2.04638e-12
58.52	2.04638e-12
58.525	2.27375e-12
58.53	2.04638e-12
58.535	2.04638e-12
58.54	2.27375e-12
58.545	2.27375e-12
58.55	2.27375e-12
58.555	1.819e-12
58.56	1.819e-12
58.565	2.27375e-12
58.57	2.27375e-12
58.575	2.04638e-12
58.58	1.819e-12
58.585	2.04638e-12
58.59	2.27375e-12
58.595	2.27375e-12
58.6	2.27375e-12
58.605	1.819e-12
58.61	2.04638e-12
58.615	2.27375e-12
58.62	2.04638e-12
58.625	2.27375e-12
58.63	2.27375e-12
58.635	2.04638e-12
58.64	2.04638e-12
58.645	2.27375e-12
58.65	1.819e-12
58.655	2.04638e-12
58.66	2.27375e-12
58.665	2.27375e-12
58.67	2.27375e-12
58.675	2.27375e-12
58.68	2.27375e-12
58.685	2.27375e-12
58.69	2.50112e-12
58.695	2.50112e-12
58.7	1.819e-12
58.705	2.27375e-12
58.71	2.27375e-12
58.715	2.27375e-12
58.72	2.04638e-12
58.725	2.27375e-12
58.73	2.04638e-12
58.735	2.04638e-12
58.74	2.27375e-12
58.745	2.04638e-12
58.75	2.50112e-12
58.755	2.27375e-12
58.76	2.27375e-12
58.765	2.04638e-12
58.77	2.27375e-12
58.775	2.27375e-12
58.78	2.27375e-12
58.785	2.04638e-12
58.79	2.27375e-12
58.795	2.04638e-12
58.8	2.04638e-12
58.805	2.27375e-12
58.81	2.27375e-12
58.815	2.04638e-12
58.82	2.04638e-12
58.825	2.27375e-12
58.83	2.04638e-12
58.835	1.819e-12
58.84	2.27375e-12
58.845	2.04638e-12
58.85	1.819e-12
58.855	2.27375e-12
58.86	2.27375e-12
58.865	2.04638e-12
58.87	2.04638e-12
58.875	1.819e-12
58.88	1.819e-12
58.885	1.819e-12
58.89	1.819e-12
58.895	1.819e-12
58.9	1.59162e-12
58.905	1.59162e-12
58.91	1.819e-12
58.915	1.819e-12
58.92	2.04638e-12
58.925	1.819e-12
58.93	1.59162e-12
58.935	1.819e-12
58.94	1.59162e-12
58.945	1.36425e-12
58.95	1.13688e-12
58.955	1.36425e-12
58.96	1.819e-12
58.965	1.819e-12
58.97	2.04638e-12
58.975	1.819e-12
58.98	2.04638e-12
58.985	1.819e-12
58.99	1.13688e-12
58.995	1.36425e-12
59.0	1.819e-12
59.005	1.59162e-12
59.01	1.59162e-12
59.015	1.36425e-12
59.02	1.59162e-12
59.025	1.13688e-12
59.03	1.36425e-12
59.035	1.36425e-12
59.04	1.36425e-12
59.045	1.819e-12
59.05	1.819e-12
59.055	1.59162e-12
59.06	1.819e-12
59.065	1.819e-12
59.07	1.819e-12
59.075	1.59162e-12
59.08	1.59162e-12
59.085	1.59162e-12
59.09	1.59162e-12
59.095	1.59162e-12
