pos	X
58.5	1.13688e-12
58.505	1.13688e-12
58.51	1.13688e-12
58.515	1.36425e-12
58.52	1.13688e-12
58.525	1.13688e-12
58.53	1.13688e-12
58.535	1.13688e-12
58.54	1.13688e-12
58.545	1.36425e-12
58.55	1.13688e-12
58.555	1.13688e-12
58.56	1.36425e-12
58.565	1.36425e-12
58.57	1.36425e-12
58.575	1.13688e-12
58.58	1.36425e-12
58.585	1.36425e-12
58.59	1.36425e-12
58.595	1.36425e-12
58.6	1.819e-12
58.605	1.819e-12
58.61	1.59162e-12
58.615	1.59162e-12
58.62	1.819e-12
58.625	1.819e-12
58.63	1.819e-12
58.635	1.59162e-12
58.64	1.59162e-12
58.645	1.13688e-12
58.65	1.36425e-12
58.655	1.13688e-12
58.66	1.36425e-12
58.665	1.36425e-12
58.67	1.819e-12
58.675	1.819e-12
58.68	1.59162e-12
58.685	1.59162e-12
58.69	1.819e-12
58.695	1.59162e-12
58.7	1.819e-12
58.705	1.819e-12
58.71	1.59162e-12
58.715	1.13688e-12
58.72	1.59162e-12
58.725	1.13688e-12
58.73	1.13688e-12
58.735	1.13688e-12
58.74	1.36425e-12
58.745	1.36425e-12
58.75	1.13688e-12
58.755	1.59162e-12
58.76	1.819e-12
58.765	1.59162e-12
58.77	1.36425e-12
58.775	1.59162e-12
58.78	1.13688e-12
58.785	1.13688e-12
58.79	1.13688e-12
58.795	1.59162e-12
58.8	9.09502e-13
58.805	1.13688e-12
58.81	1.36425e-12
58.815	1.13688e-12
58.82	1.13688e-12
58.825	1.13688e-12
58.83	9.09502e-13
58.835	4.54751e-13
58.84	6.82124e-13
58.845	1.36425e-12
58.85	1.36425e-12
58.855	9.09502e-13
58.86	1.13688e-12
58.865	1.13688e-12
58.87	9.09502e-13
58.875	9.09502e-13
58.88	1.13688e-12
58.885	1.13688e-12
58.89	1.13688e-12
58.895	9.09502e-13
58.9	9.09502e-13
58.905	4.54751e-13
58.91	9.09502e-13
58.915	1.13688e-12
58.92	9.09502e-13
58.925	1.13688e-12
58.93	1.13688e-12
58.935	6.82124e-13
58.94	9.09502e-13
58.945	9.09502e-13
58.95	9.09502e-13
58.955	1.13688e-12
58.96	1.36425e-12
58.965	9.09502e-13
58.97	9.09502e-13
58.975	9.09502e-13
58.98	4.54751e-13
58.985	1.13688e-12
58.99	1.13688e-12
58.995	1.13688e-12
59.0	6.82124e-13
59.005	6.82124e-13
59.01	4.54751e-13
59.015	4.54751e-13
59.02	9.09502e-13
59.025	9.09502e-13
59.03	4.54751e-13
59.035	6.82124e-13
59.04	4.54751e-13
59.045	4.54751e-13
59.05	6.82124e-13
59.055	4.54751e-13
59.06	6.82124e-13
59.065	4.54751e-13
59.07	4.54751e-13
59.075	4.54751e-13
59.08	6.82124e-13
59.085	9.09502e-13
59.09	6.82124e-13
59.095	4.54751e-13
59.1	4.54751e-13
59.105	6.82124e-13
59.11	9.09502e-13
59.115	4.54751e-13
59.12	6.82124e-13
59.125	9.09502e-13
59.13	4.54751e-13
59.135	4.54751e-13
59.14	2.27375e-13
59.145	2.27375e-13
59.15	4.54751e-13
59.155	2.27375e-13
59.16	4.54751e-13
59.165	4.54751e-13
59.17	2.27375e-13
59.175	0.0
59.18	0.0
59.185	2.27375e-13
59.19	4.54751e-13
59.195	4.54751e-13
59.2	4.54751e-13
59.205	2.27375e-13
59.21	4.54751e-13
59.215	6.82124e-13
59.22	4.54751e-13
59.225	4.54751e-13
59.23	4.54751e-13
59.235	6.82124e-13
59.24	6.82124e-13
59.245	6.82124e-13
59.25	6.82124e-13
59.255	6.82124e-13
59.26	2.27375e-13
59.265	2.27375e-13
59.27	4.54751e-13
59.275	6.82124e-13
59.28	4.54751e-13
59.285	4.54751e-13
59.29	4.54751e-13
59.295	4.54751e-13
59.3	9.09502e-13
59.305	9.09502e-13
59.31	4.54751e-13
59.315	9.09502e-13
59.32	9.09502e-13
