pos	X
58.5	1.59162e-12
58.505	1.59162e-12
58.51	1.59162e-12
58.515	1.13688e-12
58.52	1.36425e-12
58.525	1.819e-12
58.53	1.59162e-12
58.535	1.36425e-12
58.54	1.36425e-12
58.545	1.59162e-12
58.55	1.36425e-12
58.555	9.09502e-13
58.56	1.13688e-12
58.565	1.59162e-12
58.57	1.36425e-12
58.575	1.13688e-12
58.58	1.13688e-12
58.585	1.59162e-12
58.59	1.36425e-12
58.595	1.36425e-12
58.6	1.13688e-12
58.605	1.36425e-12
58.61	1.59162e-12
58.615	1.819e-12
58.62	1.59162e-12
58.625	1.59162e-12
58.63	1.36425e-12
58.635	1.36425e-12
58.64	1.13688e-12
58.645	1.13688e-12
58.65	1.13688e-12
58.655	1.13688e-12
58.66	1.59162e-12
58.665	1.13688e-12
58.67	1.36425e-12
58.675	1.36425e-12
58.68	1.13688e-12
58.685	1.13688e-12
58.69	1.36425e-12
58.695	1.36425e-12
58.7	1.36425e-12
58.705	1.59162e-12
58.71	1.36425e-12
58.715	1.819e-12
58.72	1.819e-12
58.725	1.59162e-12
58.73	1.13688e-12
58.735	1.13688e-12
58.74	1.59162e-12
58.745	1.59162e-12
58.75	1.13688e-12
58.755	1.13688e-12
58.76	1.13688e-12
58.765	1.59162e-12
58.77	1.59162e-12
58.775	1.819e-12
58.78	1.819e-12
58.785	1.59162e-12
58.79	1.36425e-12
58.795	1.59162e-12
58.8	1.36425e-12
58.805	1.13688e-12
58.81	1.13688e-12
58.815	1.36425e-12
58.82	1.13688e-12
58.825	1.13688e-12
58.83	1.36425e-12
58.835	9.09502e-13
58.84	9.09502e-13
58.845	1.13688e-12
58.85	1.59162e-12
58.855	1.13688e-12
58.86	1.13688e-12
58.865	1.36425e-12
58.87	1.36425e-12
58.875	1.36425e-12
58.88	1.36425e-12
58.885	1.13688e-12
58.89	9.09502e-13
58.895	1.36425e-12
58.9	1.13688e-12
58.905	1.13688e-12
58.91	1.13688e-12
58.915	1.13688e-12
58.92	9.09502e-13
58.925	1.13688e-12
58.93	1.13688e-12
58.935	1.13688e-12
58.94	1.59162e-12
58.945	1.13688e-12
58.95	9.09502e-13
58.955	9.09502e-13
58.96	1.13688e-12
58.965	9.09502e-13
58.97	1.13688e-12
58.975	1.13688e-12
58.98	1.36425e-12
58.985	1.13688e-12
58.99	6.82124e-13
58.995	1.13688e-12
59.0	1.819e-12
59.005	9.09502e-13
59.01	1.13688e-12
59.015	6.82124e-13
59.02	6.82124e-13
59.025	6.82124e-13
59.03	1.36425e-12
59.035	1.13688e-12
59.04	1.13688e-12
59.045	1.13688e-12
59.05	1.13688e-12
59.055	1.13688e-12
59.06	1.13688e-12
59.065	9.09502e-13
59.07	9.09502e-13
59.075	1.13688e-12
59.08	1.36425e-12
59.085	1.13688e-12
59.09	6.82124e-13
59.095	1.13688e-12
59.1	6.82124e-13
59.105	1.13688e-12
59.11	1.36425e-12
59.115	1.13688e-12
59.12	1.13688e-12
59.125	1.13688e-12
59.13	1.13688e-12
59.135	9.09502e-13
59.14	1.13688e-12
59.145	9.09502e-13
59.15	6.82124e-13
59.155	4.54751e-13
59.16	6.82124e-13
59.165	1.13688e-12
59.17	9.09502e-13
59.175	6.82124e-13
59.18	9.09502e-13
59.185	9.09502e-13
59.19	6.82124e-13
59.195	9.09502e-13
59.2	9.09502e-13
59.205	1.13688e-12
59.21	4.54751e-13
59.215	4.54751e-13
59.22	6.82124e-13
59.225	1.13688e-12
59.23	1.13688e-12
59.235	9.09502e-13
59.24	1.13688e-12
59.245	1.36425e-12
59.25	9.09502e-13
59.255	6.82124e-13
59.26	1.13688e-12
59.265	1.13688e-12
59.27	1.13688e-12
59.275	1.13688e-12
59.28	1.13688e-12
59.285	1.36425e-12
59.29	1.36425e-12
59.295	1.59162e-12
59.3	1.36425e-12
59.305	1.59162e-12
59.31	1.13688e-12
59.315	1.13688e-12
59.32	1.13688e-12
59.325	1.13688e-12
59.33	1.13688e-12
59.335	1.13688e-12
59.34	1.59162e-12
59.345	1.13688e-12
59.35	1.36425e-12
59.355	1.36425e-12
59.36	1.13688e-12
59.365	1.59162e-12
59.37	1.36425e-12
59.375	1.13688e-12
59.38	1.59162e-12
59.385	1.36425e-12
59.39	1.819e-12
59.395	1.819e-12
59.4	1.13688e-12
59.405	1.13688e-12
59.41	1.59162e-12
59.415	1.819e-12
59.42	1.819e-12
59.425	1.819e-12
59.43	1.819e-12
59.435	1.59162e-12
59.44	1.819e-12
59.445	1.59162e-12
59.45	1.59162e-12
59.455	1.819e-12
59.46	1.59162e-12
59.465	1.36425e-12
59.47	1.36425e-12
59.475	1.59162e-12
59.48	1.36425e-12
59.485	1.13688e-12
59.49	1.819e-12
59.495	1.36425e-12
59.5	1.36425e-12
59.505	1.819e-12
59.51	1.59162e-12
59.515	1.36425e-12
59.52	1.59162e-12
59.525	1.59162e-12
59.53	1.59162e-12
59.535	1.59162e-12
59.54	1.59162e-12
59.545	1.59162e-12
59.55	1.59162e-12
59.555	1.819e-12
59.56	1.59162e-12
59.565	1.36425e-12
59.57	1.59162e-12
59.575	1.59162e-12
59.58	1.819e-12
59.585	1.819e-12
59.59	2.04638e-12
59.595	2.04638e-12
59.6	1.819e-12
59.605	1.819e-12
59.61	1.819e-12
59.615	1.819e-12
59.62	1.36425e-12
59.625	1.13688e-12
59.63	1.59162e-12
59.635	1.819e-12
59.64	1.59162e-12
59.645	1.36425e-12
59.65	1.819e-12
59.655	2.04638e-12
59.66	1.819e-12
59.665	1.59162e-12
59.67	1.819e-12
59.675	2.04638e-12
59.68	1.819e-12
59.685	1.59162e-12
59.69	1.819e-12
59.695	2.27375e-12
59.7	1.59162e-12
59.705	1.59162e-12
59.71	1.59162e-12
59.715	1.59162e-12
59.72	1.13688e-12
59.725	1.59162e-12
59.73	1.36425e-12
59.735	1.819e-12
59.74	1.819e-12
59.745	1.819e-12
59.75	1.59162e-12
59.755	2.04638e-12
59.76	2.27375e-12
59.765	2.27375e-12
59.77	2.27375e-12
59.775	2.04638e-12
59.78	2.27375e-12
59.785	2.04638e-12
59.79	1.819e-12
59.795	1.819e-12
59.8	1.819e-12
59.805	2.04638e-12
59.81	1.819e-12
59.815	1.36425e-12
59.82	1.819e-12
59.825	1.819e-12
59.83	1.819e-12
59.835	1.819e-12
59.84	2.27375e-12
59.845	1.819e-12
59.85	1.819e-12
59.855	1.819e-12
59.86	1.819e-12
59.865	1.819e-12
59.87	1.819e-12
59.875	1.59162e-12
59.88	2.04638e-12
59.885	2.04638e-12
59.89	1.819e-12
59.895	1.819e-12
59.9	1.819e-12
59.905	1.819e-12
59.91	1.819e-12
59.915	1.819e-12
59.92	1.819e-12
59.925	1.819e-12
59.93	1.819e-12
59.935	2.04638e-12
59.94	2.04638e-12
59.945	1.819e-12
59.95	1.819e-12
59.955	2.04638e-12
59.96	2.27375e-12
59.965	2.50112e-12
59.97	2.27375e-12
59.975	2.50112e-12
59.98	2.7285e-12
59.985	2.27375e-12
59.99	2.04638e-12
59.995	2.27375e-12
60.0	2.50112e-12
60.005	2.50112e-12
60.01	2.27375e-12
60.015	2.04638e-12
60.02	2.04638e-12
60.025	2.27375e-12
60.03	2.27375e-12
60.035	2.27375e-12
60.04	2.04638e-12
60.045	1.59162e-12
60.05	1.13688e-12
60.055	1.36425e-12
60.06	1.13688e-12
60.065	4.54751e-13
60.07	2.27375e-13
60.075	-2.27375e-13
60.08	-6.82124e-13
60.085	-1.13688e-12
60.09	-1.819e-12
60.095	-2.04638e-12
60.1	-2.95587e-12
60.105	-3.86538e-12
60.11	-4.5475e-12
60.115	-5.00225e-12
60.12	-6.13912e-12
60.125	-6.36649e-12
60.13	-6.82124e-12
60.135	-7.27601e-12
60.14	-8.18551e-12
60.145	-8.86763e-12
60.15	-9.095e-12
60.155	-9.77712e-12
60.16	-9.77712e-12
60.165	-1.00045e-11
60.17	-9.77712e-12
60.175	-9.54975e-12
60.18	-8.86763e-12
60.185	-8.18551e-12
60.19	-7.50339e-12
60.195	-6.59386e-12
60.2	-5.00225e-12
60.205	-3.86538e-12
60.21	-2.27375e-12
60.215	-6.82124e-13
60.22	9.09502e-13
60.225	2.50112e-12
60.23	4.77487e-12
60.235	6.59386e-12
60.24	8.64026e-12
60.245	1.04592e-11
60.25	1.25056e-11
60.255	1.4552e-11
60.26	1.59163e-11
60.265	1.72805e-11
60.27	1.86448e-11
60.275	1.95542e-11
60.28	2.0009e-11
60.285	2.04637e-11
60.29	2.06911e-11
60.295	2.04637e-11
60.3	1.97816e-11
60.305	1.93269e-11
60.31	1.79626e-11
60.315	1.65984e-11
60.32	1.47794e-11
60.325	1.29604e-11
60.33	1.0914e-11
60.335	8.64026e-12
60.34	6.59386e-12
60.345	4.32013e-12
60.35	1.819e-12
60.355	-4.54751e-13
60.36	-2.7285e-12
60.365	-5.22962e-12
60.37	-7.27601e-12
60.375	-8.86763e-12
60.38	-1.00045e-11
60.385	-1.0914e-11
60.39	-1.18235e-11
60.395	-1.20509e-11
60.4	-1.20509e-11
60.405	-1.15961e-11
60.41	-1.11414e-11
60.415	-1.00045e-11
60.42	-8.86763e-12
60.425	-7.04861e-12
60.43	-5.22962e-12
60.435	-2.95587e-12
60.44	-6.82124e-13
60.445	2.04638e-12
60.45	4.32013e-12
60.455	6.36649e-12
60.46	8.64026e-12
60.465	1.06866e-11
60.47	1.29604e-11
60.475	1.4552e-11
60.48	1.61436e-11
60.485	1.72805e-11
60.49	1.79626e-11
60.495	1.86448e-11
60.5	1.86448e-11
60.505	1.84174e-11
60.51	1.77353e-11
60.515	1.68258e-11
60.52	1.56889e-11
60.525	1.40972e-11
60.53	1.22782e-11
60.535	1.04592e-11
60.54	7.27601e-12
60.545	4.5475e-12
60.55	1.819e-12
60.555	-6.82124e-13
60.56	-2.95587e-12
60.565	-5.457e-12
60.57	-7.50339e-12
60.575	-1.00045e-11
60.58	-1.20509e-11
60.585	-1.31877e-11
60.59	-1.43246e-11
60.595	-1.54615e-11
60.6	-1.59163e-11
60.605	-1.61436e-11
60.61	-1.68258e-11
60.615	-1.59163e-11
60.62	-1.50068e-11
60.625	-1.43246e-11
60.63	-1.2733e-11
60.635	-1.13687e-11
60.64	-1.00045e-11
60.645	-8.18551e-12
60.65	-6.36649e-12
60.655	-3.86538e-12
60.66	-2.04638e-12
60.665	0.0
60.67	1.819e-12
60.675	3.63801e-12
60.68	5.22962e-12
60.685	6.82124e-12
60.69	8.64026e-12
60.695	1.02319e-11
60.7	1.13687e-11
60.705	1.18235e-11
60.71	1.22782e-11
60.715	1.29604e-11
60.72	1.29604e-11
60.725	1.29604e-11
60.73	1.25056e-11
60.735	1.18235e-11
60.74	1.11414e-11
60.745	1.02319e-11
60.75	8.64026e-12
60.755	6.59386e-12
60.76	5.457e-12
60.765	3.63801e-12
60.77	1.59162e-12
60.775	2.27375e-13
60.78	-1.36425e-12
60.785	-2.7285e-12
60.79	-4.5475e-12
60.795	-6.13912e-12
60.8	-7.04861e-12
60.805	-7.95813e-12
60.81	-8.64026e-12
60.815	-9.54975e-12
60.82	-9.54975e-12
60.825	-9.77712e-12
60.83	-1.00045e-11
60.835	-9.54975e-12
60.84	-8.86763e-12
60.845	-8.18551e-12
60.85	-7.73076e-12
60.855	-6.82124e-12
60.86	-5.68437e-12
60.865	-4.5475e-12
60.87	-3.18325e-12
60.875	-2.27375e-12
60.88	-9.09502e-13
60.885	4.54751e-13
60.89	1.13688e-12
60.895	2.27375e-12
60.9	3.86538e-12
60.905	4.32013e-12
60.91	5.457e-12
