pos	X
59.3	2.27375e-12
59.305	2.04638e-12
59.31	2.27375e-12
59.315	2.04638e-12
59.32	2.04638e-12
59.325	2.04638e-12
59.33	1.819e-12
59.335	2.27375e-12
59.34	2.27375e-12
59.345	2.27375e-12
59.35	2.27375e-12
59.355	2.27375e-12
59.36	2.27375e-12
59.365	2.27375e-12
59.37	2.27375e-12
59.375	2.27375e-12
59.38	2.27375e-12
59.385	2.27375e-12
59.39	2.27375e-12
59.395	2.50112e-12
59.4	2.50112e-12
59.405	2.50112e-12
59.41	2.7285e-12
59.415	2.95587e-12
59.42	2.95587e-12
59.425	2.27375e-12
59.43	2.27375e-12
59.435	2.50112e-12
59.44	2.27375e-12
59.445	2.27375e-12
59.45	2.50112e-12
59.455	2.50112e-12
59.46	2.95587e-12
59.465	2.7285e-12
59.47	2.27375e-12
59.475	2.50112e-12
59.48	2.50112e-12
59.485	2.50112e-12
59.49	2.7285e-12
59.495	2.95587e-12
59.5	2.7285e-12
59.505	2.7285e-12
59.51	2.95587e-12
59.515	2.95587e-12
59.52	2.95587e-12
59.525	2.95587e-12
59.53	2.95587e-12
59.535	2.95587e-12
59.54	2.50112e-12
59.545	2.7285e-12
59.55	2.7285e-12
59.555	2.7285e-12
59.56	3.18325e-12
59.565	3.41062e-12
59.57	2.95587e-12
59.575	2.95587e-12
59.58	2.95587e-12
59.585	2.95587e-12
59.59	2.95587e-12
59.595	3.18325e-12
59.6	2.95587e-12
59.605	2.95587e-12
59.61	2.50112e-12
59.615	2.7285e-12
59.62	2.95587e-12
59.625	2.7285e-12
59.63	2.95587e-12
59.635	2.95587e-12
59.64	2.95587e-12
59.645	2.95587e-12
59.65	2.95587e-12
59.655	2.95587e-12
59.66	2.95587e-12
59.665	3.41062e-12
59.67	2.95587e-12
59.675	3.41062e-12
59.68	2.95587e-12
59.685	2.95587e-12
59.69	2.95587e-12
59.695	3.18325e-12
59.7	3.18325e-12
59.705	2.95587e-12
59.71	3.18325e-12
59.715	3.63801e-12
59.72	3.41062e-12
59.725	2.95587e-12
59.73	3.63801e-12
59.735	3.63801e-12
59.74	3.41062e-12
59.745	3.41062e-12
59.75	3.18325e-12
59.755	2.95587e-12
59.76	3.18325e-12
59.765	3.41062e-12
59.77	2.95587e-12
59.775	3.18325e-12
59.78	3.41062e-12
59.785	3.41062e-12
59.79	2.95587e-12
59.795	2.95587e-12
59.8	3.18325e-12
59.805	3.63801e-12
59.81	3.63801e-12
59.815	3.63801e-12
59.82	3.63801e-12
59.825	3.18325e-12
59.83	2.95587e-12
59.835	3.18325e-12
59.84	3.18325e-12
59.845	2.95587e-12
59.85	3.18325e-12
59.855	3.41062e-12
59.86	3.18325e-12
59.865	2.95587e-12
59.87	2.95587e-12
59.875	2.95587e-12
59.88	2.95587e-12
59.885	2.95587e-12
59.89	2.95587e-12
59.895	2.95587e-12
59.9	2.7285e-12
59.905	3.41062e-12
59.91	3.18325e-12
59.915	2.95587e-12
59.92	3.18325e-12
59.925	2.95587e-12
59.93	2.95587e-12
59.935	2.95587e-12
59.94	3.41062e-12
59.945	3.18325e-12
59.95	3.18325e-12
59.955	2.7285e-12
59.96	2.27375e-12
59.965	2.27375e-12
59.97	2.04638e-12
59.975	1.819e-12
59.98	1.819e-12
59.985	1.59162e-12
59.99	1.13688e-12
59.995	9.09502e-13
60.0	6.82124e-13
60.005	4.54751e-13
60.01	-2.27375e-13
60.015	0.0
60.02	-2.27375e-13
60.025	-9.09502e-13
60.03	-9.09502e-13
60.035	-9.09502e-13
60.04	-6.82124e-13
60.045	-6.82124e-13
60.05	-9.09502e-13
60.055	-1.13688e-12
60.06	-9.09502e-13
60.065	-9.09502e-13
60.07	-2.27375e-13
60.075	-4.54751e-13
60.08	0.0
60.085	6.82124e-13
60.09	9.09502e-13
60.095	1.13688e-12
60.1	1.13688e-12
60.105	2.27375e-12
60.11	2.50112e-12
60.115	2.50112e-12
60.12	3.41062e-12
60.125	3.86538e-12
60.13	4.32013e-12
60.135	4.77487e-12
60.14	5.22962e-12
60.145	5.68437e-12
60.15	5.91174e-12
60.155	5.91174e-12
60.16	5.457e-12
60.165	5.91174e-12
60.17	6.13912e-12
60.175	5.68437e-12
60.18	6.13912e-12
60.185	6.36649e-12
60.19	5.91174e-12
60.195	5.68437e-12
60.2	5.68437e-12
60.205	5.68437e-12
60.21	5.457e-12
60.215	5.00225e-12
60.22	4.5475e-12
60.225	4.32013e-12
60.23	4.32013e-12
60.235	3.63801e-12
60.24	3.18325e-12
60.245	2.7285e-12
60.25	2.27375e-12
60.255	2.27375e-12
60.26	2.04638e-12
60.265	1.819e-12
60.27	1.819e-12
60.275	1.59162e-12
60.28	1.13688e-12
60.285	9.09502e-13
60.29	6.82124e-13
60.295	1.13688e-12
60.3	9.09502e-13
60.305	6.82124e-13
60.31	1.13688e-12
60.315	9.09502e-13
60.32	9.09502e-13
60.325	9.09502e-13
60.33	1.13688e-12
60.335	1.13688e-12
60.34	1.36425e-12
60.345	1.819e-12
60.35	1.819e-12
60.355	1.819e-12
60.36	1.819e-12
60.365	1.819e-12
60.37	2.27375e-12
60.375	2.50112e-12
60.38	2.95587e-12
60.385	2.95587e-12
60.39	3.41062e-12
60.395	3.86538e-12
60.4	4.32013e-12
60.405	4.5475e-12
60.41	4.77487e-12
60.415	4.77487e-12
60.42	4.77487e-12
60.425	5.457e-12
60.43	5.457e-12
60.435	6.13912e-12
60.44	6.82124e-12
60.445	7.04861e-12
60.45	6.82124e-12
60.455	7.27601e-12
60.46	7.95813e-12
60.465	7.73076e-12
60.47	7.73076e-12
60.475	7.50339e-12
60.48	7.50339e-12
60.485	7.73076e-12
60.49	7.27601e-12
60.495	7.27601e-12
60.5	7.27601e-12
60.505	6.82124e-12
60.51	6.36649e-12
60.515	5.91174e-12
60.52	5.457e-12
60.525	4.5475e-12
60.53	3.86538e-12
60.535	3.18325e-12
60.54	3.41062e-12
60.545	2.27375e-12
60.55	1.36425e-12
60.555	4.54751e-13
60.56	-4.54751e-13
60.565	-9.09502e-13
60.57	-1.819e-12
60.575	-2.7285e-12
60.58	-3.86538e-12
60.585	-4.5475e-12
60.59	-5.00225e-12
60.595	-5.22962e-12
60.6	-5.457e-12
60.605	-5.91174e-12
60.61	-6.13912e-12
60.615	-6.36649e-12
60.62	-6.59386e-12
60.625	-6.59386e-12
60.63	-6.36649e-12
60.635	-6.13912e-12
60.64	-5.457e-12
60.645	-5.22962e-12
60.65	-4.5475e-12
60.655	-3.41062e-12
60.66	-2.04638e-12
60.665	-1.36425e-12
60.67	0.0
60.675	1.819e-12
60.68	2.95587e-12
60.685	5.00225e-12
60.69	7.27601e-12
60.695	9.32238e-12
60.7	1.0914e-11
60.705	1.29604e-11
60.71	1.47794e-11
60.715	1.68258e-11
60.72	1.819e-11
60.725	2.02364e-11
60.73	2.13732e-11
60.735	2.29649e-11
60.74	2.31922e-11
60.745	2.41017e-11
60.75	2.38743e-11
60.755	2.34196e-11
60.76	2.31922e-11
60.765	2.1828e-11
60.77	2.04637e-11
60.775	1.88721e-11
60.78	1.68258e-11
60.785	1.47794e-11
60.79	1.25056e-11
60.795	9.77712e-12
60.8	7.04861e-12
60.805	4.5475e-12
60.81	1.36425e-12
60.815	-1.13688e-12
60.82	-3.41062e-12
60.825	-5.68437e-12
60.83	-7.95813e-12
60.835	-1.02319e-11
60.84	-1.20509e-11
60.845	-1.2733e-11
60.85	-1.38698e-11
60.855	-1.4552e-11
60.86	-1.52341e-11
60.865	-1.59163e-11
60.87	-1.56889e-11
60.875	-1.61436e-11
60.88	-1.52341e-11
60.885	-1.50068e-11
60.89	-1.40972e-11
60.895	-1.31877e-11
60.9	-1.20509e-11
60.905	-1.11414e-11
60.91	-1.06866e-11
60.915	-9.77712e-12
60.92	-9.095e-12
60.925	-8.18551e-12
60.93	-7.04861e-12
60.935	-5.68437e-12
60.94	-4.5475e-12
60.945	-3.18325e-12
60.95	-2.50112e-12
60.955	-1.36425e-12
60.96	-2.27375e-13
60.965	6.82124e-13
60.97	1.819e-12
60.975	3.63801e-12
60.98	5.00225e-12
60.985	6.13912e-12
60.99	7.50339e-12
60.995	8.86763e-12
61.0	1.04592e-11
61.005	1.15961e-11
61.01	1.22782e-11
61.015	1.36425e-11
61.02	1.4552e-11
61.025	1.54615e-11
61.03	1.61436e-11
61.035	1.6371e-11
61.04	1.68258e-11
61.045	1.65984e-11
61.05	1.65984e-11
61.055	1.61436e-11
61.06	1.50068e-11
61.065	1.43246e-11
61.07	1.31877e-11
61.075	1.18235e-11
61.08	1.04592e-11
61.085	8.64026e-12
61.09	6.82124e-12
61.095	4.32013e-12
61.1	2.7285e-12
61.105	6.82124e-13
61.11	-1.13688e-12
61.115	-2.7285e-12
61.12	-5.00225e-12
61.125	-6.36649e-12
61.13	-7.50339e-12
61.135	-9.32238e-12
61.14	-1.04592e-11
61.145	-1.13687e-11
61.15	-1.18235e-11
61.155	-1.18235e-11
61.16	-1.20509e-11
61.165	-1.18235e-11
61.17	-1.20509e-11
61.175	-1.13687e-11
61.18	-1.04592e-11
61.185	-9.54975e-12
61.19	-8.86763e-12
61.195	-7.50339e-12
61.2	-6.59386e-12
61.205	-5.22962e-12
61.21	-4.5475e-12
61.215	-3.18325e-12
61.22	-1.819e-12
61.225	0.0
61.23	1.13688e-12
61.235	2.27375e-12
61.24	3.63801e-12
61.245	4.77487e-12
61.25	5.457e-12
61.255	6.59386e-12
61.26	7.27601e-12
61.265	7.95813e-12
61.27	8.41288e-12
61.275	9.32238e-12
61.28	9.54975e-12
61.285	9.77712e-12
61.29	1.00045e-11
61.295	1.00045e-11
61.3	1.00045e-11
61.305	1.04592e-11
61.31	9.77712e-12
61.315	9.32238e-12
61.32	9.77712e-12
61.325	9.32238e-12
61.33	9.095e-12
61.335	8.41288e-12
61.34	7.95813e-12
61.345	7.95813e-12
61.35	7.50339e-12
61.355	7.27601e-12
61.36	6.82124e-12
61.365	6.59386e-12
61.37	6.13912e-12
61.375	5.91174e-12
61.38	5.457e-12
61.385	5.457e-12
61.39	5.00225e-12
61.395	4.5475e-12
61.4	5.00225e-12
61.405	5.22962e-12
61.41	5.00225e-12
61.415	4.77487e-12
61.42	4.77487e-12
61.425	4.77487e-12
61.43	4.77487e-12
61.435	4.77487e-12
61.44	4.77487e-12
61.445	4.32013e-12
61.45	4.32013e-12
61.455	4.09275e-12
61.46	3.41062e-12
61.465	2.95587e-12
61.47	3.18325e-12
61.475	2.95587e-12
61.48	2.27375e-12
61.485	2.27375e-12
61.49	1.819e-12
61.495	1.819e-12
61.5	9.09502e-13
61.505	0.0
61.51	0.0
61.515	0.0
61.52	0.0
61.525	0.0
61.53	-4.54751e-13
61.535	-6.82124e-13
61.54	-9.09502e-13
61.545	-6.82124e-13
61.55	-6.82124e-13
61.555	-1.36425e-12
61.56	-9.09502e-13
61.565	-6.82124e-13
61.57	-4.54751e-13
61.575	-4.54751e-13
61.58	-2.27375e-13
61.585	0.0
61.59	0.0
61.595	4.54751e-13
61.6	4.54751e-13
61.605	1.13688e-12
61.61	1.13688e-12
61.615	1.13688e-12
61.62	1.819e-12
61.625	1.819e-12
61.63	2.27375e-12
61.635	2.27375e-12
61.64	2.95587e-12
61.645	3.41062e-12
61.65	3.18325e-12
61.655	3.41062e-12
61.66	3.63801e-12
61.665	3.63801e-12
61.67	3.63801e-12
61.675	3.63801e-12
61.68	3.63801e-12
61.685	3.63801e-12
61.69	3.86538e-12
61.695	4.32013e-12
61.7	4.32013e-12
61.705	4.32013e-12
61.71	4.5475e-12
61.715	4.32013e-12
61.72	4.32013e-12
61.725	4.5475e-12
61.73	4.32013e-12
61.735	4.77487e-12
61.74	5.22962e-12
61.745	5.00225e-12
61.75	5.22962e-12
61.755	5.00225e-12
61.76	5.00225e-12
61.765	5.457e-12
61.77	5.22962e-12
61.775	5.68437e-12
61.78	5.91174e-12
61.785	6.13912e-12
61.79	6.13912e-12
61.795	6.59386e-12
61.8	6.36649e-12
61.805	5.91174e-12
61.81	6.13912e-12
61.815	6.13912e-12
61.82	5.68437e-12
61.825	6.13912e-12
61.83	6.13912e-12
61.835	6.13912e-12
61.84	5.68437e-12
61.845	5.68437e-12
61.85	5.457e-12
61.855	5.457e-12
61.86	5.00225e-12
61.865	5.457e-12
61.87	5.457e-12
61.875	5.22962e-12
61.88	5.00225e-12
61.885	4.77487e-12
61.89	4.77487e-12
61.895	4.09275e-12
61.9	4.09275e-12
61.905	3.86538e-12
61.91	3.63801e-12
61.915	3.18325e-12
61.92	2.95587e-12
61.925	2.95587e-12
61.93	2.27375e-12
61.935	1.819e-12
61.94	1.13688e-12
61.945	4.54751e-13
61.95	2.27375e-13
61.955	-2.27375e-13
61.96	-6.82124e-13
61.965	-1.36425e-12
61.97	-1.819e-12
61.975	-2.50112e-12
61.98	-2.50112e-12
61.985	-3.18325e-12
61.99	-3.41062e-12
61.995	-3.41062e-12
62.0	-3.86538e-12
62.005	-3.86538e-12
62.01	-3.86538e-12
62.015	-4.32013e-12
62.02	-3.86538e-12
62.025	-3.86538e-12
62.03	-3.63801e-12
62.035	-2.95587e-12
62.04	-2.27375e-12
62.045	-2.04638e-12
62.05	-1.819e-12
62.055	-1.36425e-12
62.06	-9.09502e-13
62.065	-4.54751e-13
62.07	0.0
62.075	2.27375e-13
62.08	6.82124e-13
62.085	1.819e-12
62.09	2.7285e-12
62.095	3.41062e-12
62.1	3.63801e-12
62.105	4.09275e-12
62.11	4.77487e-12
