pos	X
57.5	1.819e-12
57.505	2.04638e-12
57.51	1.59162e-12
57.515	1.36425e-12
57.52	1.59162e-12
57.525	1.819e-12
57.53	1.819e-12
57.535	2.04638e-12
57.54	2.04638e-12
57.545	2.04638e-12
57.55	2.04638e-12
57.555	1.819e-12
57.56	2.04638e-12
57.565	2.27375e-12
57.57	1.819e-12
57.575	1.819e-12
57.58	1.819e-12
57.585	2.04638e-12
57.59	2.27375e-12
57.595	2.04638e-12
57.6	2.04638e-12
57.605	2.27375e-12
57.61	2.27375e-12
57.615	2.04638e-12
57.62	1.819e-12
57.625	1.819e-12
57.63	2.04638e-12
57.635	2.04638e-12
57.64	1.819e-12
57.645	2.27375e-12
57.65	2.27375e-12
57.655	2.50112e-12
57.66	2.50112e-12
57.665	2.04638e-12
57.67	2.27375e-12
57.675	2.27375e-12
57.68	1.819e-12
57.685	2.04638e-12
57.69	2.27375e-12
57.695	2.27375e-12
57.7	2.27375e-12
57.705	2.04638e-12
57.71	1.819e-12
57.715	2.04638e-12
57.72	1.819e-12
57.725	2.04638e-12
57.73	2.27375e-12
57.735	2.04638e-12
57.74	2.04638e-12
57.745	1.59162e-12
57.75	1.59162e-12
57.755	1.819e-12
57.76	1.819e-12
57.765	1.36425e-12
57.77	1.59162e-12
57.775	2.27375e-12
57.78	2.04638e-12
57.785	1.819e-12
57.79	1.59162e-12
57.795	2.04638e-12
57.8	1.819e-12
57.805	2.04638e-12
57.81	1.819e-12
57.815	1.819e-12
57.82	2.04638e-12
57.825	2.27375e-12
57.83	1.819e-12
57.835	1.819e-12
57.84	1.819e-12
57.845	1.819e-12
57.85	2.04638e-12
57.855	2.04638e-12
57.86	1.819e-12
57.865	1.819e-12
57.87	1.819e-12
57.875	1.819e-12
57.88	1.819e-12
57.885	2.27375e-12
57.89	2.04638e-12
57.895	1.819e-12
57.9	2.04638e-12
57.905	1.819e-12
57.91	2.04638e-12
57.915	2.04638e-12
57.92	2.04638e-12
57.925	1.819e-12
57.93	1.59162e-12
57.935	1.819e-12
57.94	1.819e-12
57.945	2.04638e-12
57.95	1.819e-12
57.955	1.819e-12
57.96	1.819e-12
57.965	1.819e-12
57.97	1.59162e-12
57.975	1.59162e-12
57.98	1.819e-12
57.985	2.04638e-12
57.99	1.819e-12
57.995	1.819e-12
58.0	1.819e-12
58.005	1.819e-12
58.01	1.819e-12
58.015	2.04638e-12
58.02	2.04638e-12
58.025	1.819e-12
58.03	1.59162e-12
58.035	1.59162e-12
58.04	1.59162e-12
58.045	1.59162e-12
58.05	1.59162e-12
58.055	1.819e-12
58.06	1.819e-12
58.065	2.04638e-12
58.07	1.819e-12
58.075	1.819e-12
58.08	2.27375e-12
58.085	2.04638e-12
58.09	1.819e-12
58.095	1.819e-12
58.1	2.27375e-12
58.105	1.819e-12
58.11	1.819e-12
58.115	2.27375e-12
58.12	2.50112e-12
58.125	2.04638e-12
58.13	1.819e-12
58.135	1.819e-12
58.14	2.04638e-12
58.145	2.50112e-12
58.15	1.819e-12
58.155	1.819e-12
58.16	1.819e-12
58.165	1.819e-12
58.17	2.04638e-12
58.175	1.819e-12
58.18	1.819e-12
58.185	2.27375e-12
58.19	2.04638e-12
58.195	2.27375e-12
58.2	2.27375e-12
58.205	2.27375e-12
58.21	1.819e-12
58.215	1.819e-12
58.22	1.819e-12
58.225	1.819e-12
58.23	1.59162e-12
58.235	1.819e-12
58.24	1.819e-12
58.245	2.04638e-12
58.25	1.819e-12
58.255	1.59162e-12
58.26	2.04638e-12
58.265	1.819e-12
58.27	1.59162e-12
58.275	1.819e-12
58.28	1.59162e-12
58.285	1.59162e-12
58.29	1.59162e-12
58.295	1.59162e-12
58.3	1.819e-12
58.305	1.819e-12
58.31	1.819e-12
58.315	1.819e-12
58.32	1.819e-12
58.325	2.27375e-12
58.33	2.04638e-12
58.335	1.819e-12
58.34	2.04638e-12
58.345	2.04638e-12
58.35	2.04638e-12
58.355	2.27375e-12
58.36	1.819e-12
58.365	1.819e-12
58.37	2.27375e-12
58.375	1.819e-12
58.38	1.819e-12
58.385	1.819e-12
58.39	2.27375e-12
58.395	2.27375e-12
58.4	1.819e-12
58.405	2.27375e-12
58.41	2.27375e-12
58.415	2.27375e-12
58.42	2.04638e-12
58.425	1.819e-12
58.43	2.04638e-12
58.435	1.819e-12
58.44	1.819e-12
58.445	2.04638e-12
58.45	2.04638e-12
58.455	2.27375e-12
58.46	2.27375e-12
58.465	2.27375e-12
58.47	2.04638e-12
58.475	1.819e-12
58.48	1.819e-12
58.485	1.819e-12
58.49	2.04638e-12
58.495	1.819e-12
58.5	1.819e-12
58.505	2.04638e-12
58.51	1.819e-12
58.515	1.819e-12
58.52	2.27375e-12
