pos	X
57.5	1.819e-12
57.505	2.27375e-12
57.51	1.819e-12
57.515	1.819e-12
57.52	2.27375e-12
57.525	2.04638e-12
57.53	1.819e-12
57.535	2.04638e-12
57.54	1.59162e-12
57.545	1.819e-12
57.55	2.04638e-12
57.555	2.27375e-12
57.56	1.819e-12
57.565	1.59162e-12
57.57	2.27375e-12
57.575	2.04638e-12
57.58	1.819e-12
57.585	1.59162e-12
57.59	1.819e-12
57.595	1.819e-12
57.6	1.819e-12
57.605	2.04638e-12
57.61	2.04638e-12
57.615	1.819e-12
57.62	2.04638e-12
57.625	2.27375e-12
57.63	2.27375e-12
57.635	2.27375e-12
57.64	2.27375e-12
57.645	2.27375e-12
57.65	2.27375e-12
57.655	2.27375e-12
57.66	2.27375e-12
57.665	2.50112e-12
57.67	2.27375e-12
57.675	1.819e-12
57.68	1.819e-12
57.685	2.27375e-12
57.69	2.27375e-12
57.695	1.819e-12
57.7	2.27375e-12
57.705	2.27375e-12
57.71	2.27375e-12
57.715	2.27375e-12
57.72	2.04638e-12
57.725	1.819e-12
57.73	1.819e-12
57.735	1.819e-12
57.74	1.819e-12
57.745	1.819e-12
57.75	2.04638e-12
57.755	2.27375e-12
57.76	2.27375e-12
57.765	2.27375e-12
57.77	2.27375e-12
57.775	2.27375e-12
57.78	1.819e-12
57.785	1.819e-12
57.79	1.59162e-12
57.795	1.819e-12
57.8	1.13688e-12
57.805	1.59162e-12
57.81	1.36425e-12
57.815	1.819e-12
57.82	1.819e-12
57.825	1.59162e-12
57.83	1.819e-12
57.835	1.819e-12
57.84	1.819e-12
57.845	1.819e-12
57.85	1.819e-12
57.855	1.819e-12
57.86	1.819e-12
57.865	1.59162e-12
57.87	1.819e-12
57.875	1.819e-12
57.88	2.04638e-12
57.885	2.04638e-12
57.89	1.819e-12
57.895	1.819e-12
57.9	1.819e-12
57.905	1.819e-12
57.91	1.819e-12
57.915	2.04638e-12
57.92	1.819e-12
57.925	2.04638e-12
57.93	2.27375e-12
57.935	1.819e-12
57.94	2.04638e-12
57.945	2.04638e-12
57.95	1.819e-12
57.955	1.819e-12
57.96	2.04638e-12
