Time_abs/ps, Signal 1/nA, Signal 2/nA
  1115.000,    -0.006045,     0.000792
  1115.050,    -0.000091,    -0.002071
  1115.100,    -0.003167,    -0.001640
  1115.150,     0.005879,     0.003121
  1115.200,     0.003424,    -0.000202
  1115.250,     0.003538,    -0.002868
  1115.300,     0.011065,     0.002702
  1115.350,     0.009176,    -0.001108
  1115.400,     0.008147,    -0.001740
  1115.450,     0.015006,    -0.001196
  1115.500,     0.018846,     0.002993
  1115.550,     0.025376,    -0.004158
  1115.600,     0.017098,     0.001211
  1115.650,     0.016227,     0.001044
  1115.700,     0.016510,     0.003115
  1115.750,     0.031821,    -0.001041
  1115.800,     0.031179,     0.000850
  1115.850,     0.044110,    -0.002345
  1115.900,     0.043401,     0.000740
  1115.950,     0.042328,     0.000564
  1116.000,     0.042155,    -0.001196
  1116.050,     0.054836,    -0.001701
  1116.100,     0.044509,     0.002260
  1116.150,     0.047726,     0.004478
  1116.200,     0.044532,     0.003873
  1116.250,     0.049567,    -0.000743
  1116.300,     0.041745,     0.004611
  1116.350,     0.047211,     0.001729
  1116.400,     0.048746,     0.001921
  1116.450,     0.050948,     0.003332
  1116.500,     0.046454,     0.002051
  1116.550,     0.049477,     0.003520
  1116.600,     0.048291,     0.006445
  1116.650,     0.051578,     0.003856
  1116.700,     0.056154,     0.004098
  1116.750,     0.056539,     0.006125
  1116.800,     0.054034,     0.004808
  1116.850,     0.055535,     0.004411
  1116.900,     0.058688,     0.000725
  1116.950,     0.061255,    -0.000202
  1117.000,     0.062626,     0.007935
  1117.050,     0.063477,     0.007277
  1117.100,     0.073899,     0.002409
  1117.150,     0.069886,     0.003364
  1117.200,     0.075139,     0.001929
  1117.250,     0.075858,     0.003341
  1117.300,     0.072996,     0.003295
  1117.350,     0.063960,     0.006179
  1117.400,     0.069993,     0.004992
  1117.450,     0.065301,     0.005091
  1117.500,     0.075243,    -0.000560
  1117.550,     0.077038,     0.003686
  1117.600,     0.069837,    -0.002169
  1117.650,     0.060833,     0.003373
  1117.700,     0.048218,    -0.000075
  1117.750,     0.044396,     0.003136
  1117.800,     0.032077,     0.000087
  1117.850,     0.023674,     0.003331
  1117.900,     0.012077,     0.001787
  1117.950,     0.010752,     0.002839
  1118.000,     0.007586,     0.000759
  1118.050,     0.002483,     0.003903
  1118.100,     0.008819,     0.007029
  1118.150,     0.020252,     0.002528
  1118.200,     0.023868,     0.005791
  1118.250,     0.024166,    -0.001068
  1118.300,     0.028982,     0.004492
  1118.350,     0.029820,     0.002276
  1118.400,     0.028343,     0.001319
  1118.450,     0.025945,     0.004075
  1118.500,     0.035735,     0.004337
  1118.550,     0.036363,    -0.000205
  1118.600,     0.042369,    -0.000828
  1118.650,     0.040070,    -0.001720
  1118.700,     0.044686,     0.002199
  1118.750,     0.042502,     0.003613
  1118.800,     0.049453,     0.000804
  1118.850,     0.042852,    -0.001044
  1118.900,     0.047263,     0.001124
  1118.950,     0.045975,     0.002081
  1119.000,     0.043062,    -0.003811
  1119.050,     0.046498,    -0.001455
  1119.100,     0.037407,    -0.003465
  1119.150,     0.040849,    -0.002865
  1119.200,     0.039961,    -0.002717
  1119.250,     0.038108,    -0.001390
  1119.300,     0.031576,    -0.000685
  1119.350,     0.028477,     0.000542
  1119.400,     0.027960,    -0.002537
  1119.450,     0.027882,    -0.004048
  1119.500,     0.025759,    -0.001798
  1119.550,     0.039958,    -0.001720
  1119.600,     0.039712,    -0.000758
  1119.650,     0.035221,     0.000215
  1119.700,     0.042618,    -0.005412
  1119.750,     0.044038,    -0.003142
  1119.800,     0.047668,    -0.002954
  1119.850,     0.054541,     0.000065
  1119.900,     0.059024,     0.000856
  1119.950,     0.058773,    -0.002519
  1120.000,     0.055178,    -0.005313
  1120.050,     0.061428,    -0.000241
  1120.100,     0.076921,    -0.000560
  1120.150,     0.078555,    -0.002008
  1120.200,     0.086678,    -0.002831
  1120.250,     0.085160,    -0.001341
  1120.300,     0.078685,     0.001492
  1120.350,     0.084327,    -0.004875
  1120.400,     0.086936,    -0.002495
  1120.450,     0.080335,    -0.001498
  1120.500,     0.082196,    -0.002965
  1120.550,     0.087083,    -0.003559
  1120.600,     0.094897,    -0.003625
  1120.650,     0.099725,     0.001768
  1120.700,     0.101759,    -0.002530
  1120.750,     0.109611,    -0.004292
  1120.800,     0.123713,    -0.004416
  1120.850,     0.123816,    -0.003920
  1120.900,     0.121818,    -0.007562
  1120.950,     0.127024,    -0.002233
  1121.000,     0.128868,    -0.004495
  1121.050,     0.129575,    -0.003640
  1121.100,     0.124870,    -0.000534
  1121.150,     0.122836,    -0.000531
  1121.200,     0.132293,    -0.003461
  1121.250,     0.128315,    -0.001092
  1121.300,     0.121430,    -0.000055
  1121.350,     0.129859,     0.000686
  1121.400,     0.136043,    -0.000592
  1121.450,     0.134199,    -0.005338
  1121.500,     0.148130,    -0.004495
  1121.550,     0.146014,    -0.001811
  1121.600,     0.151550,    -0.000832
  1121.650,     0.157733,    -0.002381
  1121.700,     0.154462,     0.000392
  1121.750,     0.165420,     0.001422
  1121.800,     0.170387,    -0.003196
  1121.850,     0.176045,     0.001604
  1121.900,     0.178134,     0.001711
  1121.950,     0.178240,     0.000816
  1122.000,     0.194702,     0.001021
  1122.050,     0.192041,     0.001273
  1122.100,     0.194547,     0.000731
  1122.150,     0.198329,    -0.001993
  1122.200,     0.185839,    -0.001218
  1122.250,     0.187569,    -0.000476
  1122.300,     0.188842,     0.000984
  1122.350,     0.189845,     0.001568
  1122.400,     0.186720,     0.002787
  1122.450,     0.185158,     0.002327
  1122.500,     0.182071,     0.001158
  1122.550,     0.178626,     0.001860
  1122.600,     0.171786,     0.005919
  1122.650,     0.169353,     0.001844
  1122.700,     0.174476,    -0.000622
  1122.750,     0.168804,     0.003900
  1122.800,     0.172434,     0.001749
  1122.850,     0.173780,     0.002283
  1122.900,     0.170773,     0.000357
  1122.950,     0.169113,     0.000729
  1123.000,     0.166048,     0.001696
  1123.050,     0.164477,     0.001799
  1123.100,     0.165574,     0.001804
  1123.150,     0.171171,     0.002804
  1123.200,     0.168044,     0.003347
  1123.250,     0.165919,    -0.000432
  1123.300,     0.170764,     0.001068
  1123.350,     0.168999,     0.003632
  1123.400,     0.160068,     0.000862
  1123.450,     0.160300,     0.002695
  1123.500,     0.154623,     0.003724
  1123.550,     0.148121,     0.001433
  1123.600,     0.145700,    -0.000500
  1123.650,     0.143137,    -0.003778
  1123.700,     0.144389,     0.000151
  1123.750,     0.150279,     0.002753
  1123.800,     0.145289,     0.000106
  1123.850,     0.138807,     0.003386
  1123.900,     0.135156,     0.003482
  1123.950,     0.124004,    -0.000616
  1124.000,     0.098946,     0.003328
  1124.050,     0.076545,     0.003648
  1124.100,     0.044387,     0.002514
  1124.150,     0.002463,     0.003540
  1124.200,    -0.047885,    -0.001157
  1124.250,    -0.095928,     0.003467
  1124.300,    -0.144885,     0.005836
  1124.350,    -0.198311,     0.002306
  1124.400,    -0.242657,     0.003741
  1124.450,    -0.277794,     0.002201
  1124.500,    -0.291902,     0.003017
  1124.550,    -0.289865,    -0.000432
  1124.600,    -0.273890,    -0.001053
  1124.650,    -0.251569,     0.003483
  1124.700,    -0.192187,     0.003727
  1124.750,    -0.128836,     0.003854
  1124.800,    -0.043919,     0.000290
  1124.850,     0.044675,    -0.002623
  1124.900,     0.130979,     0.000547
  1124.950,     0.214767,     0.003105
  1125.000,     0.297592,     0.001264
  1125.050,     0.355155,     0.000035
  1125.100,     0.406908,     0.000708
  1125.150,     0.440934,     0.000227
  1125.200,     0.446161,    -0.000116
  1125.250,     0.442348,     0.000892
  1125.300,     0.431848,     0.000676
  1125.350,     0.431871,    -0.003774
  1125.400,     0.428910,    -0.003251
  1125.450,     0.435623,    -0.004200
  1125.500,     0.461870,     0.000121
  1125.550,     0.513425,    -0.000676
  1125.600,     0.581294,    -0.001092
  1125.650,     0.645564,     0.002203
  1125.700,     0.695012,     0.000342
  1125.750,     0.738258,    -0.004103
  1125.800,     0.747455,    -0.003069
  1125.850,     0.744238,    -0.003592
  1125.900,     0.740198,    -0.002874
  1125.950,     0.759616,    -0.004234
  1126.000,     0.821134,    -0.004595
  1126.050,     0.941197,     0.001164
  1126.100,     1.142959,    -0.003950
  1126.150,     1.439447,    -0.002364
  1126.200,     1.792892,    -0.001652
  1126.250,     2.174094,     0.000646
  1126.300,     2.545197,    -0.000737
  1126.350,     2.865649,    -0.001786
  1126.400,     3.081762,     0.001181
  1126.450,     3.159473,    -0.002394
  1126.500,     3.117327,    -0.003383
  1126.550,     2.958281,    -0.004191
  1126.600,     2.726980,    -0.004632
  1126.650,     2.432998,    -0.004809
  1126.700,     2.072118,    -0.003720
  1126.750,     1.610046,    -0.001315
  1126.800,     0.969815,    -0.001020
  1126.850,     0.100125,    -0.002095
  1126.900,    -1.005303,    -0.004024
  1126.950,    -2.299242,    -0.004482
  1127.000,    -3.643814,    -0.003483
  1127.050,    -4.845480,    -0.003199
  1127.100,    -5.715110,    -0.003299
  1127.150,    -6.086036,    -0.002364
  1127.200,    -5.943965,    -0.002553
  1127.250,    -5.362733,    -0.000479
  1127.300,    -4.522430,    -0.002114
  1127.350,    -3.622425,    -0.001864
  1127.400,    -2.817327,     0.001203
  1127.450,    -2.151320,    -0.000388
  1127.500,    -1.605990,    -0.003959
  1127.550,    -1.073094,    -0.001791
  1127.600,    -0.454237,    -0.000063
  1127.650,     0.286403,     0.001656
  1127.700,     1.131249,    -0.001165
  1127.750,     1.973071,     0.000840
  1127.800,     2.699251,    -0.004371
  1127.850,     3.223051,    -0.003014
  1127.900,     3.494556,    -0.007456
  1127.950,     3.545051,    -0.008839
  1128.000,     3.416250,    -0.003102
  1128.050,     3.154814,    -0.005692
  1128.100,     2.807818,     0.004380
  1128.150,     2.355115,     0.001062
  1128.200,     1.831567,    -0.002308
  1128.250,     1.261882,    -0.002719
  1128.300,     0.667917,    -0.001057
  1128.350,     0.096532,     0.001503
  1128.400,    -0.399331,    -0.002957
  1128.450,    -0.812160,    -0.005257
  1128.500,    -1.138826,    -0.002773
  1128.550,    -1.386227,    -0.001768
  1128.600,    -1.518088,    -0.003993
  1128.650,    -1.509023,    -0.003775
  1128.700,    -1.368686,    -0.002859
  1128.750,    -1.088215,    -0.000306
  1128.800,    -0.707895,    -0.002221
  1128.850,    -0.302429,    -0.006422
  1128.900,     0.065672,    -0.006966
  1128.950,     0.341977,    -0.007295
  1129.000,     0.520880,    -0.002162
  1129.050,     0.626306,    -0.005489
  1129.100,     0.756284,    -0.004817
  1129.150,     0.990541,    -0.002136
  1129.200,     1.347380,    -0.003443
