Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  4.943002E-3,    -3.14159,          NaN,         NaN, 3.105414E-12,    -0.00000,          NaN,         NaN
     1.0,  1.136936E-2,    -2.35158,          NaN,         NaN, 6.236579E-12,     0.11830,          NaN,         NaN
     2.0,  1.524157E-2,    -1.73556,          NaN,         NaN, 6.312668E-12,     0.23914,          NaN,         NaN
     3.0,  2.077535E-2,    -1.26860,          NaN,         NaN, 6.435840E-12,     0.36479,          NaN,         NaN
     4.0,  2.768477E-2,    -0.89358,          NaN,         NaN, 6.601372E-12,     0.49705,          NaN,         NaN
     5.0,  3.588416E-2,    -0.57678,          NaN,         NaN, 6.803912E-12,     0.63715,          NaN,         NaN
     6.0,  4.532106E-2,    -0.29966,          NaN,         NaN, 7.038325E-12,     0.78576,          NaN,         NaN
     7.0,  5.592382E-2,    -0.05111,          NaN,         NaN, 7.300393E-12,     0.94306,          NaN,         NaN
     8.0,  6.759132E-2,     0.17610,          NaN,         NaN, 7.587263E-12,     1.10885,          NaN,         NaN
     9.0,  8.019493E-2,     0.38694,          NaN,         NaN, 7.897642E-12,     1.28258,          NaN,         NaN
    10.0,  9.358319E-2,     0.58499,          NaN,         NaN, 8.231719E-12,     1.46347,          NaN,         NaN
    11.0,  1.075867E-1,     0.77286,          NaN,         NaN, 8.590880E-12,     1.65056,          NaN,         NaN
    12.0,  1.220224E-1,     0.95251,          NaN,         NaN, 8.977238E-12,     1.84272,          NaN,         NaN
    13.0,  1.366978E-1,     1.12542,          NaN,         NaN, 9.393058E-12,     2.03875,          NaN,         NaN
    14.0,  1.514146E-1,     1.29274,          NaN,         NaN, 9.840136E-12,     2.23739,          NaN,         NaN
    15.0,  1.659720E-1,     1.45533,          NaN,         NaN, 1.031922E-11,     2.43741,          NaN,         NaN
    16.0,  1.801701E-1,     1.61388,          NaN,         NaN, 1.082956E-11,     2.63764,          NaN,         NaN
    17.0,  1.938130E-1,     1.76895,          NaN,         NaN, 1.136853E-11,     2.83702,          NaN,         NaN
    18.0,  2.067118E-1,     1.92094,          NaN,         NaN, 1.193159E-11,     3.03463,          NaN,         NaN
    19.0,  2.186872E-1,     2.07020,          NaN,         NaN, 1.251225E-11,     3.22974,          NaN,         NaN
    20.0,  2.295725E-1,     2.21698,          NaN,         NaN, 1.310233E-11,     3.42174,          NaN,         NaN
    21.0,  2.392159E-1,     2.36147,          NaN,         NaN, 1.369225E-11,     3.61019,          NaN,         NaN
    22.0,  2.474826E-1,     2.50382,          NaN,         NaN, 1.427142E-11,     3.79476,          NaN,         NaN
    23.0,  2.542568E-1,     2.64413,          NaN,         NaN, 1.482870E-11,     3.97522,          NaN,         NaN
    24.0,  2.594438E-1,     2.78245,          NaN,         NaN, 1.535285E-11,     4.15139,          NaN,         NaN
    25.0,  2.629712E-1,     2.91881,          NaN,         NaN, 1.583299E-11,     4.32312,          NaN,         NaN
    26.0,  2.647900E-1,     3.05319,          NaN,         NaN, 1.625907E-11,     4.49030,          NaN,         NaN
    27.0,  2.648756E-1,     3.18552,          NaN,         NaN, 1.662226E-11,     4.65277,          NaN,         NaN
    28.0,  2.632286E-1,     3.31570,          NaN,         NaN, 1.691545E-11,     4.81038,          NaN,         NaN
    29.0,  2.598751E-1,     3.44360,          NaN,         NaN, 1.713363E-11,     4.96289,          NaN,         NaN
    30.0,  2.548664E-1,     3.56900,          NaN,         NaN, 1.727426E-11,     5.11007,          NaN,         NaN
    31.0,  2.482796E-1,     3.69165,          NaN,         NaN, 1.733772E-11,     5.25158,          NaN,         NaN
    32.0,  2.402167E-1,     3.81121,          NaN,         NaN, 1.732766E-11,     5.38705,          NaN,         NaN
    33.0,  2.308044E-1,     3.92725,          NaN,         NaN, 1.725133E-11,     5.51607,          NaN,         NaN
    34.0,  2.201943E-1,     4.03922,          NaN,         NaN, 1.711984E-11,     5.63820,          NaN,         NaN
    35.0,  2.085617E-1,     4.14646,          NaN,         NaN, 1.694838E-11,     5.75301,          NaN,         NaN
    36.0,  1.961066E-1,     4.24808,          NaN,         NaN, 1.675613E-11,     5.86018,          NaN,         NaN
    37.0,  1.830535E-1,     4.34302,          NaN,         NaN, 1.656597E-11,     5.95956,          NaN,         NaN
    38.0,  1.696533E-1,     4.42994,          NaN,         NaN, 1.640365E-11,     6.05131,          NaN,         NaN
    39.0,  1.561845E-1,     4.50718,          NaN,         NaN, 1.629642E-11,     6.13603,          NaN,         NaN
    40.0,  1.429561E-1,     4.57281,          NaN,         NaN, 1.627101E-11,     6.21485,          NaN,         NaN
    41.0,  1.303094E-1,     4.62462,          NaN,         NaN, 1.635103E-11,     6.28946,          NaN,         NaN
    42.0,  1.186158E-1,     4.66042,          NaN,         NaN, 1.655434E-11,     6.36205,          NaN,         NaN
    43.0,  1.082666E-1,     4.67854,          NaN,         NaN, 1.689078E-11,     6.43505,          NaN,         NaN
    44.0,  9.964257E-2,     4.67874,          NaN,         NaN, 1.736108E-11,     6.51085,          NaN,         NaN
    45.0,  9.305743E-2,     4.66334,          NaN,         NaN, 1.795695E-11,     6.59152,          NaN,         NaN
    46.0,  8.867708E-2,     4.63792,          NaN,         NaN, 1.866250E-11,     6.67865,          NaN,         NaN
    47.0,  8.644714E-2,     4.61067,          NaN,         NaN, 1.945629E-11,     6.77322,          NaN,         NaN
    48.0,  8.607650E-2,     4.59018,          NaN,         NaN, 2.031366E-11,     6.87570,          NaN,         NaN
    49.0,  8.709819E-2,     4.58301,          NaN,         NaN, 2.120870E-11,     6.98615,          NaN,         NaN
    50.0,  8.897436E-2,     4.59246,          NaN,         NaN, 2.211587E-11,     7.10435,          NaN,         NaN
    51.0,  9.119046E-2,     4.61895,          NaN,         NaN, 2.301111E-11,     7.22990,          NaN,         NaN
    52.0,  9.330940E-2,     4.66108,          NaN,         NaN, 2.387258E-11,     7.36234,          NaN,         NaN
    53.0,  9.498879E-2,     4.71668,          NaN,         NaN, 2.468105E-11,     7.50119,          NaN,         NaN
    54.0,  9.597696E-2,     4.78341,          NaN,         NaN, 2.542019E-11,     7.64598,          NaN,         NaN
    55.0,  9.610084E-2,     4.85908,          NaN,         NaN, 2.607661E-11,     7.79630,          NaN,         NaN
    56.0,  9.525260E-2,     4.94179,          NaN,         NaN, 2.663989E-11,     7.95176,          NaN,         NaN
    57.0,  9.337799E-2,     5.02989,          NaN,         NaN, 2.710248E-11,     8.11204,          NaN,         NaN
    58.0,  9.046684E-2,     5.12193,          NaN,         NaN, 2.745960E-11,     8.27686,          NaN,         NaN
    59.0,  8.654550E-2,     5.21660,          NaN,         NaN, 2.770901E-11,     8.44599,          NaN,         NaN
    60.0,  8.167086E-2,     5.31266,          NaN,         NaN, 2.785083E-11,     8.61922,          NaN,         NaN
    61.0,  7.592555E-2,     5.40880,          NaN,         NaN, 2.788722E-11,     8.79635,          NaN,         NaN
    62.0,  6.941416E-2,     5.50352,          NaN,         NaN, 2.782210E-11,     8.97721,          NaN,         NaN
    63.0,  6.226048E-2,     5.59492,          NaN,         NaN, 2.766073E-11,     9.16165,          NaN,         NaN
    64.0,  5.460615E-2,     5.68031,          NaN,         NaN, 2.740935E-11,     9.34949,          NaN,         NaN
    65.0,  4.661198E-2,     5.75545,          NaN,         NaN, 2.707472E-11,     9.54055,          NaN,         NaN
    66.0,  3.846504E-2,     5.81301,          NaN,         NaN, 2.666371E-11,     9.73466,          NaN,         NaN
    67.0,  3.040128E-2,     5.83890,          NaN,         NaN, 2.618290E-11,     9.93159,          NaN,         NaN
    68.0,  2.277406E-2,     5.80304,          NaN,         NaN, 2.563810E-11,    10.13113,          NaN,         NaN
    69.0,  1.627150E-2,     5.63803,          NaN,         NaN, 2.503412E-11,    10.33306,          NaN,         NaN
    70.0,  1.244928E-2,     5.24249,          NaN,         NaN, 2.437444E-11,    10.53712,          NaN,         NaN
    71.0,  1.316696E-2,     4.74755,          NaN,         NaN, 2.366107E-11,    10.74309,          NaN,         NaN
    72.0,  1.723915E-2,     4.46670,          NaN,         NaN, 2.289455E-11,    10.95074,          NaN,         NaN
    73.0,  2.233713E-2,     4.37128,          NaN,         NaN, 2.207401E-11,    11.15989,          NaN,         NaN
    74.0,  2.736056E-2,     4.36604,          NaN,         NaN, 2.119737E-11,    11.37042,          NaN,         NaN
