pos	X
57.0	9.09502e-13
57.005	1.13688e-12
57.01	4.54751e-13
57.015	1.13688e-12
57.02	1.13688e-12
57.025	1.13688e-12
57.03	1.13688e-12
57.035	1.13688e-12
57.04	1.13688e-12
57.045	1.13688e-12
57.05	4.54751e-13
57.055	9.09502e-13
57.06	6.82124e-13
57.065	4.54751e-13
57.07	6.82124e-13
57.075	9.09502e-13
57.08	4.54751e-13
57.085	2.27375e-13
57.09	4.54751e-13
57.095	1.13688e-12
57.1	1.13688e-12
57.105	2.27375e-13
57.11	1.13688e-12
57.115	1.59162e-12
57.12	1.819e-12
57.125	4.54751e-13
57.13	4.54751e-13
57.135	1.13688e-12
57.14	1.13688e-12
57.145	1.13688e-12
57.15	1.13688e-12
57.155	1.13688e-12
57.16	1.819e-12
57.165	1.13688e-12
57.17	6.82124e-13
57.175	1.13688e-12
57.18	1.13688e-12
57.185	1.59162e-12
57.19	1.13688e-12
57.195	4.54751e-13
57.2	6.82124e-13
57.205	9.09502e-13
57.21	1.13688e-12
57.215	1.13688e-12
57.22	9.09502e-13
57.225	1.819e-12
57.23	1.59162e-12
57.235	1.13688e-12
57.24	1.59162e-12
57.245	6.82124e-13
57.25	9.09502e-13
57.255	6.82124e-13
57.26	1.13688e-12
57.265	4.54751e-13
57.27	4.54751e-13
57.275	6.82124e-13
57.28	1.36425e-12
57.285	1.13688e-12
57.29	1.13688e-12
57.295	4.54751e-13
57.3	9.09502e-13
57.305	2.27375e-13
57.31	4.54751e-13
57.315	9.09502e-13
57.32	4.54751e-13
57.325	4.54751e-13
57.33	1.13688e-12
57.335	1.13688e-12
57.34	9.09502e-13
57.345	1.13688e-12
57.35	1.13688e-12
57.355	1.13688e-12
57.36	9.09502e-13
57.365	1.13688e-12
57.37	6.82124e-13
57.375	4.54751e-13
57.38	1.59162e-12
57.385	4.54751e-13
57.39	4.54751e-13
57.395	0.0
57.4	4.54751e-13
57.405	0.0
57.41	1.59162e-12
57.415	4.54751e-13
57.42	4.54751e-13
57.425	1.13688e-12
57.43	9.09502e-13
57.435	1.59162e-12
57.44	1.13688e-12
57.445	1.36425e-12
57.45	1.36425e-12
57.455	1.36425e-12
57.46	1.819e-12
57.465	1.13688e-12
57.47	1.59162e-12
57.475	1.36425e-12
57.48	1.13688e-12
57.485	1.36425e-12
57.49	1.13688e-12
57.495	1.819e-12
57.5	1.13688e-12
57.505	1.13688e-12
57.51	9.09502e-13
57.515	9.09502e-13
57.52	0.0
57.525	4.54751e-13
57.53	1.36425e-12
57.535	1.36425e-12
57.54	1.819e-12
57.545	9.09502e-13
57.55	4.54751e-13
57.555	1.13688e-12
57.56	6.82124e-13
57.565	1.59162e-12
57.57	1.13688e-12
57.575	1.36425e-12
57.58	1.36425e-12
57.585	6.82124e-13
57.59	1.36425e-12
57.595	1.36425e-12
57.6	1.59162e-12
57.605	1.13688e-12
57.61	1.13688e-12
57.615	1.819e-12
57.62	1.59162e-12
57.625	1.13688e-12
57.63	9.09502e-13
57.635	4.54751e-13
57.64	9.09502e-13
57.645	1.13688e-12
57.65	6.82124e-13
57.655	1.13688e-12
57.66	9.09502e-13
57.665	9.09502e-13
57.67	9.09502e-13
57.675	1.59162e-12
57.68	1.13688e-12
57.685	1.13688e-12
57.69	2.27375e-12
57.695	1.59162e-12
57.7	4.54751e-13
57.705	1.13688e-12
57.71	1.13688e-12
57.715	9.09502e-13
57.72	1.13688e-12
57.725	1.819e-12
57.73	9.09502e-13
57.735	6.82124e-13
57.74	1.13688e-12
57.745	1.13688e-12
57.75	6.82124e-13
57.755	1.59162e-12
57.76	6.82124e-13
57.765	9.09502e-13
57.77	1.13688e-12
57.775	1.13688e-12
57.78	6.82124e-13
57.785	1.13688e-12
57.79	1.36425e-12
57.795	9.09502e-13
57.8	1.13688e-12
57.805	1.13688e-12
57.81	0.0
57.815	4.54751e-13
57.82	4.54751e-13
57.825	0.0
57.83	2.27375e-13
57.835	1.13688e-12
57.84	1.13688e-12
57.845	2.27375e-13
57.85	6.82124e-13
57.855	1.36425e-12
57.86	1.819e-12
57.865	4.54751e-13
57.87	1.13688e-12
57.875	9.09502e-13
57.88	6.82124e-13
57.885	1.13688e-12
57.89	9.09502e-13
57.895	1.13688e-12
57.9	6.82124e-13
57.905	4.54751e-13
57.91	1.13688e-12
57.915	1.13688e-12
57.92	6.82124e-13
57.925	4.54751e-13
57.93	2.27375e-13
57.935	1.13688e-12
57.94	6.82124e-13
57.945	1.59162e-12
57.95	1.13688e-12
57.955	2.27375e-13
57.96	9.09502e-13
57.965	1.13688e-12
57.97	1.36425e-12
57.975	9.09502e-13
57.98	2.04638e-12
57.985	9.09502e-13
57.99	6.82124e-13
57.995	1.13688e-12
58.0	2.27375e-13
58.005	1.36425e-12
58.01	4.54751e-13
58.015	4.54751e-13
58.02	9.09502e-13
58.025	1.13688e-12
58.03	1.13688e-12
58.035	1.13688e-12
58.04	6.82124e-13
58.045	1.36425e-12
58.05	9.09502e-13
58.055	1.13688e-12
58.06	1.13688e-12
58.065	1.13688e-12
58.07	9.09502e-13
58.075	2.27375e-13
58.08	0.0
58.085	0.0
58.09	1.13688e-12
58.095	1.36425e-12
58.1	4.54751e-13
58.105	4.54751e-13
58.11	1.13688e-12
58.115	4.54751e-13
58.12	9.09502e-13
58.125	4.54751e-13
58.13	4.54751e-13
58.135	6.82124e-13
58.14	2.27375e-13
58.145	1.13688e-12
58.15	1.36425e-12
58.155	2.27375e-13
58.16	9.09502e-13
58.165	1.819e-12
58.17	9.09502e-13
58.175	1.819e-12
58.18	4.54751e-13
58.185	1.36425e-12
58.19	1.13688e-12
58.195	1.59162e-12
58.2	1.819e-12
58.205	2.27375e-12
58.21	2.50112e-12
58.215	1.819e-12
58.22	2.27375e-12
58.225	2.7285e-12
