pos	X
57.0	0.0
57.005	1.13688e-12
57.01	4.54751e-13
57.015	1.13688e-12
57.02	4.54751e-13
57.025	4.54751e-13
57.03	9.09502e-13
57.035	4.54751e-13
57.04	4.54751e-13
57.045	1.13688e-12
57.05	9.09502e-13
57.055	4.54751e-13
57.06	4.54751e-13
57.065	6.82124e-13
57.07	4.54751e-13
57.075	2.27375e-13
57.08	1.36425e-12
57.085	1.13688e-12
57.09	1.13688e-12
57.095	9.09502e-13
57.1	4.54751e-13
57.105	1.13688e-12
57.11	6.82124e-13
57.115	6.82124e-13
57.12	1.819e-12
57.125	1.13688e-12
57.13	6.82124e-13
57.135	6.82124e-13
57.14	6.82124e-13
57.145	4.54751e-13
57.15	4.54751e-13
57.155	1.13688e-12
57.16	1.13688e-12
57.165	1.36425e-12
57.17	1.59162e-12
57.175	1.13688e-12
57.18	1.13688e-12
57.185	4.54751e-13
57.19	6.82124e-13
57.195	9.09502e-13
57.2	1.59162e-12
57.205	1.36425e-12
57.21	1.13688e-12
57.215	4.54751e-13
57.22	1.819e-12
57.225	9.09502e-13
57.23	2.27375e-13
57.235	1.13688e-12
57.24	6.82124e-13
57.245	9.09502e-13
57.25	4.54751e-13
57.255	1.36425e-12
57.26	1.36425e-12
57.265	1.13688e-12
57.27	1.13688e-12
57.275	1.819e-12
57.28	1.13688e-12
57.285	6.82124e-13
57.29	1.36425e-12
57.295	6.82124e-13
57.3	4.54751e-13
57.305	2.27375e-13
57.31	0.0
57.315	9.09502e-13
57.32	4.54751e-13
57.325	9.09502e-13
57.33	1.36425e-12
57.335	4.54751e-13
57.34	1.13688e-12
57.345	1.819e-12
57.35	4.54751e-13
57.355	6.82124e-13
57.36	0.0
57.365	-4.54751e-13
57.37	4.54751e-13
57.375	1.13688e-12
57.38	6.82124e-13
57.385	1.13688e-12
57.39	6.82124e-13
57.395	4.54751e-13
57.4	6.82124e-13
57.405	2.27375e-13
57.41	1.13688e-12
57.415	6.82124e-13
57.42	4.54751e-13
57.425	1.13688e-12
57.43	2.27375e-13
57.435	0.0
57.44	1.36425e-12
57.445	1.13688e-12
57.45	4.54751e-13
57.455	1.13688e-12
57.46	1.13688e-12
57.465	1.13688e-12
57.47	1.13688e-12
57.475	6.82124e-13
57.48	9.09502e-13
57.485	1.13688e-12
57.49	6.82124e-13
57.495	1.13688e-12
57.5	4.54751e-13
57.505	4.54751e-13
57.51	4.54751e-13
57.515	0.0
57.52	4.54751e-13
57.525	1.13688e-12
57.53	6.82124e-13
57.535	9.09502e-13
57.54	1.36425e-12
57.545	9.09502e-13
