pos	X
57.0	6.82124e-13
57.005	0.0
57.01	1.13688e-12
57.015	1.36425e-12
57.02	1.36425e-12
57.025	1.59162e-12
57.03	1.36425e-12
57.035	6.82124e-13
57.04	1.59162e-12
57.045	9.09502e-13
57.05	1.13688e-12
57.055	1.819e-12
57.06	1.59162e-12
57.065	1.819e-12
57.07	1.13688e-12
57.075	9.09502e-13
57.08	1.59162e-12
57.085	4.54751e-13
57.09	1.13688e-12
57.095	4.54751e-13
57.1	4.54751e-13
57.105	9.09502e-13
57.11	2.27375e-13
57.115	2.27375e-13
57.12	9.09502e-13
57.125	9.09502e-13
57.13	6.82124e-13
57.135	1.13688e-12
57.14	1.59162e-12
57.145	2.27375e-13
57.15	6.82124e-13
57.155	0.0
57.16	4.54751e-13
57.165	1.13688e-12
57.17	4.54751e-13
57.175	1.59162e-12
57.18	1.13688e-12
57.185	4.54751e-13
57.19	4.54751e-13
57.195	9.09502e-13
57.2	1.59162e-12
57.205	1.36425e-12
57.21	1.13688e-12
57.215	1.59162e-12
57.22	9.09502e-13
57.225	9.09502e-13
57.23	6.82124e-13
57.235	2.27375e-13
57.24	1.13688e-12
57.245	4.54751e-13
57.25	1.819e-12
57.255	6.82124e-13
57.26	4.54751e-13
57.265	9.09502e-13
57.27	1.13688e-12
57.275	6.82124e-13
57.28	0.0
57.285	4.54751e-13
57.29	9.09502e-13
57.295	1.13688e-12
57.3	1.13688e-12
57.305	4.54751e-13
57.31	1.59162e-12
57.315	1.13688e-12
57.32	1.59162e-12
57.325	1.59162e-12
57.33	1.13688e-12
57.335	1.13688e-12
57.34	4.54751e-13
57.345	9.09502e-13
57.35	6.82124e-13
57.355	4.54751e-13
57.36	1.59162e-12
57.365	1.13688e-12
57.37	1.59162e-12
57.375	4.54751e-13
57.38	4.54751e-13
57.385	1.13688e-12
57.39	0.0
57.395	4.54751e-13
57.4	1.13688e-12
57.405	6.82124e-13
57.41	9.09502e-13
57.415	1.819e-12
57.42	1.36425e-12
57.425	1.13688e-12
57.43	1.13688e-12
57.435	6.82124e-13
57.44	4.54751e-13
57.445	6.82124e-13
57.45	1.13688e-12
57.455	1.13688e-12
57.46	1.819e-12
57.465	1.13688e-12
57.47	9.09502e-13
57.475	6.82124e-13
57.48	9.09502e-13
57.485	1.13688e-12
57.49	1.59162e-12
57.495	9.09502e-13
57.5	1.36425e-12
57.505	1.13688e-12
57.51	1.13688e-12
57.515	1.13688e-12
57.52	9.09502e-13
57.525	1.36425e-12
57.53	1.13688e-12
57.535	1.13688e-12
57.54	1.13688e-12
57.545	1.36425e-12
57.55	1.59162e-12
57.555	1.36425e-12
57.56	9.09502e-13
57.565	1.13688e-12
57.57	1.13688e-12
