pos	X
57.0	1.13688e-12
57.005	1.13688e-12
57.01	1.59162e-12
57.015	4.54751e-13
57.02	4.54751e-13
57.025	6.82124e-13
57.03	6.82124e-13
57.035	2.27375e-13
57.04	4.54751e-13
57.045	6.82124e-13
57.05	9.09502e-13
57.055	6.82124e-13
57.06	1.13688e-12
57.065	0.0
57.07	6.82124e-13
57.075	9.09502e-13
57.08	9.09502e-13
57.085	6.82124e-13
57.09	0.0
57.095	1.13688e-12
57.1	9.09502e-13
57.105	1.59162e-12
57.11	2.27375e-13
57.115	4.54751e-13
57.12	1.13688e-12
57.125	1.13688e-12
57.13	1.819e-12
57.135	1.13688e-12
57.14	1.13688e-12
57.145	1.13688e-12
57.15	1.13688e-12
57.155	9.09502e-13
57.16	0.0
57.165	6.82124e-13
57.17	0.0
57.175	6.82124e-13
57.18	1.13688e-12
57.185	9.09502e-13
57.19	1.59162e-12
57.195	1.13688e-12
57.2	4.54751e-13
57.205	6.82124e-13
57.21	1.13688e-12
57.215	1.13688e-12
57.22	1.59162e-12
57.225	1.13688e-12
57.23	1.36425e-12
57.235	1.13688e-12
57.24	1.13688e-12
57.245	1.13688e-12
57.25	9.09502e-13
57.255	6.82124e-13
57.26	4.54751e-13
57.265	1.36425e-12
57.27	1.36425e-12
57.275	1.13688e-12
57.28	9.09502e-13
57.285	9.09502e-13
57.29	4.54751e-13
57.295	4.54751e-13
57.3	4.54751e-13
57.305	4.54751e-13
57.31	4.54751e-13
57.315	9.09502e-13
57.32	9.09502e-13
57.325	1.13688e-12
57.33	1.13688e-12
57.335	1.59162e-12
57.34	1.13688e-12
57.345	9.09502e-13
57.35	6.82124e-13
57.355	6.82124e-13
57.36	1.13688e-12
57.365	1.13688e-12
57.37	1.59162e-12
57.375	6.82124e-13
57.38	0.0
57.385	2.27375e-13
57.39	1.13688e-12
57.395	1.13688e-12
57.4	1.13688e-12
57.405	1.13688e-12
57.41	6.82124e-13
57.415	1.13688e-12
57.42	1.13688e-12
57.425	1.13688e-12
57.43	2.27375e-13
57.435	2.27375e-13
57.44	1.13688e-12
57.445	6.82124e-13
57.45	1.13688e-12
57.455	0.0
57.46	1.13688e-12
57.465	4.54751e-13
57.47	9.09502e-13
57.475	4.54751e-13
57.48	6.82124e-13
57.485	4.54751e-13
57.49	4.54751e-13
57.495	1.13688e-12
57.5	9.09502e-13
57.505	4.54751e-13
57.51	1.36425e-12
57.515	1.36425e-12
57.52	1.13688e-12
57.525	6.82124e-13
57.53	1.36425e-12
57.535	1.13688e-12
57.54	1.13688e-12
57.545	4.54751e-13
57.55	1.36425e-12
57.555	4.54751e-13
57.56	9.09502e-13
57.565	6.82124e-13
57.57	-6.82124e-13
57.575	6.82124e-13
57.58	9.09502e-13
57.585	1.13688e-12
57.59	1.13688e-12
57.595	1.36425e-12
57.6	9.09502e-13
57.605	1.13688e-12
57.61	1.59162e-12
57.615	1.13688e-12
57.62	1.36425e-12
57.625	4.54751e-13
57.63	1.13688e-12
57.635	1.819e-12
57.64	1.13688e-12
57.645	9.09502e-13
57.65	1.13688e-12
57.655	4.54751e-13
57.66	4.54751e-13
57.665	9.09502e-13
57.67	4.54751e-13
57.675	4.54751e-13
57.68	1.13688e-12
57.685	6.82124e-13
57.69	2.27375e-13
57.695	4.54751e-13
57.7	6.82124e-13
57.705	6.82124e-13
57.71	6.82124e-13
57.715	6.82124e-13
57.72	4.54751e-13
57.725	1.36425e-12
57.73	6.82124e-13
57.735	4.54751e-13
57.74	6.82124e-13
57.745	6.82124e-13
57.75	6.82124e-13
57.755	1.59162e-12
57.76	1.819e-12
57.765	1.36425e-12
57.77	1.13688e-12
57.775	1.59162e-12
57.78	6.82124e-13
57.785	1.13688e-12
57.79	1.13688e-12
57.795	1.13688e-12
57.8	9.09502e-13
57.805	1.36425e-12
57.81	1.819e-12
57.815	1.13688e-12
57.82	4.54751e-13
57.825	0.0
57.83	4.54751e-13
57.835	1.13688e-12
57.84	1.13688e-12
57.845	9.09502e-13
57.85	9.09502e-13
57.855	1.59162e-12
57.86	2.04638e-12
57.865	1.36425e-12
57.87	1.13688e-12
57.875	6.82124e-13
57.88	4.54751e-13
57.885	4.54751e-13
57.89	4.54751e-13
57.895	1.13688e-12
57.9	1.13688e-12
57.905	1.59162e-12
57.91	1.13688e-12
57.915	1.819e-12
57.92	1.13688e-12
57.925	1.13688e-12
57.93	1.13688e-12
57.935	1.59162e-12
57.94	1.36425e-12
57.945	4.54751e-13
57.95	0.0
57.955	1.13688e-12
57.96	1.13688e-12
57.965	6.82124e-13
57.97	4.54751e-13
57.975	2.27375e-13
57.98	1.13688e-12
57.985	9.09502e-13
57.99	1.36425e-12
57.995	9.09502e-13
58.0	2.27375e-13
58.005	6.82124e-13
58.01	9.09502e-13
58.015	1.36425e-12
58.02	6.82124e-13
58.025	9.09502e-13
58.03	6.82124e-13
58.035	6.82124e-13
58.04	9.09502e-13
58.045	9.09502e-13
58.05	9.09502e-13
58.055	9.09502e-13
58.06	1.13688e-12
58.065	1.59162e-12
58.07	9.09502e-13
58.075	6.82124e-13
58.08	0.0
58.085	1.13688e-12
58.09	1.36425e-12
58.095	6.82124e-13
58.1	6.82124e-13
58.105	9.09502e-13
58.11	1.13688e-12
58.115	4.54751e-13
58.12	9.09502e-13
58.125	6.82124e-13
58.13	6.82124e-13
58.135	1.819e-12
58.14	6.82124e-13
58.145	6.82124e-13
58.15	9.09502e-13
58.155	9.09502e-13
58.16	1.13688e-12
58.165	9.09502e-13
58.17	1.36425e-12
58.175	1.36425e-12
58.18	1.36425e-12
58.185	-2.27375e-13
58.19	6.82124e-13
58.195	4.54751e-13
58.2	6.82124e-13
58.205	1.13688e-12
58.21	4.54751e-13
58.215	9.09502e-13
58.22	9.09502e-13
58.225	9.09502e-13
58.23	9.09502e-13
58.235	9.09502e-13
58.24	9.09502e-13
58.245	1.13688e-12
58.25	1.13688e-12
58.255	1.13688e-12
58.26	4.54751e-13
58.265	9.09502e-13
58.27	9.09502e-13
58.275	1.13688e-12
58.28	1.13688e-12
58.285	6.82124e-13
58.29	6.82124e-13
58.295	4.54751e-13
58.3	4.54751e-13
58.305	1.13688e-12
58.31	9.09502e-13
58.315	1.36425e-12
58.32	1.59162e-12
58.325	1.36425e-12
58.33	6.82124e-13
58.335	1.13688e-12
58.34	6.82124e-13
58.345	4.54751e-13
58.35	1.13688e-12
58.355	6.82124e-13
58.36	2.27375e-13
58.365	1.59162e-12
58.37	9.09502e-13
58.375	1.13688e-12
58.38	6.82124e-13
58.385	1.13688e-12
58.39	1.36425e-12
58.395	1.36425e-12
58.4	1.13688e-12
58.405	6.82124e-13
58.41	4.54751e-13
58.415	1.59162e-12
58.42	1.13688e-12
58.425	1.819e-12
58.43	6.82124e-13
58.435	1.13688e-12
58.44	9.09502e-13
58.445	1.819e-12
58.45	1.13688e-12
58.455	1.59162e-12
58.46	1.819e-12
58.465	4.54751e-13
58.47	1.36425e-12
58.475	1.36425e-12
58.48	1.59162e-12
58.485	9.09502e-13
58.49	4.54751e-13
58.495	4.54751e-13
58.5	4.54751e-13
58.505	1.13688e-12
58.51	4.54751e-13
58.515	6.82124e-13
58.52	1.13688e-12
58.525	4.54751e-13
58.53	0.0
58.535	1.13688e-12
58.54	4.54751e-13
58.545	0.0
58.55	-4.54751e-13
58.555	-6.82124e-13
58.56	0.0
58.565	-4.54751e-13
58.57	-2.04638e-12
58.575	-2.04638e-12
58.58	-2.50112e-12
58.585	-1.59162e-12
58.59	-2.50112e-12
58.595	-2.50112e-12
58.6	-3.63801e-12
58.605	-4.5475e-12
58.61	-3.86538e-12
58.615	-4.77487e-12
58.62	-4.09275e-12
58.625	-3.86538e-12
58.63	-3.41062e-12
58.635	-2.7285e-12
58.64	-2.95587e-12
58.645	-2.04638e-12
58.65	-2.04638e-12
58.655	-1.36425e-12
58.66	0.0
58.665	4.54751e-13
58.67	1.819e-12
58.675	3.41062e-12
58.68	4.77487e-12
58.685	6.13912e-12
58.69	7.27601e-12
58.695	8.18551e-12
58.7	1.00045e-11
58.705	1.0914e-11
58.71	1.22782e-11
58.715	1.31877e-11
58.72	1.38698e-11
58.725	1.43246e-11
58.73	1.47794e-11
58.735	1.52341e-11
58.74	1.43246e-11
58.745	1.43246e-11
58.75	1.34151e-11
58.755	1.29604e-11
58.76	1.18235e-11
58.765	9.54975e-12
58.77	9.54975e-12
58.775	7.95813e-12
58.78	5.91174e-12
58.785	4.77487e-12
58.79	2.50112e-12
58.795	1.13688e-12
58.8	-1.13688e-12
58.805	-2.95587e-12
58.81	-4.5475e-12
58.815	-6.82124e-12
58.82	-8.18551e-12
58.825	-1.00045e-11
58.83	-1.13687e-11
58.835	-1.2733e-11
58.84	-1.29604e-11
58.845	-1.38698e-11
58.85	-1.38698e-11
58.855	-1.4552e-11
58.86	-1.40972e-11
58.865	-1.40972e-11
58.87	-1.31877e-11
58.875	-1.22782e-11
58.88	-1.06866e-11
58.885	-1.00045e-11
58.89	-8.18551e-12
58.895	-5.91174e-12
58.9	-4.32013e-12
58.905	-2.50112e-12
58.91	-6.82124e-13
58.915	6.82124e-13
58.92	3.18325e-12
58.925	4.77487e-12
58.93	6.82124e-12
58.935	8.64026e-12
58.94	9.77712e-12
58.945	1.0914e-11
58.95	1.11414e-11
58.955	1.18235e-11
58.96	1.22782e-11
58.965	1.22782e-11
58.97	1.15961e-11
58.975	1.04592e-11
58.98	9.54975e-12
58.985	8.86763e-12
58.99	7.27601e-12
58.995	5.457e-12
59.0	4.32013e-12
59.005	2.27375e-12
59.01	4.54751e-13
59.015	-2.27375e-13
59.02	-2.50112e-12
59.025	-3.86538e-12
59.03	-5.68437e-12
59.035	-7.04861e-12
59.04	-8.86763e-12
59.045	-9.54975e-12
59.05	-1.04592e-11
59.055	-1.06866e-11
59.06	-1.04592e-11
59.065	-1.11414e-11
59.07	-1.02319e-11
59.075	-1.00045e-11
59.08	-9.095e-12
59.085	-8.18551e-12
59.09	-6.82124e-12
59.095	-5.457e-12
59.1	-4.32013e-12
59.105	-2.7285e-12
59.11	-1.59162e-12
59.115	-2.27375e-13
59.12	2.04638e-12
59.125	4.09275e-12
59.13	5.00225e-12
59.135	6.59386e-12
59.14	7.95813e-12
59.145	8.64026e-12
59.15	9.77712e-12
59.155	9.77712e-12
59.16	1.0914e-11
59.165	1.18235e-11
59.17	1.11414e-11
59.175	1.13687e-11
59.18	1.06866e-11
59.185	1.04592e-11
59.19	1.06866e-11
59.195	1.04592e-11
59.2	9.32238e-12
59.205	8.18551e-12
59.21	7.27601e-12
59.215	7.50339e-12
59.22	6.13912e-12
59.225	5.22962e-12
59.23	4.32013e-12
59.235	3.18325e-12
59.24	2.95587e-12
59.245	1.59162e-12
59.25	1.13688e-12
59.255	6.82124e-13
59.26	-2.27375e-13
59.265	-1.13688e-12
59.27	-1.36425e-12
59.275	-1.59162e-12
59.28	-1.819e-12
59.285	-2.27375e-12
59.29	-2.04638e-12
59.295	-2.04638e-12
59.3	-2.04638e-12
59.305	-1.819e-12
59.31	-2.50112e-12
59.315	-2.04638e-12
59.32	-1.59162e-12
59.325	-1.819e-12
59.33	-2.04638e-12
59.335	-1.36425e-12
59.34	-6.82124e-13
59.345	-6.82124e-13
59.35	-1.13688e-12
59.355	-4.54751e-13
59.36	0.0
59.365	0.0
59.37	6.82124e-13
59.375	4.54751e-13
59.38	1.819e-12
59.385	1.59162e-12
59.39	1.819e-12
59.395	2.04638e-12
59.4	1.819e-12
59.405	2.27375e-12
59.41	1.819e-12
59.415	1.36425e-12
59.42	1.819e-12
59.425	2.95587e-12
59.43	2.7285e-12
59.435	2.04638e-12
59.44	6.82124e-13
59.445	1.36425e-12
59.45	1.819e-12
59.455	6.82124e-13
59.46	6.82124e-13
59.465	2.27375e-13
59.47	0.0
59.475	-2.27375e-13
59.48	-1.36425e-12
59.485	-1.36425e-12
59.49	-2.50112e-12
59.495	-2.50112e-12
59.5	-3.63801e-12
59.505	-3.86538e-12
59.51	-3.86538e-12
59.515	-3.41062e-12
59.52	-4.09275e-12
59.525	-3.86538e-12
59.53	-3.18325e-12
59.535	-1.819e-12
59.54	-4.54751e-13
59.545	0.0
59.55	2.27375e-12
59.555	5.00225e-12
59.56	6.82124e-12
59.565	9.32238e-12
59.57	1.20509e-11
59.575	1.50068e-11
59.58	1.77353e-11
59.585	1.93269e-11
59.59	2.1828e-11
59.595	2.3647e-11
59.6	2.43291e-11
59.605	2.43291e-11
59.61	2.38743e-11
59.615	2.25101e-11
59.62	2.04637e-11
59.625	1.72805e-11
59.63	1.40972e-11
59.635	1.06866e-11
59.64	5.457e-12
59.645	0.0
59.65	-4.09275e-12
59.655	-1.00045e-11
59.66	-1.52341e-11
59.665	-1.88721e-11
59.67	-2.3647e-11
59.675	-2.75123e-11
59.68	-2.95588e-11
59.685	-3.22873e-11
59.69	-3.43336e-11
59.695	-3.41063e-11
59.7	-3.38789e-11
59.705	-3.31968e-11
59.71	-3.22873e-11
59.715	-2.91041e-11
59.72	-2.66028e-11
59.725	-2.38743e-11
59.73	-1.95542e-11
59.735	-1.6371e-11
59.74	-1.15961e-11
59.745	-7.50339e-12
59.75	-3.86538e-12
59.755	0.0
59.76	3.63801e-12
59.765	7.50339e-12
59.77	1.00045e-11
59.775	1.2733e-11
59.78	1.50068e-11
59.785	1.72805e-11
59.79	1.97816e-11
59.795	1.97816e-11
59.8	2.20554e-11
59.805	2.16006e-11
59.81	2.1828e-11
59.815	2.13732e-11
59.82	2.11459e-11
59.825	2.02364e-11
59.83	1.90995e-11
59.835	1.77353e-11
59.84	1.61436e-11
59.845	1.47794e-11
59.85	1.34151e-11
59.855	1.25056e-11
59.86	9.32238e-12
59.865	7.95813e-12
59.87	6.13912e-12
59.875	4.32013e-12
59.88	3.41062e-12
59.885	1.13688e-12
59.89	0.0
59.895	-1.13688e-12
59.9	-2.95587e-12
59.905	-4.09275e-12
59.91	-5.00225e-12
59.915	-5.00225e-12
59.92	-5.68437e-12
59.925	-6.36649e-12
59.93	-5.68437e-12
59.935	-5.22962e-12
59.94	-5.00225e-12
59.945	-5.00225e-12
59.95	-3.86538e-12
59.955	-3.18325e-12
59.96	-3.18325e-12
59.965	-2.04638e-12
59.97	-1.59162e-12
59.975	-1.59162e-12
59.98	-1.36425e-12
59.985	0.0
59.99	1.36425e-12
59.995	9.09502e-13
60.0	1.59162e-12
60.005	1.819e-12
60.01	2.95587e-12
60.015	3.63801e-12
60.02	3.18325e-12
60.025	4.32013e-12
60.03	4.5475e-12
60.035	4.32013e-12
60.04	5.22962e-12
60.045	6.13912e-12
60.05	5.91174e-12
60.055	6.59386e-12
60.06	7.27601e-12
60.065	7.95813e-12
60.07	8.64026e-12
60.075	8.64026e-12
60.08	8.41288e-12
60.085	8.64026e-12
60.09	8.64026e-12
60.095	9.32238e-12
60.1	8.18551e-12
60.105	8.18551e-12
60.11	8.18551e-12
60.115	7.50339e-12
60.12	6.82124e-12
60.125	6.82124e-12
60.13	6.13912e-12
60.135	5.00225e-12
60.14	4.09275e-12
60.145	2.95587e-12
60.15	2.95587e-12
60.155	2.04638e-12
60.16	1.819e-12
60.165	9.09502e-13
60.17	-4.54751e-13
60.175	-4.54751e-13
60.18	-1.36425e-12
60.185	-2.04638e-12
60.19	-3.41062e-12
60.195	-4.09275e-12
60.2	-4.5475e-12
60.205	-4.77487e-12
60.21	-6.36649e-12
60.215	-5.68437e-12
60.22	-6.36649e-12
60.225	-7.27601e-12
60.23	-7.04861e-12
60.235	-7.73076e-12
60.24	-8.41288e-12
60.245	-8.64026e-12
60.25	-8.41288e-12
60.255	-8.86763e-12
60.26	-8.18551e-12
60.265	-8.86763e-12
60.27	-8.86763e-12
60.275	-7.95813e-12
60.28	-7.27601e-12
60.285	-6.36649e-12
60.29	-6.36649e-12
60.295	-5.91174e-12
60.3	-5.68437e-12
60.305	-4.77487e-12
60.31	-2.95587e-12
60.315	-2.04638e-12
60.32	-1.13688e-12
60.325	-1.36425e-12
60.33	0.0
60.335	1.13688e-12
60.34	2.95587e-12
60.345	2.95587e-12
60.35	4.09275e-12
60.355	4.77487e-12
60.36	4.77487e-12
60.365	5.00225e-12
60.37	5.91174e-12
60.375	6.13912e-12
60.38	6.36649e-12
60.385	6.59386e-12
60.39	7.27601e-12
60.395	6.59386e-12
60.4	6.13912e-12
60.405	6.13912e-12
60.41	5.91174e-12
60.415	5.68437e-12
60.42	4.77487e-12
60.425	3.63801e-12
60.43	3.63801e-12
60.435	3.86538e-12
60.44	2.7285e-12
60.445	2.50112e-12
60.45	2.27375e-12
60.455	2.27375e-12
60.46	2.04638e-12
60.465	1.13688e-12
60.47	9.09502e-13
60.475	6.82124e-13
60.48	1.13688e-12
60.485	4.54751e-13
60.49	1.13688e-12
60.495	6.82124e-13
60.5	4.54751e-13
60.505	9.09502e-13
60.51	-2.27375e-13
60.515	1.36425e-12
60.52	1.36425e-12
60.525	1.13688e-12
60.53	9.09502e-13
60.535	1.36425e-12
60.54	1.819e-12
60.545	2.95587e-12
60.55	2.50112e-12
60.555	2.27375e-12
60.56	2.95587e-12
60.565	2.7285e-12
60.57	2.95587e-12
60.575	3.63801e-12
60.58	3.18325e-12
60.585	2.27375e-12
60.59	2.27375e-12
60.595	3.41062e-12
60.6	2.7285e-12
60.605	2.7285e-12
60.61	2.7285e-12
60.615	2.95587e-12
60.62	2.95587e-12
60.625	2.27375e-12
60.63	1.819e-12
60.635	1.36425e-12
60.64	2.27375e-12
60.645	2.27375e-12
60.65	2.50112e-12
60.655	1.819e-12
60.66	1.36425e-12
60.665	9.09502e-13
60.67	1.36425e-12
60.675	1.819e-12
60.68	1.819e-12
60.685	1.36425e-12
60.69	1.13688e-12
60.695	4.54751e-13
60.7	1.36425e-12
60.705	1.59162e-12
60.71	1.819e-12
60.715	1.13688e-12
60.72	1.36425e-12
60.725	9.09502e-13
60.73	4.54751e-13
60.735	1.13688e-12
60.74	4.54751e-13
60.745	2.27375e-13
60.75	4.54751e-13
60.755	2.27375e-13
60.76	0.0
60.765	0.0
60.77	-2.27375e-13
60.775	0.0
60.78	-2.27375e-13
60.785	-2.27375e-13
60.79	-9.09502e-13
60.795	-2.27375e-13
60.8	-1.13688e-12
60.805	-6.82124e-13
60.81	4.54751e-13
60.815	2.27375e-13
60.82	-2.27375e-13
60.825	0.0
60.83	0.0
60.835	-4.54751e-13
60.84	1.13688e-12
60.845	1.59162e-12
60.85	1.819e-12
60.855	1.819e-12
60.86	2.27375e-12
60.865	2.95587e-12
60.87	3.18325e-12
60.875	3.63801e-12
60.88	3.63801e-12
60.885	4.77487e-12
60.89	4.32013e-12
60.895	4.32013e-12
60.9	4.5475e-12
60.905	4.5475e-12
60.91	3.86538e-12
60.915	4.32013e-12
60.92	4.32013e-12
60.925	3.86538e-12
60.93	4.5475e-12
60.935	4.5475e-12
60.94	3.63801e-12
60.945	3.18325e-12
60.95	4.09275e-12
60.955	3.18325e-12
60.96	2.95587e-12
60.965	2.27375e-12
60.97	1.819e-12
60.975	1.36425e-12
60.98	-2.27375e-13
60.985	-2.27375e-13
60.99	4.54751e-13
60.995	2.27375e-13
61.0	0.0
61.005	-4.54751e-13
61.01	-4.54751e-13
61.015	0.0
61.02	-1.13688e-12
61.025	-1.36425e-12
61.03	-1.36425e-12
61.035	-1.59162e-12
61.04	-1.36425e-12
61.045	-1.36425e-12
61.05	-1.59162e-12
61.055	-1.36425e-12
61.06	-1.36425e-12
61.065	-1.36425e-12
61.07	-6.82124e-13
61.075	-9.09502e-13
61.08	0.0
61.085	-4.54751e-13
61.09	-4.54751e-13
61.095	0.0
61.1	9.09502e-13
61.105	4.54751e-13
61.11	9.09502e-13
61.115	9.09502e-13
61.12	9.09502e-13
61.125	1.59162e-12
61.13	1.819e-12
61.135	1.819e-12
61.14	2.27375e-12
61.145	2.50112e-12
61.15	2.27375e-12
61.155	2.95587e-12
61.16	2.7285e-12
61.165	2.95587e-12
61.17	2.50112e-12
61.175	2.27375e-12
61.18	9.09502e-13
61.185	1.819e-12
61.19	2.27375e-12
61.195	1.59162e-12
61.2	1.13688e-12
61.205	4.54751e-13
61.21	4.54751e-13
61.215	-4.54751e-13
61.22	2.27375e-13
61.225	-2.27375e-13
61.23	2.27375e-13
61.235	-6.82124e-13
61.24	-6.82124e-13
61.245	-6.82124e-13
61.25	-1.36425e-12
61.255	-1.13688e-12
61.26	-6.82124e-13
61.265	-2.27375e-13
61.27	-6.82124e-13
61.275	-6.82124e-13
61.28	-6.82124e-13
61.285	0.0
61.29	-2.27375e-13
61.295	-4.54751e-13
61.3	4.54751e-13
61.305	9.09502e-13
61.31	9.09502e-13
61.315	1.36425e-12
61.32	1.819e-12
61.325	1.36425e-12
61.33	1.59162e-12
61.335	2.7285e-12
61.34	2.50112e-12
61.345	2.50112e-12
61.35	2.95587e-12
61.355	2.27375e-12
61.36	2.7285e-12
61.365	2.7285e-12
61.37	2.27375e-12
61.375	1.819e-12
61.38	2.27375e-12
61.385	2.95587e-12
61.39	3.63801e-12
61.395	3.86538e-12
61.4	3.63801e-12
61.405	3.18325e-12
61.41	3.41062e-12
61.415	3.63801e-12
61.42	3.63801e-12
61.425	3.41062e-12
61.43	2.50112e-12
61.435	3.18325e-12
61.44	3.41062e-12
61.445	3.86538e-12
61.45	4.09275e-12
61.455	3.18325e-12
61.46	3.63801e-12
61.465	3.63801e-12
61.47	3.63801e-12
61.475	4.09275e-12
61.48	2.95587e-12
61.485	1.819e-12
61.49	2.27375e-12
61.495	2.7285e-12
61.5	2.27375e-12
61.505	1.819e-12
61.51	1.819e-12
61.515	2.27375e-13
61.52	6.82124e-13
61.525	0.0
61.53	4.54751e-13
61.535	-6.82124e-13
