pos	X
59.5	1.13688e-12
59.505	1.13688e-12
59.51	6.82124e-13
59.515	9.09502e-13
59.52	1.36425e-12
59.525	1.13688e-12
59.53	1.13688e-12
59.535	1.13688e-12
59.54	1.13688e-12
59.545	1.13688e-12
59.55	1.13688e-12
59.555	9.09502e-13
59.56	9.09502e-13
59.565	4.54751e-13
59.57	9.09502e-13
59.575	1.13688e-12
59.58	9.09502e-13
59.585	6.82124e-13
59.59	4.54751e-13
59.595	1.13688e-12
59.6	6.82124e-13
59.605	6.82124e-13
59.61	1.13688e-12
59.615	1.13688e-12
59.62	1.13688e-12
59.625	1.13688e-12
59.63	9.09502e-13
59.635	1.13688e-12
59.64	1.13688e-12
59.645	1.13688e-12
59.65	1.13688e-12
59.655	1.13688e-12
59.66	1.36425e-12
59.665	1.13688e-12
59.67	1.13688e-12
59.675	6.82124e-13
59.68	9.09502e-13
59.685	1.13688e-12
59.69	1.13688e-12
59.695	1.13688e-12
59.7	1.819e-12
59.705	1.59162e-12
59.71	1.59162e-12
59.715	1.36425e-12
59.72	1.36425e-12
59.725	1.36425e-12
59.73	1.13688e-12
59.735	1.36425e-12
59.74	1.13688e-12
59.745	1.36425e-12
59.75	1.13688e-12
59.755	1.13688e-12
59.76	1.13688e-12
59.765	1.13688e-12
59.77	1.13688e-12
59.775	1.13688e-12
59.78	1.36425e-12
59.785	1.13688e-12
59.79	1.59162e-12
59.795	1.59162e-12
59.8	1.13688e-12
59.805	9.09502e-13
59.81	1.36425e-12
59.815	6.82124e-13
59.82	1.13688e-12
59.825	1.13688e-12
59.83	1.13688e-12
59.835	1.13688e-12
59.84	9.09502e-13
59.845	6.82124e-13
59.85	6.82124e-13
59.855	9.09502e-13
59.86	9.09502e-13
59.865	1.13688e-12
59.87	1.36425e-12
59.875	1.13688e-12
59.88	1.13688e-12
59.885	9.09502e-13
59.89	9.09502e-13
59.895	1.13688e-12
59.9	1.13688e-12
59.905	1.36425e-12
59.91	1.36425e-12
59.915	1.13688e-12
59.92	1.59162e-12
59.925	1.13688e-12
59.93	1.13688e-12
59.935	1.13688e-12
59.94	1.59162e-12
59.945	1.13688e-12
59.95	1.59162e-12
59.955	1.36425e-12
59.96	1.59162e-12
59.965	1.36425e-12
59.97	1.36425e-12
59.975	1.819e-12
59.98	1.36425e-12
59.985	1.36425e-12
59.99	1.819e-12
59.995	1.819e-12
60.0	1.819e-12
60.005	1.819e-12
60.01	2.04638e-12
60.015	2.27375e-12
60.02	2.27375e-12
60.025	2.7285e-12
60.03	2.27375e-12
60.035	2.27375e-12
60.04	2.7285e-12
60.045	2.27375e-12
60.05	2.95587e-12
60.055	2.7285e-12
60.06	3.18325e-12
60.065	2.95587e-12
60.07	2.95587e-12
60.075	2.95587e-12
60.08	2.7285e-12
60.085	3.41062e-12
60.09	3.41062e-12
60.095	3.63801e-12
60.1	3.41062e-12
60.105	3.18325e-12
60.11	2.95587e-12
60.115	2.95587e-12
60.12	3.18325e-12
60.125	2.95587e-12
60.13	2.95587e-12
60.135	2.95587e-12
60.14	2.95587e-12
60.145	2.50112e-12
60.15	2.27375e-12
60.155	1.59162e-12
60.16	1.13688e-12
60.165	1.36425e-12
60.17	2.27375e-13
60.175	-4.54751e-13
60.18	-9.09502e-13
60.185	-1.59162e-12
60.19	-2.50112e-12
60.195	-4.09275e-12
60.2	-5.22962e-12
60.205	-6.36649e-12
60.21	-7.95813e-12
60.215	-9.54975e-12
60.22	-1.18235e-11
60.225	-1.38698e-11
60.23	-1.56889e-11
60.235	-1.819e-11
60.24	-2.06911e-11
60.245	-2.27375e-11
60.25	-2.47838e-11
60.255	-2.77397e-11
60.26	-3.02409e-11
60.265	-3.25147e-11
60.27	-3.47884e-11
60.275	-3.68348e-11
60.28	-3.91085e-11
60.285	-4.07001e-11
60.29	-4.20644e-11
60.295	-4.29738e-11
60.3	-4.32012e-11
60.305	-4.27465e-11
60.31	-4.16096e-11
60.315	-3.97906e-11
60.32	-3.77443e-11
60.325	-3.38789e-11
60.33	-2.88766e-11
60.335	-2.31922e-11
60.34	-1.56889e-11
60.345	-8.18551e-12
60.35	6.82124e-13
60.355	7.95813e-12
60.36	1.819e-11
60.365	2.77397e-11
60.37	3.79716e-11
60.375	4.84308e-11
60.38	5.79805e-11
60.385	6.68483e-11
60.39	7.54885e-11
60.395	8.23097e-11
60.4	8.91309e-11
60.405	9.36784e-11
60.41	9.75438e-11
60.415	9.91354e-11
60.42	9.91354e-11
60.425	9.79985e-11
60.43	9.41331e-11
60.435	9.07225e-11
60.44	8.52656e-11
60.445	7.75349e-11
60.45	7.04863e-11
60.455	6.07092e-11
60.46	5.1614e-11
60.465	4.20644e-11
60.47	3.16052e-11
60.475	2.11459e-11
60.48	1.11414e-11
60.485	2.27375e-12
60.49	-7.73076e-12
60.495	-1.6371e-11
60.5	-2.43291e-11
60.505	-3.20599e-11
60.51	-3.8199e-11
60.515	-4.52476e-11
60.52	-5.00224e-11
60.525	-5.3433e-11
60.53	-5.61615e-11
60.535	-5.77531e-11
60.54	-5.88902e-11
60.545	-5.88902e-11
