pos	X
59.5	6.82124e-13
59.505	9.09502e-13
59.51	1.36425e-12
59.515	1.13688e-12
59.52	1.13688e-12
59.525	1.13688e-12
59.53	1.13688e-12
59.535	9.09502e-13
59.54	6.82124e-13
59.545	4.54751e-13
59.55	9.09502e-13
59.555	9.09502e-13
59.56	1.13688e-12
59.565	1.13688e-12
59.57	6.82124e-13
59.575	6.82124e-13
59.58	1.13688e-12
59.585	6.82124e-13
59.59	9.09502e-13
59.595	1.13688e-12
59.6	6.82124e-13
59.605	6.82124e-13
59.61	9.09502e-13
59.615	1.13688e-12
59.62	6.82124e-13
59.625	9.09502e-13
59.63	6.82124e-13
59.635	4.54751e-13
59.64	1.13688e-12
59.645	1.13688e-12
59.65	1.13688e-12
59.655	9.09502e-13
59.66	6.82124e-13
59.665	1.13688e-12
59.67	1.13688e-12
59.675	1.36425e-12
59.68	1.13688e-12
59.685	1.13688e-12
59.69	1.13688e-12
59.695	1.13688e-12
59.7	1.36425e-12
59.705	1.13688e-12
59.71	1.13688e-12
59.715	1.13688e-12
59.72	1.13688e-12
59.725	1.13688e-12
59.73	9.09502e-13
59.735	4.54751e-13
59.74	1.13688e-12
59.745	1.13688e-12
59.75	1.36425e-12
59.755	9.09502e-13
59.76	4.54751e-13
59.765	9.09502e-13
59.77	1.59162e-12
59.775	1.59162e-12
59.78	1.13688e-12
59.785	9.09502e-13
59.79	1.13688e-12
59.795	1.59162e-12
59.8	1.819e-12
59.805	1.59162e-12
59.81	1.13688e-12
59.815	1.13688e-12
59.82	1.13688e-12
59.825	1.819e-12
59.83	1.36425e-12
59.835	1.36425e-12
59.84	1.13688e-12
59.845	1.13688e-12
59.85	1.13688e-12
59.855	1.13688e-12
59.86	1.36425e-12
59.865	1.13688e-12
59.87	9.09502e-13
59.875	1.13688e-12
59.88	9.09502e-13
59.885	6.82124e-13
59.89	1.13688e-12
59.895	1.13688e-12
59.9	6.82124e-13
59.905	4.54751e-13
59.91	6.82124e-13
59.915	6.82124e-13
59.92	9.09502e-13
59.925	9.09502e-13
59.93	9.09502e-13
59.935	9.09502e-13
59.94	4.54751e-13
59.945	6.82124e-13
59.95	6.82124e-13
59.955	4.54751e-13
59.96	4.54751e-13
59.965	4.54751e-13
59.97	4.54751e-13
59.975	9.09502e-13
59.98	4.54751e-13
59.985	4.54751e-13
59.99	6.82124e-13
59.995	9.09502e-13
60.0	9.09502e-13
60.005	1.13688e-12
60.01	1.13688e-12
60.015	9.09502e-13
60.02	6.82124e-13
60.025	4.54751e-13
60.03	0.0
60.035	4.54751e-13
60.04	4.54751e-13
60.045	1.36425e-12
60.05	1.13688e-12
60.055	4.54751e-13
60.06	6.82124e-13
60.065	1.13688e-12
60.07	9.09502e-13
60.075	6.82124e-13
60.08	6.82124e-13
60.085	4.54751e-13
60.09	6.82124e-13
60.095	6.82124e-13
60.1	1.13688e-12
