pos	X
57.0	-1.36425e-12
57.005	-1.13688e-12
57.01	-1.13688e-12
57.015	-1.36425e-12
57.02	-1.13688e-12
57.025	-1.13688e-12
57.03	-1.36425e-12
57.035	-1.13688e-12
57.04	-9.09502e-13
57.045	-9.09502e-13
57.05	-6.82124e-13
57.055	-1.13688e-12
57.06	-1.13688e-12
57.065	-9.09502e-13
57.07	-1.36425e-12
57.075	-1.13688e-12
57.08	-1.13688e-12
57.085	-1.36425e-12
57.09	-1.36425e-12
57.095	-1.36425e-12
57.1	-1.36425e-12
57.105	-9.09502e-13
57.11	-9.09502e-13
57.115	-1.36425e-12
57.12	-1.36425e-12
57.125	-1.59162e-12
57.13	-1.36425e-12
57.135	-1.36425e-12
57.14	-1.13688e-12
57.145	-1.36425e-12
57.15	-1.13688e-12
57.155	-1.13688e-12
57.16	-1.36425e-12
57.165	-1.13688e-12
57.17	-1.36425e-12
57.175	-1.36425e-12
57.18	-1.13688e-12
57.185	-1.13688e-12
57.19	-1.13688e-12
57.195	-9.09502e-13
57.2	-1.13688e-12
57.205	-1.13688e-12
57.21	-1.13688e-12
57.215	-1.13688e-12
57.22	-9.09502e-13
57.225	-9.09502e-13
57.23	-1.13688e-12
57.235	-9.09502e-13
57.24	-1.13688e-12
57.245	-9.09502e-13
57.25	-1.13688e-12
57.255	-1.13688e-12
57.26	-9.09502e-13
57.265	-9.09502e-13
57.27	-9.09502e-13
57.275	-6.82124e-13
57.28	-6.82124e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-9.09502e-13
57.3	-6.82124e-13
57.305	-6.82124e-13
57.31	-9.09502e-13
57.315	-9.09502e-13
57.32	-6.82124e-13
57.325	-9.09502e-13
57.33	-9.09502e-13
57.335	-9.09502e-13
57.34	-9.09502e-13
57.345	-6.82124e-13
57.35	-6.82124e-13
57.355	-9.09502e-13
57.36	-9.09502e-13
57.365	-9.09502e-13
57.37	-9.09502e-13
57.375	-6.82124e-13
57.38	-6.82124e-13
57.385	-6.82124e-13
57.39	-9.09502e-13
57.395	-1.13688e-12
57.4	-9.09502e-13
57.405	-9.09502e-13
57.41	-9.09502e-13
57.415	-6.82124e-13
57.42	-9.09502e-13
57.425	-1.13688e-12
