pos	X
57.0	-1.36425e-12
57.005	-1.36425e-12
57.01	-1.36425e-12
57.015	-1.36425e-12
57.02	-1.36425e-12
57.025	-1.36425e-12
57.03	-1.36425e-12
57.035	-1.36425e-12
57.04	-1.36425e-12
57.045	-1.36425e-12
57.05	-1.36425e-12
57.055	-1.36425e-12
57.06	-1.36425e-12
57.065	-1.36425e-12
57.07	-1.36425e-12
57.075	-1.13688e-12
57.08	-9.09502e-13
57.085	-1.36425e-12
57.09	-1.36425e-12
57.095	-1.36425e-12
57.1	-1.13688e-12
57.105	-9.09502e-13
57.11	-9.09502e-13
57.115	-9.09502e-13
57.12	-6.82124e-13
57.125	-6.82124e-13
57.13	-9.09502e-13
57.135	-1.13688e-12
57.14	-1.13688e-12
57.145	-9.09502e-13
57.15	-9.09502e-13
57.155	-9.09502e-13
57.16	-1.13688e-12
57.165	-1.13688e-12
57.17	-1.13688e-12
57.175	-1.13688e-12
57.18	-9.09502e-13
57.185	-6.82124e-13
57.19	-6.82124e-13
57.195	-9.09502e-13
57.2	-9.09502e-13
57.205	-9.09502e-13
57.21	-9.09502e-13
57.215	-6.82124e-13
57.22	-6.82124e-13
57.225	-9.09502e-13
57.23	-9.09502e-13
57.235	-9.09502e-13
57.24	-9.09502e-13
57.245	-9.09502e-13
57.25	-6.82124e-13
57.255	-9.09502e-13
57.26	-9.09502e-13
57.265	-6.82124e-13
57.27	-9.09502e-13
57.275	-6.82124e-13
57.28	-6.82124e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-6.82124e-13
57.31	-6.82124e-13
57.315	-6.82124e-13
57.32	-6.82124e-13
57.325	-6.82124e-13
57.33	-6.82124e-13
57.335	-6.82124e-13
57.34	-6.82124e-13
57.345	-9.09502e-13
57.35	-6.82124e-13
57.355	-6.82124e-13
57.36	-6.82124e-13
57.365	-6.82124e-13
57.37	-9.09502e-13
57.375	-9.09502e-13
57.38	-9.09502e-13
57.385	-9.09502e-13
57.39	-9.09502e-13
57.395	-6.82124e-13
57.4	-6.82124e-13
57.405	-6.82124e-13
57.41	-6.82124e-13
57.415	-6.82124e-13
57.42	-9.09502e-13
57.425	-9.09502e-13
57.43	-1.13688e-12
57.435	-9.09502e-13
57.44	-9.09502e-13
57.445	-9.09502e-13
57.45	-6.82124e-13
57.455	-6.82124e-13
57.46	-6.82124e-13
57.465	-6.82124e-13
57.47	-6.82124e-13
57.475	-6.82124e-13
57.48	-9.09502e-13
57.485	-6.82124e-13
57.49	-4.54751e-13
57.495	-6.82124e-13
57.5	-6.82124e-13
57.505	-6.82124e-13
57.51	-4.54751e-13
57.515	-6.82124e-13
57.52	-6.82124e-13
57.525	-6.82124e-13
57.53	-6.82124e-13
57.535	-4.54751e-13
57.54	-4.54751e-13
57.545	-6.82124e-13
57.55	-6.82124e-13
57.555	-4.54751e-13
57.56	-6.82124e-13
57.565	-6.82124e-13
57.57	-4.54751e-13
57.575	-4.54751e-13
57.58	-4.54751e-13
57.585	-4.54751e-13
57.59	-6.82124e-13
57.595	-2.27375e-13
57.6	-2.27375e-13
57.605	-4.54751e-13
57.61	-2.27375e-13
57.615	-4.54751e-13
57.62	-4.54751e-13
57.625	-4.54751e-13
57.63	-2.27375e-13
57.635	-2.27375e-13
57.64	-2.27375e-13
57.645	-2.27375e-13
57.65	-4.54751e-13
57.655	-4.54751e-13
57.66	-2.27375e-13
57.665	-2.27375e-13
57.67	-4.54751e-13
57.675	-4.54751e-13
57.68	0.0
57.685	0.0
57.69	0.0
57.695	-2.27375e-13
57.7	-4.54751e-13
57.705	-6.82124e-13
57.71	-6.82124e-13
57.715	-6.82124e-13
57.72	-6.82124e-13
57.725	-9.09502e-13
57.73	-1.13688e-12
57.735	-1.36425e-12
57.74	-1.36425e-12
57.745	-1.36425e-12
57.75	-2.04638e-12
57.755	-2.04638e-12
57.76	-2.27375e-12
57.765	-2.50112e-12
57.77	-3.18325e-12
57.775	-3.41062e-12
57.78	-3.86538e-12
57.785	-4.32013e-12
57.79	-5.00225e-12
57.795	-5.22962e-12
57.8	-5.68437e-12
57.805	-6.36649e-12
57.81	-7.27601e-12
57.815	-7.95813e-12
57.82	-8.86763e-12
57.825	-9.54975e-12
57.83	-1.04592e-11
57.835	-1.11414e-11
57.84	-1.20509e-11
57.845	-1.25056e-11
57.85	-1.34151e-11
57.855	-1.40972e-11
57.86	-1.4552e-11
57.865	-1.50068e-11
57.87	-1.54615e-11
57.875	-1.52341e-11
57.88	-1.50068e-11
57.885	-1.40972e-11
57.89	-1.31877e-11
57.895	-1.20509e-11
57.9	-1.00045e-11
57.905	-8.18551e-12
57.91	-5.68437e-12
57.915	-3.18325e-12
57.92	0.0
57.925	2.95587e-12
57.93	7.04861e-12
57.935	1.04592e-11
57.94	1.43246e-11
57.945	1.819e-11
57.95	2.1828e-11
57.955	2.52386e-11
57.96	2.84218e-11
57.965	3.13778e-11
57.97	3.36515e-11
57.975	3.50158e-11
57.98	3.61526e-11
57.985	3.66074e-11
57.99	3.61526e-11
57.995	3.50158e-11
58.0	3.36515e-11
58.005	3.16052e-11
