pos	X
57.0	-1.36425e-12
57.005	-1.36425e-12
57.01	-1.13688e-12
57.015	-1.36425e-12
57.02	-1.36425e-12
57.025	-1.36425e-12
57.03	-1.13688e-12
57.035	-9.09502e-13
57.04	-1.13688e-12
57.045	-1.36425e-12
57.05	-1.36425e-12
57.055	-1.36425e-12
57.06	-1.13688e-12
57.065	-1.13688e-12
57.07	-1.13688e-12
57.075	-1.13688e-12
57.08	-1.13688e-12
57.085	-1.13688e-12
57.09	-9.09502e-13
57.095	-9.09502e-13
57.1	-1.13688e-12
57.105	-1.36425e-12
57.11	-1.36425e-12
57.115	-1.36425e-12
57.12	-1.13688e-12
57.125	-9.09502e-13
57.13	-1.13688e-12
57.135	-1.13688e-12
57.14	-1.13688e-12
57.145	-1.36425e-12
57.15	-1.36425e-12
57.155	-1.36425e-12
57.16	-1.36425e-12
57.165	-1.36425e-12
57.17	-1.36425e-12
57.175	-1.36425e-12
57.18	-1.13688e-12
57.185	-9.09502e-13
57.19	-6.82124e-13
57.195	-6.82124e-13
57.2	-9.09502e-13
57.205	-9.09502e-13
57.21	-1.13688e-12
57.215	-1.13688e-12
57.22	-9.09502e-13
57.225	-1.13688e-12
57.23	-9.09502e-13
57.235	-9.09502e-13
57.24	-9.09502e-13
57.245	-1.13688e-12
57.25	-1.13688e-12
57.255	-1.13688e-12
57.26	-6.82124e-13
57.265	-6.82124e-13
57.27	-9.09502e-13
57.275	-9.09502e-13
57.28	-9.09502e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-9.09502e-13
57.305	-9.09502e-13
57.31	-9.09502e-13
57.315	-6.82124e-13
57.32	-9.09502e-13
57.325	-9.09502e-13
57.33	-6.82124e-13
57.335	-6.82124e-13
57.34	-6.82124e-13
57.345	-6.82124e-13
57.35	-6.82124e-13
57.355	-6.82124e-13
57.36	-6.82124e-13
57.365	-6.82124e-13
57.37	-6.82124e-13
57.375	-6.82124e-13
57.38	-9.09502e-13
57.385	-9.09502e-13
57.39	-6.82124e-13
57.395	-6.82124e-13
57.4	-9.09502e-13
57.405	-6.82124e-13
57.41	-9.09502e-13
57.415	-9.09502e-13
57.42	-9.09502e-13
57.425	-9.09502e-13
57.43	-6.82124e-13
57.435	-4.54751e-13
57.44	-6.82124e-13
57.445	-6.82124e-13
57.45	-6.82124e-13
57.455	-6.82124e-13
57.46	-6.82124e-13
57.465	-6.82124e-13
57.47	-6.82124e-13
57.475	-9.09502e-13
57.48	-9.09502e-13
57.485	-9.09502e-13
57.49	-6.82124e-13
57.495	-6.82124e-13
57.5	-9.09502e-13
57.505	-9.09502e-13
57.51	-9.09502e-13
57.515	-9.09502e-13
57.52	-9.09502e-13
57.525	-6.82124e-13
57.53	-6.82124e-13
57.535	-6.82124e-13
57.54	-9.09502e-13
57.545	-6.82124e-13
57.55	-6.82124e-13
57.555	-6.82124e-13
57.56	-6.82124e-13
57.565	-6.82124e-13
57.57	-6.82124e-13
57.575	-6.82124e-13
57.58	-6.82124e-13
57.585	-6.82124e-13
57.59	-6.82124e-13
57.595	-6.82124e-13
57.6	-9.09502e-13
57.605	-9.09502e-13
57.61	-6.82124e-13
57.615	-6.82124e-13
57.62	-6.82124e-13
57.625	-6.82124e-13
57.63	-6.82124e-13
57.635	-9.09502e-13
57.64	-6.82124e-13
57.645	-6.82124e-13
57.65	-9.09502e-13
57.655	-9.09502e-13
57.66	-6.82124e-13
57.665	-6.82124e-13
57.67	-4.54751e-13
57.675	-2.27375e-13
57.68	-4.54751e-13
57.685	-9.09502e-13
57.69	-9.09502e-13
57.695	-9.09502e-13
57.7	-6.82124e-13
57.705	-6.82124e-13
57.71	-9.09502e-13
57.715	-9.09502e-13
57.72	-9.09502e-13
57.725	-1.13688e-12
57.73	-1.13688e-12
57.735	-1.13688e-12
57.74	-1.13688e-12
57.745	-1.13688e-12
57.75	-1.13688e-12
57.755	-1.13688e-12
57.76	-1.36425e-12
57.765	-1.36425e-12
57.77	-1.36425e-12
57.775	-1.36425e-12
57.78	-1.819e-12
57.785	-1.819e-12
57.79	-1.819e-12
57.795	-1.819e-12
57.8	-2.04638e-12
57.805	-2.04638e-12
57.81	-2.04638e-12
57.815	-2.27375e-12
57.82	-2.27375e-12
57.825	-2.50112e-12
57.83	-2.50112e-12
57.835	-2.50112e-12
57.84	-2.7285e-12
57.845	-2.7285e-12
57.85	-2.7285e-12
57.855	-2.50112e-12
57.86	-2.50112e-12
57.865	-2.50112e-12
57.87	-2.50112e-12
57.875	-2.27375e-12
57.88	-2.04638e-12
57.885	-1.819e-12
57.89	-1.36425e-12
57.895	-1.13688e-12
57.9	-4.54751e-13
57.905	0.0
57.91	4.54751e-13
57.915	6.82124e-13
57.92	1.36425e-12
57.925	1.819e-12
57.93	2.27375e-12
57.935	2.7285e-12
57.94	2.95587e-12
57.945	3.63801e-12
57.95	3.63801e-12
57.955	4.09275e-12
57.96	4.32013e-12
57.965	4.32013e-12
57.97	4.32013e-12
57.975	3.86538e-12
57.98	3.63801e-12
57.985	3.18325e-12
57.99	2.7285e-12
57.995	2.27375e-12
58.0	1.59162e-12
