pos	X
57.0	-6.82124e-13
57.005	-6.82124e-13
57.01	-4.54751e-13
57.015	-6.82124e-13
57.02	-6.82124e-13
57.025	-2.27375e-13
57.03	0.0
57.035	0.0
57.04	-4.54751e-13
57.045	-6.82124e-13
57.05	-4.54751e-13
57.055	-2.27375e-13
57.06	-2.27375e-13
57.065	-6.82124e-13
57.07	-6.82124e-13
57.075	-4.54751e-13
57.08	-2.27375e-13
57.085	-2.27375e-13
57.09	-4.54751e-13
57.095	-4.54751e-13
57.1	-2.27375e-13
57.105	-4.54751e-13
57.11	-4.54751e-13
57.115	-4.54751e-13
57.12	-6.82124e-13
57.125	-6.82124e-13
57.13	-4.54751e-13
57.135	-4.54751e-13
57.14	-2.27375e-13
57.145	-2.27375e-13
57.15	-4.54751e-13
57.155	-2.27375e-13
57.16	-4.54751e-13
57.165	-6.82124e-13
57.17	-6.82124e-13
57.175	-6.82124e-13
57.18	-6.82124e-13
57.185	-6.82124e-13
57.19	-6.82124e-13
57.195	-6.82124e-13
57.2	-6.82124e-13
57.205	-6.82124e-13
57.21	-4.54751e-13
57.215	0.0
57.22	0.0
57.225	0.0
57.23	0.0
57.235	-2.27375e-13
57.24	-2.27375e-13
57.245	-2.27375e-13
57.25	-4.54751e-13
57.255	-2.27375e-13
57.26	-2.27375e-13
57.265	-4.54751e-13
57.27	-4.54751e-13
57.275	-2.27375e-13
57.28	0.0
57.285	0.0
57.29	0.0
57.295	-2.27375e-13
57.3	-2.27375e-13
57.305	-4.54751e-13
57.31	-2.27375e-13
57.315	-2.27375e-13
57.32	-4.54751e-13
57.325	-4.54751e-13
57.33	-2.27375e-13
57.335	-2.27375e-13
57.34	0.0
57.345	0.0
57.35	0.0
57.355	0.0
57.36	0.0
57.365	-4.54751e-13
57.37	-2.27375e-13
57.375	-2.27375e-13
57.38	-4.54751e-13
57.385	-2.27375e-13
57.39	-2.27375e-13
57.395	-4.54751e-13
57.4	-4.54751e-13
57.405	-4.54751e-13
57.41	-2.27375e-13
57.415	-2.27375e-13
57.42	0.0
57.425	-2.27375e-13
57.43	-4.54751e-13
57.435	-4.54751e-13
57.44	-4.54751e-13
57.445	-2.27375e-13
57.45	-2.27375e-13
57.455	-2.27375e-13
57.46	-2.27375e-13
57.465	-2.27375e-13
57.47	-2.27375e-13
57.475	-4.54751e-13
57.48	-2.27375e-13
57.485	0.0
57.49	-2.27375e-13
57.495	0.0
57.5	0.0
57.505	0.0
57.51	-2.27375e-13
57.515	-2.27375e-13
57.52	-2.27375e-13
57.525	-2.27375e-13
57.53	-2.27375e-13
57.535	-2.27375e-13
57.54	-2.27375e-13
57.545	-4.54751e-13
57.55	-4.54751e-13
57.555	-2.27375e-13
57.56	-2.27375e-13
57.565	-2.27375e-13
57.57	-2.27375e-13
57.575	-2.27375e-13
57.58	-2.27375e-13
57.585	-2.27375e-13
57.59	-4.54751e-13
57.595	-4.54751e-13
57.6	-4.54751e-13
57.605	-6.82124e-13
57.61	-4.54751e-13
57.615	-4.54751e-13
57.62	-2.27375e-13
57.625	-2.27375e-13
57.63	-2.27375e-13
57.635	0.0
57.64	0.0
57.645	-2.27375e-13
57.65	-2.27375e-13
57.655	-4.54751e-13
57.66	-4.54751e-13
57.665	-4.54751e-13
57.67	-4.54751e-13
57.675	-2.27375e-13
57.68	0.0
57.685	0.0
57.69	0.0
57.695	0.0
57.7	0.0
57.705	-2.27375e-13
57.71	-2.27375e-13
57.715	0.0
57.72	0.0
57.725	0.0
57.73	-2.27375e-13
57.735	-4.54751e-13
57.74	-2.27375e-13
57.745	-2.27375e-13
57.75	0.0
57.755	-2.27375e-13
57.76	0.0
57.765	0.0
57.77	0.0
57.775	0.0
57.78	0.0
57.785	0.0
57.79	0.0
57.795	0.0
57.8	0.0
57.805	2.27375e-13
57.81	2.27375e-13
57.815	4.54751e-13
57.82	4.54751e-13
57.825	2.27375e-13
57.83	2.27375e-13
57.835	2.27375e-13
57.84	2.27375e-13
57.845	2.27375e-13
57.85	4.54751e-13
57.855	4.54751e-13
57.86	4.54751e-13
57.865	4.54751e-13
57.87	4.54751e-13
57.875	4.54751e-13
57.88	4.54751e-13
57.885	4.54751e-13
57.89	4.54751e-13
57.895	4.54751e-13
57.9	4.54751e-13
57.905	4.54751e-13
57.91	2.27375e-13
57.915	2.27375e-13
57.92	2.27375e-13
57.925	0.0
57.93	0.0
57.935	0.0
57.94	0.0
57.945	0.0
57.95	-2.27375e-13
57.955	-4.54751e-13
57.96	-6.82124e-13
57.965	-1.13688e-12
57.97	-1.36425e-12
57.975	-1.819e-12
57.98	-2.04638e-12
57.985	-2.27375e-12
57.99	-2.50112e-12
57.995	-3.18325e-12
58.0	-3.86538e-12
58.005	-4.32013e-12
58.01	-4.77487e-12
58.015	-5.457e-12
58.02	-6.36649e-12
58.025	-7.04861e-12
58.03	-7.73076e-12
58.035	-8.64026e-12
58.04	-9.54975e-12
58.045	-1.04592e-11
58.05	-1.13687e-11
58.055	-1.22782e-11
58.06	-1.31877e-11
58.065	-1.43246e-11
58.07	-1.50068e-11
58.075	-1.56889e-11
58.08	-1.6371e-11
58.085	-1.70531e-11
58.09	-1.75079e-11
58.095	-1.75079e-11
58.1	-1.70531e-11
58.105	-1.65984e-11
58.11	-1.56889e-11
