pos	X
57.0	-1.13688e-12
57.005	-9.09502e-13
57.01	-9.09502e-13
57.015	-6.82124e-13
57.02	-6.82124e-13
57.025	-9.09502e-13
57.03	-9.09502e-13
57.035	-6.82124e-13
57.04	-6.82124e-13
57.045	-6.82124e-13
57.05	-9.09502e-13
57.055	-9.09502e-13
57.06	-6.82124e-13
57.065	-6.82124e-13
57.07	-6.82124e-13
57.075	-6.82124e-13
57.08	-6.82124e-13
57.085	-6.82124e-13
57.09	-6.82124e-13
57.095	-6.82124e-13
57.1	-6.82124e-13
57.105	-6.82124e-13
57.11	-6.82124e-13
57.115	-1.13688e-12
57.12	-1.13688e-12
57.125	-9.09502e-13
57.13	-6.82124e-13
57.135	-6.82124e-13
57.14	-6.82124e-13
57.145	-6.82124e-13
57.15	-6.82124e-13
57.155	-6.82124e-13
57.16	-6.82124e-13
57.165	-6.82124e-13
57.17	-1.13688e-12
57.175	-1.13688e-12
57.18	-1.13688e-12
57.185	-9.09502e-13
57.19	-9.09502e-13
57.195	-1.13688e-12
57.2	-9.09502e-13
57.205	-9.09502e-13
57.21	-1.13688e-12
57.215	-9.09502e-13
57.22	-9.09502e-13
57.225	-9.09502e-13
57.23	-6.82124e-13
57.235	-6.82124e-13
57.24	-6.82124e-13
57.245	-9.09502e-13
57.25	-6.82124e-13
57.255	-9.09502e-13
57.26	-6.82124e-13
57.265	-9.09502e-13
57.27	-9.09502e-13
57.275	-6.82124e-13
57.28	-6.82124e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-6.82124e-13
57.31	-6.82124e-13
57.315	-4.54751e-13
57.32	-2.27375e-13
57.325	-2.27375e-13
57.33	-4.54751e-13
57.335	-6.82124e-13
57.34	-4.54751e-13
57.345	-4.54751e-13
57.35	-6.82124e-13
57.355	-6.82124e-13
57.36	-6.82124e-13
57.365	-6.82124e-13
57.37	-6.82124e-13
57.375	-6.82124e-13
57.38	-6.82124e-13
57.385	-6.82124e-13
57.39	-6.82124e-13
57.395	-4.54751e-13
57.4	-6.82124e-13
57.405	-6.82124e-13
57.41	-6.82124e-13
57.415	-1.13688e-12
57.42	-9.09502e-13
57.425	-6.82124e-13
57.43	-4.54751e-13
57.435	-4.54751e-13
57.44	-6.82124e-13
57.445	-6.82124e-13
57.45	-9.09502e-13
57.455	-6.82124e-13
57.46	-6.82124e-13
57.465	-6.82124e-13
57.47	-6.82124e-13
57.475	-6.82124e-13
57.48	-6.82124e-13
57.485	-6.82124e-13
57.49	-6.82124e-13
57.495	-6.82124e-13
57.5	-6.82124e-13
57.505	-9.09502e-13
57.51	-6.82124e-13
57.515	-6.82124e-13
57.52	-9.09502e-13
57.525	-6.82124e-13
57.53	-6.82124e-13
57.535	-6.82124e-13
57.54	-6.82124e-13
57.545	-6.82124e-13
57.55	-6.82124e-13
57.555	-6.82124e-13
57.56	-6.82124e-13
57.565	-6.82124e-13
57.57	-6.82124e-13
57.575	-9.09502e-13
57.58	-6.82124e-13
57.585	-6.82124e-13
57.59	-6.82124e-13
57.595	-4.54751e-13
57.6	-6.82124e-13
57.605	-6.82124e-13
57.61	-6.82124e-13
57.615	-6.82124e-13
57.62	-4.54751e-13
57.625	-6.82124e-13
57.63	-6.82124e-13
57.635	-6.82124e-13
57.64	-9.09502e-13
57.645	-9.09502e-13
57.65	-6.82124e-13
57.655	-6.82124e-13
57.66	-9.09502e-13
57.665	-6.82124e-13
57.67	-9.09502e-13
57.675	-9.09502e-13
57.68	-6.82124e-13
57.685	-6.82124e-13
57.69	-6.82124e-13
57.695	-6.82124e-13
57.7	-6.82124e-13
57.705	-9.09502e-13
57.71	-9.09502e-13
57.715	-6.82124e-13
57.72	-6.82124e-13
57.725	-6.82124e-13
57.73	-6.82124e-13
57.735	-6.82124e-13
57.74	-6.82124e-13
57.745	-6.82124e-13
57.75	-6.82124e-13
57.755	-6.82124e-13
57.76	-6.82124e-13
57.765	-4.54751e-13
57.77	-6.82124e-13
57.775	-4.54751e-13
57.78	-6.82124e-13
57.785	-6.82124e-13
57.79	-9.09502e-13
57.795	-9.09502e-13
57.8	-9.09502e-13
57.805	-6.82124e-13
57.81	-6.82124e-13
57.815	-6.82124e-13
57.82	-6.82124e-13
57.825	-6.82124e-13
57.83	-6.82124e-13
57.835	-6.82124e-13
57.84	-4.54751e-13
57.845	-6.82124e-13
57.85	-6.82124e-13
57.855	-6.82124e-13
57.86	-2.27375e-13
57.865	0.0
57.87	-2.27375e-13
57.875	-2.27375e-13
57.88	-4.54751e-13
57.885	-4.54751e-13
57.89	-6.82124e-13
57.895	-6.82124e-13
57.9	-4.54751e-13
57.905	-4.54751e-13
57.91	-4.54751e-13
57.915	-6.82124e-13
57.92	-6.82124e-13
57.925	-6.82124e-13
57.93	-4.54751e-13
57.935	-6.82124e-13
57.94	-6.82124e-13
57.945	-6.82124e-13
57.95	-6.82124e-13
57.955	-6.82124e-13
57.96	-9.09502e-13
57.965	-9.09502e-13
57.97	-9.09502e-13
57.975	-6.82124e-13
57.98	-6.82124e-13
57.985	-1.13688e-12
57.99	-1.36425e-12
57.995	-1.36425e-12
58.0	-1.36425e-12
58.005	-1.59162e-12
58.01	-1.819e-12
58.015	-2.27375e-12
58.02	-2.50112e-12
58.025	-2.50112e-12
58.03	-2.50112e-12
58.035	-2.7285e-12
58.04	-2.7285e-12
58.045	-2.95587e-12
58.05	-2.95587e-12
58.055	-3.18325e-12
58.06	-3.18325e-12
58.065	-3.18325e-12
58.07	-3.18325e-12
58.075	-3.41062e-12
58.08	-3.18325e-12
58.085	-3.18325e-12
58.09	-3.18325e-12
58.095	-2.95587e-12
58.1	-2.50112e-12
58.105	-2.50112e-12
58.11	-1.819e-12
58.115	-1.36425e-12
58.12	-6.82124e-13
58.125	0.0
58.13	6.82124e-13
58.135	1.59162e-12
58.14	2.04638e-12
58.145	2.95587e-12
58.15	3.63801e-12
58.155	4.32013e-12
58.16	5.00225e-12
58.165	5.457e-12
58.17	6.13912e-12
58.175	6.82124e-12
58.18	6.82124e-12
58.185	7.04861e-12
58.19	7.27601e-12
58.195	7.27601e-12
58.2	6.82124e-12
58.205	6.59386e-12
58.21	6.13912e-12
58.215	5.457e-12
58.22	5.00225e-12
58.225	4.32013e-12
58.23	3.41062e-12
58.235	2.50112e-12
58.24	1.59162e-12
58.245	1.13688e-12
58.25	4.54751e-13
58.255	0.0
58.26	-6.82124e-13
58.265	-9.09502e-13
58.27	-1.36425e-12
58.275	-1.819e-12
58.28	-2.04638e-12
58.285	-2.50112e-12
58.29	-2.95587e-12
58.295	-3.18325e-12
58.3	-3.18325e-12
58.305	-3.18325e-12
58.31	-3.18325e-12
58.315	-3.18325e-12
58.32	-3.18325e-12
58.325	-3.18325e-12
58.33	-3.18325e-12
58.335	-3.18325e-12
58.34	-3.18325e-12
58.345	-3.18325e-12
58.35	-3.18325e-12
58.355	-3.41062e-12
58.36	-3.41062e-12
58.365	-3.18325e-12
58.37	-3.18325e-12
58.375	-3.18325e-12
58.38	-3.18325e-12
58.385	-3.18325e-12
58.39	-2.7285e-12
58.395	-2.7285e-12
58.4	-2.50112e-12
58.405	-2.50112e-12
58.41	-2.50112e-12
58.415	-2.50112e-12
58.42	-2.27375e-12
58.425	-2.27375e-12
58.43	-2.04638e-12
58.435	-2.04638e-12
58.44	-2.04638e-12
58.445	-1.819e-12
58.45	-1.819e-12
58.455	-1.59162e-12
58.46	-1.59162e-12
58.465	-1.36425e-12
58.47	-1.36425e-12
58.475	-1.13688e-12
58.48	-1.13688e-12
58.485	-1.13688e-12
58.49	-1.13688e-12
58.495	-9.09502e-13
58.5	-1.13688e-12
58.505	-1.13688e-12
58.51	-9.09502e-13
58.515	-6.82124e-13
58.52	-4.54751e-13
58.525	-4.54751e-13
58.53	-4.54751e-13
58.535	-2.27375e-13
58.54	0.0
58.545	0.0
58.55	2.27375e-13
58.555	2.27375e-13
58.56	2.27375e-13
58.565	2.27375e-13
58.57	2.27375e-13
58.575	2.27375e-13
58.58	4.54751e-13
