pos	X
57.0	3.7342e-14
57.005	1.9939100000000002e-13
57.01	1.9939100000000002e-13
57.015	3.6143900000000005e-13
57.02	3.7342e-14
57.025	3.6143900000000005e-13
57.03	3.6143900000000005e-13
57.035	3.7342e-14
57.04	3.6143900000000005e-13
57.045	3.6143900000000005e-13
57.05	3.6143900000000005e-13
57.055	3.7342e-14
57.06	3.6143900000000005e-13
57.065	1.9939100000000002e-13
57.07	3.7342e-14
57.075	3.7342e-14
57.08	3.7342e-14
57.085	3.6143900000000005e-13
57.09	3.7342e-14
57.095	3.7342e-14
57.1	1.9939100000000002e-13
57.105	1.9939100000000002e-13
57.11	3.7342e-14
57.115	1.9939100000000002e-13
57.12	3.7342e-14
57.125	3.6143900000000005e-13
57.13	1.9939100000000002e-13
57.135	1.9939100000000002e-13
57.14	3.7342e-14
57.145	1.9939100000000002e-13
57.15	1.9939100000000002e-13
57.155	3.7342e-14
57.16	3.6143900000000005e-13
57.165	1.9939100000000002e-13
57.17	3.6143900000000005e-13
57.175	1.9939100000000002e-13
57.18	1.9939100000000002e-13
57.185	1.9939100000000002e-13
57.19	1.9939100000000002e-13
57.195	1.9939100000000002e-13
57.2	1.9939100000000002e-13
57.205	3.7342e-14
57.21	1.9939100000000002e-13
57.215	1.9939100000000002e-13
57.22	3.6143900000000005e-13
57.225	3.6143900000000005e-13
57.23	1.9939100000000002e-13
57.235	3.6143900000000005e-13
57.24	1.9939100000000002e-13
57.245	3.7342e-14
57.25	3.6143900000000005e-13
57.255	3.6143900000000005e-13
57.26	3.7342e-14
57.265	3.7342e-14
57.27	3.7342e-14
57.275	1.9939100000000002e-13
57.28	3.6143900000000005e-13
57.285	1.9939100000000002e-13
57.29	3.7342e-14
57.295	3.7342e-14
57.3	3.6143900000000005e-13
57.305	3.6143900000000005e-13
57.31	3.6143900000000005e-13
57.315	1.9939100000000002e-13
57.32	1.9939100000000002e-13
57.325	1.9939100000000002e-13
57.33	3.6143900000000005e-13
57.335	3.7342e-14
57.34	3.6143900000000005e-13
57.345	3.7342e-14
57.35	3.6143900000000005e-13
57.355	1.9939100000000002e-13
57.36	3.6143900000000005e-13
57.365	1.9939100000000002e-13
57.37	1.9939100000000002e-13
57.375	3.7342e-14
57.38	1.9939100000000002e-13
57.385	1.9939100000000002e-13
57.39	1.9939100000000002e-13
57.395	1.9939100000000002e-13
57.4	3.7342e-14
57.405	3.6143900000000005e-13
57.41	3.7342e-14
57.415	1.9939100000000002e-13
57.42	1.9939100000000002e-13
57.425	3.6143900000000005e-13
57.43	3.6143900000000005e-13
57.435	1.9939100000000002e-13
57.44	3.7342e-14
57.445	3.7342e-14
57.45	3.6143900000000005e-13
57.455	1.9939100000000002e-13
57.46	3.7342e-14
57.465	3.7342e-14
57.47	3.7342e-14
57.475	1.9939100000000002e-13
57.48	1.9939100000000002e-13
57.485	1.9939100000000002e-13
57.49	1.9939100000000002e-13
57.495	3.7342e-14
57.5	2.27375e-13
57.505	2.27375e-13
57.51	2.27375e-13
57.515	0.0
57.52	0.0
57.525	2.27375e-13
57.53	4.54751e-13
57.535	2.27375e-13
57.54	2.27375e-13
57.545	2.27375e-13
57.55	4.54751e-13
57.555	4.54751e-13
57.56	4.54751e-13
57.565	4.54751e-13
57.57	4.54751e-13
57.575	4.54751e-13
57.58	2.27375e-13
57.585	2.27375e-13
57.59	2.27375e-13
57.595	2.27375e-13
57.6	2.27375e-13
57.605	2.27375e-13
57.61	2.27375e-13
57.615	0.0
57.62	2.27375e-13
57.625	2.27375e-13
57.63	0.0
57.635	2.27375e-13
57.64	0.0
57.645	2.27375e-13
57.65	2.27375e-13
57.655	2.27375e-13
57.66	2.27375e-13
57.665	2.27375e-13
57.67	2.27375e-13
57.675	0.0
57.68	0.0
57.685	0.0
57.69	0.0
57.695	0.0
57.7	0.0
57.705	0.0
57.71	0.0
57.715	0.0
57.72	0.0
57.725	0.0
57.73	0.0
57.735	0.0
57.74	0.0
57.745	0.0
57.75	0.0
57.755	2.27375e-13
57.76	2.27375e-13
57.765	4.54751e-13
57.77	4.54751e-13
57.775	2.27375e-13
57.78	4.54751e-13
57.785	2.27375e-13
57.79	4.54751e-13
57.795	2.27375e-13
57.8	2.27375e-13
57.805	2.27375e-13
57.81	2.27375e-13
57.815	4.54751e-13
57.82	4.54751e-13
57.825	4.54751e-13
57.83	4.54751e-13
57.835	4.54751e-13
57.84	4.54751e-13
57.845	6.82124e-13
57.85	6.82124e-13
57.855	6.82124e-13
57.86	6.82124e-13
57.865	6.82124e-13
57.87	4.54751e-13
57.875	6.82124e-13
57.88	9.09502e-13
57.885	6.82124e-13
57.89	9.09502e-13
57.895	1.13688e-12
57.9	1.13688e-12
57.905	1.13688e-12
57.91	1.13688e-12
57.915	1.13688e-12
57.92	1.13688e-12
57.925	1.13688e-12
57.93	1.13688e-12
57.935	1.13688e-12
57.94	1.13688e-12
57.945	1.13688e-12
57.95	1.13688e-12
57.955	1.13688e-12
57.96	1.13688e-12
57.965	1.13688e-12
57.97	1.13688e-12
57.975	1.13688e-12
57.98	1.13688e-12
57.985	1.13688e-12
57.99	1.36425e-12
57.995	1.13688e-12
58.0	1.13688e-12
58.005	1.13688e-12
58.01	1.13688e-12
58.015	9.09502e-13
58.02	9.09502e-13
58.025	9.09502e-13
58.03	4.54751e-13
58.035	2.27375e-13
58.04	2.27375e-13
58.045	0.0
58.05	-2.27375e-13
58.055	-4.54751e-13
58.06	-6.82124e-13
58.065	-6.82124e-13
58.07	-1.13688e-12
58.075	-1.59162e-12
58.08	-2.04638e-12
58.085	-2.50112e-12
58.09	-3.18325e-12
58.095	-3.86538e-12
58.1	-4.5475e-12
58.105	-5.00225e-12
58.11	-5.91174e-12
58.115	-7.04861e-12
58.12	-7.73076e-12
58.125	-8.86763e-12
58.13	-9.77712e-12
58.135	-1.06866e-11
58.14	-1.20509e-11
58.145	-1.31877e-11
58.15	-1.4552e-11
58.155	-1.54615e-11
58.16	-1.6371e-11
58.165	-1.75079e-11
58.17	-1.86448e-11
58.175	-1.95542e-11
58.18	-2.0009e-11
58.185	-2.06911e-11
58.19	-2.11459e-11
58.195	-2.11459e-11
58.2	-2.06911e-11
58.205	-2.04637e-11
58.21	-1.95542e-11
58.215	-1.819e-11
58.22	-1.65984e-11
58.225	-1.4552e-11
58.23	-1.15961e-11
58.235	-8.41288e-12
58.24	-4.77487e-12
58.245	-9.09502e-13
58.25	3.63801e-12
58.255	7.95813e-12
58.26	1.2733e-11
58.265	1.72805e-11
58.27	2.22827e-11
58.275	2.7285e-11
58.28	3.18325e-11
58.285	3.59253e-11
58.29	3.97906e-11
58.295	4.34286e-11
58.3	4.61571e-11
