pos	X
56.0	0.0
56.005	-6.82124e-13
56.01	2.27375e-13
56.015	0.0
56.02	-6.82124e-13
56.025	0.0
56.03	2.27375e-13
56.035	0.0
56.04	-4.54751e-13
56.045	-4.54751e-13
56.05	-2.27375e-13
56.055	-4.54751e-13
56.06	-9.09502e-13
56.065	-4.54751e-13
56.07	2.27375e-13
56.075	0.0
56.08	2.27375e-13
56.085	0.0
56.09	4.54751e-13
56.095	0.0
56.1	-4.54751e-13
56.105	2.27375e-13
56.11	-2.27375e-13
56.115	-2.27375e-13
56.12	6.82124e-13
56.125	2.27375e-13
56.13	0.0
56.135	-6.82124e-13
56.14	-6.82124e-13
56.145	-6.82124e-13
56.15	4.54751e-13
56.155	-6.82124e-13
56.16	-1.59162e-12
56.165	-2.27375e-13
56.17	-6.82124e-13
56.175	0.0
56.18	-6.82124e-13
56.185	-9.09502e-13
56.19	2.27375e-13
56.195	-9.09502e-13
56.2	0.0
56.205	0.0
56.21	9.09502e-13
56.215	-6.82124e-13
56.22	-4.54751e-13
56.225	-4.54751e-13
56.23	2.27375e-13
56.235	-4.54751e-13
56.24	4.54751e-13
56.245	-1.13688e-12
56.25	-4.54751e-13
56.255	-6.82124e-13
56.26	0.0
56.265	9.09502e-13
56.27	4.54751e-13
56.275	-6.82124e-13
56.28	4.54751e-13
56.285	-9.09502e-13
56.29	-6.82124e-13
56.295	2.27375e-13
56.3	-1.13688e-12
56.305	-2.27375e-13
56.31	-1.36425e-12
56.315	0.0
56.32	4.54751e-13
56.325	4.54751e-13
56.33	0.0
56.335	0.0
56.34	4.54751e-13
56.345	0.0
56.35	0.0
56.355	9.09502e-13
56.36	-6.82124e-13
56.365	-4.54751e-13
56.37	6.82124e-13
56.375	0.0
56.38	6.82124e-13
56.385	-1.59162e-12
56.39	-6.82124e-13
56.395	0.0
56.4	4.54751e-13
56.405	-6.82124e-13
56.41	4.54751e-13
56.415	1.13688e-12
56.42	4.54751e-13
56.425	-6.82124e-13
56.43	2.27375e-13
56.435	6.82124e-13
56.44	-4.54751e-13
56.445	-6.82124e-13
56.45	-4.54751e-13
56.455	-4.54751e-13
56.46	0.0
56.465	0.0
56.47	0.0
56.475	0.0
56.48	0.0
56.485	-6.82124e-13
56.49	0.0
56.495	-6.82124e-13
56.5	4.54751e-13
56.505	-4.54751e-13
56.51	6.82124e-13
56.515	4.54751e-13
56.52	6.82124e-13
56.525	4.54751e-13
56.53	0.0
56.535	0.0
56.54	2.27375e-13
56.545	-4.54751e-13
56.55	2.27375e-13
56.555	0.0
56.56	4.54751e-13
56.565	0.0
56.57	4.54751e-13
56.575	0.0
56.58	-1.36425e-12
56.585	-4.54751e-13
56.59	-6.82124e-13
56.595	-4.54751e-13
56.6	-1.13688e-12
56.605	-1.13688e-12
56.61	0.0
56.615	2.27375e-13
56.62	2.27375e-13
56.625	-1.36425e-12
56.63	0.0
56.635	-9.09502e-13
56.64	-1.36425e-12
56.645	2.27375e-13
56.65	-2.27375e-13
56.655	0.0
56.66	-1.36425e-12
56.665	-1.36425e-12
56.67	-6.82124e-13
56.675	6.82124e-13
56.68	0.0
56.685	-1.36425e-12
56.69	-6.82124e-13
56.695	-4.54751e-13
56.7	0.0
56.705	-1.36425e-12
56.71	-1.13688e-12
56.715	-1.59162e-12
56.72	2.27375e-13
56.725	0.0
56.73	-4.54751e-13
56.735	2.27375e-13
56.74	-2.04638e-12
56.745	-1.59162e-12
56.75	-1.36425e-12
56.755	2.27375e-13
56.76	-1.36425e-12
56.765	-6.82124e-13
56.77	0.0
56.775	-6.82124e-13
56.78	-6.82124e-13
56.785	-4.54751e-13
56.79	4.54751e-13
56.795	-1.819e-12
56.8	-6.82124e-13
56.805	2.27375e-13
56.81	-1.36425e-12
56.815	-6.82124e-13
56.82	-6.82124e-13
56.825	-2.27375e-12
56.83	-2.04638e-12
56.835	-1.36425e-12
56.84	-9.09502e-13
56.845	4.54751e-13
56.85	-1.13688e-12
56.855	-6.82124e-13
56.86	-9.09502e-13
56.865	-1.36425e-12
56.87	-1.13688e-12
56.875	-6.82124e-13
56.88	-6.82124e-13
56.885	-6.82124e-13
56.89	-1.13688e-12
56.895	0.0
56.9	-1.13688e-12
56.905	-2.27375e-13
56.91	0.0
56.915	-2.04638e-12
56.92	-1.36425e-12
56.925	-6.82124e-13
56.93	-1.13688e-12
56.935	-1.36425e-12
56.94	-4.54751e-13
56.945	-6.82124e-13
56.95	-6.82124e-13
56.955	-4.54751e-13
56.96	-2.27375e-13
56.965	-4.54751e-13
56.97	-4.54751e-13
56.975	-4.54751e-13
56.98	2.27375e-13
56.985	0.0
56.99	0.0
56.995	0.0
57.0	-4.54751e-13
57.005	0.0
57.01	-1.13688e-12
57.015	-2.27375e-13
57.02	0.0
57.025	-4.54751e-13
57.03	4.54751e-13
57.035	2.27375e-13
57.04	0.0
57.045	-4.54751e-13
57.05	-6.82124e-13
57.055	0.0
57.06	0.0
57.065	0.0
57.07	-2.27375e-13
57.075	-1.13688e-12
57.08	-4.54751e-13
57.085	0.0
57.09	-9.09502e-13
57.095	0.0
57.1	0.0
57.105	0.0
57.11	0.0
57.115	-2.27375e-13
57.12	2.27375e-13
57.125	-1.13688e-12
57.13	-6.82124e-13
57.135	-2.04638e-12
57.14	-2.04638e-12
57.145	-2.04638e-12
57.15	-1.36425e-12
57.155	-6.82124e-13
57.16	-1.36425e-12
57.165	-6.82124e-13
57.17	-1.13688e-12
57.175	-1.13688e-12
57.18	-6.82124e-13
57.185	-1.36425e-12
57.19	-1.36425e-12
57.195	-6.82124e-13
57.2	-2.27375e-13
57.205	-4.54751e-13
57.21	-4.54751e-13
57.215	-1.13688e-12
57.22	-6.82124e-13
57.225	-9.09502e-13
57.23	4.54751e-13
57.235	6.82124e-13
57.24	2.27375e-13
57.245	0.0
57.25	1.13688e-12
57.255	4.54751e-13
57.26	-2.27375e-13
57.265	2.27375e-13
57.27	4.54751e-13
