pos	X
57.0	-1.13688e-12
57.005	-1.13688e-12
57.01	-1.13688e-12
57.015	-9.09502e-13
57.02	-6.82124e-13
57.025	-1.13688e-12
57.03	-1.13688e-12
57.035	-1.36425e-12
57.04	-1.36425e-12
57.045	-1.13688e-12
57.05	-9.09502e-13
57.055	-6.82124e-13
57.06	-9.09502e-13
57.065	-9.09502e-13
57.07	-6.82124e-13
57.075	-6.82124e-13
57.08	-9.09502e-13
57.085	-6.82124e-13
57.09	-6.82124e-13
57.095	-6.82124e-13
57.1	-6.82124e-13
57.105	-6.82124e-13
57.11	-9.09502e-13
57.115	-6.82124e-13
57.12	-6.82124e-13
57.125	-6.82124e-13
57.13	-6.82124e-13
57.135	-6.82124e-13
57.14	-6.82124e-13
57.145	-4.54751e-13
57.15	-2.27375e-13
57.155	-4.54751e-13
57.16	-2.27375e-13
57.165	-2.27375e-13
57.17	-2.27375e-13
57.175	-4.54751e-13
57.18	-6.82124e-13
57.185	-6.82124e-13
57.19	-4.54751e-13
57.195	-4.54751e-13
57.2	-6.82124e-13
57.205	-4.54751e-13
57.21	-2.27375e-13
57.215	0.0
57.22	0.0
57.225	0.0
57.23	-2.27375e-13
57.235	-6.82124e-13
57.24	-6.82124e-13
57.245	-6.82124e-13
57.25	-6.82124e-13
57.255	-6.82124e-13
57.26	-6.82124e-13
57.265	-4.54751e-13
57.27	-2.27375e-13
57.275	-2.27375e-13
57.28	-4.54751e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-6.82124e-13
57.31	-6.82124e-13
57.315	-6.82124e-13
57.32	-6.82124e-13
57.325	-6.82124e-13
57.33	-4.54751e-13
57.335	-4.54751e-13
57.34	-2.27375e-13
57.345	-4.54751e-13
57.35	-6.82124e-13
57.355	-6.82124e-13
57.36	-6.82124e-13
57.365	-4.54751e-13
57.37	0.0
57.375	-4.54751e-13
57.38	-4.54751e-13
57.385	-4.54751e-13
57.39	-4.54751e-13
57.395	-2.27375e-13
57.4	-2.27375e-13
57.405	-4.54751e-13
57.41	-4.54751e-13
57.415	0.0
57.42	0.0
57.425	-2.27375e-13
57.43	-2.27375e-13
57.435	0.0
57.44	-2.27375e-13
57.445	-4.54751e-13
57.45	-4.54751e-13
57.455	-6.82124e-13
57.46	-4.54751e-13
57.465	-2.27375e-13
57.47	-2.27375e-13
57.475	-4.54751e-13
57.48	-4.54751e-13
57.485	-4.54751e-13
57.49	-2.27375e-13
57.495	-4.54751e-13
57.5	-2.27375e-13
57.505	-2.27375e-13
57.51	-2.27375e-13
57.515	-2.27375e-13
57.52	-4.54751e-13
57.525	0.0
57.53	0.0
57.535	0.0
57.54	0.0
57.545	0.0
57.55	0.0
57.555	-2.27375e-13
57.56	-2.27375e-13
57.565	0.0
57.57	-4.54751e-13
57.575	0.0
57.58	-2.27375e-13
57.585	-2.27375e-13
57.59	0.0
57.595	0.0
57.6	0.0
57.605	-2.27375e-13
57.61	0.0
57.615	0.0
57.62	0.0
57.625	-2.27375e-13
57.63	-2.27375e-13
57.635	-2.27375e-13
57.64	-2.27375e-13
57.645	-4.54751e-13
57.65	-6.82124e-13
57.655	-4.54751e-13
57.66	-4.54751e-13
57.665	-4.54751e-13
57.67	-6.82124e-13
57.675	-6.82124e-13
57.68	-6.82124e-13
57.685	-4.54751e-13
57.69	-4.54751e-13
57.695	-4.54751e-13
57.7	-4.54751e-13
57.705	-4.54751e-13
57.71	-4.54751e-13
57.715	-6.82124e-13
57.72	-6.82124e-13
57.725	-6.82124e-13
57.73	-4.54751e-13
57.735	-6.82124e-13
57.74	-6.82124e-13
57.745	-6.82124e-13
57.75	-6.82124e-13
57.755	-6.82124e-13
57.76	-6.82124e-13
57.765	-9.09502e-13
57.77	-1.36425e-12
57.775	-1.36425e-12
57.78	-1.13688e-12
57.785	-1.13688e-12
57.79	-1.13688e-12
57.795	-1.13688e-12
57.8	-1.36425e-12
57.805	-1.36425e-12
57.81	-1.36425e-12
57.815	-1.36425e-12
57.82	-1.13688e-12
57.825	-1.13688e-12
57.83	-1.13688e-12
57.835	-1.36425e-12
57.84	-1.36425e-12
57.845	-1.36425e-12
57.85	-1.59162e-12
57.855	-1.36425e-12
57.86	-1.36425e-12
57.865	-1.59162e-12
57.87	-1.819e-12
57.875	-2.04638e-12
57.88	-2.04638e-12
57.885	-2.04638e-12
57.89	-2.27375e-12
57.895	-2.50112e-12
57.9	-2.50112e-12
57.905	-2.50112e-12
57.91	-2.95587e-12
57.915	-2.95587e-12
57.92	-2.95587e-12
57.925	-2.95587e-12
57.93	-2.7285e-12
57.935	-2.95587e-12
57.94	-2.50112e-12
57.945	-2.27375e-12
57.95	-2.04638e-12
57.955	-2.04638e-12
57.96	-1.59162e-12
57.965	-1.36425e-12
57.97	-6.82124e-13
57.975	0.0
57.98	4.54751e-13
57.985	6.82124e-13
57.99	1.13688e-12
57.995	2.04638e-12
58.0	2.7285e-12
58.005	3.18325e-12
58.01	3.63801e-12
58.015	4.5475e-12
58.02	5.00225e-12
58.025	5.457e-12
58.03	5.68437e-12
58.035	6.13912e-12
58.04	6.13912e-12
58.045	6.13912e-12
58.05	6.36649e-12
58.055	6.13912e-12
58.06	6.13912e-12
58.065	6.13912e-12
58.07	5.68437e-12
58.075	5.457e-12
58.08	5.22962e-12
58.085	4.77487e-12
58.09	4.5475e-12
58.095	4.32013e-12
58.1	4.09275e-12
58.105	3.63801e-12
58.11	3.41062e-12
58.115	2.95587e-12
58.12	2.95587e-12
58.125	2.7285e-12
58.13	2.7285e-12
58.135	2.7285e-12
58.14	2.27375e-12
58.145	2.27375e-12
58.15	2.04638e-12
58.155	1.59162e-12
58.16	1.59162e-12
58.165	1.13688e-12
58.17	6.82124e-13
58.175	4.54751e-13
58.18	4.54751e-13
58.185	2.27375e-13
58.19	0.0
58.195	-2.27375e-13
58.2	-4.54751e-13
58.205	-6.82124e-13
58.21	-1.13688e-12
58.215	-1.36425e-12
58.22	-1.819e-12
58.225	-2.04638e-12
58.23	-2.04638e-12
58.235	-2.50112e-12
58.24	-2.7285e-12
58.245	-2.7285e-12
58.25	-3.18325e-12
58.255	-3.18325e-12
58.26	-3.18325e-12
58.265	-3.41062e-12
58.27	-3.63801e-12
58.275	-3.86538e-12
58.28	-3.63801e-12
58.285	-3.63801e-12
58.29	-3.63801e-12
58.295	-3.63801e-12
58.3	-3.18325e-12
58.305	-3.18325e-12
58.31	-3.41062e-12
58.315	-3.18325e-12
58.32	-3.18325e-12
58.325	-3.18325e-12
58.33	-3.18325e-12
58.335	-3.18325e-12
58.34	-2.95587e-12
58.345	-2.50112e-12
58.35	-2.27375e-12
58.355	-2.04638e-12
58.36	-2.27375e-12
58.365	-2.27375e-12
58.37	-2.04638e-12
58.375	-2.04638e-12
58.38	-1.819e-12
58.385	-1.36425e-12
58.39	-9.09502e-13
58.395	-1.13688e-12
58.4	-1.13688e-12
58.405	-9.09502e-13
58.41	-6.82124e-13
58.415	-6.82124e-13
58.42	-6.82124e-13
58.425	-6.82124e-13
58.43	-6.82124e-13
58.435	-6.82124e-13
58.44	-4.54751e-13
58.445	-2.27375e-13
58.45	0.0
58.455	0.0
58.46	-2.27375e-13
58.465	-4.54751e-13
58.47	-4.54751e-13
58.475	-2.27375e-13
58.48	-2.27375e-13
58.485	-4.54751e-13
58.49	-2.27375e-13
58.495	-4.54751e-13
58.5	-4.54751e-13
58.505	-2.27375e-13
58.51	-2.27375e-13
58.515	-2.27375e-13
58.52	-4.54751e-13
58.525	-4.54751e-13
58.53	-4.54751e-13
58.535	-2.27375e-13
58.54	-2.27375e-13
58.545	-2.27375e-13
58.55	-6.82124e-13
58.555	-6.82124e-13
58.56	-6.82124e-13
58.565	-6.82124e-13
58.57	-2.27375e-13
58.575	-4.54751e-13
58.58	-2.27375e-13
58.585	-4.54751e-13
58.59	-4.54751e-13
58.595	-6.82124e-13
58.6	-9.09502e-13
58.605	-6.82124e-13
58.61	-9.09502e-13
58.615	-6.82124e-13
58.62	-6.82124e-13
58.625	-9.09502e-13
58.63	-9.09502e-13
58.635	-9.09502e-13
58.64	-6.82124e-13
58.645	-6.82124e-13
58.65	-6.82124e-13
58.655	-9.09502e-13
58.66	-9.09502e-13
58.665	-6.82124e-13
58.67	-6.82124e-13
58.675	-6.82124e-13
58.68	-6.82124e-13
58.685	-4.54751e-13
58.69	-6.82124e-13
58.695	-4.54751e-13
58.7	-4.54751e-13
58.705	-4.54751e-13
58.71	-4.54751e-13
58.715	-4.54751e-13
58.72	-4.54751e-13
58.725	-2.27375e-13
58.73	-2.27375e-13
58.735	0.0
58.74	-2.27375e-13
58.745	-4.54751e-13
58.75	-4.54751e-13
58.755	-2.27375e-13
58.76	-2.27375e-13
58.765	-4.54751e-13
58.77	-2.27375e-13
58.775	0.0
58.78	-2.27375e-13
58.785	-2.27375e-13
58.79	-2.27375e-13
58.795	-2.27375e-13
58.8	-4.54751e-13
58.805	-4.54751e-13
58.81	-4.54751e-13
58.815	-2.27375e-13
58.82	0.0
58.825	-2.27375e-13
58.83	-2.27375e-13
58.835	-2.27375e-13
58.84	-2.27375e-13
58.845	-4.54751e-13
58.85	-4.54751e-13
58.855	-4.54751e-13
58.86	-2.27375e-13
58.865	-2.27375e-13
58.87	-4.54751e-13
58.875	-2.27375e-13
58.88	-4.54751e-13
58.885	-4.54751e-13
58.89	-2.27375e-13
58.895	-2.27375e-13
58.9	0.0
58.905	-2.27375e-13
58.91	0.0
58.915	-2.27375e-13
58.92	-2.27375e-13
58.925	-4.54751e-13
58.93	0.0
58.935	-2.27375e-13
58.94	-4.54751e-13
58.945	-2.27375e-13
58.95	-2.27375e-13
58.955	-4.54751e-13
58.96	-2.27375e-13
58.965	-2.27375e-13
58.97	0.0
58.975	-2.27375e-13
58.98	-2.27375e-13
58.985	0.0
58.99	0.0
58.995	-2.27375e-13
59.0	-2.27375e-13
59.005	-2.27375e-13
59.01	-2.27375e-13
59.015	-4.54751e-13
59.02	-2.27375e-13
59.025	-2.27375e-13
59.03	-2.27375e-13
59.035	-2.27375e-13
59.04	-2.27375e-13
59.045	-2.27375e-13
59.05	-2.27375e-13
59.055	0.0
59.06	0.0
59.065	0.0
59.07	-2.27375e-13
59.075	0.0
59.08	0.0
59.085	-2.27375e-13
59.09	-2.27375e-13
59.095	-2.27375e-13
59.1	-2.27375e-13
59.105	-2.27375e-13
59.11	-2.27375e-13
59.115	-2.27375e-13
59.12	-2.27375e-13
59.125	-2.27375e-13
59.13	-2.27375e-13
59.135	-2.27375e-13
59.14	0.0
59.145	0.0
59.15	0.0
59.155	0.0
59.16	0.0
59.165	-2.27375e-13
59.17	-4.54751e-13
59.175	-2.27375e-13
59.18	0.0
59.185	0.0
59.19	-2.27375e-13
59.195	-2.27375e-13
59.2	0.0
59.205	0.0
59.21	0.0
59.215	-2.27375e-13
59.22	0.0
59.225	0.0
59.23	0.0
59.235	0.0
59.24	0.0
59.245	0.0
59.25	0.0
59.255	0.0
59.26	-2.27375e-13
59.265	0.0
59.27	0.0
59.275	0.0
59.28	0.0
59.285	0.0
59.29	0.0
59.295	0.0
59.3	0.0
59.305	0.0
59.31	0.0
59.315	0.0
59.32	0.0
59.325	0.0
59.33	0.0
59.335	0.0
59.34	0.0
59.345	0.0
59.35	2.27375e-13
59.355	2.27375e-13
59.36	2.27375e-13
59.365	2.27375e-13
59.37	4.54751e-13
59.375	4.54751e-13
59.38	2.27375e-13
59.385	2.27375e-13
59.39	0.0
59.395	2.27375e-13
59.4	4.54751e-13
59.405	4.54751e-13
59.41	4.54751e-13
59.415	6.82124e-13
59.42	4.54751e-13
59.425	6.82124e-13
59.43	4.54751e-13
59.435	4.54751e-13
59.44	6.82124e-13
59.445	6.82124e-13
59.45	4.54751e-13
59.455	4.54751e-13
59.46	4.54751e-13
59.465	6.82124e-13
59.47	4.54751e-13
59.475	4.54751e-13
59.48	4.54751e-13
59.485	2.27375e-13
59.49	2.27375e-13
59.495	0.0
59.5	0.0
59.505	0.0
59.51	0.0
59.515	0.0
59.52	-2.27375e-13
59.525	-6.82124e-13
59.53	-6.82124e-13
59.535	-6.82124e-13
59.54	-9.09502e-13
59.545	-1.36425e-12
59.55	-1.36425e-12
59.555	-1.819e-12
59.56	-1.819e-12
59.565	-1.819e-12
59.57	-1.819e-12
59.575	-2.04638e-12
59.58	-2.04638e-12
59.585	-2.27375e-12
59.59	-2.27375e-12
59.595	-2.50112e-12
59.6	-2.50112e-12
59.605	-2.7285e-12
59.61	-2.7285e-12
59.615	-2.7285e-12
59.62	-2.7285e-12
59.625	-2.95587e-12
59.63	-2.7285e-12
59.635	-2.50112e-12
59.64	-2.50112e-12
59.645	-2.50112e-12
59.65	-2.27375e-12
59.655	-2.27375e-12
59.66	-2.04638e-12
59.665	-2.04638e-12
59.67	-1.819e-12
59.675	-1.819e-12
59.68	-1.59162e-12
59.685	-1.36425e-12
59.69	-1.36425e-12
59.695	-1.13688e-12
59.7	-1.36425e-12
59.705	-1.36425e-12
59.71	-1.36425e-12
59.715	-9.09502e-13
59.72	-1.13688e-12
59.725	-1.13688e-12
59.73	-9.09502e-13
59.735	-6.82124e-13
59.74	-9.09502e-13
59.745	-9.09502e-13
59.75	-6.82124e-13
59.755	-4.54751e-13
59.76	-2.27375e-13
59.765	0.0
59.77	0.0
59.775	0.0
59.78	0.0
59.785	0.0
59.79	2.27375e-13
59.795	4.54751e-13
59.8	4.54751e-13
59.805	6.82124e-13
59.81	4.54751e-13
59.815	6.82124e-13
59.82	1.13688e-12
59.825	1.13688e-12
59.83	1.13688e-12
59.835	1.13688e-12
59.84	1.36425e-12
59.845	1.819e-12
59.85	1.819e-12
59.855	1.59162e-12
59.86	1.819e-12
59.865	1.819e-12
59.87	1.819e-12
59.875	1.819e-12
59.88	1.819e-12
59.885	1.819e-12
59.89	1.819e-12
59.895	1.59162e-12
59.9	1.36425e-12
59.905	1.59162e-12
59.91	1.13688e-12
59.915	1.13688e-12
59.92	9.09502e-13
59.925	9.09502e-13
59.93	6.82124e-13
59.935	6.82124e-13
59.94	4.54751e-13
59.945	4.54751e-13
59.95	4.54751e-13
59.955	4.54751e-13
59.96	4.54751e-13
59.965	2.27375e-13
59.97	0.0
59.975	-2.27375e-13
59.98	0.0
59.985	0.0
59.99	-2.27375e-13
59.995	-4.54751e-13
60.0	-2.27375e-13
