pos	X
57.0	-1.13688e-12
57.005	-1.13688e-12
57.01	-9.09502e-13
57.015	-6.82124e-13
57.02	-9.09502e-13
57.025	-6.82124e-13
57.03	-6.82124e-13
57.035	-9.09502e-13
57.04	-9.09502e-13
57.045	-9.09502e-13
57.05	-1.13688e-12
57.055	-1.13688e-12
57.06	-9.09502e-13
57.065	-9.09502e-13
57.07	-9.09502e-13
57.075	-9.09502e-13
57.08	-9.09502e-13
57.085	-9.09502e-13
57.09	-1.13688e-12
57.095	-9.09502e-13
57.1	-9.09502e-13
57.105	-6.82124e-13
57.11	-6.82124e-13
57.115	-9.09502e-13
57.12	-6.82124e-13
57.125	-6.82124e-13
57.13	-6.82124e-13
57.135	-6.82124e-13
57.14	-6.82124e-13
57.145	-6.82124e-13
57.15	-6.82124e-13
57.155	-6.82124e-13
57.16	-9.09502e-13
57.165	-6.82124e-13
57.17	-6.82124e-13
57.175	-4.54751e-13
57.18	-4.54751e-13
57.185	-4.54751e-13
57.19	-4.54751e-13
57.195	-6.82124e-13
57.2	-4.54751e-13
57.205	-4.54751e-13
57.21	-6.82124e-13
57.215	-4.54751e-13
57.22	-4.54751e-13
57.225	-6.82124e-13
57.23	-6.82124e-13
57.235	-6.82124e-13
57.24	-6.82124e-13
57.245	-4.54751e-13
57.25	-6.82124e-13
57.255	-4.54751e-13
57.26	-6.82124e-13
57.265	-6.82124e-13
57.27	-9.09502e-13
57.275	-9.09502e-13
57.28	-9.09502e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-6.82124e-13
57.31	-6.82124e-13
57.315	-6.82124e-13
57.32	-6.82124e-13
57.325	-6.82124e-13
57.33	-4.54751e-13
57.335	-4.54751e-13
57.34	-2.27375e-13
57.345	-2.27375e-13
57.35	0.0
57.355	0.0
57.36	-2.27375e-13
57.365	-6.82124e-13
57.37	-4.54751e-13
57.375	-2.27375e-13
57.38	-2.27375e-13
57.385	-4.54751e-13
57.39	-4.54751e-13
57.395	-6.82124e-13
57.4	-4.54751e-13
57.405	-4.54751e-13
57.41	-2.27375e-13
57.415	-2.27375e-13
57.42	-2.27375e-13
57.425	-2.27375e-13
57.43	-4.54751e-13
57.435	-2.27375e-13
57.44	0.0
57.445	-2.27375e-13
57.45	-2.27375e-13
57.455	-2.27375e-13
57.46	-4.54751e-13
57.465	-4.54751e-13
57.47	-2.27375e-13
57.475	-4.54751e-13
57.48	-4.54751e-13
57.485	-4.54751e-13
57.49	-2.27375e-13
57.495	-2.27375e-13
57.5	-4.54751e-13
57.505	0.0
57.51	-2.27375e-13
57.515	-2.27375e-13
57.52	-4.54751e-13
57.525	-4.54751e-13
57.53	-6.82124e-13
57.535	-6.82124e-13
57.54	-6.82124e-13
57.545	-4.54751e-13
57.55	-4.54751e-13
57.555	-4.54751e-13
57.56	-4.54751e-13
57.565	-2.27375e-13
57.57	-2.27375e-13
57.575	-4.54751e-13
57.58	-2.27375e-13
57.585	-2.27375e-13
57.59	-2.27375e-13
57.595	-4.54751e-13
57.6	-4.54751e-13
57.605	-4.54751e-13
57.61	-2.27375e-13
57.615	-2.27375e-13
57.62	-2.27375e-13
57.625	-2.27375e-13
57.63	-2.27375e-13
57.635	-4.54751e-13
57.64	-4.54751e-13
57.645	-2.27375e-13
57.65	-4.54751e-13
57.655	-6.82124e-13
57.66	-4.54751e-13
57.665	-4.54751e-13
57.67	-2.27375e-13
57.675	-4.54751e-13
57.68	-6.82124e-13
57.685	-6.82124e-13
57.69	-6.82124e-13
57.695	-6.82124e-13
57.7	-6.82124e-13
57.705	-6.82124e-13
57.71	-4.54751e-13
57.715	-6.82124e-13
57.72	-6.82124e-13
57.725	-6.82124e-13
57.73	-6.82124e-13
57.735	-6.82124e-13
57.74	-4.54751e-13
57.745	-6.82124e-13
57.75	-6.82124e-13
57.755	-6.82124e-13
57.76	-6.82124e-13
57.765	-6.82124e-13
57.77	-9.09502e-13
57.775	-9.09502e-13
57.78	-9.09502e-13
57.785	-6.82124e-13
57.79	-6.82124e-13
57.795	-6.82124e-13
57.8	-6.82124e-13
57.805	-6.82124e-13
57.81	-6.82124e-13
57.815	-6.82124e-13
57.82	-6.82124e-13
57.825	-6.82124e-13
57.83	-6.82124e-13
57.835	-6.82124e-13
57.84	-6.82124e-13
57.845	-6.82124e-13
57.85	-6.82124e-13
57.855	-6.82124e-13
57.86	-6.82124e-13
57.865	-6.82124e-13
57.87	-9.09502e-13
57.875	-1.13688e-12
57.88	-9.09502e-13
57.885	-9.09502e-13
57.89	-9.09502e-13
57.895	-6.82124e-13
57.9	-6.82124e-13
57.905	-9.09502e-13
57.91	-9.09502e-13
57.915	-9.09502e-13
57.92	-6.82124e-13
57.925	-6.82124e-13
57.93	-6.82124e-13
57.935	-6.82124e-13
57.94	-2.27375e-13
57.945	0.0
57.95	0.0
57.955	4.54751e-13
57.96	6.82124e-13
57.965	1.13688e-12
57.97	1.13688e-12
57.975	1.59162e-12
57.98	1.819e-12
57.985	2.04638e-12
57.99	2.27375e-12
57.995	2.27375e-12
58.0	2.7285e-12
58.005	2.95587e-12
58.01	2.95587e-12
58.015	2.95587e-12
58.02	2.95587e-12
58.025	2.95587e-12
58.03	2.95587e-12
58.035	2.95587e-12
58.04	2.50112e-12
58.045	2.27375e-12
58.05	2.27375e-12
58.055	2.04638e-12
58.06	1.819e-12
58.065	1.59162e-12
58.07	1.13688e-12
58.075	1.13688e-12
58.08	9.09502e-13
58.085	4.54751e-13
58.09	4.54751e-13
58.095	2.27375e-13
58.1	0.0
58.105	0.0
58.11	-2.27375e-13
58.115	-2.27375e-13
58.12	-4.54751e-13
58.125	-2.27375e-13
58.13	-2.27375e-13
58.135	0.0
58.14	-2.27375e-13
58.145	-2.27375e-13
58.15	0.0
58.155	0.0
58.16	0.0
58.165	0.0
58.17	2.27375e-13
58.175	2.27375e-13
58.18	2.27375e-13
58.185	2.27375e-13
58.19	2.27375e-13
58.195	0.0
58.2	2.27375e-13
58.205	0.0
58.21	-2.27375e-13
58.215	-4.54751e-13
58.22	-2.27375e-13
58.225	-2.27375e-13
58.23	-4.54751e-13
58.235	-4.54751e-13
58.24	-4.54751e-13
58.245	-6.82124e-13
58.25	-6.82124e-13
58.255	-6.82124e-13
58.26	-6.82124e-13
58.265	-9.09502e-13
58.27	-6.82124e-13
58.275	-6.82124e-13
58.28	-6.82124e-13
58.285	-6.82124e-13
58.29	-9.09502e-13
58.295	-9.09502e-13
58.3	-6.82124e-13
58.305	-6.82124e-13
58.31	-9.09502e-13
58.315	-6.82124e-13
58.32	-6.82124e-13
58.325	-6.82124e-13
58.33	-9.09502e-13
58.335	-1.13688e-12
58.34	-1.36425e-12
58.345	-1.13688e-12
58.35	-1.13688e-12
58.355	-1.13688e-12
58.36	-1.13688e-12
58.365	-1.13688e-12
58.37	-9.09502e-13
58.375	-9.09502e-13
58.38	-1.13688e-12
58.385	-1.13688e-12
58.39	-1.13688e-12
58.395	-1.13688e-12
58.4	-9.09502e-13
58.405	-1.13688e-12
58.41	-9.09502e-13
58.415	-9.09502e-13
58.42	-9.09502e-13
58.425	-6.82124e-13
58.43	-9.09502e-13
58.435	-1.13688e-12
58.44	-9.09502e-13
58.445	-1.13688e-12
58.45	-1.13688e-12
58.455	-9.09502e-13
58.46	-6.82124e-13
58.465	-6.82124e-13
58.47	-6.82124e-13
58.475	-6.82124e-13
58.48	-6.82124e-13
58.485	-9.09502e-13
58.49	-9.09502e-13
58.495	-6.82124e-13
58.5	-6.82124e-13
58.505	-6.82124e-13
58.51	-6.82124e-13
58.515	-6.82124e-13
58.52	-6.82124e-13
58.525	-9.09502e-13
58.53	-6.82124e-13
58.535	-9.09502e-13
58.54	-9.09502e-13
58.545	-6.82124e-13
58.55	-6.82124e-13
58.555	-6.82124e-13
58.56	-6.82124e-13
58.565	-6.82124e-13
58.57	-9.09502e-13
58.575	-6.82124e-13
58.58	-6.82124e-13
58.585	-6.82124e-13
58.59	-1.13688e-12
58.595	-9.09502e-13
58.6	-9.09502e-13
58.605	-6.82124e-13
58.61	-6.82124e-13
58.615	-6.82124e-13
58.62	-6.82124e-13
58.625	-6.82124e-13
58.63	-6.82124e-13
58.635	-9.09502e-13
58.64	-9.09502e-13
58.645	-6.82124e-13
58.65	-6.82124e-13
58.655	-6.82124e-13
58.66	-6.82124e-13
58.665	-6.82124e-13
58.67	-9.09502e-13
58.675	-9.09502e-13
58.68	-9.09502e-13
58.685	-9.09502e-13
58.69	-6.82124e-13
58.695	-6.82124e-13
58.7	-6.82124e-13
58.705	-6.82124e-13
58.71	-6.82124e-13
58.715	-4.54751e-13
58.72	-4.54751e-13
58.725	-6.82124e-13
58.73	-6.82124e-13
58.735	-4.54751e-13
58.74	-4.54751e-13
58.745	-4.54751e-13
58.75	-2.27375e-13
58.755	-2.27375e-13
58.76	-2.27375e-13
58.765	-2.27375e-13
58.77	0.0
58.775	-4.54751e-13
58.78	-4.54751e-13
58.785	-2.27375e-13
58.79	-2.27375e-13
58.795	-4.54751e-13
58.8	-4.54751e-13
58.805	-4.54751e-13
58.81	-4.54751e-13
58.815	-4.54751e-13
58.82	-6.82124e-13
58.825	-4.54751e-13
58.83	-4.54751e-13
58.835	-4.54751e-13
58.84	-4.54751e-13
58.845	-2.27375e-13
58.85	-4.54751e-13
58.855	-6.82124e-13
58.86	-4.54751e-13
58.865	-4.54751e-13
58.87	-2.27375e-13
58.875	-2.27375e-13
58.88	-4.54751e-13
58.885	0.0
58.89	0.0
58.895	-2.27375e-13
58.9	-2.27375e-13
58.905	-2.27375e-13
58.91	0.0
58.915	0.0
58.92	0.0
58.925	0.0
58.93	0.0
58.935	-2.27375e-13
58.94	-2.27375e-13
58.945	-2.27375e-13
58.95	-4.54751e-13
58.955	-4.54751e-13
58.96	-6.82124e-13
58.965	-4.54751e-13
58.97	-4.54751e-13
58.975	-2.27375e-13
58.98	-2.27375e-13
58.985	0.0
58.99	-2.27375e-13
58.995	-2.27375e-13
59.0	-2.27375e-13
59.005	-2.27375e-13
59.01	-2.27375e-13
59.015	-2.27375e-13
59.02	0.0
59.025	0.0
59.03	0.0
59.035	0.0
59.04	0.0
59.045	0.0
59.05	-2.27375e-13
59.055	-2.27375e-13
59.06	-2.27375e-13
59.065	0.0
59.07	-2.27375e-13
59.075	-2.27375e-13
59.08	-2.27375e-13
59.085	-4.54751e-13
59.09	-4.54751e-13
59.095	-4.54751e-13
59.1	-4.54751e-13
59.105	-4.54751e-13
59.11	-6.82124e-13
59.115	-4.54751e-13
59.12	-2.27375e-13
59.125	0.0
59.13	0.0
59.135	0.0
59.14	0.0
59.145	0.0
59.15	0.0
59.155	0.0
59.16	0.0
59.165	0.0
59.17	0.0
59.175	0.0
59.18	0.0
59.185	-2.27375e-13
59.19	-2.27375e-13
59.195	-2.27375e-13
59.2	0.0
59.205	-2.27375e-13
59.21	-4.54751e-13
59.215	0.0
59.22	0.0
59.225	2.27375e-13
59.23	0.0
59.235	0.0
59.24	0.0
59.245	2.27375e-13
59.25	2.27375e-13
59.255	2.27375e-13
59.26	0.0
59.265	0.0
59.27	0.0
59.275	0.0
59.28	0.0
59.285	0.0
59.29	2.27375e-13
59.295	0.0
59.3	0.0
59.305	0.0
59.31	0.0
59.315	0.0
59.32	0.0
59.325	0.0
59.33	0.0
59.335	0.0
59.34	0.0
59.345	0.0
59.35	0.0
59.355	0.0
59.36	2.27375e-13
59.365	4.54751e-13
59.37	2.27375e-13
59.375	0.0
59.38	0.0
59.385	0.0
59.39	0.0
59.395	0.0
59.4	2.27375e-13
59.405	2.27375e-13
59.41	4.54751e-13
59.415	4.54751e-13
59.42	4.54751e-13
59.425	4.54751e-13
59.43	2.27375e-13
59.435	4.54751e-13
59.44	4.54751e-13
59.445	4.54751e-13
59.45	0.0
59.455	0.0
59.46	0.0
59.465	-2.27375e-13
59.47	-2.27375e-13
59.475	-4.54751e-13
59.48	-4.54751e-13
59.485	-2.27375e-13
59.49	-2.27375e-13
59.495	-4.54751e-13
59.5	-4.54751e-13
59.505	-6.82124e-13
59.51	-6.82124e-13
59.515	-6.82124e-13
59.52	-6.82124e-13
59.525	-9.09502e-13
59.53	-1.13688e-12
59.535	-1.36425e-12
59.54	-1.36425e-12
59.545	-1.36425e-12
59.55	-1.59162e-12
59.555	-1.59162e-12
59.56	-1.59162e-12
59.565	-1.59162e-12
59.57	-1.59162e-12
59.575	-1.59162e-12
59.58	-1.59162e-12
59.585	-1.59162e-12
59.59	-1.59162e-12
59.595	-1.59162e-12
59.6	-1.59162e-12
59.605	-1.36425e-12
59.61	-1.36425e-12
59.615	-1.13688e-12
59.62	-1.13688e-12
59.625	-1.36425e-12
59.63	-1.36425e-12
59.635	-1.36425e-12
59.64	-9.09502e-13
59.645	-6.82124e-13
59.65	-6.82124e-13
59.655	-6.82124e-13
59.66	-4.54751e-13
59.665	-4.54751e-13
59.67	-6.82124e-13
59.675	-6.82124e-13
59.68	-2.27375e-13
59.685	0.0
59.69	-2.27375e-13
59.695	-2.27375e-13
59.7	-2.27375e-13
59.705	-4.54751e-13
59.71	-4.54751e-13
59.715	-6.82124e-13
59.72	-6.82124e-13
59.725	-4.54751e-13
59.73	-4.54751e-13
59.735	-2.27375e-13
59.74	-4.54751e-13
59.745	-2.27375e-13
59.75	-2.27375e-13
59.755	-2.27375e-13
59.76	0.0
59.765	0.0
59.77	0.0
59.775	0.0
59.78	0.0
59.785	0.0
59.79	0.0
59.795	0.0
59.8	2.27375e-13
59.805	2.27375e-13
59.81	4.54751e-13
59.815	4.54751e-13
59.82	4.54751e-13
59.825	4.54751e-13
59.83	2.27375e-13
59.835	4.54751e-13
59.84	4.54751e-13
59.845	4.54751e-13
59.85	4.54751e-13
59.855	4.54751e-13
59.86	4.54751e-13
59.865	4.54751e-13
59.87	2.27375e-13
59.875	4.54751e-13
59.88	4.54751e-13
59.885	4.54751e-13
59.89	4.54751e-13
59.895	2.27375e-13
59.9	2.27375e-13
59.905	2.27375e-13
59.91	0.0
59.915	2.27375e-13
59.92	0.0
59.925	0.0
59.93	0.0
59.935	0.0
59.94	-2.27375e-13
59.945	0.0
59.95	2.27375e-13
59.955	0.0
59.96	0.0
59.965	0.0
59.97	0.0
59.975	0.0
59.98	-2.27375e-13
59.985	-2.27375e-13
59.99	-4.54751e-13
59.995	0.0
60.0	-2.27375e-13
