pos	X
57.0	-2.27375e-13
57.005	0.0
57.01	-2.27375e-13
57.015	-2.27375e-13
57.02	0.0
57.025	0.0
57.03	-2.27375e-13
57.035	-2.27375e-13
57.04	-2.27375e-13
57.045	0.0
57.05	0.0
57.055	0.0
57.06	0.0
57.065	0.0
57.07	0.0
57.075	0.0
57.08	0.0
57.085	-2.27375e-13
57.09	0.0
57.095	0.0
57.1	4.54751e-13
57.105	4.54751e-13
57.11	4.54751e-13
57.115	0.0
57.12	2.27375e-13
57.125	4.54751e-13
57.13	4.54751e-13
57.135	4.54751e-13
57.14	4.54751e-13
57.145	4.54751e-13
57.15	2.27375e-13
57.155	4.54751e-13
57.16	2.27375e-13
57.165	4.54751e-13
57.17	4.54751e-13
57.175	6.82124e-13
57.18	6.82124e-13
57.185	4.54751e-13
57.19	4.54751e-13
57.195	4.54751e-13
57.2	4.54751e-13
57.205	4.54751e-13
57.21	4.54751e-13
57.215	2.27375e-13
57.22	0.0
57.225	2.27375e-13
57.23	2.27375e-13
57.235	2.27375e-13
57.24	2.27375e-13
57.245	2.27375e-13
57.25	2.27375e-13
57.255	4.54751e-13
57.26	4.54751e-13
57.265	2.27375e-13
57.27	2.27375e-13
57.275	4.54751e-13
57.28	4.54751e-13
57.285	4.54751e-13
57.29	2.27375e-13
57.295	2.27375e-13
57.3	4.54751e-13
57.305	4.54751e-13
57.31	4.54751e-13
57.315	4.54751e-13
57.32	4.54751e-13
57.325	4.54751e-13
57.33	4.54751e-13
57.335	4.54751e-13
57.34	4.54751e-13
57.345	4.54751e-13
57.35	6.82124e-13
57.355	6.82124e-13
57.36	6.82124e-13
57.365	6.82124e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	4.54751e-13
57.385	4.54751e-13
57.39	4.54751e-13
57.395	4.54751e-13
57.4	4.54751e-13
57.405	4.54751e-13
57.41	4.54751e-13
57.415	4.54751e-13
57.42	4.54751e-13
57.425	4.54751e-13
57.43	6.82124e-13
57.435	4.54751e-13
57.44	4.54751e-13
57.445	4.54751e-13
57.45	4.54751e-13
57.455	4.54751e-13
57.46	4.54751e-13
57.465	4.54751e-13
57.47	6.82124e-13
57.475	4.54751e-13
57.48	4.54751e-13
57.485	2.27375e-13
57.49	4.54751e-13
57.495	4.54751e-13
57.5	6.82124e-13
57.505	4.54751e-13
57.51	4.54751e-13
57.515	4.54751e-13
57.52	6.82124e-13
57.525	4.54751e-13
57.53	4.54751e-13
57.535	4.54751e-13
57.54	6.82124e-13
57.545	6.82124e-13
57.55	6.82124e-13
57.555	6.82124e-13
57.56	6.82124e-13
57.565	9.09502e-13
57.57	1.13688e-12
57.575	9.09502e-13
57.58	9.09502e-13
57.585	9.09502e-13
57.59	9.09502e-13
57.595	6.82124e-13
57.6	6.82124e-13
57.605	9.09502e-13
57.61	9.09502e-13
57.615	6.82124e-13
57.62	4.54751e-13
57.625	4.54751e-13
57.63	6.82124e-13
57.635	6.82124e-13
57.64	6.82124e-13
57.645	6.82124e-13
57.65	6.82124e-13
57.655	4.54751e-13
57.66	4.54751e-13
57.665	4.54751e-13
57.67	6.82124e-13
57.675	6.82124e-13
