pos	X
57.0	-6.82124e-13
57.005	-6.82124e-13
57.01	-9.09502e-13
57.015	-9.09502e-13
57.02	-1.13688e-12
57.025	-1.13688e-12
57.03	-9.09502e-13
57.035	-9.09502e-13
57.04	-9.09502e-13
57.045	-9.09502e-13
57.05	-9.09502e-13
57.055	-6.82124e-13
57.06	-6.82124e-13
57.065	-6.82124e-13
57.07	-6.82124e-13
57.075	-6.82124e-13
57.08	-6.82124e-13
57.085	-6.82124e-13
57.09	-6.82124e-13
57.095	-6.82124e-13
57.1	-6.82124e-13
57.105	-6.82124e-13
57.11	-4.54751e-13
57.115	-4.54751e-13
57.12	-4.54751e-13
57.125	-4.54751e-13
57.13	-6.82124e-13
57.135	-4.54751e-13
57.14	-4.54751e-13
57.145	-2.27375e-13
57.15	-2.27375e-13
57.155	-4.54751e-13
57.16	-4.54751e-13
57.165	-4.54751e-13
57.17	-2.27375e-13
57.175	-2.27375e-13
57.18	0.0
57.185	-2.27375e-13
57.19	-2.27375e-13
57.195	-4.54751e-13
57.2	-4.54751e-13
57.205	-4.54751e-13
57.21	-4.54751e-13
57.215	-4.54751e-13
57.22	-4.54751e-13
57.225	-4.54751e-13
57.23	-2.27375e-13
57.235	-2.27375e-13
57.24	-4.54751e-13
57.245	-4.54751e-13
57.25	-6.82124e-13
57.255	-6.82124e-13
57.26	-6.82124e-13
57.265	-6.82124e-13
57.27	-6.82124e-13
57.275	-6.82124e-13
57.28	-4.54751e-13
57.285	-4.54751e-13
57.29	-4.54751e-13
57.295	-6.82124e-13
57.3	-6.82124e-13
57.305	-4.54751e-13
57.31	-4.54751e-13
57.315	-6.82124e-13
57.32	-6.82124e-13
57.325	-6.82124e-13
57.33	-4.54751e-13
57.335	-6.82124e-13
57.34	-4.54751e-13
57.345	-2.27375e-13
57.35	-2.27375e-13
57.355	0.0
57.36	0.0
57.365	0.0
57.37	0.0
57.375	0.0
57.38	0.0
57.385	-2.27375e-13
57.39	-2.27375e-13
57.395	-4.54751e-13
57.4	-4.54751e-13
57.405	-4.54751e-13
57.41	0.0
57.415	0.0
57.42	-2.27375e-13
57.425	-2.27375e-13
57.43	0.0
57.435	0.0
57.44	-2.27375e-13
57.445	-6.82124e-13
57.45	-2.27375e-13
57.455	-2.27375e-13
57.46	0.0
57.465	0.0
57.47	-2.27375e-13
57.475	-2.27375e-13
57.48	-6.82124e-13
57.485	-2.27375e-13
57.49	0.0
57.495	0.0
57.5	0.0
57.505	-2.27375e-13
57.51	-2.27375e-13
57.515	-2.27375e-13
57.52	-2.27375e-13
57.525	0.0
57.53	0.0
57.535	0.0
57.54	2.27375e-13
57.545	0.0
57.55	0.0
57.555	2.27375e-13
57.56	2.27375e-13
57.565	0.0
57.57	0.0
57.575	0.0
57.58	0.0
57.585	0.0
57.59	2.27375e-13
57.595	2.27375e-13
57.6	2.27375e-13
57.605	0.0
57.61	0.0
57.615	-2.27375e-13
57.62	0.0
57.625	0.0
57.63	0.0
57.635	0.0
57.64	0.0
57.645	2.27375e-13
57.65	0.0
57.655	0.0
57.66	0.0
57.665	0.0
57.67	-2.27375e-13
57.675	-2.27375e-13
57.68	-2.27375e-13
57.685	0.0
57.69	-2.27375e-13
57.695	0.0
57.7	-2.27375e-13
57.705	-4.54751e-13
57.71	-4.54751e-13
57.715	-2.27375e-13
57.72	-4.54751e-13
57.725	-4.54751e-13
57.73	-4.54751e-13
57.735	-4.54751e-13
57.74	-4.54751e-13
57.745	-4.54751e-13
57.75	-6.82124e-13
57.755	-6.82124e-13
57.76	-6.82124e-13
57.765	-6.82124e-13
57.77	-6.82124e-13
57.775	-6.82124e-13
57.78	-9.09502e-13
57.785	-1.36425e-12
57.79	-1.36425e-12
57.795	-1.13688e-12
57.8	-1.13688e-12
57.805	-1.36425e-12
57.81	-1.36425e-12
57.815	-1.819e-12
57.82	-1.819e-12
57.825	-2.04638e-12
57.83	-2.04638e-12
57.835	-2.27375e-12
57.84	-2.50112e-12
57.845	-2.7285e-12
57.85	-2.7285e-12
57.855	-3.41062e-12
57.86	-3.86538e-12
57.865	-4.09275e-12
57.87	-4.32013e-12
57.875	-4.5475e-12
57.88	-5.00225e-12
57.885	-5.457e-12
57.89	-5.91174e-12
57.895	-6.36649e-12
57.9	-7.04861e-12
57.905	-7.50339e-12
57.91	-7.95813e-12
57.915	-8.18551e-12
57.92	-8.86763e-12
57.925	-8.86763e-12
57.93	-9.32238e-12
57.935	-9.54975e-12
57.94	-9.54975e-12
57.945	-9.77712e-12
57.95	-9.54975e-12
57.955	-9.54975e-12
57.96	-8.86763e-12
57.965	-8.18551e-12
57.97	-7.27601e-12
57.975	-6.36649e-12
57.98	-5.22962e-12
57.985	-4.09275e-12
57.99	-2.50112e-12
57.995	-6.82124e-13
58.0	1.13688e-12
58.005	2.7285e-12
58.01	4.77487e-12
58.015	6.82124e-12
58.02	9.32238e-12
58.025	1.11414e-11
58.03	1.29604e-11
58.035	1.47794e-11
58.04	1.6371e-11
58.045	1.77353e-11
58.05	1.90995e-11
58.055	2.02364e-11
58.06	2.09185e-11
58.065	2.13732e-11
58.07	2.16006e-11
58.075	2.1828e-11
58.08	2.1828e-11
58.085	2.13732e-11
58.09	2.04637e-11
58.095	1.97816e-11
58.1	1.88721e-11
