pos	X
57.0	-1.13688e-12
57.005	-1.13688e-12
57.01	-1.13688e-12
57.015	-1.13688e-12
57.02	-9.09502e-13
57.025	-9.09502e-13
57.03	-1.36425e-12
57.035	-1.13688e-12
57.04	-9.09502e-13
57.045	-9.09502e-13
57.05	-1.13688e-12
57.055	-1.13688e-12
57.06	-1.13688e-12
57.065	-1.13688e-12
57.07	-1.13688e-12
57.075	-1.13688e-12
57.08	-1.13688e-12
57.085	-9.09502e-13
57.09	-9.09502e-13
57.095	-9.09502e-13
57.1	-6.82124e-13
57.105	-9.09502e-13
57.11	-6.82124e-13
57.115	-6.82124e-13
57.12	-6.82124e-13
57.125	-6.82124e-13
57.13	-6.82124e-13
57.135	-6.82124e-13
57.14	-4.54751e-13
57.145	-2.27375e-13
57.15	-4.54751e-13
57.155	-2.27375e-13
57.16	0.0
57.165	-2.27375e-13
57.17	-2.27375e-13
57.175	-2.27375e-13
57.18	-2.27375e-13
57.185	-2.27375e-13
57.19	-4.54751e-13
57.195	-4.54751e-13
57.2	-4.54751e-13
57.205	-2.27375e-13
57.21	-2.27375e-13
57.215	0.0
57.22	-2.27375e-13
57.225	-4.54751e-13
57.23	-4.54751e-13
57.235	-4.54751e-13
57.24	-6.82124e-13
57.245	-6.82124e-13
57.25	-4.54751e-13
57.255	-4.54751e-13
57.26	-4.54751e-13
57.265	-4.54751e-13
57.27	-4.54751e-13
57.275	-6.82124e-13
57.28	-6.82124e-13
57.285	-6.82124e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-4.54751e-13
57.305	-2.27375e-13
57.31	-2.27375e-13
57.315	-4.54751e-13
57.32	-4.54751e-13
57.325	-2.27375e-13
57.33	-2.27375e-13
57.335	-2.27375e-13
57.34	-2.27375e-13
57.345	-2.27375e-13
57.35	0.0
57.355	-2.27375e-13
57.36	-2.27375e-13
57.365	-2.27375e-13
57.37	-2.27375e-13
57.375	-2.27375e-13
57.38	0.0
57.385	0.0
57.39	0.0
57.395	-2.27375e-13
57.4	-2.27375e-13
57.405	-4.54751e-13
57.41	-2.27375e-13
57.415	-4.54751e-13
57.42	-2.27375e-13
57.425	-2.27375e-13
57.43	0.0
57.435	0.0
57.44	0.0
57.445	0.0
57.45	0.0
57.455	-2.27375e-13
57.46	0.0
57.465	0.0
57.47	0.0
57.475	-2.27375e-13
57.48	-2.27375e-13
57.485	-2.27375e-13
57.49	-2.27375e-13
57.495	-2.27375e-13
57.5	-4.54751e-13
57.505	-4.54751e-13
57.51	-4.54751e-13
57.515	0.0
57.52	-2.27375e-13
57.525	-4.54751e-13
57.53	-2.27375e-13
57.535	-2.27375e-13
57.54	-2.27375e-13
57.545	-2.27375e-13
57.55	-4.54751e-13
57.555	-4.54751e-13
57.56	-2.27375e-13
57.565	-2.27375e-13
57.57	0.0
57.575	0.0
57.58	-2.27375e-13
57.585	-2.27375e-13
57.59	-2.27375e-13
57.595	0.0
57.6	0.0
57.605	-2.27375e-13
57.61	-4.54751e-13
57.615	-4.54751e-13
57.62	-2.27375e-13
57.625	-2.27375e-13
57.63	0.0
57.635	-2.27375e-13
57.64	-4.54751e-13
57.645	-4.54751e-13
57.65	-4.54751e-13
57.655	-4.54751e-13
57.66	-4.54751e-13
57.665	-2.27375e-13
57.67	-2.27375e-13
57.675	-4.54751e-13
57.68	-4.54751e-13
57.685	-2.27375e-13
57.69	0.0
57.695	0.0
57.7	-4.54751e-13
57.705	-4.54751e-13
57.71	-6.82124e-13
57.715	-6.82124e-13
57.72	-6.82124e-13
57.725	-6.82124e-13
57.73	-6.82124e-13
57.735	-6.82124e-13
57.74	-6.82124e-13
57.745	-6.82124e-13
57.75	-9.09502e-13
57.755	-9.09502e-13
57.76	-9.09502e-13
57.765	-6.82124e-13
57.77	-6.82124e-13
57.775	-6.82124e-13
57.78	-6.82124e-13
57.785	-6.82124e-13
57.79	-6.82124e-13
57.795	-6.82124e-13
57.8	-4.54751e-13
57.805	-6.82124e-13
57.81	-6.82124e-13
57.815	-6.82124e-13
57.82	-6.82124e-13
57.825	-6.82124e-13
57.83	-6.82124e-13
57.835	-6.82124e-13
57.84	-6.82124e-13
57.845	-6.82124e-13
57.85	-6.82124e-13
57.855	-6.82124e-13
57.86	-6.82124e-13
57.865	-9.09502e-13
57.87	-6.82124e-13
57.875	-9.09502e-13
57.88	-9.09502e-13
57.885	-1.13688e-12
57.89	-1.36425e-12
57.895	-1.13688e-12
57.9	-9.09502e-13
57.905	-1.13688e-12
57.91	-1.13688e-12
57.915	-1.13688e-12
57.92	-1.13688e-12
57.925	-1.13688e-12
57.93	-1.13688e-12
57.935	-1.13688e-12
57.94	-1.13688e-12
57.945	-9.09502e-13
57.95	-6.82124e-13
57.955	-4.54751e-13
57.96	-2.27375e-13
57.965	0.0
57.97	4.54751e-13
57.975	6.82124e-13
57.98	1.13688e-12
57.985	1.13688e-12
57.99	1.819e-12
57.995	2.04638e-12
58.0	2.50112e-12
58.005	2.95587e-12
58.01	2.95587e-12
58.015	3.18325e-12
58.02	3.41062e-12
58.025	3.41062e-12
58.03	3.63801e-12
58.035	3.63801e-12
58.04	3.63801e-12
58.045	3.63801e-12
58.05	3.41062e-12
58.055	3.18325e-12
58.06	2.95587e-12
58.065	2.50112e-12
58.07	2.27375e-12
58.075	2.04638e-12
58.08	2.04638e-12
58.085	1.59162e-12
58.09	1.36425e-12
58.095	1.13688e-12
58.1	1.13688e-12
58.105	1.13688e-12
58.11	9.09502e-13
58.115	6.82124e-13
58.12	6.82124e-13
58.125	6.82124e-13
58.13	4.54751e-13
58.135	9.09502e-13
58.14	6.82124e-13
58.145	4.54751e-13
58.15	4.54751e-13
58.155	4.54751e-13
58.16	4.54751e-13
58.165	6.82124e-13
58.17	6.82124e-13
58.175	6.82124e-13
58.18	6.82124e-13
58.185	6.82124e-13
58.19	6.82124e-13
58.195	4.54751e-13
58.2	4.54751e-13
58.205	4.54751e-13
58.21	2.27375e-13
58.215	0.0
58.22	0.0
58.225	0.0
58.23	-2.27375e-13
58.235	-2.27375e-13
58.24	-4.54751e-13
58.245	-6.82124e-13
58.25	-9.09502e-13
58.255	-1.13688e-12
58.26	-1.13688e-12
58.265	-1.13688e-12
58.27	-1.13688e-12
58.275	-9.09502e-13
58.28	-1.13688e-12
58.285	-1.36425e-12
58.29	-1.36425e-12
58.295	-1.36425e-12
58.3	-1.36425e-12
58.305	-1.36425e-12
58.31	-1.36425e-12
58.315	-1.59162e-12
58.32	-1.59162e-12
58.325	-1.819e-12
58.33	-1.819e-12
58.335	-2.04638e-12
58.34	-1.819e-12
58.345	-1.819e-12
58.35	-1.36425e-12
58.355	-1.36425e-12
58.36	-1.59162e-12
58.365	-1.819e-12
58.37	-1.819e-12
58.375	-2.04638e-12
58.38	-1.819e-12
58.385	-1.819e-12
58.39	-1.819e-12
58.395	-1.36425e-12
58.4	-1.36425e-12
58.405	-1.59162e-12
58.41	-1.59162e-12
58.415	-1.36425e-12
58.42	-1.36425e-12
58.425	-1.36425e-12
58.43	-1.36425e-12
58.435	-1.13688e-12
58.44	-1.36425e-12
58.445	-1.13688e-12
58.45	-9.09502e-13
58.455	-9.09502e-13
58.46	-9.09502e-13
58.465	-9.09502e-13
58.47	-1.13688e-12
58.475	-9.09502e-13
58.48	-6.82124e-13
58.485	-6.82124e-13
58.49	-6.82124e-13
58.495	-6.82124e-13
58.5	-6.82124e-13
58.505	-6.82124e-13
58.51	-6.82124e-13
58.515	-6.82124e-13
58.52	-4.54751e-13
58.525	-4.54751e-13
58.53	-4.54751e-13
58.535	-4.54751e-13
58.54	-2.27375e-13
58.545	-2.27375e-13
58.55	-4.54751e-13
58.555	-4.54751e-13
58.56	-4.54751e-13
58.565	-4.54751e-13
58.57	-2.27375e-13
58.575	-4.54751e-13
58.58	-4.54751e-13
58.585	-4.54751e-13
58.59	-4.54751e-13
58.595	-4.54751e-13
58.6	-2.27375e-13
58.605	-4.54751e-13
58.61	-2.27375e-13
58.615	-2.27375e-13
58.62	-2.27375e-13
58.625	-4.54751e-13
58.63	-2.27375e-13
58.635	0.0
58.64	-2.27375e-13
58.645	-2.27375e-13
58.65	-2.27375e-13
58.655	-4.54751e-13
58.66	-4.54751e-13
58.665	-4.54751e-13
58.67	-4.54751e-13
58.675	-2.27375e-13
58.68	-4.54751e-13
58.685	-4.54751e-13
58.69	-2.27375e-13
58.695	-2.27375e-13
58.7	-4.54751e-13
58.705	-6.82124e-13
58.71	-6.82124e-13
58.715	-4.54751e-13
58.72	-4.54751e-13
58.725	-4.54751e-13
58.73	-4.54751e-13
58.735	-4.54751e-13
58.74	-4.54751e-13
58.745	-4.54751e-13
58.75	-4.54751e-13
58.755	-2.27375e-13
58.76	-2.27375e-13
58.765	-2.27375e-13
58.77	-2.27375e-13
58.775	-2.27375e-13
58.78	-4.54751e-13
58.785	-4.54751e-13
58.79	-4.54751e-13
58.795	-2.27375e-13
58.8	0.0
58.805	-2.27375e-13
58.81	-4.54751e-13
58.815	-2.27375e-13
58.82	-4.54751e-13
58.825	-4.54751e-13
58.83	-6.82124e-13
58.835	-4.54751e-13
58.84	-2.27375e-13
58.845	-2.27375e-13
58.85	-4.54751e-13
58.855	-4.54751e-13
58.86	-2.27375e-13
58.865	0.0
58.87	-2.27375e-13
58.875	-4.54751e-13
58.88	-4.54751e-13
58.885	-2.27375e-13
58.89	-4.54751e-13
58.895	-4.54751e-13
58.9	-4.54751e-13
58.905	-2.27375e-13
58.91	-2.27375e-13
58.915	0.0
58.92	0.0
58.925	-4.54751e-13
58.93	-4.54751e-13
58.935	-4.54751e-13
58.94	-4.54751e-13
58.945	-2.27375e-13
58.95	0.0
58.955	-4.54751e-13
58.96	-4.54751e-13
58.965	-2.27375e-13
58.97	0.0
58.975	-2.27375e-13
58.98	-2.27375e-13
58.985	-2.27375e-13
58.99	-4.54751e-13
58.995	-4.54751e-13
59.0	-4.54751e-13
59.005	-4.54751e-13
59.01	-4.54751e-13
59.015	-4.54751e-13
59.02	-2.27375e-13
59.025	-2.27375e-13
59.03	0.0
59.035	0.0
59.04	-2.27375e-13
59.045	-2.27375e-13
59.05	-2.27375e-13
59.055	-2.27375e-13
59.06	-2.27375e-13
59.065	-2.27375e-13
59.07	-4.54751e-13
59.075	-2.27375e-13
59.08	-2.27375e-13
59.085	-2.27375e-13
59.09	0.0
59.095	-2.27375e-13
59.1	-2.27375e-13
59.105	-2.27375e-13
59.11	-2.27375e-13
59.115	-4.54751e-13
59.12	-2.27375e-13
59.125	-2.27375e-13
59.13	-2.27375e-13
59.135	-2.27375e-13
59.14	-2.27375e-13
59.145	-2.27375e-13
59.15	-2.27375e-13
59.155	0.0
59.16	-2.27375e-13
59.165	-4.54751e-13
59.17	-4.54751e-13
59.175	-4.54751e-13
59.18	-2.27375e-13
59.185	0.0
59.19	0.0
59.195	0.0
59.2	0.0
59.205	0.0
59.21	0.0
59.215	0.0
59.22	0.0
59.225	0.0
59.23	0.0
59.235	0.0
59.24	0.0
59.245	0.0
59.25	0.0
59.255	0.0
59.26	0.0
59.265	0.0
59.27	2.27375e-13
59.275	0.0
59.28	0.0
59.285	2.27375e-13
59.29	2.27375e-13
59.295	2.27375e-13
59.3	0.0
59.305	0.0
59.31	2.27375e-13
59.315	4.54751e-13
59.32	2.27375e-13
59.325	0.0
59.33	0.0
59.335	0.0
59.34	0.0
59.345	0.0
59.35	2.27375e-13
59.355	2.27375e-13
59.36	0.0
59.365	0.0
59.37	0.0
59.375	0.0
59.38	2.27375e-13
59.385	2.27375e-13
59.39	0.0
59.395	0.0
59.4	0.0
59.405	2.27375e-13
59.41	2.27375e-13
59.415	2.27375e-13
59.42	2.27375e-13
59.425	2.27375e-13
59.43	2.27375e-13
59.435	4.54751e-13
59.44	4.54751e-13
59.445	2.27375e-13
59.45	4.54751e-13
59.455	2.27375e-13
59.46	2.27375e-13
59.465	2.27375e-13
59.47	0.0
59.475	2.27375e-13
59.48	0.0
59.485	2.27375e-13
59.49	0.0
59.495	0.0
59.5	-2.27375e-13
59.505	0.0
59.51	-2.27375e-13
59.515	-4.54751e-13
59.52	-4.54751e-13
59.525	-6.82124e-13
59.53	-6.82124e-13
59.535	-1.13688e-12
59.54	-1.13688e-12
59.545	-9.09502e-13
59.55	-1.13688e-12
59.555	-1.36425e-12
59.56	-1.59162e-12
59.565	-1.59162e-12
59.57	-1.59162e-12
59.575	-1.59162e-12
59.58	-1.819e-12
59.585	-1.819e-12
59.59	-1.819e-12
59.595	-2.04638e-12
59.6	-2.04638e-12
59.605	-1.819e-12
59.61	-2.04638e-12
59.615	-2.04638e-12
59.62	-2.04638e-12
59.625	-1.819e-12
59.63	-1.36425e-12
59.635	-1.36425e-12
59.64	-1.36425e-12
59.645	-1.36425e-12
59.65	-1.36425e-12
59.655	-1.36425e-12
59.66	-1.13688e-12
59.665	-9.09502e-13
59.67	-1.13688e-12
59.675	-1.13688e-12
59.68	-9.09502e-13
59.685	-9.09502e-13
59.69	-6.82124e-13
59.695	-6.82124e-13
59.7	-6.82124e-13
59.705	-9.09502e-13
59.71	-9.09502e-13
59.715	-6.82124e-13
59.72	-6.82124e-13
59.725	-6.82124e-13
59.73	-6.82124e-13
59.735	-6.82124e-13
59.74	-6.82124e-13
59.745	-6.82124e-13
59.75	-6.82124e-13
59.755	-6.82124e-13
59.76	-6.82124e-13
59.765	-6.82124e-13
59.77	-4.54751e-13
59.775	-2.27375e-13
59.78	-2.27375e-13
59.785	-2.27375e-13
59.79	0.0
59.795	0.0
59.8	0.0
59.805	0.0
59.81	2.27375e-13
59.815	4.54751e-13
59.82	4.54751e-13
59.825	4.54751e-13
59.83	4.54751e-13
59.835	4.54751e-13
59.84	6.82124e-13
59.845	9.09502e-13
59.85	9.09502e-13
59.855	6.82124e-13
59.86	1.13688e-12
59.865	1.13688e-12
59.87	6.82124e-13
59.875	6.82124e-13
59.88	9.09502e-13
59.885	9.09502e-13
59.89	9.09502e-13
59.895	9.09502e-13
59.9	6.82124e-13
59.905	6.82124e-13
59.91	6.82124e-13
59.915	4.54751e-13
59.92	4.54751e-13
59.925	4.54751e-13
59.93	4.54751e-13
59.935	4.54751e-13
59.94	4.54751e-13
59.945	4.54751e-13
59.95	2.27375e-13
59.955	4.54751e-13
59.96	2.27375e-13
59.965	2.27375e-13
59.97	2.27375e-13
59.975	0.0
59.98	2.27375e-13
59.985	2.27375e-13
59.99	0.0
59.995	0.0
60.0	-2.27375e-13
