pos	X
56.0	0.0
56.005	4.54751e-13
56.01	4.54751e-13
56.015	2.27375e-13
56.02	0.0
56.025	9.09502e-13
56.03	0.0
56.035	9.09502e-13
56.04	2.27375e-13
56.045	-4.54751e-13
56.05	0.0
56.055	9.09502e-13
56.06	6.82124e-13
56.065	6.82124e-13
56.07	1.13688e-12
56.075	0.0
56.08	2.27375e-13
56.085	6.82124e-13
56.09	0.0
56.095	0.0
56.1	-6.82124e-13
56.105	-2.27375e-13
56.11	4.54751e-13
56.115	-2.27375e-13
56.12	9.09502e-13
56.125	2.27375e-13
56.13	4.54751e-13
56.135	-2.27375e-13
56.14	4.54751e-13
56.145	-2.27375e-13
56.15	4.54751e-13
56.155	-6.82124e-13
56.16	-6.82124e-13
56.165	2.27375e-13
56.17	0.0
56.175	-4.54751e-13
56.18	-4.54751e-13
56.185	-6.82124e-13
56.19	2.27375e-13
56.195	2.27375e-13
56.2	0.0
56.205	0.0
56.21	0.0
56.215	-6.82124e-13
56.22	-9.09502e-13
56.225	-9.09502e-13
56.23	-1.36425e-12
56.235	-6.82124e-13
56.24	0.0
56.245	-9.09502e-13
56.25	0.0
56.255	4.54751e-13
56.26	0.0
56.265	4.54751e-13
56.27	2.27375e-13
56.275	2.27375e-13
56.28	0.0
56.285	1.36425e-12
56.29	0.0
56.295	-6.82124e-13
56.3	4.54751e-13
56.305	0.0
56.31	0.0
56.315	0.0
56.32	2.27375e-13
56.325	-6.82124e-13
56.33	-4.54751e-13
56.335	-2.27375e-13
56.34	4.54751e-13
56.345	0.0
56.35	4.54751e-13
56.355	0.0
56.36	-2.27375e-13
56.365	0.0
56.37	4.54751e-13
56.375	-6.82124e-13
56.38	-4.54751e-13
56.385	4.54751e-13
56.39	0.0
56.395	4.54751e-13
56.4	-9.09502e-13
56.405	-9.09502e-13
56.41	0.0
56.415	-2.27375e-13
56.42	0.0
56.425	-6.82124e-13
56.43	2.27375e-13
56.435	9.09502e-13
56.44	6.82124e-13
56.445	9.09502e-13
56.45	0.0
56.455	0.0
56.46	0.0
56.465	1.13688e-12
56.47	-4.54751e-13
56.475	-6.82124e-13
56.48	4.54751e-13
56.485	9.09502e-13
56.49	-6.82124e-13
56.495	-6.82124e-13
56.5	-6.82124e-13
56.505	2.27375e-13
56.51	4.54751e-13
56.515	4.54751e-13
56.52	-6.82124e-13
56.525	-2.27375e-13
56.53	0.0
56.535	0.0
56.54	2.27375e-13
56.545	2.27375e-13
56.55	0.0
56.555	4.54751e-13
56.56	0.0
56.565	0.0
56.57	6.82124e-13
56.575	-1.13688e-12
56.58	-4.54751e-13
56.585	-4.54751e-13
56.59	9.09502e-13
56.595	-2.27375e-13
56.6	2.27375e-13
56.605	-4.54751e-13
56.61	-1.819e-12
56.615	-6.82124e-13
56.62	-4.54751e-13
56.625	-9.09502e-13
56.63	-2.04638e-12
56.635	-2.27375e-12
56.64	-2.04638e-12
56.645	-1.36425e-12
56.65	-1.819e-12
56.655	-1.13688e-12
56.66	-9.09502e-13
56.665	-1.59162e-12
56.67	-2.50112e-12
56.675	-1.819e-12
56.68	-6.82124e-13
56.685	-1.13688e-12
56.69	-1.819e-12
56.695	-6.82124e-13
56.7	0.0
56.705	-9.09502e-13
56.71	-1.36425e-12
56.715	-1.36425e-12
56.72	-6.82124e-13
