pos	X
57.0	0.0
57.005	2.27375e-13
57.01	2.27375e-13
57.015	-2.27375e-13
57.02	-2.27375e-13
57.025	-6.82124e-13
57.03	-4.54751e-13
57.035	-6.82124e-13
57.04	-4.54751e-13
57.045	0.0
57.05	0.0
57.055	0.0
57.06	2.27375e-13
57.065	0.0
57.07	2.27375e-13
57.075	0.0
57.08	0.0
57.085	-2.27375e-13
57.09	-2.27375e-13
57.095	-4.54751e-13
57.1	-6.82124e-13
57.105	-4.54751e-13
57.11	2.27375e-13
57.115	0.0
57.12	2.27375e-13
57.125	-2.27375e-13
57.13	-4.54751e-13
57.135	-2.27375e-13
57.14	0.0
57.145	0.0
57.15	2.27375e-13
57.155	0.0
57.16	2.27375e-13
57.165	0.0
57.17	0.0
57.175	2.27375e-13
57.18	0.0
57.185	2.27375e-13
57.19	0.0
57.195	0.0
57.2	2.27375e-13
57.205	2.27375e-13
57.21	2.27375e-13
57.215	4.54751e-13
57.22	2.27375e-13
57.225	0.0
57.23	0.0
57.235	0.0
57.24	-2.27375e-13
57.245	0.0
57.25	4.54751e-13
57.255	2.27375e-13
57.26	0.0
57.265	0.0
57.27	0.0
57.275	0.0
57.28	0.0
57.285	0.0
57.29	-2.27375e-13
57.295	0.0
57.3	0.0
57.305	0.0
57.31	0.0
57.315	2.27375e-13
57.32	0.0
57.325	0.0
57.33	2.27375e-13
57.335	0.0
57.34	0.0
57.345	0.0
57.35	0.0
57.355	-2.27375e-13
57.36	0.0
57.365	2.27375e-13
57.37	0.0
57.375	0.0
57.38	0.0
57.385	-4.54751e-13
57.39	-4.54751e-13
57.395	-4.54751e-13
57.4	-4.54751e-13
57.405	-2.27375e-13
57.41	-2.27375e-13
57.415	0.0
57.42	0.0
57.425	0.0
57.43	4.54751e-13
57.435	2.27375e-13
57.44	4.54751e-13
57.445	2.27375e-13
57.45	4.54751e-13
57.455	0.0
57.46	0.0
57.465	2.27375e-13
57.47	4.54751e-13
57.475	2.27375e-13
57.48	0.0
57.485	2.27375e-13
57.49	4.54751e-13
57.495	4.54751e-13
57.5	0.0
57.505	2.27375e-13
57.51	4.54751e-13
57.515	4.54751e-13
57.52	4.54751e-13
57.525	2.27375e-13
57.53	0.0
57.535	4.54751e-13
57.54	2.27375e-13
57.545	0.0
57.55	0.0
57.555	0.0
57.56	0.0
57.565	2.27375e-13
57.57	4.54751e-13
57.575	2.27375e-13
57.58	0.0
57.585	-2.27375e-13
57.59	-4.54751e-13
57.595	0.0
57.6	2.27375e-13
57.605	2.27375e-13
57.61	0.0
57.615	2.27375e-13
57.62	0.0
57.625	0.0
57.63	-2.27375e-13
57.635	0.0
57.64	4.54751e-13
57.645	4.54751e-13
57.65	2.27375e-13
57.655	4.54751e-13
57.66	2.27375e-13
57.665	4.54751e-13
57.67	4.54751e-13
57.675	4.54751e-13
57.68	2.27375e-13
57.685	2.27375e-13
57.69	2.27375e-13
57.695	0.0
57.7	0.0
57.705	0.0
57.71	0.0
57.715	0.0
57.72	0.0
57.725	2.27375e-13
57.73	4.54751e-13
57.735	4.54751e-13
57.74	0.0
57.745	0.0
57.75	0.0
57.755	2.27375e-13
57.76	2.27375e-13
