pos	X
57.0	0.0
57.005	0.0
57.01	4.54751e-13
57.015	4.54751e-13
57.02	-2.27375e-13
57.025	-2.27375e-13
57.03	-2.27375e-13
57.035	0.0
57.04	2.27375e-13
57.045	4.54751e-13
57.05	6.82124e-13
57.055	6.82124e-13
57.06	4.54751e-13
57.065	2.27375e-13
57.07	4.54751e-13
57.075	2.27375e-13
57.08	0.0
57.085	0.0
57.09	2.27375e-13
57.095	2.27375e-13
57.1	0.0
57.105	2.27375e-13
57.11	4.54751e-13
57.115	4.54751e-13
57.12	4.54751e-13
57.125	2.27375e-13
57.13	4.54751e-13
57.135	4.54751e-13
57.14	6.82124e-13
57.145	2.27375e-13
57.15	0.0
57.155	0.0
57.16	0.0
57.165	4.54751e-13
57.17	4.54751e-13
57.175	2.27375e-13
57.18	4.54751e-13
57.185	4.54751e-13
57.19	4.54751e-13
57.195	4.54751e-13
57.2	4.54751e-13
57.205	2.27375e-13
57.21	4.54751e-13
57.215	4.54751e-13
57.22	2.27375e-13
57.225	4.54751e-13
57.23	4.54751e-13
57.235	4.54751e-13
57.24	4.54751e-13
57.245	2.27375e-13
57.25	4.54751e-13
57.255	4.54751e-13
57.26	1.13688e-12
57.265	1.13688e-12
57.27	1.13688e-12
57.275	9.09502e-13
57.28	6.82124e-13
57.285	4.54751e-13
57.29	6.82124e-13
57.295	6.82124e-13
57.3	6.82124e-13
57.305	4.54751e-13
57.31	6.82124e-13
57.315	4.54751e-13
57.32	4.54751e-13
57.325	2.27375e-13
57.33	2.27375e-13
57.335	0.0
57.34	0.0
57.345	2.27375e-13
57.35	4.54751e-13
57.355	2.27375e-13
57.36	0.0
57.365	2.27375e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	4.54751e-13
57.385	4.54751e-13
57.39	6.82124e-13
57.395	4.54751e-13
57.4	4.54751e-13
57.405	4.54751e-13
57.41	0.0
57.415	0.0
57.42	2.27375e-13
57.425	4.54751e-13
57.43	4.54751e-13
57.435	4.54751e-13
57.44	2.27375e-13
57.445	2.27375e-13
57.45	4.54751e-13
57.455	4.54751e-13
57.46	4.54751e-13
57.465	4.54751e-13
57.47	4.54751e-13
57.475	4.54751e-13
57.48	4.54751e-13
57.485	4.54751e-13
57.49	4.54751e-13
57.495	4.54751e-13
57.5	4.54751e-13
57.505	2.27375e-13
57.51	0.0
57.515	2.27375e-13
57.52	4.54751e-13
57.525	6.82124e-13
57.53	4.54751e-13
57.535	4.54751e-13
57.54	4.54751e-13
57.545	4.54751e-13
57.55	4.54751e-13
57.555	4.54751e-13
57.56	4.54751e-13
57.565	4.54751e-13
57.57	9.09502e-13
