pos	X
57.0	0.0
57.005	2.27375e-13
57.01	2.27375e-13
57.015	2.27375e-13
57.02	0.0
57.025	-4.54751e-13
57.03	-2.27375e-13
57.035	-2.27375e-13
57.04	0.0
57.045	0.0
57.05	0.0
57.055	4.54751e-13
57.06	2.27375e-13
57.065	0.0
57.07	2.27375e-13
57.075	2.27375e-13
57.08	0.0
57.085	0.0
57.09	0.0
57.095	0.0
57.1	0.0
57.105	0.0
57.11	2.27375e-13
57.115	2.27375e-13
57.12	4.54751e-13
57.125	4.54751e-13
57.13	4.54751e-13
57.135	2.27375e-13
57.14	0.0
57.145	-2.27375e-13
57.15	0.0
57.155	0.0
57.16	4.54751e-13
57.165	4.54751e-13
57.17	4.54751e-13
57.175	2.27375e-13
57.18	0.0
57.185	0.0
57.19	2.27375e-13
57.195	2.27375e-13
57.2	4.54751e-13
57.205	2.27375e-13
57.21	2.27375e-13
57.215	2.27375e-13
57.22	2.27375e-13
57.225	0.0
57.23	4.54751e-13
57.235	4.54751e-13
57.24	4.54751e-13
57.245	4.54751e-13
57.25	4.54751e-13
57.255	4.54751e-13
57.26	4.54751e-13
57.265	6.82124e-13
57.27	4.54751e-13
57.275	4.54751e-13
57.28	4.54751e-13
57.285	4.54751e-13
57.29	6.82124e-13
57.295	6.82124e-13
57.3	4.54751e-13
57.305	6.82124e-13
57.31	9.09502e-13
57.315	6.82124e-13
57.32	4.54751e-13
57.325	2.27375e-13
57.33	2.27375e-13
57.335	2.27375e-13
57.34	4.54751e-13
57.345	4.54751e-13
57.35	4.54751e-13
57.355	4.54751e-13
57.36	4.54751e-13
57.365	4.54751e-13
57.37	4.54751e-13
57.375	2.27375e-13
57.38	2.27375e-13
57.385	4.54751e-13
57.39	2.27375e-13
57.395	-4.54751e-13
57.4	0.0
57.405	2.27375e-13
57.41	4.54751e-13
57.415	2.27375e-13
57.42	2.27375e-13
57.425	2.27375e-13
57.43	4.54751e-13
57.435	0.0
57.44	2.27375e-13
57.445	2.27375e-13
57.45	2.27375e-13
57.455	2.27375e-13
57.46	4.54751e-13
57.465	4.54751e-13
57.47	4.54751e-13
57.475	4.54751e-13
57.48	4.54751e-13
57.485	9.09502e-13
57.49	4.54751e-13
57.495	2.27375e-13
57.5	4.54751e-13
57.505	6.82124e-13
57.51	4.54751e-13
57.515	4.54751e-13
57.52	4.54751e-13
57.525	4.54751e-13
57.53	4.54751e-13
57.535	4.54751e-13
57.54	4.54751e-13
57.545	6.82124e-13
57.55	4.54751e-13
57.555	4.54751e-13
57.56	4.54751e-13
57.565	6.82124e-13
57.57	4.54751e-13
57.575	4.54751e-13
57.58	4.54751e-13
57.585	4.54751e-13
57.59	4.54751e-13
57.595	9.09502e-13
57.6	4.54751e-13
57.605	4.54751e-13
57.61	4.54751e-13
57.615	4.54751e-13
57.62	0.0
57.625	2.27375e-13
57.63	4.54751e-13
57.635	4.54751e-13
57.64	4.54751e-13
57.645	2.27375e-13
57.65	4.54751e-13
57.655	4.54751e-13
57.66	6.82124e-13
57.665	4.54751e-13
57.67	2.27375e-13
57.675	4.54751e-13
57.68	9.09502e-13
57.685	6.82124e-13
57.69	6.82124e-13
