pos	X
57.0	0.0
57.005	0.0
57.01	0.0
57.015	0.0
57.02	0.0
57.025	0.0
57.03	0.0
57.035	0.0
57.04	0.0
57.045	0.0
57.05	0.0
57.055	0.0
57.06	2.27375e-13
57.065	0.0
57.07	2.27375e-13
57.075	0.0
57.08	0.0
57.085	2.27375e-13
57.09	2.27375e-13
57.095	2.27375e-13
57.1	2.27375e-13
57.105	0.0
57.11	0.0
57.115	0.0
57.12	0.0
57.125	0.0
57.13	0.0
57.135	0.0
57.14	0.0
57.145	0.0
57.15	0.0
57.155	0.0
57.16	2.27375e-13
57.165	4.54751e-13
57.17	2.27375e-13
57.175	0.0
57.18	0.0
57.185	2.27375e-13
57.19	2.27375e-13
57.195	4.54751e-13
57.2	4.54751e-13
57.205	4.54751e-13
57.21	4.54751e-13
57.215	4.54751e-13
57.22	4.54751e-13
57.225	2.27375e-13
57.23	0.0
57.235	0.0
57.24	0.0
57.245	2.27375e-13
57.25	2.27375e-13
57.255	2.27375e-13
57.26	0.0
57.265	0.0
57.27	2.27375e-13
57.275	2.27375e-13
57.28	0.0
57.285	0.0
57.29	0.0
57.295	2.27375e-13
57.3	0.0
57.305	0.0
57.31	2.27375e-13
57.315	2.27375e-13
57.32	4.54751e-13
57.325	2.27375e-13
57.33	2.27375e-13
57.335	4.54751e-13
57.34	2.27375e-13
57.345	4.54751e-13
57.35	4.54751e-13
57.355	2.27375e-13
57.36	0.0
57.365	2.27375e-13
57.37	2.27375e-13
57.375	0.0
57.38	0.0
57.385	2.27375e-13
57.39	0.0
57.395	0.0
57.4	0.0
57.405	0.0
57.41	0.0
57.415	2.27375e-13
57.42	0.0
57.425	2.27375e-13
57.43	2.27375e-13
57.435	2.27375e-13
57.44	0.0
57.445	0.0
57.45	0.0
57.455	0.0
57.46	2.27375e-13
57.465	0.0
57.47	0.0
57.475	0.0
57.48	0.0
57.485	2.27375e-13
57.49	2.27375e-13
57.495	2.27375e-13
57.5	0.0
57.505	0.0
57.51	0.0
57.515	2.27375e-13
57.52	2.27375e-13
57.525	2.27375e-13
57.53	0.0
57.535	0.0
57.54	0.0
57.545	0.0
57.55	2.27375e-13
57.555	2.27375e-13
57.56	2.27375e-13
57.565	2.27375e-13
57.57	2.27375e-13
57.575	2.27375e-13
57.58	2.27375e-13
57.585	2.27375e-13
57.59	2.27375e-13
57.595	0.0
57.6	2.27375e-13
57.605	2.27375e-13
57.61	2.27375e-13
57.615	2.27375e-13
57.62	2.27375e-13
57.625	2.27375e-13
57.63	0.0
57.635	0.0
57.64	2.27375e-13
57.645	2.27375e-13
57.65	2.27375e-13
