pos	X
57.5	4.54751e-13
57.505	4.54751e-13
57.51	6.82124e-13
57.515	6.82124e-13
57.52	4.54751e-13
57.525	4.54751e-13
57.53	6.82124e-13
57.535	4.54751e-13
57.54	4.54751e-13
57.545	6.82124e-13
57.55	6.82124e-13
57.555	6.82124e-13
57.56	6.82124e-13
57.565	6.82124e-13
57.57	6.82124e-13
57.575	9.09502e-13
57.58	6.82124e-13
57.585	4.54751e-13
57.59	4.54751e-13
57.595	4.54751e-13
57.6	4.54751e-13
57.605	4.54751e-13
57.61	4.54751e-13
57.615	4.54751e-13
57.62	4.54751e-13
57.625	4.54751e-13
57.63	2.27375e-13
57.635	4.54751e-13
57.64	4.54751e-13
57.645	4.54751e-13
57.65	4.54751e-13
57.655	4.54751e-13
57.66	4.54751e-13
57.665	4.54751e-13
57.67	4.54751e-13
57.675	4.54751e-13
57.68	4.54751e-13
57.685	4.54751e-13
57.69	4.54751e-13
57.695	4.54751e-13
57.7	4.54751e-13
57.705	4.54751e-13
57.71	4.54751e-13
57.715	4.54751e-13
57.72	4.54751e-13
57.725	4.54751e-13
57.73	4.54751e-13
57.735	4.54751e-13
57.74	2.27375e-13
57.745	4.54751e-13
57.75	4.54751e-13
57.755	4.54751e-13
57.76	4.54751e-13
57.765	4.54751e-13
57.77	2.27375e-13
57.775	2.27375e-13
57.78	2.27375e-13
57.785	2.27375e-13
57.79	4.54751e-13
57.795	4.54751e-13
57.8	4.54751e-13
57.805	4.54751e-13
57.81	4.54751e-13
57.815	4.54751e-13
57.82	4.54751e-13
57.825	4.54751e-13
57.83	4.54751e-13
57.835	4.54751e-13
57.84	4.54751e-13
57.845	4.54751e-13
57.85	4.54751e-13
57.855	4.54751e-13
57.86	4.54751e-13
57.865	4.54751e-13
57.87	6.82124e-13
57.875	4.54751e-13
57.88	4.54751e-13
57.885	6.82124e-13
57.89	9.09502e-13
57.895	6.82124e-13
57.9	6.82124e-13
57.905	6.82124e-13
57.91	9.09502e-13
57.915	9.09502e-13
57.92	9.09502e-13
57.925	6.82124e-13
57.93	9.09502e-13
57.935	1.13688e-12
57.94	6.82124e-13
57.945	6.82124e-13
57.95	6.82124e-13
57.955	9.09502e-13
57.96	9.09502e-13
57.965	9.09502e-13
57.97	9.09502e-13
57.975	6.82124e-13
57.98	4.54751e-13
57.985	6.82124e-13
57.99	6.82124e-13
57.995	4.54751e-13
58.0	4.54751e-13
58.005	4.54751e-13
58.01	4.54751e-13
