pos	X
59.5	0.0
59.505	0.0
59.51	2.27375e-13
59.515	2.27375e-13
59.52	4.54751e-13
59.525	2.27375e-13
59.53	4.54751e-13
59.535	0.0
59.54	2.27375e-13
59.545	2.27375e-13
59.55	2.27375e-13
59.555	0.0
59.56	2.27375e-13
59.565	4.54751e-13
59.57	0.0
59.575	0.0
59.58	4.54751e-13
59.585	4.54751e-13
59.59	4.54751e-13
59.595	4.54751e-13
59.6	4.54751e-13
59.605	2.27375e-13
59.61	4.54751e-13
59.615	4.54751e-13
59.62	4.54751e-13
59.625	4.54751e-13
59.63	4.54751e-13
59.635	4.54751e-13
59.64	4.54751e-13
59.645	4.54751e-13
59.65	4.54751e-13
59.655	2.27375e-13
59.66	4.54751e-13
59.665	4.54751e-13
59.67	6.82124e-13
59.675	4.54751e-13
59.68	0.0
59.685	4.54751e-13
59.69	4.54751e-13
59.695	6.82124e-13
59.7	6.82124e-13
59.705	4.54751e-13
59.71	4.54751e-13
59.715	6.82124e-13
59.72	4.54751e-13
59.725	4.54751e-13
59.73	4.54751e-13
59.735	9.09502e-13
59.74	1.13688e-12
59.745	9.09502e-13
59.75	9.09502e-13
59.755	9.09502e-13
59.76	1.13688e-12
59.765	6.82124e-13
59.77	4.54751e-13
59.775	4.54751e-13
59.78	6.82124e-13
59.785	1.13688e-12
59.79	9.09502e-13
59.795	6.82124e-13
59.8	6.82124e-13
59.805	4.54751e-13
59.81	4.54751e-13
59.815	4.54751e-13
59.82	4.54751e-13
59.825	6.82124e-13
59.83	9.09502e-13
59.835	4.54751e-13
59.84	6.82124e-13
59.845	6.82124e-13
59.85	4.54751e-13
59.855	4.54751e-13
59.86	4.54751e-13
59.865	4.54751e-13
59.87	6.82124e-13
59.875	4.54751e-13
59.88	4.54751e-13
59.885	4.54751e-13
59.89	2.27375e-13
59.895	4.54751e-13
59.9	4.54751e-13
59.905	4.54751e-13
59.91	0.0
59.915	4.54751e-13
59.92	4.54751e-13
59.925	4.54751e-13
59.93	4.54751e-13
59.935	4.54751e-13
59.94	2.27375e-13
59.945	2.27375e-13
59.95	0.0
59.955	2.27375e-13
59.96	0.0
59.965	4.54751e-13
59.97	4.54751e-13
59.975	4.54751e-13
59.98	6.82124e-13
59.985	0.0
59.99	2.27375e-13
59.995	2.27375e-13
60.0	4.54751e-13
60.005	2.27375e-13
60.01	4.54751e-13
60.015	4.54751e-13
60.02	0.0
60.025	2.27375e-13
60.03	2.27375e-13
60.035	2.27375e-13
60.04	0.0
60.045	0.0
60.05	2.27375e-13
60.055	0.0
60.06	2.27375e-13
60.065	2.27375e-13
60.07	0.0
60.075	0.0
60.08	-2.27375e-13
60.085	-6.82124e-13
60.09	-4.54751e-13
60.095	-2.27375e-13
60.1	-2.27375e-13
60.105	-6.82124e-13
60.11	-6.82124e-13
60.115	-6.82124e-13
60.12	-9.09502e-13
60.125	-9.09502e-13
60.13	-1.59162e-12
60.135	-2.04638e-12
60.14	-1.819e-12
60.145	-2.04638e-12
60.15	-2.27375e-12
60.155	-3.18325e-12
60.16	-3.41062e-12
60.165	-3.86538e-12
60.17	-4.09275e-12
60.175	-4.5475e-12
60.18	-4.77487e-12
60.185	-5.457e-12
60.19	-5.68437e-12
60.195	-6.36649e-12
60.2	-6.82124e-12
60.205	-6.36649e-12
60.21	-6.82124e-12
60.215	-7.27601e-12
60.22	-7.27601e-12
60.225	-6.36649e-12
60.23	-6.13912e-12
60.235	-5.68437e-12
60.24	-5.00225e-12
60.245	-4.09275e-12
60.25	-3.18325e-12
60.255	-2.04638e-12
60.26	-6.82124e-13
60.265	4.54751e-13
60.27	2.27375e-12
60.275	4.09275e-12
60.28	5.91174e-12
60.285	7.95813e-12
60.29	9.54975e-12
60.295	1.11414e-11
60.3	1.2733e-11
60.305	1.38698e-11
60.31	1.47794e-11
60.315	1.59163e-11
60.32	1.65984e-11
60.325	1.68258e-11
60.33	1.65984e-11
60.335	1.61436e-11
60.34	1.54615e-11
60.345	1.4552e-11
60.35	1.29604e-11
60.355	1.18235e-11
60.36	1.02319e-11
60.365	8.64026e-12
60.37	7.27601e-12
60.375	5.22962e-12
60.38	3.41062e-12
60.385	1.59162e-12
60.39	2.27375e-13
60.395	-1.36425e-12
60.4	-2.95587e-12
60.405	-4.32013e-12
60.41	-5.457e-12
60.415	-6.13912e-12
60.42	-7.04861e-12
60.425	-7.27601e-12
60.43	-7.73076e-12
60.435	-7.73076e-12
60.44	-8.18551e-12
60.445	-8.18551e-12
60.45	-7.95813e-12
60.455	-8.18551e-12
60.46	-7.73076e-12
60.465	-7.50339e-12
60.47	-6.82124e-12
60.475	-6.36649e-12
60.48	-5.91174e-12
60.485	-5.457e-12
60.49	-5.00225e-12
60.495	-4.77487e-12
60.5	-4.09275e-12
60.505	-3.41062e-12
60.51	-3.18325e-12
60.515	-2.95587e-12
60.52	-2.27375e-12
60.525	-1.59162e-12
60.53	-1.59162e-12
60.535	-9.09502e-13
60.54	-4.54751e-13
60.545	4.54751e-13
60.55	4.54751e-13
60.555	6.82124e-13
60.56	1.13688e-12
60.565	2.04638e-12
60.57	1.819e-12
60.575	1.819e-12
60.58	2.27375e-12
60.585	2.7285e-12
60.59	2.50112e-12
60.595	2.50112e-12
60.6	2.27375e-12
60.605	2.50112e-12
60.61	2.7285e-12
60.615	2.7285e-12
60.62	2.7285e-12
60.625	2.50112e-12
60.63	2.27375e-12
60.635	2.27375e-12
60.64	2.27375e-12
60.645	2.27375e-12
60.65	2.04638e-12
60.655	1.819e-12
60.66	1.36425e-12
60.665	9.09502e-13
60.67	1.13688e-12
60.675	1.13688e-12
60.68	9.09502e-13
60.685	4.54751e-13
60.69	0.0
60.695	-4.54751e-13
60.7	-4.54751e-13
60.705	-6.82124e-13
