pos	X
59.5	1.13688e-12
59.505	1.13688e-12
59.51	1.13688e-12
59.515	1.13688e-12
59.52	1.59162e-12
59.525	1.36425e-12
59.53	1.13688e-12
59.535	1.13688e-12
59.54	1.36425e-12
59.545	1.13688e-12
59.55	1.13688e-12
59.555	9.09502e-13
59.56	1.13688e-12
59.565	1.13688e-12
59.57	1.13688e-12
59.575	1.13688e-12
59.58	1.13688e-12
59.585	9.09502e-13
59.59	1.13688e-12
59.595	9.09502e-13
59.6	1.36425e-12
59.605	1.59162e-12
59.61	1.819e-12
59.615	1.819e-12
59.62	1.819e-12
59.625	1.819e-12
59.63	1.59162e-12
59.635	1.819e-12
59.64	1.819e-12
59.645	1.819e-12
59.65	2.04638e-12
59.655	2.27375e-12
59.66	2.27375e-12
59.665	2.50112e-12
59.67	2.95587e-12
59.675	3.18325e-12
59.68	3.86538e-12
59.685	3.63801e-12
59.69	3.86538e-12
59.695	4.09275e-12
59.7	4.09275e-12
59.705	4.32013e-12
59.71	4.5475e-12
59.715	4.77487e-12
59.72	5.457e-12
59.725	6.13912e-12
59.73	6.59386e-12
59.735	7.04861e-12
59.74	7.27601e-12
59.745	8.18551e-12
59.75	8.86763e-12
59.755	9.32238e-12
59.76	9.77712e-12
59.765	1.04592e-11
59.77	1.11414e-11
59.775	1.15961e-11
59.78	1.22782e-11
59.785	1.29604e-11
59.79	1.34151e-11
59.795	1.4552e-11
59.8	1.54615e-11
59.805	1.61436e-11
59.81	1.70531e-11
59.815	1.79626e-11
59.82	1.819e-11
59.825	1.95542e-11
59.83	2.04637e-11
59.835	2.09185e-11
59.84	2.22827e-11
59.845	2.27375e-11
59.85	2.38743e-11
59.855	2.47838e-11
59.86	2.5466e-11
59.865	2.68302e-11
59.87	2.7285e-11
59.875	2.79671e-11
59.88	2.79671e-11
59.885	2.81944e-11
59.89	2.79671e-11
59.895	2.7285e-11
59.9	2.66028e-11
59.905	2.5466e-11
59.91	2.43291e-11
59.915	2.27375e-11
59.92	2.0009e-11
59.925	1.72805e-11
59.93	1.38698e-11
59.935	9.54975e-12
59.94	4.09275e-12
59.945	-1.36425e-12
59.95	-8.41288e-12
59.955	-1.61436e-11
59.96	-2.41017e-11
59.965	-3.43336e-11
59.97	-4.50202e-11
59.975	-5.77531e-11
59.98	-7.18505e-11
59.985	-8.66298e-11
59.99	-1.02773e-10
59.995	-1.19599e-10
60.0	-1.39381e-10
60.005	-1.5939e-10
60.01	-1.80536e-10
60.015	-2.02818e-10
60.02	-2.27375e-10
60.025	-2.52841e-10
60.03	-2.78989e-10
60.035	-3.06501e-10
60.04	-3.32877e-10
60.045	-3.57206e-10
60.05	-3.81307e-10
60.055	-4.03817e-10
60.06	-4.22007e-10
60.065	-4.34968e-10
60.07	-4.43153e-10
60.075	-4.48155e-10
60.08	-4.47246e-10
60.085	-4.37696e-10
60.09	-4.18824e-10
60.095	-3.89266e-10
60.1	-3.47883e-10
60.105	-3.02181e-10
60.11	-2.3738e-10
60.115	-1.60072e-10
60.12	-7.86717e-11
60.125	1.15961e-11
60.13	1.2824e-10
60.135	2.46475e-10
60.14	3.69939e-10
60.145	4.86128e-10
60.15	6.10047e-10
60.155	7.29418e-10
60.16	8.53337e-10
60.165	9.63617e-10
60.17	1.05616e-09
60.175	1.13051e-09
60.18	1.18599e-09
60.185	1.2185e-09
60.19	1.23192e-09
60.195	1.21873e-09
60.2	1.17894e-09
60.205	1.11527e-09
60.21	1.02296e-09
60.215	9.16319e-10
60.22	7.86489e-10
60.225	6.38469e-10
60.23	4.69303e-10
60.235	3.04455e-10
60.24	1.43474e-10
60.245	-2.1828e-11
60.25	-1.73942e-10
60.255	-3.34241e-10
60.26	-4.72259e-10
60.265	-5.99361e-10
60.27	-6.97359e-10
60.275	-7.83533e-10
60.28	-8.49017e-10
60.285	-8.99266e-10
60.29	-9.28143e-10
60.295	-9.35195e-10
60.3	-9.27006e-10
60.305	-9.01313e-10
60.31	-8.58567e-10
60.315	-8.04906e-10
60.32	-7.35557e-10
60.325	-6.5484e-10
60.33	-5.69575e-10
60.335	-4.85446e-10
60.34	-3.96314e-10
60.345	-2.94678e-10
60.35	-2.01681e-10
60.355	-1.16416e-10
60.36	-3.18325e-11
60.365	4.79761e-11
60.37	1.27785e-10
60.375	1.93951e-10
60.38	2.52159e-10
60.385	2.97861e-10
60.39	3.35605e-10
60.395	3.64937e-10
60.4	3.87447e-10
60.405	4.00634e-10
60.41	4.04954e-10
60.415	3.99952e-10
60.42	3.87674e-10
60.425	3.6812e-10
60.43	3.42199e-10
60.435	3.12641e-10
60.44	2.8149e-10
60.445	2.45111e-10
60.45	2.01681e-10
60.455	1.60299e-10
60.46	1.21191e-10
60.465	7.88991e-11
60.47	3.77443e-11
60.475	-2.04638e-12
60.48	-3.93359e-11
60.485	-7.66254e-11
60.49	-1.08685e-10
60.495	-1.35288e-10
60.5	-1.5939e-10
60.505	-1.78717e-10
60.51	-1.95997e-10
60.515	-2.06684e-10
60.52	-2.14187e-10
60.525	-2.18507e-10
60.53	-2.1737e-10
60.535	-2.13277e-10
