pos	X
59.5	6.82124e-13
59.505	6.82124e-13
59.51	6.82124e-13
59.515	4.54751e-13
59.52	4.54751e-13
59.525	4.54751e-13
59.53	6.82124e-13
59.535	4.54751e-13
59.54	9.09502e-13
59.545	9.09502e-13
59.55	1.13688e-12
59.555	1.13688e-12
59.56	9.09502e-13
59.565	9.09502e-13
59.57	6.82124e-13
59.575	9.09502e-13
59.58	6.82124e-13
59.585	9.09502e-13
59.59	1.13688e-12
59.595	1.13688e-12
59.6	9.09502e-13
59.605	1.13688e-12
59.61	1.13688e-12
59.615	1.13688e-12
59.62	1.13688e-12
59.625	1.13688e-12
59.63	1.36425e-12
59.635	1.13688e-12
59.64	1.36425e-12
59.645	1.819e-12
59.65	1.59162e-12
59.655	2.04638e-12
59.66	2.27375e-12
59.665	2.04638e-12
59.67	2.27375e-12
59.675	2.50112e-12
59.68	2.7285e-12
59.685	2.7285e-12
59.69	3.18325e-12
59.695	3.63801e-12
59.7	3.63801e-12
59.705	3.63801e-12
59.71	4.5475e-12
59.715	4.77487e-12
59.72	5.00225e-12
59.725	4.77487e-12
59.73	5.457e-12
59.735	5.68437e-12
59.74	6.13912e-12
59.745	6.82124e-12
59.75	7.27601e-12
59.755	7.27601e-12
59.76	7.27601e-12
59.765	7.73076e-12
59.77	7.95813e-12
59.775	8.41288e-12
59.78	8.86763e-12
59.785	9.095e-12
59.79	9.32238e-12
59.795	9.77712e-12
59.8	9.77712e-12
59.805	9.77712e-12
59.81	9.77712e-12
59.815	1.04592e-11
59.82	1.06866e-11
59.825	1.0914e-11
59.83	1.11414e-11
59.835	1.06866e-11
59.84	1.04592e-11
59.845	1.0914e-11
59.85	1.11414e-11
59.855	1.13687e-11
59.86	1.15961e-11
59.865	1.18235e-11
59.87	1.22782e-11
59.875	1.2733e-11
59.88	1.2733e-11
59.885	1.2733e-11
59.89	1.25056e-11
59.895	1.29604e-11
59.9	1.31877e-11
59.905	1.34151e-11
59.91	1.34151e-11
59.915	1.31877e-11
59.92	1.31877e-11
59.925	1.22782e-11
59.93	1.15961e-11
59.935	1.04592e-11
59.94	9.32238e-12
59.945	7.27601e-12
59.95	4.77487e-12
59.955	1.819e-12
59.96	-1.36425e-12
59.965	-5.68437e-12
59.97	-1.04592e-11
59.975	-1.61436e-11
59.98	-2.29649e-11
59.985	-3.02409e-11
59.99	-3.93359e-11
59.995	-4.97951e-11
60.0	-6.13913e-11
60.005	-7.4579e-11
60.01	-8.75393e-11
60.015	-1.02773e-10
60.02	-1.18463e-10
60.025	-1.37335e-10
60.03	-1.57571e-10
60.035	-1.77807e-10
60.04	-2.00544e-10
60.045	-2.25783e-10
60.05	-2.5034e-10
60.055	-2.75806e-10
60.06	-3.03318e-10
60.065	-3.29011e-10
60.07	-3.56524e-10
60.075	-3.79488e-10
60.08	-4.03135e-10
60.085	-4.2087e-10
60.09	-4.33149e-10
60.095	-4.40197e-10
60.1	-4.38378e-10
60.105	-4.27692e-10
60.11	-4.08592e-10
60.115	-3.77897e-10
60.12	-3.33332e-10
60.125	-2.76716e-10
60.13	-2.06911e-10
60.135	-1.20054e-10
60.14	-3.2742e-11
60.145	7.88991e-11
60.15	1.97134e-10
60.155	3.14914e-10
60.16	4.49974e-10
60.165	5.74804e-10
60.17	7.07818e-10
60.175	8.26507e-10
60.18	9.42244e-10
60.185	1.04388e-09
60.19	1.12073e-09
60.195	1.18258e-09
60.2	1.21759e-09
60.205	1.23556e-09
60.21	1.22328e-09
60.215	1.18531e-09
60.22	1.11209e-09
60.225	1.00159e-09
60.23	8.8858e-10
60.235	7.59886e-10
60.24	6.25054e-10
60.245	4.61343e-10
60.25	2.94451e-10
60.255	1.4029e-10
60.26	-2.93314e-11
60.265	-1.78262e-10
60.27	-3.2742e-10
60.275	-4.60888e-10
60.28	-5.72303e-10
60.285	-6.79396e-10
60.29	-7.63979e-10
60.295	-8.28553e-10
60.3	-8.72891e-10
60.305	-8.96083e-10
60.31	-9.01995e-10
60.315	-8.90171e-10
60.32	-8.67434e-10
60.325	-8.24688e-10
60.33	-7.75803e-10
