pos	X
56.0	-6.82124e-13
56.005	-1.36425e-12
56.01	-6.82124e-13
56.015	-2.27375e-13
56.02	-4.54751e-13
56.025	-4.54751e-13
56.03	-4.54751e-13
56.035	6.82124e-13
56.04	2.27375e-13
56.045	6.82124e-13
56.05	9.09502e-13
56.055	-6.82124e-13
56.06	4.54751e-13
56.065	-9.09502e-13
56.07	-1.36425e-12
56.075	-2.27375e-13
56.08	-4.54751e-13
56.085	6.82124e-13
56.09	-6.82124e-13
56.095	-2.27375e-13
56.1	-6.82124e-13
56.105	4.54751e-13
56.11	4.54751e-13
56.115	-4.54751e-13
56.12	2.27375e-13
56.125	-4.54751e-13
56.13	-6.82124e-13
56.135	-9.09502e-13
56.14	-4.54751e-13
56.145	-6.82124e-13
56.15	-9.09502e-13
56.155	-4.54751e-13
56.16	0.0
56.165	0.0
56.17	-2.27375e-13
56.175	-6.82124e-13
56.18	0.0
56.185	-2.27375e-13
56.19	-6.82124e-13
56.195	-2.27375e-13
56.2	-6.82124e-13
56.205	-1.819e-12
56.21	-9.09502e-13
56.215	-9.09502e-13
56.22	-9.09502e-13
56.225	-9.09502e-13
56.23	0.0
56.235	0.0
56.24	-6.82124e-13
56.245	-4.54751e-13
56.25	-6.82124e-13
56.255	4.54751e-13
56.26	-6.82124e-13
56.265	-6.82124e-13
56.27	-4.54751e-13
56.275	-6.82124e-13
56.28	-6.82124e-13
56.285	0.0
56.29	6.82124e-13
56.295	0.0
56.3	6.82124e-13
56.305	-4.54751e-13
56.31	0.0
56.315	2.27375e-13
56.32	4.54751e-13
56.325	0.0
56.33	1.13688e-12
56.335	0.0
56.34	-6.82124e-13
56.345	2.27375e-13
56.35	-2.27375e-13
56.355	0.0
56.36	-4.54751e-13
56.365	0.0
56.37	1.13688e-12
56.375	4.54751e-13
56.38	0.0
56.385	0.0
56.39	6.82124e-13
56.395	4.54751e-13
56.4	-6.82124e-13
56.405	-2.27375e-13
56.41	-2.27375e-13
56.415	0.0
56.42	6.82124e-13
56.425	0.0
56.43	0.0
56.435	4.54751e-13
56.44	2.27375e-13
56.445	-2.27375e-13
56.45	9.09502e-13
56.455	4.54751e-13
56.46	1.36425e-12
56.465	2.27375e-13
56.47	4.54751e-13
56.475	1.13688e-12
56.48	0.0
56.485	1.13688e-12
56.49	0.0
56.495	0.0
56.5	4.54751e-13
56.505	0.0
56.51	-6.82124e-13
56.515	-1.36425e-12
56.52	0.0
56.525	4.54751e-13
56.53	-2.27375e-13
56.535	0.0
56.54	0.0
56.545	0.0
56.55	-6.82124e-13
56.555	-2.27375e-13
56.56	-6.82124e-13
56.565	-4.54751e-13
56.57	-4.54751e-13
56.575	-1.13688e-12
56.58	-6.82124e-13
56.585	0.0
56.59	-1.36425e-12
56.595	-9.09502e-13
56.6	4.54751e-13
56.605	0.0
56.61	-6.82124e-13
56.615	-9.09502e-13
56.62	-9.09502e-13
56.625	-4.54751e-13
56.63	-1.36425e-12
56.635	-6.82124e-13
56.64	0.0
56.645	-9.09502e-13
56.65	-1.13688e-12
56.655	-4.54751e-13
56.66	-6.82124e-13
56.665	-2.27375e-13
56.67	-4.54751e-13
56.675	-6.82124e-13
56.68	-9.09502e-13
56.685	-1.36425e-12
56.69	-2.27375e-13
56.695	2.27375e-13
56.7	-1.13688e-12
56.705	-4.54751e-13
56.71	-4.54751e-13
56.715	-1.13688e-12
56.72	-2.27375e-13
56.725	-6.82124e-13
56.73	-1.59162e-12
56.735	-9.09502e-13
56.74	-6.82124e-13
56.745	-6.82124e-13
56.75	-1.36425e-12
56.755	0.0
56.76	-6.82124e-13
56.765	-2.27375e-13
56.77	-1.13688e-12
56.775	-6.82124e-13
56.78	-1.36425e-12
56.785	-1.36425e-12
56.79	-9.09502e-13
56.795	-2.27375e-13
56.8	-1.13688e-12
56.805	0.0
56.81	-4.54751e-13
56.815	-1.36425e-12
56.82	-2.04638e-12
56.825	-1.36425e-12
56.83	-1.36425e-12
56.835	-6.82124e-13
56.84	0.0
56.845	0.0
56.85	-1.36425e-12
56.855	-1.36425e-12
56.86	-6.82124e-13
56.865	-9.09502e-13
56.87	-6.82124e-13
56.875	-9.09502e-13
56.88	0.0
56.885	-9.09502e-13
56.89	-2.27375e-13
56.895	-1.13688e-12
56.9	-9.09502e-13
56.905	-1.59162e-12
56.91	-9.09502e-13
56.915	-1.59162e-12
56.92	-1.819e-12
56.925	-6.82124e-13
56.93	-6.82124e-13
56.935	-4.54751e-13
56.94	-9.09502e-13
56.945	0.0
56.95	4.54751e-13
56.955	0.0
56.96	-1.13688e-12
56.965	-9.09502e-13
56.97	4.54751e-13
56.975	-2.27375e-13
56.98	-9.09502e-13
56.985	-6.82124e-13
56.99	-4.54751e-13
56.995	0.0
57.0	-4.54751e-13
57.005	-2.27375e-13
57.01	-2.27375e-13
57.015	-1.36425e-12
