pos	X
56.0	4.54751e-13
56.005	2.27375e-13
56.01	2.27375e-13
56.015	2.27375e-13
56.02	0.0
56.025	4.54751e-13
56.03	0.0
56.035	-1.13688e-12
56.04	0.0
56.045	0.0
56.05	-1.36425e-12
56.055	0.0
56.06	4.54751e-13
56.065	-6.82124e-13
56.07	-6.82124e-13
56.075	4.54751e-13
56.08	2.27375e-13
56.085	0.0
56.09	-4.54751e-13
56.095	0.0
56.1	0.0
56.105	-1.36425e-12
56.11	-6.82124e-13
56.115	0.0
56.12	2.27375e-13
56.125	-9.09502e-13
56.13	-6.82124e-13
56.135	-4.54751e-13
56.14	-6.82124e-13
56.145	-1.36425e-12
56.15	0.0
56.155	-4.54751e-13
56.16	2.27375e-13
56.165	-1.59162e-12
56.17	-1.13688e-12
56.175	0.0
56.18	4.54751e-13
56.185	-2.27375e-13
56.19	-9.09502e-13
56.195	0.0
56.2	4.54751e-13
56.205	4.54751e-13
56.21	4.54751e-13
56.215	0.0
56.22	-6.82124e-13
56.225	0.0
56.23	2.27375e-13
56.235	-6.82124e-13
56.24	-6.82124e-13
56.245	-6.82124e-13
56.25	-9.09502e-13
56.255	2.27375e-13
56.26	4.54751e-13
56.265	-6.82124e-13
56.27	-6.82124e-13
56.275	0.0
56.28	-4.54751e-13
56.285	-1.13688e-12
56.29	2.27375e-13
56.295	6.82124e-13
56.3	-6.82124e-13
56.305	-4.54751e-13
56.31	-6.82124e-13
56.315	0.0
56.32	-2.27375e-13
56.325	-2.27375e-13
56.33	4.54751e-13
56.335	6.82124e-13
56.34	0.0
56.345	2.27375e-13
56.35	6.82124e-13
56.355	6.82124e-13
56.36	1.59162e-12
56.365	1.13688e-12
56.37	4.54751e-13
56.375	0.0
56.38	-2.27375e-13
56.385	-2.27375e-13
56.39	-1.13688e-12
56.395	-6.82124e-13
56.4	9.09502e-13
56.405	1.13688e-12
56.41	-6.82124e-13
56.415	6.82124e-13
56.42	0.0
56.425	6.82124e-13
56.43	2.27375e-13
56.435	4.54751e-13
56.44	-1.13688e-12
56.445	-1.36425e-12
56.45	2.27375e-13
56.455	1.13688e-12
56.46	0.0
56.465	1.13688e-12
56.47	4.54751e-13
56.475	-2.27375e-13
56.48	-1.13688e-12
56.485	-6.82124e-13
56.49	0.0
56.495	-9.09502e-13
56.5	0.0
56.505	-1.13688e-12
56.51	-6.82124e-13
56.515	-6.82124e-13
56.52	0.0
56.525	4.54751e-13
56.53	-4.54751e-13
56.535	-6.82124e-13
56.54	-2.27375e-13
56.545	-1.13688e-12
56.55	-6.82124e-13
56.555	-6.82124e-13
56.56	-9.09502e-13
56.565	-2.27375e-13
56.57	-2.27375e-13
56.575	-2.27375e-13
56.58	0.0
56.585	-1.36425e-12
56.59	-2.04638e-12
56.595	-6.82124e-13
56.6	4.54751e-13
56.605	0.0
56.61	-1.36425e-12
56.615	-9.09502e-13
56.62	0.0
56.625	-4.54751e-13
56.63	-6.82124e-13
56.635	-4.54751e-13
56.64	-6.82124e-13
56.645	-4.54751e-13
56.65	-4.54751e-13
56.655	-1.36425e-12
56.66	4.54751e-13
56.665	0.0
56.67	-4.54751e-13
56.675	0.0
56.68	-6.82124e-13
56.685	-1.13688e-12
56.69	-2.27375e-13
56.695	-1.13688e-12
56.7	-1.36425e-12
56.705	-1.36425e-12
56.71	-9.09502e-13
56.715	-1.13688e-12
56.72	-1.13688e-12
56.725	-2.04638e-12
56.73	-1.36425e-12
56.735	-1.36425e-12
56.74	0.0
56.745	-9.09502e-13
56.75	-1.36425e-12
56.755	-1.819e-12
56.76	-6.82124e-13
56.765	-1.13688e-12
56.77	-1.13688e-12
56.775	-9.09502e-13
56.78	-1.59162e-12
56.785	-6.82124e-13
56.79	-6.82124e-13
56.795	-1.36425e-12
56.8	-1.13688e-12
56.805	-1.59162e-12
56.81	-1.13688e-12
56.815	-2.04638e-12
56.82	-9.09502e-13
56.825	-6.82124e-13
56.83	-2.04638e-12
56.835	-9.09502e-13
56.84	-1.36425e-12
56.845	-2.27375e-13
56.85	-6.82124e-13
56.855	-6.82124e-13
56.86	-1.59162e-12
56.865	-6.82124e-13
56.87	-9.09502e-13
56.875	-6.82124e-13
56.88	-9.09502e-13
56.885	-6.82124e-13
56.89	-1.13688e-12
56.895	-6.82124e-13
56.9	-4.54751e-13
56.905	-1.819e-12
56.91	-6.82124e-13
56.915	-1.13688e-12
56.92	-9.09502e-13
56.925	-1.36425e-12
56.93	-9.09502e-13
56.935	0.0
56.94	-6.82124e-13
56.945	-4.54751e-13
56.95	-6.82124e-13
56.955	0.0
56.96	-1.59162e-12
56.965	0.0
56.97	0.0
56.975	-1.13688e-12
56.98	-6.82124e-13
56.985	0.0
56.99	-9.09502e-13
56.995	-2.27375e-13
57.0	-2.27375e-13
57.005	2.27375e-13
57.01	0.0
57.015	2.27375e-13
57.02	-1.36425e-12
57.025	-4.54751e-13
57.03	-2.27375e-13
57.035	4.54751e-13
57.04	0.0
57.045	-9.09502e-13
57.05	-1.36425e-12
57.055	-4.54751e-13
57.06	-2.27375e-13
57.065	-4.54751e-13
57.07	-6.82124e-13
57.075	-4.54751e-13
57.08	-1.59162e-12
57.085	0.0
57.09	-2.27375e-13
57.095	-4.54751e-13
57.1	4.54751e-13
57.105	-6.82124e-13
57.11	-6.82124e-13
57.115	-2.27375e-13
57.12	-2.27375e-13
57.125	0.0
57.13	-1.13688e-12
57.135	-6.82124e-13
57.14	-9.09502e-13
57.145	-6.82124e-13
57.15	0.0
57.155	0.0
57.16	-1.819e-12
57.165	-1.36425e-12
57.17	-1.59162e-12
57.175	-2.27375e-13
57.18	-2.04638e-12
57.185	-6.82124e-13
57.19	-4.54751e-13
57.195	-4.54751e-13
57.2	-6.82124e-13
57.205	-4.54751e-13
57.21	-9.09502e-13
57.215	-1.36425e-12
57.22	-6.82124e-13
57.225	-4.54751e-13
57.23	-1.36425e-12
57.235	-6.82124e-13
57.24	-6.82124e-13
57.245	4.54751e-13
57.25	-2.27375e-13
57.255	1.13688e-12
57.26	1.13688e-12
57.265	-2.27375e-13
57.27	-2.27375e-13
57.275	0.0
57.28	6.82124e-13
57.285	2.27375e-12
57.29	1.819e-12
57.295	1.13688e-12
57.3	0.0
57.305	1.13688e-12
57.31	2.50112e-12
57.315	2.27375e-12
57.32	2.7285e-12
57.325	2.27375e-12
57.33	1.59162e-12
57.335	1.819e-12
57.34	2.27375e-12
57.345	4.09275e-12
57.35	4.32013e-12
57.355	3.41062e-12
57.36	4.09275e-12
57.365	3.63801e-12
57.37	4.32013e-12
57.375	4.09275e-12
57.38	5.22962e-12
57.385	4.77487e-12
57.39	5.91174e-12
57.395	6.13912e-12
57.4	6.13912e-12
57.405	5.91174e-12
57.41	5.22962e-12
57.415	5.68437e-12
57.42	5.68437e-12
57.425	6.82124e-12
57.43	6.13912e-12
57.435	6.13912e-12
57.44	6.36649e-12
57.445	6.59386e-12
57.45	6.59386e-12
