pos	X
57.0	-6.82124e-13
57.005	4.54751e-13
57.01	-6.82124e-13
57.015	-1.59162e-12
57.02	-6.82124e-13
57.025	0.0
57.03	-4.54751e-13
57.035	0.0
57.04	-6.82124e-13
57.045	-1.13688e-12
57.05	-4.54751e-13
57.055	-6.82124e-13
57.06	6.82124e-13
57.065	-6.82124e-13
57.07	0.0
57.075	0.0
57.08	-9.09502e-13
57.085	-6.82124e-13
57.09	-6.82124e-13
57.095	-6.82124e-13
57.1	-2.27375e-13
57.105	0.0
57.11	-1.59162e-12
57.115	-4.54751e-13
57.12	-1.13688e-12
57.125	-1.13688e-12
57.13	-6.82124e-13
57.135	4.54751e-13
57.14	6.82124e-13
57.145	2.27375e-13
57.15	-1.13688e-12
57.155	0.0
57.16	4.54751e-13
57.165	-1.36425e-12
57.17	0.0
57.175	-4.54751e-13
57.18	0.0
57.185	0.0
57.19	-4.54751e-13
57.195	4.54751e-13
57.2	2.27375e-13
57.205	-9.09502e-13
57.21	-2.27375e-13
57.215	2.27375e-13
57.22	-4.54751e-13
57.225	-9.09502e-13
57.23	-6.82124e-13
57.235	0.0
57.24	6.82124e-13
57.245	4.54751e-13
57.25	0.0
57.255	4.54751e-13
57.26	-2.27375e-13
57.265	0.0
57.27	-6.82124e-13
57.275	-6.82124e-13
57.28	-2.27375e-13
57.285	-6.82124e-13
57.29	-1.13688e-12
57.295	-9.09502e-13
57.3	0.0
57.305	-6.82124e-13
57.31	4.54751e-13
57.315	0.0
57.32	-6.82124e-13
57.325	0.0
57.33	4.54751e-13
57.335	2.27375e-13
57.34	-2.27375e-13
57.345	-1.819e-12
57.35	-1.13688e-12
57.355	0.0
57.36	-4.54751e-13
57.365	-4.54751e-13
57.37	6.82124e-13
57.375	-2.27375e-13
57.38	-1.13688e-12
57.385	0.0
57.39	-4.54751e-13
57.395	-6.82124e-13
57.4	0.0
57.405	0.0
57.41	0.0
57.415	4.54751e-13
57.42	6.82124e-13
57.425	0.0
57.43	-6.82124e-13
57.435	4.54751e-13
57.44	4.54751e-13
57.445	0.0
57.45	0.0
57.455	9.09502e-13
