pos	X
57.0	-6.82124e-13
57.005	-1.36425e-12
57.01	-6.82124e-13
57.015	-1.36425e-12
57.02	-2.27375e-13
57.025	-6.82124e-13
57.03	-9.09502e-13
57.035	-9.09502e-13
57.04	-9.09502e-13
57.045	1.36425e-12
57.05	-4.54751e-13
57.055	-1.36425e-12
57.06	-6.82124e-13
57.065	4.54751e-13
57.07	1.36425e-12
57.075	4.54751e-13
57.08	4.54751e-13
57.085	0.0
57.09	4.54751e-13
57.095	0.0
57.1	6.82124e-13
57.105	4.54751e-13
57.11	-4.54751e-13
57.115	6.82124e-13
57.12	0.0
57.125	-6.82124e-13
57.13	-1.13688e-12
57.135	4.54751e-13
57.14	9.09502e-13
57.145	0.0
57.15	4.54751e-13
57.155	0.0
57.16	0.0
57.165	-4.54751e-13
57.17	-9.09502e-13
57.175	-9.09502e-13
57.18	-9.09502e-13
57.185	-1.36425e-12
57.19	-1.13688e-12
57.195	-4.54751e-13
57.2	-1.13688e-12
57.205	-6.82124e-13
57.21	-4.54751e-13
57.215	-6.82124e-13
57.22	-1.36425e-12
57.225	-4.54751e-13
57.23	-6.82124e-13
57.235	-1.36425e-12
57.24	-1.13688e-12
57.245	-1.36425e-12
57.25	-6.82124e-13
57.255	-4.54751e-13
57.26	-4.54751e-13
57.265	-1.36425e-12
57.27	-4.54751e-13
57.275	4.54751e-13
57.28	-4.54751e-13
57.285	-2.27375e-13
57.29	-4.54751e-13
57.295	-2.27375e-13
57.3	0.0
57.305	-6.82124e-13
57.31	-1.819e-12
57.315	0.0
57.32	-2.27375e-13
57.325	4.54751e-13
57.33	0.0
57.335	4.54751e-13
57.34	4.54751e-13
57.345	1.59162e-12
57.35	4.54751e-13
57.355	-2.27375e-13
57.36	-1.13688e-12
57.365	2.27375e-13
57.37	0.0
57.375	4.54751e-13
57.38	0.0
57.385	-6.82124e-13
57.39	-2.27375e-13
57.395	4.54751e-13
57.4	1.59162e-12
57.405	4.54751e-13
57.41	2.27375e-13
57.415	9.09502e-13
57.42	1.36425e-12
57.425	-6.82124e-13
57.43	-6.82124e-13
57.435	2.27375e-13
57.44	2.27375e-13
57.445	4.54751e-13
57.45	-4.54751e-13
57.455	2.27375e-13
57.46	4.54751e-13
57.465	1.13688e-12
57.47	6.82124e-13
57.475	0.0
57.48	-9.09502e-13
57.485	-4.54751e-13
57.49	0.0
57.495	-6.82124e-13
57.5	0.0
57.505	1.13688e-12
57.51	4.54751e-13
57.515	-2.27375e-13
57.52	4.54751e-13
57.525	2.27375e-13
57.53	1.59162e-12
57.535	1.13688e-12
57.54	6.82124e-13
57.545	4.54751e-13
57.55	1.13688e-12
57.555	1.59162e-12
57.56	1.13688e-12
57.565	1.13688e-12
57.57	2.04638e-12
57.575	6.82124e-13
57.58	1.13688e-12
57.585	1.13688e-12
57.59	6.82124e-13
57.595	0.0
57.6	-6.82124e-13
57.605	6.82124e-13
57.61	1.13688e-12
57.615	-2.27375e-13
57.62	-2.27375e-13
57.625	6.82124e-13
57.63	4.54751e-13
57.635	-1.36425e-12
57.64	0.0
57.645	0.0
57.65	-6.82124e-13
57.655	-1.36425e-12
