pos	X
56.0	-9.09502e-13
56.005	0.0
56.01	2.27375e-13
56.015	-6.82124e-13
56.02	-6.82124e-13
56.025	-6.82124e-13
56.03	-4.54751e-13
56.035	-6.82124e-13
56.04	0.0
56.045	-4.54751e-13
56.05	-4.54751e-13
56.055	2.27375e-13
56.06	2.27375e-13
56.065	-9.09502e-13
56.07	4.54751e-13
56.075	2.27375e-13
56.08	2.27375e-13
56.085	-2.27375e-13
56.09	0.0
56.095	-6.82124e-13
56.1	-6.82124e-13
56.105	-1.819e-12
56.11	-9.09502e-13
56.115	-2.27375e-13
56.12	6.82124e-13
56.125	-6.82124e-13
56.13	0.0
56.135	-1.36425e-12
56.14	-6.82124e-13
56.145	-6.82124e-13
56.15	-6.82124e-13
56.155	-9.09502e-13
56.16	4.54751e-13
56.165	-6.82124e-13
56.17	-1.36425e-12
56.175	0.0
56.18	0.0
56.185	2.27375e-13
56.19	-1.13688e-12
56.195	-1.13688e-12
56.2	2.27375e-13
56.205	0.0
56.21	-6.82124e-13
56.215	6.82124e-13
56.22	2.27375e-13
56.225	0.0
56.23	-2.27375e-13
56.235	-6.82124e-13
56.24	0.0
56.245	0.0
56.25	0.0
56.255	-1.36425e-12
56.26	-2.27375e-13
56.265	-1.13688e-12
56.27	6.82124e-13
56.275	4.54751e-13
56.28	-9.09502e-13
56.285	-6.82124e-13
56.29	0.0
56.295	0.0
56.3	0.0
56.305	0.0
56.31	-2.27375e-13
56.315	0.0
56.32	4.54751e-13
56.325	6.82124e-13
56.33	4.54751e-13
56.335	-2.27375e-13
56.34	-4.54751e-13
56.345	0.0
56.35	6.82124e-13
56.355	4.54751e-13
56.36	6.82124e-13
56.365	0.0
56.37	2.27375e-13
56.375	-2.27375e-13
56.38	0.0
56.385	4.54751e-13
56.39	4.54751e-13
56.395	-9.09502e-13
56.4	4.54751e-13
56.405	0.0
56.41	4.54751e-13
56.415	0.0
56.42	2.27375e-13
56.425	9.09502e-13
56.43	9.09502e-13
56.435	4.54751e-13
56.44	1.36425e-12
56.445	2.27375e-13
56.45	1.13688e-12
56.455	2.27375e-13
56.46	-4.54751e-13
56.465	-4.54751e-13
56.47	0.0
56.475	-2.27375e-13
56.48	-9.09502e-13
56.485	-6.82124e-13
56.49	-2.27375e-13
56.495	0.0
56.5	0.0
56.505	0.0
56.51	4.54751e-13
56.515	0.0
56.52	0.0
56.525	-4.54751e-13
56.53	-6.82124e-13
56.535	-6.82124e-13
56.54	2.27375e-13
56.545	-9.09502e-13
56.55	0.0
56.555	-4.54751e-13
56.56	1.13688e-12
56.565	-2.27375e-13
56.57	-6.82124e-13
56.575	-1.13688e-12
56.58	0.0
56.585	-4.54751e-13
56.59	-6.82124e-13
56.595	0.0
56.6	4.54751e-13
56.605	-2.27375e-13
56.61	0.0
56.615	0.0
56.62	-6.82124e-13
56.625	-1.36425e-12
56.63	-1.59162e-12
56.635	0.0
56.64	-2.27375e-13
56.645	-9.09502e-13
56.65	-1.59162e-12
56.655	-1.36425e-12
56.66	-6.82124e-13
56.665	-6.82124e-13
56.67	-6.82124e-13
56.675	2.27375e-13
56.68	-6.82124e-13
56.685	4.54751e-13
56.69	-6.82124e-13
56.695	-6.82124e-13
56.7	-1.36425e-12
56.705	-4.54751e-13
56.71	-1.819e-12
56.715	-9.09502e-13
56.72	-4.54751e-13
56.725	0.0
56.73	-6.82124e-13
56.735	-1.36425e-12
56.74	-9.09502e-13
56.745	-6.82124e-13
56.75	-6.82124e-13
56.755	-4.54751e-13
56.76	0.0
56.765	-6.82124e-13
56.77	-6.82124e-13
56.775	-1.36425e-12
56.78	-2.04638e-12
56.785	-9.09502e-13
56.79	-4.54751e-13
56.795	-4.54751e-13
56.8	-6.82124e-13
56.805	-6.82124e-13
56.81	-1.13688e-12
56.815	-2.27375e-13
56.82	-6.82124e-13
56.825	-2.04638e-12
56.83	-1.819e-12
56.835	-6.82124e-13
56.84	-1.59162e-12
56.845	-1.36425e-12
56.85	-1.59162e-12
56.855	-9.09502e-13
56.86	-6.82124e-13
56.865	-9.09502e-13
56.87	-9.09502e-13
56.875	-6.82124e-13
56.88	-1.59162e-12
56.885	-1.36425e-12
56.89	-4.54751e-13
56.895	-6.82124e-13
56.9	-2.27375e-13
56.905	-4.54751e-13
56.91	-2.27375e-13
56.915	0.0
56.92	-4.54751e-13
56.925	-6.82124e-13
56.93	4.54751e-13
56.935	0.0
56.94	-6.82124e-13
56.945	0.0
56.95	-6.82124e-13
56.955	-4.54751e-13
56.96	-6.82124e-13
56.965	-1.59162e-12
