pos	X
56.0	2.27375e-13
56.005	-2.27375e-13
56.01	-9.09502e-13
56.015	-4.54751e-13
56.02	2.27375e-13
56.025	-1.36425e-12
56.03	4.54751e-13
56.035	-9.09502e-13
56.04	0.0
56.045	6.82124e-13
56.05	4.54751e-13
56.055	2.27375e-13
56.06	-2.27375e-13
56.065	-6.82124e-13
56.07	0.0
56.075	4.54751e-13
56.08	4.54751e-13
56.085	-2.27375e-13
56.09	-6.82124e-13
56.095	0.0
56.1	0.0
56.105	2.27375e-13
56.11	4.54751e-13
56.115	-9.09502e-13
56.12	0.0
56.125	-9.09502e-13
56.13	-9.09502e-13
56.135	-1.13688e-12
56.14	0.0
56.145	0.0
56.15	0.0
56.155	-6.82124e-13
56.16	-1.59162e-12
56.165	-6.82124e-13
56.17	-4.54751e-13
56.175	-6.82124e-13
56.18	2.27375e-13
56.185	4.54751e-13
56.19	0.0
56.195	-6.82124e-13
56.2	-4.54751e-13
56.205	-6.82124e-13
56.21	2.27375e-13
56.215	-2.27375e-13
56.22	0.0
56.225	-9.09502e-13
56.23	0.0
56.235	-6.82124e-13
56.24	-2.27375e-13
56.245	-6.82124e-13
56.25	-6.82124e-13
56.255	-1.36425e-12
56.26	-2.27375e-13
56.265	-2.27375e-13
56.27	4.54751e-13
56.275	4.54751e-13
56.28	0.0
56.285	-4.54751e-13
56.29	-6.82124e-13
56.295	-1.36425e-12
56.3	0.0
56.305	0.0
56.31	0.0
56.315	0.0
56.32	-2.27375e-13
56.325	-1.36425e-12
56.33	-1.13688e-12
56.335	-2.04638e-12
56.34	-4.54751e-13
56.345	4.54751e-13
56.35	-2.27375e-13
56.355	0.0
56.36	1.13688e-12
56.365	9.09502e-13
56.37	0.0
56.375	2.27375e-13
56.38	0.0
56.385	-4.54751e-13
56.39	2.27375e-13
56.395	4.54751e-13
56.4	0.0
56.405	4.54751e-13
56.41	-2.27375e-13
56.415	-4.54751e-13
56.42	0.0
56.425	2.27375e-13
56.43	4.54751e-13
56.435	0.0
56.44	4.54751e-13
56.445	1.36425e-12
56.45	0.0
56.455	4.54751e-13
56.46	2.27375e-13
56.465	2.27375e-13
56.47	0.0
56.475	-1.59162e-12
56.48	-6.82124e-13
56.485	0.0
56.49	4.54751e-13
56.495	2.27375e-13
56.5	-6.82124e-13
56.505	4.54751e-13
56.51	-6.82124e-13
56.515	-1.36425e-12
56.52	4.54751e-13
56.525	1.13688e-12
56.53	0.0
56.535	4.54751e-13
56.54	-4.54751e-13
56.545	-6.82124e-13
56.55	-4.54751e-13
56.555	-2.27375e-13
56.56	-4.54751e-13
56.565	-4.54751e-13
56.57	-6.82124e-13
56.575	0.0
56.58	-6.82124e-13
56.585	0.0
56.59	-9.09502e-13
56.595	-9.09502e-13
56.6	-6.82124e-13
56.605	-9.09502e-13
56.61	-4.54751e-13
56.615	2.27375e-13
56.62	-9.09502e-13
56.625	-1.13688e-12
56.63	-6.82124e-13
56.635	-6.82124e-13
56.64	-1.13688e-12
56.645	-6.82124e-13
56.65	2.27375e-13
56.655	0.0
56.66	-1.819e-12
56.665	-1.36425e-12
56.67	-1.36425e-12
56.675	-6.82124e-13
56.68	-6.82124e-13
56.685	-1.13688e-12
56.69	-2.04638e-12
56.695	0.0
56.7	-6.82124e-13
56.705	-9.09502e-13
56.71	-4.54751e-13
56.715	-1.36425e-12
56.72	-1.13688e-12
56.725	-6.82124e-13
56.73	-1.13688e-12
56.735	-1.36425e-12
56.74	-6.82124e-13
56.745	-1.36425e-12
56.75	-6.82124e-13
56.755	-2.27375e-13
56.76	-2.27375e-13
56.765	-9.09502e-13
56.77	-9.09502e-13
56.775	-2.04638e-12
56.78	-1.13688e-12
56.785	-4.54751e-13
56.79	-4.54751e-13
56.795	-1.36425e-12
56.8	-1.13688e-12
56.805	-2.04638e-12
56.81	-2.27375e-13
56.815	-9.09502e-13
56.82	-1.13688e-12
56.825	0.0
56.83	-9.09502e-13
56.835	-6.82124e-13
