pos	X
59.5	9.09502e-13
59.505	1.13688e-12
59.51	1.13688e-12
59.515	1.13688e-12
59.52	9.09502e-13
59.525	4.54751e-13
59.53	9.09502e-13
59.535	1.36425e-12
59.54	1.13688e-12
59.545	6.82124e-13
59.55	9.09502e-13
59.555	6.82124e-13
59.56	1.13688e-12
59.565	9.09502e-13
59.57	6.82124e-13
59.575	6.82124e-13
59.58	6.82124e-13
59.585	6.82124e-13
59.59	6.82124e-13
59.595	6.82124e-13
59.6	1.13688e-12
59.605	1.13688e-12
59.61	1.13688e-12
59.615	1.13688e-12
59.62	4.54751e-13
59.625	1.13688e-12
59.63	1.13688e-12
59.635	9.09502e-13
59.64	1.13688e-12
59.645	9.09502e-13
59.65	1.13688e-12
59.655	9.09502e-13
59.66	6.82124e-13
59.665	6.82124e-13
59.67	1.13688e-12
59.675	1.13688e-12
59.68	1.13688e-12
59.685	1.13688e-12
59.69	1.13688e-12
59.695	1.13688e-12
59.7	1.13688e-12
59.705	4.54751e-13
59.71	1.13688e-12
59.715	9.09502e-13
59.72	6.82124e-13
59.725	9.09502e-13
59.73	1.13688e-12
59.735	1.13688e-12
59.74	1.13688e-12
59.745	1.59162e-12
59.75	1.36425e-12
59.755	6.82124e-13
59.76	6.82124e-13
59.765	4.54751e-13
59.77	1.13688e-12
59.775	1.13688e-12
59.78	6.82124e-13
59.785	6.82124e-13
59.79	1.59162e-12
59.795	1.819e-12
59.8	1.36425e-12
59.805	1.59162e-12
59.81	1.59162e-12
59.815	1.13688e-12
59.82	1.13688e-12
59.825	6.82124e-13
59.83	1.13688e-12
59.835	1.13688e-12
59.84	1.13688e-12
59.845	1.13688e-12
59.85	1.36425e-12
59.855	9.09502e-13
59.86	9.09502e-13
59.865	4.54751e-13
59.87	1.13688e-12
59.875	1.13688e-12
59.88	1.59162e-12
59.885	1.59162e-12
59.89	1.36425e-12
59.895	1.13688e-12
59.9	1.13688e-12
59.905	1.13688e-12
59.91	4.54751e-13
59.915	4.54751e-13
59.92	2.27375e-13
59.925	2.27375e-13
59.93	4.54751e-13
59.935	4.54751e-13
59.94	6.82124e-13
59.945	4.54751e-13
59.95	6.82124e-13
59.955	9.09502e-13
59.96	9.09502e-13
59.965	9.09502e-13
59.97	6.82124e-13
59.975	4.54751e-13
59.98	6.82124e-13
59.985	9.09502e-13
59.99	6.82124e-13
59.995	9.09502e-13
60.0	6.82124e-13
60.005	4.54751e-13
60.01	2.27375e-13
60.015	4.54751e-13
60.02	4.54751e-13
60.025	6.82124e-13
60.03	4.54751e-13
60.035	4.54751e-13
60.04	4.54751e-13
60.045	6.82124e-13
60.05	6.82124e-13
60.055	4.54751e-13
60.06	4.54751e-13
60.065	4.54751e-13
60.07	6.82124e-13
60.075	1.13688e-12
60.08	1.13688e-12
60.085	9.09502e-13
60.09	4.54751e-13
60.095	4.54751e-13
60.1	2.27375e-13
60.105	4.54751e-13
60.11	6.82124e-13
60.115	6.82124e-13
60.12	6.82124e-13
60.125	4.54751e-13
60.13	4.54751e-13
60.135	4.54751e-13
60.14	9.09502e-13
60.145	6.82124e-13
60.15	6.82124e-13
60.155	4.54751e-13
60.16	4.54751e-13
60.165	4.54751e-13
60.17	1.13688e-12
60.175	9.09502e-13
60.18	2.27375e-13
60.185	-2.27375e-13
60.19	0.0
60.195	0.0
60.2	-4.54751e-13
60.205	-2.27375e-13
60.21	-4.54751e-13
60.215	-6.82124e-13
60.22	-2.27375e-13
60.225	-4.54751e-13
60.23	-6.82124e-13
60.235	-6.82124e-13
60.24	-9.09502e-13
60.245	-1.13688e-12
60.25	-1.59162e-12
60.255	-1.36425e-12
60.26	-1.36425e-12
60.265	-1.13688e-12
60.27	-1.13688e-12
60.275	-1.13688e-12
60.28	-1.13688e-12
60.285	-6.82124e-13
60.29	-6.82124e-13
60.295	0.0
60.3	0.0
60.305	0.0
60.31	4.54751e-13
60.315	1.13688e-12
60.32	6.82124e-13
60.325	1.13688e-12
60.33	1.819e-12
60.335	2.95587e-12
60.34	3.63801e-12
60.345	4.32013e-12
60.35	4.5475e-12
60.355	4.77487e-12
60.36	5.457e-12
60.365	6.36649e-12
60.37	6.13912e-12
60.375	6.13912e-12
60.38	6.36649e-12
60.385	6.82124e-12
60.39	6.13912e-12
60.395	6.13912e-12
60.4	5.457e-12
60.405	4.32013e-12
60.41	4.09275e-12
60.415	2.95587e-12
60.42	2.95587e-12
60.425	2.04638e-12
60.43	9.09502e-13
60.435	0.0
60.44	-6.82124e-13
60.445	-1.36425e-12
60.45	-2.50112e-12
60.455	-2.95587e-12
60.46	-4.09275e-12
60.465	-4.09275e-12
60.47	-4.5475e-12
60.475	-4.09275e-12
60.48	-3.86538e-12
60.485	-3.86538e-12
60.49	-3.41062e-12
60.495	-2.95587e-12
60.5	-2.7285e-12
60.505	-2.50112e-12
60.51	-1.36425e-12
60.515	-6.82124e-13
60.52	4.54751e-13
60.525	1.13688e-12
60.53	1.59162e-12
60.535	2.27375e-12
60.54	2.95587e-12
60.545	3.41062e-12
60.55	3.63801e-12
60.555	3.63801e-12
60.56	4.32013e-12
60.565	4.5475e-12
60.57	4.77487e-12
60.575	4.5475e-12
60.58	4.32013e-12
60.585	4.5475e-12
60.59	4.09275e-12
60.595	3.86538e-12
60.6	3.41062e-12
60.605	2.27375e-12
60.61	2.27375e-12
60.615	2.27375e-12
60.62	2.04638e-12
60.625	1.59162e-12
60.63	1.13688e-12
60.635	6.82124e-13
60.64	6.82124e-13
60.645	4.54751e-13
60.65	-6.82124e-13
60.655	-9.09502e-13
60.66	-1.13688e-12
60.665	-1.36425e-12
60.67	-1.36425e-12
60.675	-1.36425e-12
60.68	-1.819e-12
60.685	-1.36425e-12
60.69	-6.82124e-13
60.695	-6.82124e-13
60.7	-1.13688e-12
60.705	-6.82124e-13
60.71	-2.27375e-13
60.715	0.0
60.72	0.0
60.725	0.0
60.73	6.82124e-13
60.735	1.13688e-12
60.74	9.09502e-13
60.745	1.13688e-12
60.75	1.13688e-12
60.755	1.59162e-12
60.76	1.819e-12
60.765	1.36425e-12
60.77	1.59162e-12
60.775	1.59162e-12
60.78	1.819e-12
60.785	1.819e-12
60.79	1.819e-12
60.795	1.36425e-12
60.8	1.819e-12
60.805	2.04638e-12
60.81	1.819e-12
60.815	1.819e-12
60.82	1.59162e-12
60.825	1.13688e-12
60.83	1.13688e-12
60.835	1.13688e-12
60.84	9.09502e-13
60.845	4.54751e-13
60.85	2.27375e-13
60.855	0.0
60.86	-2.27375e-13
60.865	0.0
60.87	0.0
60.875	-4.54751e-13
60.88	-2.27375e-13
60.885	2.27375e-13
60.89	0.0
60.895	0.0
60.9	-4.54751e-13
60.905	-4.54751e-13
60.91	-4.54751e-13
60.915	-9.09502e-13
60.92	0.0
60.925	4.54751e-13
60.93	2.27375e-13
60.935	0.0
60.94	4.54751e-13
60.945	6.82124e-13
60.95	6.82124e-13
60.955	4.54751e-13
60.96	4.54751e-13
60.965	6.82124e-13
60.97	1.13688e-12
60.975	4.54751e-13
60.98	6.82124e-13
60.985	6.82124e-13
60.99	9.09502e-13
60.995	1.36425e-12
61.0	1.13688e-12
61.005	1.13688e-12
61.01	9.09502e-13
61.015	1.36425e-12
61.02	1.13688e-12
61.025	1.13688e-12
61.03	1.36425e-12
61.035	9.09502e-13
61.04	0.0
61.045	2.27375e-13
61.05	4.54751e-13
61.055	4.54751e-13
61.06	4.54751e-13
61.065	0.0
61.07	2.27375e-13
61.075	4.54751e-13
61.08	4.54751e-13
61.085	2.27375e-13
61.09	2.27375e-13
61.095	2.27375e-13
61.1	2.27375e-13
61.105	0.0
61.11	6.82124e-13
61.115	6.82124e-13
61.12	4.54751e-13
61.125	4.54751e-13
61.13	2.27375e-13
61.135	4.54751e-13
61.14	6.82124e-13
61.145	6.82124e-13
61.15	4.54751e-13
61.155	4.54751e-13
61.16	4.54751e-13
61.165	4.54751e-13
61.17	4.54751e-13
61.175	6.82124e-13
61.18	4.54751e-13
61.185	6.82124e-13
61.19	6.82124e-13
61.195	1.13688e-12
61.2	9.09502e-13
61.205	9.09502e-13
61.21	1.13688e-12
61.215	1.13688e-12
61.22	9.09502e-13
61.225	1.13688e-12
61.23	1.59162e-12
61.235	1.13688e-12
61.24	9.09502e-13
61.245	6.82124e-13
61.25	1.13688e-12
61.255	1.36425e-12
61.26	1.36425e-12
61.265	1.13688e-12
61.27	1.13688e-12
61.275	1.13688e-12
61.28	1.59162e-12
61.285	1.819e-12
61.29	1.819e-12
61.295	1.59162e-12
61.3	1.819e-12
61.305	1.59162e-12
61.31	9.09502e-13
61.315	4.54751e-13
61.32	6.82124e-13
61.325	1.13688e-12
61.33	1.13688e-12
61.335	1.36425e-12
61.34	1.13688e-12
61.345	4.54751e-13
61.35	4.54751e-13
61.355	1.13688e-12
61.36	4.54751e-13
61.365	9.09502e-13
61.37	4.54751e-13
61.375	4.54751e-13
61.38	0.0
61.385	0.0
61.39	4.54751e-13
61.395	9.09502e-13
61.4	4.54751e-13
61.405	0.0
61.41	2.27375e-13
61.415	4.54751e-13
61.42	0.0
61.425	2.27375e-13
61.43	0.0
61.435	0.0
61.44	4.54751e-13
61.445	4.54751e-13
61.45	6.82124e-13
61.455	4.54751e-13
61.46	4.54751e-13
61.465	2.27375e-13
61.47	4.54751e-13
61.475	2.27375e-13
61.48	0.0
61.485	4.54751e-13
61.49	1.13688e-12
61.495	9.09502e-13
61.5	1.13688e-12
61.505	9.09502e-13
61.51	1.13688e-12
61.515	4.54751e-13
61.52	6.82124e-13
61.525	9.09502e-13
61.53	6.82124e-13
61.535	1.13688e-12
61.54	4.54751e-13
61.545	4.54751e-13
61.55	4.54751e-13
61.555	2.27375e-13
61.56	1.13688e-12
61.565	9.09502e-13
61.57	9.09502e-13
61.575	9.09502e-13
61.58	1.13688e-12
61.585	1.13688e-12
61.59	1.13688e-12
61.595	1.59162e-12
61.6	1.13688e-12
61.605	1.36425e-12
61.61	1.36425e-12
61.615	1.59162e-12
61.62	1.36425e-12
61.625	1.13688e-12
61.63	1.13688e-12
61.635	1.819e-12
61.64	1.59162e-12
61.645	1.59162e-12
61.65	1.13688e-12
61.655	1.13688e-12
61.66	9.09502e-13
61.665	1.59162e-12
61.67	1.819e-12
61.675	1.59162e-12
61.68	2.04638e-12
61.685	1.819e-12
61.69	1.36425e-12
61.695	1.59162e-12
61.7	1.59162e-12
61.705	1.36425e-12
61.71	1.819e-12
61.715	1.13688e-12
61.72	1.819e-12
61.725	1.819e-12
61.73	2.04638e-12
61.735	1.819e-12
61.74	1.819e-12
61.745	1.59162e-12
61.75	1.59162e-12
61.755	1.819e-12
61.76	1.819e-12
61.765	1.819e-12
61.77	1.819e-12
61.775	1.13688e-12
61.78	1.13688e-12
61.785	4.54751e-13
61.79	4.54751e-13
61.795	9.09502e-13
61.8	9.09502e-13
61.805	9.09502e-13
61.81	9.09502e-13
61.815	4.54751e-13
61.82	4.54751e-13
61.825	0.0
61.83	0.0
61.835	-2.27375e-13
61.84	-6.82124e-13
61.845	-2.27375e-13
61.85	0.0
61.855	-9.09502e-13
61.86	-1.13688e-12
61.865	-1.13688e-12
61.87	-1.13688e-12
61.875	-1.13688e-12
61.88	-1.59162e-12
61.885	-1.59162e-12
61.89	-1.36425e-12
61.895	-9.09502e-13
61.9	-9.09502e-13
61.905	-6.82124e-13
61.91	-6.82124e-13
61.915	-2.27375e-13
61.92	0.0
61.925	6.82124e-13
61.93	4.54751e-13
61.935	9.09502e-13
61.94	1.13688e-12
61.945	1.59162e-12
61.95	1.819e-12
61.955	1.819e-12
61.96	2.50112e-12
61.965	2.95587e-12
61.97	3.18325e-12
61.975	3.63801e-12
61.98	3.41062e-12
61.985	3.41062e-12
61.99	2.95587e-12
61.995	2.95587e-12
62.0	2.7285e-12
62.005	1.819e-12
62.01	1.819e-12
62.015	1.59162e-12
62.02	1.59162e-12
62.025	6.82124e-13
62.03	4.54751e-13
62.035	2.27375e-13
62.04	0.0
62.045	0.0
62.05	-2.27375e-13
62.055	-4.54751e-13
62.06	-1.13688e-12
62.065	-9.09502e-13
62.07	-6.82124e-13
62.075	-9.09502e-13
62.08	-6.82124e-13
62.085	-6.82124e-13
62.09	-6.82124e-13
62.095	-4.54751e-13
62.1	-2.27375e-13
62.105	-2.27375e-13
62.11	0.0
62.115	2.27375e-13
62.12	6.82124e-13
62.125	1.13688e-12
62.13	1.13688e-12
62.135	1.13688e-12
62.14	1.59162e-12
62.145	2.04638e-12
62.15	2.27375e-12
62.155	1.819e-12
62.16	1.819e-12
62.165	2.04638e-12
62.17	2.04638e-12
62.175	1.819e-12
62.18	1.819e-12
62.185	1.819e-12
62.19	2.04638e-12
62.195	1.36425e-12
62.2	1.819e-12
62.205	1.819e-12
62.21	1.819e-12
62.215	2.04638e-12
62.22	1.36425e-12
62.225	1.13688e-12
62.23	1.13688e-12
62.235	1.59162e-12
62.24	9.09502e-13
62.245	9.09502e-13
62.25	6.82124e-13
62.255	1.13688e-12
62.26	9.09502e-13
62.265	6.82124e-13
62.27	4.54751e-13
62.275	0.0
62.28	0.0
62.285	4.54751e-13
62.29	6.82124e-13
62.295	6.82124e-13
62.3	4.54751e-13
62.305	4.54751e-13
62.31	1.13688e-12
62.315	1.13688e-12
62.32	6.82124e-13
62.325	9.09502e-13
62.33	1.13688e-12
62.335	4.54751e-13
62.34	9.09502e-13
62.345	1.36425e-12
62.35	1.36425e-12
62.355	6.82124e-13
62.36	1.13688e-12
62.365	1.36425e-12
62.37	1.819e-12
62.375	1.36425e-12
62.38	1.13688e-12
62.385	1.36425e-12
62.39	1.13688e-12
62.395	1.13688e-12
62.4	6.82124e-13
62.405	9.09502e-13
62.41	1.36425e-12
62.415	1.59162e-12
62.42	1.13688e-12
62.425	1.59162e-12
62.43	6.82124e-13
62.435	6.82124e-13
62.44	9.09502e-13
62.445	1.13688e-12
62.45	9.09502e-13
62.455	6.82124e-13
62.46	6.82124e-13
62.465	1.36425e-12
62.47	1.36425e-12
62.475	9.09502e-13
62.48	9.09502e-13
62.485	6.82124e-13
62.49	9.09502e-13
62.495	9.09502e-13
