pos	X
59.5	1.59162e-12
59.505	6.82124e-13
59.51	6.82124e-13
59.515	1.13688e-12
59.52	1.36425e-12
59.525	1.36425e-12
59.53	1.59162e-12
59.535	1.36425e-12
59.54	1.819e-12
59.545	1.13688e-12
59.55	1.36425e-12
59.555	1.819e-12
59.56	1.819e-12
59.565	2.27375e-12
59.57	2.04638e-12
59.575	1.819e-12
59.58	1.59162e-12
59.585	1.819e-12
59.59	2.27375e-12
59.595	1.819e-12
59.6	1.59162e-12
59.605	1.36425e-12
59.61	1.819e-12
59.615	1.819e-12
59.62	2.04638e-12
59.625	2.27375e-12
59.63	1.819e-12
59.635	2.27375e-12
59.64	2.27375e-12
59.645	2.95587e-12
59.65	2.95587e-12
59.655	2.95587e-12
59.66	2.7285e-12
59.665	2.7285e-12
59.67	2.95587e-12
59.675	2.95587e-12
59.68	3.63801e-12
59.685	3.63801e-12
59.69	3.86538e-12
59.695	4.32013e-12
59.7	4.32013e-12
59.705	4.77487e-12
59.71	5.00225e-12
59.715	4.77487e-12
59.72	5.457e-12
59.725	5.68437e-12
59.73	5.91174e-12
59.735	6.82124e-12
59.74	7.27601e-12
59.745	7.04861e-12
59.75	7.27601e-12
59.755	7.27601e-12
59.76	7.73076e-12
59.765	8.64026e-12
59.77	9.32238e-12
59.775	8.64026e-12
59.78	9.77712e-12
59.785	1.04592e-11
59.79	1.06866e-11
59.795	1.11414e-11
59.8	1.18235e-11
59.805	1.22782e-11
59.81	1.29604e-11
59.815	1.34151e-11
59.82	1.6371e-11
59.825	1.70531e-11
59.83	1.54615e-11
59.835	1.52341e-11
59.84	1.54615e-11
59.845	1.56889e-11
59.85	1.54615e-11
59.855	1.61436e-11
59.86	1.65984e-11
59.865	1.6371e-11
59.87	1.6371e-11
59.875	1.61436e-11
59.88	1.65984e-11
59.885	1.6371e-11
59.89	1.61436e-11
59.895	1.59163e-11
59.9	1.47794e-11
59.905	1.36425e-11
59.91	1.2733e-11
59.915	1.11414e-11
59.92	9.32238e-12
59.925	7.27601e-12
59.93	4.32013e-12
59.935	1.13688e-12
59.94	-2.7285e-12
59.945	-6.82124e-12
59.95	-1.15961e-11
59.955	-1.75079e-11
59.96	-2.38743e-11
59.965	-3.06957e-11
59.97	-3.8199e-11
59.975	-4.70666e-11
59.98	-5.68436e-11
59.985	-6.75304e-11
59.99	-7.93539e-11
59.995	-9.20868e-11
60.0	-1.07093e-10
60.005	-1.22555e-10
60.01	-1.38017e-10
60.015	-1.53023e-10
60.02	-1.69394e-10
60.025	-1.87357e-10
60.03	-2.04182e-10
60.035	-2.22827e-10
60.04	-2.38744e-10
60.045	-2.56707e-10
60.05	-2.72168e-10
60.055	-2.86038e-10
60.06	-2.98543e-10
60.065	-3.10139e-10
