pos	X
59.5	4.54751e-13
59.505	6.82124e-13
59.51	4.54751e-13
59.515	4.54751e-13
59.52	6.82124e-13
59.525	4.54751e-13
59.53	4.54751e-13
59.535	4.54751e-13
59.54	6.82124e-13
59.545	1.13688e-12
59.55	4.54751e-13
59.555	6.82124e-13
59.56	6.82124e-13
59.565	9.09502e-13
59.57	9.09502e-13
59.575	4.54751e-13
59.58	6.82124e-13
59.585	9.09502e-13
59.59	1.13688e-12
59.595	6.82124e-13
59.6	4.54751e-13
59.605	1.13688e-12
59.61	9.09502e-13
59.615	9.09502e-13
59.62	6.82124e-13
59.625	6.82124e-13
59.63	6.82124e-13
59.635	9.09502e-13
59.64	9.09502e-13
59.645	1.13688e-12
59.65	1.13688e-12
59.655	9.09502e-13
59.66	4.54751e-13
59.665	6.82124e-13
59.67	6.82124e-13
59.675	6.82124e-13
59.68	1.13688e-12
59.685	1.13688e-12
59.69	1.13688e-12
59.695	6.82124e-13
59.7	6.82124e-13
59.705	1.13688e-12
59.71	1.13688e-12
59.715	9.09502e-13
59.72	1.13688e-12
59.725	1.13688e-12
59.73	1.13688e-12
59.735	6.82124e-13
59.74	6.82124e-13
59.745	9.09502e-13
59.75	9.09502e-13
59.755	6.82124e-13
59.76	6.82124e-13
59.765	9.09502e-13
59.77	6.82124e-13
59.775	1.13688e-12
59.78	1.13688e-12
59.785	1.13688e-12
59.79	1.13688e-12
59.795	1.13688e-12
59.8	9.09502e-13
59.805	6.82124e-13
59.81	6.82124e-13
59.815	9.09502e-13
59.82	6.82124e-13
59.825	9.09502e-13
59.83	9.09502e-13
59.835	9.09502e-13
59.84	1.13688e-12
59.845	9.09502e-13
59.85	9.09502e-13
59.855	9.09502e-13
59.86	4.54751e-13
59.865	6.82124e-13
59.87	1.13688e-12
59.875	1.36425e-12
59.88	1.13688e-12
59.885	9.09502e-13
59.89	1.13688e-12
59.895	9.09502e-13
59.9	1.13688e-12
59.905	4.54751e-13
59.91	2.27375e-13
59.915	4.54751e-13
59.92	6.82124e-13
59.925	9.09502e-13
59.93	6.82124e-13
59.935	6.82124e-13
59.94	4.54751e-13
59.945	4.54751e-13
59.95	4.54751e-13
59.955	2.27375e-13
59.96	4.54751e-13
59.965	2.27375e-13
59.97	4.54751e-13
59.975	4.54751e-13
59.98	4.54751e-13
59.985	6.82124e-13
59.99	9.09502e-13
59.995	4.54751e-13
60.0	4.54751e-13
60.005	4.54751e-13
60.01	2.27375e-13
60.015	0.0
60.02	2.27375e-13
60.025	4.54751e-13
60.03	4.54751e-13
60.035	4.54751e-13
60.04	2.27375e-13
60.045	4.54751e-13
60.05	2.27375e-13
60.055	4.54751e-13
60.06	4.54751e-13
60.065	4.54751e-13
60.07	4.54751e-13
60.075	6.82124e-13
60.08	6.82124e-13
60.085	4.54751e-13
60.09	4.54751e-13
60.095	4.54751e-13
60.1	6.82124e-13
60.105	4.54751e-13
60.11	4.54751e-13
60.115	4.54751e-13
60.12	4.54751e-13
60.125	4.54751e-13
60.13	0.0
60.135	2.27375e-13
60.14	6.82124e-13
60.145	9.09502e-13
60.15	1.13688e-12
60.155	4.54751e-13
60.16	2.27375e-13
60.165	4.54751e-13
60.17	9.09502e-13
60.175	6.82124e-13
60.18	4.54751e-13
60.185	4.54751e-13
60.19	6.82124e-13
60.195	6.82124e-13
60.2	4.54751e-13
60.205	4.54751e-13
60.21	2.27375e-13
60.215	0.0
60.22	4.54751e-13
60.225	9.09502e-13
60.23	1.13688e-12
60.235	1.36425e-12
60.24	1.13688e-12
60.245	1.59162e-12
60.25	1.59162e-12
60.255	1.13688e-12
60.26	9.09502e-13
60.265	1.13688e-12
60.27	1.13688e-12
60.275	1.819e-12
60.28	1.819e-12
60.285	1.13688e-12
60.29	1.36425e-12
60.295	1.59162e-12
60.3	9.09502e-13
60.305	9.09502e-13
60.31	4.54751e-13
60.315	1.36425e-12
60.32	1.13688e-12
60.325	9.09502e-13
60.33	1.13688e-12
60.335	9.09502e-13
60.34	0.0
60.345	0.0
60.35	2.27375e-13
60.355	0.0
60.36	0.0
60.365	0.0
60.37	-6.82124e-13
60.375	-6.82124e-13
60.38	-1.36425e-12
60.385	-1.36425e-12
60.39	-2.04638e-12
60.395	-2.7285e-12
60.4	-3.18325e-12
60.405	-3.41062e-12
60.41	-3.86538e-12
60.415	-4.32013e-12
60.42	-4.77487e-12
60.425	-5.00225e-12
60.43	-5.91174e-12
60.435	-6.36649e-12
60.44	-7.27601e-12
60.445	-7.27601e-12
60.45	-7.50339e-12
60.455	-8.41288e-12
60.46	-8.86763e-12
60.465	-8.86763e-12
60.47	-8.64026e-12
60.475	-8.18551e-12
60.48	-8.86763e-12
60.485	-8.41288e-12
60.49	-7.50339e-12
60.495	-6.82124e-12
60.5	-5.68437e-12
60.505	-5.00225e-12
60.51	-3.41062e-12
60.515	-1.59162e-12
60.52	0.0
60.525	1.13688e-12
60.53	3.86538e-12
60.535	5.91174e-12
60.54	7.95813e-12
60.545	9.77712e-12
60.55	1.18235e-11
60.555	1.40972e-11
60.56	1.6371e-11
60.565	1.84174e-11
60.57	1.97816e-11
60.575	2.13732e-11
60.58	2.25101e-11
60.585	2.34196e-11
60.59	2.43291e-11
60.595	2.41017e-11
60.6	2.3647e-11
60.605	2.22827e-11
60.61	2.09185e-11
60.615	1.86448e-11
60.62	1.68258e-11
60.625	1.4552e-11
60.63	1.20509e-11
60.635	9.32238e-12
60.64	6.59386e-12
60.645	3.63801e-12
60.65	9.09502e-13
60.655	-2.27375e-12
60.66	-5.00225e-12
60.665	-7.04861e-12
60.67	-9.54975e-12
60.675	-1.13687e-11
60.68	-1.2733e-11
60.685	-1.36425e-11
60.69	-1.4552e-11
60.695	-1.50068e-11
60.7	-1.56889e-11
60.705	-1.52341e-11
60.71	-1.47794e-11
60.715	-1.38698e-11
60.72	-1.31877e-11
60.725	-1.15961e-11
60.73	-1.00045e-11
60.735	-8.41288e-12
60.74	-7.27601e-12
60.745	-5.91174e-12
60.75	-3.86538e-12
60.755	-2.04638e-12
60.76	-9.09502e-13
60.765	4.54751e-13
60.77	1.819e-12
60.775	2.95587e-12
60.78	4.09275e-12
60.785	4.77487e-12
60.79	5.91174e-12
60.795	6.13912e-12
60.8	6.82124e-12
60.805	7.27601e-12
60.81	7.27601e-12
60.815	7.27601e-12
60.82	7.04861e-12
60.825	6.59386e-12
60.83	6.59386e-12
60.835	5.91174e-12
60.84	5.91174e-12
60.845	4.77487e-12
60.85	3.86538e-12
60.855	3.18325e-12
60.86	2.7285e-12
60.865	2.04638e-12
60.87	1.13688e-12
60.875	0.0
60.88	-6.82124e-13
60.885	-1.36425e-12
60.89	-2.27375e-12
60.895	-2.27375e-12
60.9	-2.50112e-12
60.905	-3.18325e-12
60.91	-3.63801e-12
60.915	-3.86538e-12
60.92	-3.86538e-12
60.925	-4.32013e-12
60.93	-4.09275e-12
60.935	-4.5475e-12
60.94	-4.5475e-12
60.945	-3.86538e-12
60.95	-3.63801e-12
60.955	-3.41062e-12
60.96	-3.18325e-12
60.965	-2.95587e-12
60.97	-2.50112e-12
60.975	-2.04638e-12
60.98	-1.36425e-12
60.985	-9.09502e-13
60.99	-1.13688e-12
60.995	-6.82124e-13
61.0	-4.54751e-13
61.005	2.27375e-13
61.01	6.82124e-13
61.015	1.13688e-12
61.02	1.13688e-12
61.025	9.09502e-13
61.03	1.13688e-12
61.035	1.36425e-12
61.04	1.13688e-12
61.045	1.13688e-12
61.05	1.59162e-12
61.055	1.819e-12
61.06	1.59162e-12
61.065	1.59162e-12
61.07	1.59162e-12
61.075	1.36425e-12
61.08	6.82124e-13
61.085	6.82124e-13
61.09	6.82124e-13
61.095	4.54751e-13
61.1	1.13688e-12
61.105	6.82124e-13
61.11	4.54751e-13
61.115	4.54751e-13
61.12	2.27375e-13
61.125	0.0
61.13	-4.54751e-13
61.135	0.0
61.14	0.0
61.145	-6.82124e-13
61.15	-4.54751e-13
61.155	-4.54751e-13
61.16	-4.54751e-13
61.165	0.0
61.17	2.27375e-13
61.175	2.27375e-13
61.18	4.54751e-13
61.185	2.27375e-13
61.19	0.0
61.195	4.54751e-13
61.2	2.27375e-13
61.205	2.27375e-13
61.21	4.54751e-13
61.215	4.54751e-13
61.22	4.54751e-13
61.225	9.09502e-13
61.23	4.54751e-13
61.235	6.82124e-13
61.24	9.09502e-13
61.245	4.54751e-13
61.25	6.82124e-13
61.255	9.09502e-13
61.26	6.82124e-13
61.265	9.09502e-13
61.27	9.09502e-13
61.275	6.82124e-13
61.28	6.82124e-13
61.285	6.82124e-13
61.29	4.54751e-13
61.295	6.82124e-13
61.3	6.82124e-13
61.305	6.82124e-13
61.31	6.82124e-13
61.315	4.54751e-13
61.32	4.54751e-13
61.325	4.54751e-13
61.33	4.54751e-13
61.335	0.0
61.34	4.54751e-13
61.345	4.54751e-13
61.35	4.54751e-13
61.355	4.54751e-13
61.36	4.54751e-13
61.365	2.27375e-13
61.37	0.0
61.375	2.27375e-13
61.38	0.0
61.385	0.0
61.39	2.27375e-13
61.395	2.27375e-13
61.4	0.0
61.405	2.27375e-13
61.41	4.54751e-13
61.415	4.54751e-13
61.42	0.0
61.425	2.27375e-13
61.43	0.0
61.435	0.0
61.44	0.0
61.445	0.0
61.45	0.0
61.455	-2.27375e-13
61.46	0.0
61.465	4.54751e-13
61.47	6.82124e-13
61.475	4.54751e-13
61.48	4.54751e-13
61.485	6.82124e-13
61.49	4.54751e-13
61.495	4.54751e-13
61.5	4.54751e-13
61.505	9.09502e-13
61.51	1.13688e-12
61.515	9.09502e-13
61.52	6.82124e-13
61.525	9.09502e-13
61.53	6.82124e-13
61.535	4.54751e-13
61.54	6.82124e-13
61.545	6.82124e-13
61.55	9.09502e-13
61.555	1.13688e-12
61.56	6.82124e-13
61.565	9.09502e-13
61.57	9.09502e-13
61.575	6.82124e-13
61.58	4.54751e-13
61.585	6.82124e-13
61.59	4.54751e-13
61.595	4.54751e-13
61.6	4.54751e-13
61.605	4.54751e-13
61.61	1.13688e-12
61.615	1.13688e-12
61.62	1.13688e-12
61.625	6.82124e-13
61.63	4.54751e-13
61.635	1.13688e-12
61.64	1.13688e-12
61.645	4.54751e-13
61.65	2.27375e-13
61.655	0.0
61.66	2.27375e-13
61.665	4.54751e-13
61.67	9.09502e-13
61.675	1.13688e-12
61.68	4.54751e-13
61.685	4.54751e-13
61.69	4.54751e-13
61.695	1.13688e-12
61.7	1.13688e-12
61.705	9.09502e-13
61.71	9.09502e-13
61.715	9.09502e-13
61.72	9.09502e-13
61.725	9.09502e-13
61.73	4.54751e-13
61.735	6.82124e-13
61.74	1.13688e-12
61.745	9.09502e-13
61.75	4.54751e-13
61.755	9.09502e-13
61.76	9.09502e-13
61.765	4.54751e-13
61.77	6.82124e-13
61.775	4.54751e-13
61.78	6.82124e-13
61.785	1.13688e-12
61.79	6.82124e-13
61.795	6.82124e-13
61.8	9.09502e-13
61.805	6.82124e-13
61.81	4.54751e-13
61.815	6.82124e-13
61.82	9.09502e-13
61.825	1.13688e-12
61.83	1.13688e-12
61.835	1.13688e-12
61.84	9.09502e-13
61.845	6.82124e-13
61.85	1.13688e-12
61.855	1.13688e-12
61.86	9.09502e-13
61.865	4.54751e-13
61.87	9.09502e-13
61.875	6.82124e-13
61.88	9.09502e-13
61.885	1.13688e-12
61.89	1.13688e-12
61.895	1.819e-12
61.9	1.819e-12
61.905	1.36425e-12
61.91	1.13688e-12
61.915	9.09502e-13
61.92	9.09502e-13
61.925	1.13688e-12
61.93	1.13688e-12
61.935	1.13688e-12
61.94	1.13688e-12
61.945	9.09502e-13
61.95	9.09502e-13
61.955	1.13688e-12
61.96	1.13688e-12
61.965	6.82124e-13
61.97	6.82124e-13
61.975	6.82124e-13
61.98	6.82124e-13
61.985	4.54751e-13
61.99	4.54751e-13
61.995	1.13688e-12
62.0	1.13688e-12
62.005	4.54751e-13
62.01	9.09502e-13
62.015	9.09502e-13
62.02	9.09502e-13
62.025	9.09502e-13
62.03	1.13688e-12
62.035	1.13688e-12
62.04	9.09502e-13
62.045	9.09502e-13
62.05	6.82124e-13
62.055	6.82124e-13
62.06	6.82124e-13
62.065	1.13688e-12
62.07	9.09502e-13
