pos	X
59.5	6.82124e-13
59.505	2.27375e-13
59.51	4.54751e-13
59.515	4.54751e-13
59.52	6.82124e-13
59.525	1.13688e-12
59.53	4.54751e-13
59.535	4.54751e-13
59.54	4.54751e-13
59.545	6.82124e-13
59.55	6.82124e-13
59.555	6.82124e-13
59.56	1.13688e-12
59.565	2.27375e-13
59.57	6.82124e-13
59.575	9.09502e-13
59.58	6.82124e-13
59.585	1.13688e-12
59.59	1.13688e-12
59.595	1.13688e-12
59.6	1.13688e-12
59.605	9.09502e-13
59.61	1.13688e-12
59.615	9.09502e-13
59.62	4.54751e-13
59.625	4.54751e-13
59.63	6.82124e-13
59.635	1.13688e-12
59.64	1.13688e-12
59.645	4.54751e-13
59.65	9.09502e-13
59.655	1.13688e-12
59.66	6.82124e-13
59.665	6.82124e-13
59.67	1.13688e-12
59.675	9.09502e-13
59.68	1.13688e-12
59.685	9.09502e-13
59.69	1.13688e-12
59.695	9.09502e-13
59.7	6.82124e-13
59.705	4.54751e-13
59.71	1.13688e-12
59.715	1.13688e-12
59.72	9.09502e-13
59.725	6.82124e-13
59.73	1.13688e-12
59.735	1.13688e-12
59.74	1.13688e-12
59.745	9.09502e-13
59.75	6.82124e-13
59.755	1.13688e-12
59.76	1.13688e-12
59.765	9.09502e-13
59.77	6.82124e-13
59.775	9.09502e-13
59.78	1.13688e-12
59.785	1.36425e-12
59.79	9.09502e-13
59.795	1.13688e-12
59.8	1.13688e-12
59.805	1.13688e-12
59.81	9.09502e-13
59.815	9.09502e-13
59.82	4.54751e-13
59.825	9.09502e-13
59.83	1.13688e-12
59.835	6.82124e-13
59.84	4.54751e-13
59.845	4.54751e-13
59.85	9.09502e-13
59.855	6.82124e-13
59.86	6.82124e-13
59.865	4.54751e-13
59.87	1.13688e-12
59.875	1.13688e-12
59.88	6.82124e-13
59.885	1.13688e-12
59.89	9.09502e-13
59.895	4.54751e-13
59.9	4.54751e-13
59.905	4.54751e-13
59.91	2.27375e-13
59.915	2.27375e-13
59.92	4.54751e-13
59.925	0.0
59.93	0.0
59.935	2.27375e-13
59.94	4.54751e-13
59.945	4.54751e-13
59.95	2.27375e-13
59.955	0.0
59.96	4.54751e-13
59.965	2.27375e-13
59.97	4.54751e-13
59.975	4.54751e-13
59.98	4.54751e-13
59.985	2.27375e-13
59.99	2.27375e-13
59.995	0.0
60.0	0.0
60.005	2.27375e-13
60.01	2.27375e-13
60.015	4.54751e-13
60.02	4.54751e-13
60.025	0.0
60.03	2.27375e-13
60.035	4.54751e-13
60.04	4.54751e-13
