pos	X
59.5	4.54751e-13
59.505	4.54751e-13
59.51	2.27375e-13
59.515	4.54751e-13
59.52	4.54751e-13
59.525	2.27375e-13
59.53	4.54751e-13
59.535	4.54751e-13
59.54	4.54751e-13
59.545	0.0
59.55	0.0
59.555	0.0
59.56	0.0
59.565	0.0
59.57	2.27375e-13
59.575	0.0
59.58	0.0
59.585	0.0
59.59	4.54751e-13
59.595	4.54751e-13
59.6	2.27375e-13
59.605	4.54751e-13
59.61	6.82124e-13
59.615	4.54751e-13
59.62	4.54751e-13
59.625	4.54751e-13
59.63	4.54751e-13
59.635	4.54751e-13
59.64	4.54751e-13
59.645	6.82124e-13
59.65	4.54751e-13
59.655	4.54751e-13
59.66	2.27375e-13
59.665	4.54751e-13
59.67	4.54751e-13
59.675	2.27375e-13
59.68	-2.27375e-13
59.685	2.27375e-13
59.69	6.82124e-13
59.695	6.82124e-13
59.7	4.54751e-13
59.705	4.54751e-13
59.71	4.54751e-13
59.715	4.54751e-13
59.72	4.54751e-13
59.725	4.54751e-13
59.73	6.82124e-13
59.735	4.54751e-13
59.74	4.54751e-13
59.745	4.54751e-13
59.75	4.54751e-13
59.755	2.27375e-13
59.76	9.09502e-13
59.765	9.09502e-13
59.77	4.54751e-13
59.775	4.54751e-13
59.78	2.27375e-13
59.785	2.27375e-13
59.79	4.54751e-13
59.795	9.09502e-13
59.8	1.13688e-12
59.805	4.54751e-13
59.81	4.54751e-13
59.815	2.27375e-13
59.82	4.54751e-13
59.825	6.82124e-13
59.83	6.82124e-13
59.835	4.54751e-13
59.84	4.54751e-13
59.845	2.27375e-13
59.85	2.27375e-13
59.855	2.27375e-13
59.86	4.54751e-13
59.865	2.27375e-13
59.87	2.27375e-13
59.875	4.54751e-13
59.88	4.54751e-13
59.885	2.27375e-13
59.89	2.27375e-13
59.895	4.54751e-13
59.9	0.0
59.905	-2.27375e-13
59.91	0.0
59.915	2.27375e-13
59.92	2.27375e-13
59.925	0.0
59.93	0.0
59.935	2.27375e-13
59.94	0.0
59.945	-2.27375e-13
59.95	0.0
59.955	0.0
59.96	-4.54751e-13
59.965	-6.82124e-13
59.97	0.0
59.975	2.27375e-13
59.98	0.0
59.985	0.0
59.99	-2.27375e-13
59.995	-4.54751e-13
60.0	-4.54751e-13
60.005	0.0
60.01	-6.82124e-13
60.015	-6.82124e-13
60.02	-6.82124e-13
60.025	-6.82124e-13
60.03	-2.27375e-13
60.035	0.0
60.04	0.0
60.045	4.54751e-13
60.05	2.27375e-13
60.055	2.27375e-13
60.06	-2.27375e-13
60.065	-2.27375e-13
60.07	0.0
60.075	0.0
60.08	-2.27375e-13
60.085	0.0
60.09	-2.27375e-13
60.095	0.0
60.1	0.0
60.105	-2.27375e-13
60.11	-2.27375e-13
60.115	2.27375e-13
60.12	0.0
60.125	0.0
60.13	0.0
60.135	0.0
60.14	0.0
60.145	-2.27375e-13
60.15	2.27375e-13
60.155	0.0
60.16	2.27375e-13
60.165	2.27375e-13
60.17	0.0
60.175	-6.82124e-13
60.18	-6.82124e-13
60.185	-4.54751e-13
60.19	-6.82124e-13
60.195	-6.82124e-13
60.2	-6.82124e-13
60.205	-6.82124e-13
60.21	-9.09502e-13
60.215	-9.09502e-13
60.22	-1.36425e-12
60.225	-9.09502e-13
60.23	-1.36425e-12
60.235	-1.819e-12
60.24	-1.819e-12
60.245	-1.819e-12
60.25	-2.04638e-12
60.255	-2.04638e-12
60.26	-2.04638e-12
60.265	-2.04638e-12
60.27	-1.59162e-12
60.275	-1.36425e-12
60.28	-1.36425e-12
60.285	-1.13688e-12
60.29	-6.82124e-13
60.295	-6.82124e-13
60.3	-4.54751e-13
60.305	0.0
60.31	6.82124e-13
60.315	9.09502e-13
60.32	9.09502e-13
60.325	1.819e-12
60.33	2.04638e-12
60.335	2.7285e-12
60.34	3.18325e-12
60.345	4.32013e-12
60.35	4.5475e-12
60.355	4.77487e-12
60.36	4.77487e-12
60.365	5.68437e-12
60.37	5.68437e-12
60.375	5.22962e-12
60.38	5.22962e-12
60.385	5.00225e-12
60.39	4.77487e-12
60.395	4.09275e-12
60.4	2.95587e-12
60.405	2.50112e-12
60.41	2.04638e-12
60.415	1.13688e-12
60.42	6.82124e-13
60.425	0.0
60.43	-9.09502e-13
60.435	-1.36425e-12
60.44	-2.27375e-12
60.445	-2.50112e-12
60.45	-3.18325e-12
60.455	-3.63801e-12
60.46	-3.18325e-12
60.465	-3.18325e-12
60.47	-3.63801e-12
60.475	-3.63801e-12
60.48	-3.86538e-12
60.485	-2.7285e-12
60.49	-2.50112e-12
60.495	-2.50112e-12
60.5	-2.04638e-12
60.505	-1.819e-12
60.51	-1.36425e-12
60.515	-1.13688e-12
60.52	-6.82124e-13
60.525	-2.27375e-13
60.53	-4.54751e-13
60.535	4.54751e-13
60.54	6.82124e-13
60.545	6.82124e-13
60.55	1.13688e-12
60.555	1.36425e-12
60.56	1.819e-12
60.565	1.819e-12
60.57	1.59162e-12
60.575	1.36425e-12
60.58	1.59162e-12
60.585	1.36425e-12
60.59	1.819e-12
60.595	1.819e-12
60.6	2.04638e-12
60.605	1.13688e-12
60.61	1.13688e-12
60.615	6.82124e-13
60.62	1.13688e-12
60.625	1.13688e-12
60.63	9.09502e-13
60.635	4.54751e-13
60.64	0.0
60.645	0.0
60.65	0.0
60.655	0.0
60.66	-6.82124e-13
60.665	-4.54751e-13
60.67	-2.27375e-13
60.675	-6.82124e-13
60.68	-9.09502e-13
60.685	-4.54751e-13
60.69	-6.82124e-13
60.695	-6.82124e-13
60.7	-9.09502e-13
60.705	-9.09502e-13
60.71	-2.27375e-13
60.715	-2.27375e-13
60.72	-4.54751e-13
60.725	-4.54751e-13
60.73	-2.27375e-13
60.735	-4.54751e-13
60.74	-2.27375e-13
60.745	-4.54751e-13
60.75	-6.82124e-13
60.755	-2.27375e-13
60.76	2.27375e-13
60.765	4.54751e-13
60.77	0.0
60.775	0.0
60.78	0.0
60.785	0.0
60.79	2.27375e-13
60.795	4.54751e-13
60.8	6.82124e-13
60.805	9.09502e-13
60.81	4.54751e-13
60.815	4.54751e-13
60.82	2.27375e-13
60.825	4.54751e-13
60.83	0.0
60.835	0.0
60.84	4.54751e-13
60.845	9.09502e-13
60.85	2.27375e-13
60.855	2.27375e-13
60.86	4.54751e-13
60.865	4.54751e-13
60.87	2.27375e-13
60.875	0.0
60.88	0.0
60.885	0.0
60.89	-2.27375e-13
60.895	0.0
60.9	0.0
60.905	2.27375e-13
60.91	0.0
60.915	-4.54751e-13
60.92	0.0
60.925	4.54751e-13
60.93	2.27375e-13
60.935	-2.27375e-13
60.94	-4.54751e-13
60.945	-2.27375e-13
60.95	0.0
60.955	0.0
60.96	2.27375e-13
60.965	0.0
60.97	0.0
60.975	0.0
60.98	-4.54751e-13
60.985	0.0
60.99	0.0
60.995	0.0
61.0	0.0
61.005	0.0
61.01	0.0
61.015	0.0
61.02	0.0
61.025	-6.82124e-13
61.03	-2.27375e-13
61.035	0.0
61.04	-2.27375e-13
61.045	0.0
61.05	0.0
61.055	0.0
61.06	-2.27375e-13
61.065	-2.27375e-13
61.07	0.0
61.075	0.0
61.08	2.27375e-13
61.085	0.0
61.09	0.0
61.095	0.0
61.1	0.0
61.105	0.0
61.11	0.0
61.115	-2.27375e-13
61.12	0.0
61.125	2.27375e-13
61.13	0.0
61.135	2.27375e-13
61.14	2.27375e-13
61.145	0.0
61.15	2.27375e-13
61.155	0.0
61.16	4.54751e-13
61.165	4.54751e-13
61.17	4.54751e-13
61.175	0.0
61.18	-2.27375e-13
61.185	-2.27375e-13
61.19	0.0
61.195	4.54751e-13
61.2	2.27375e-13
61.205	4.54751e-13
61.21	0.0
61.215	2.27375e-13
61.22	-2.27375e-13
61.225	-2.27375e-13
61.23	-2.27375e-13
61.235	0.0
61.24	0.0
61.245	0.0
61.25	0.0
61.255	2.27375e-13
61.26	4.54751e-13
61.265	-2.27375e-13
61.27	-6.82124e-13
61.275	-4.54751e-13
61.28	-2.27375e-13
61.285	0.0
61.29	0.0
61.295	2.27375e-13
61.3	0.0
61.305	-2.27375e-13
61.31	0.0
61.315	0.0
61.32	4.54751e-13
61.325	0.0
61.33	-2.27375e-13
61.335	-4.54751e-13
61.34	-4.54751e-13
61.345	0.0
61.35	0.0
61.355	0.0
61.36	0.0
61.365	0.0
61.37	0.0
61.375	0.0
61.38	-4.54751e-13
61.385	-2.27375e-13
61.39	0.0
61.395	2.27375e-13
61.4	-2.27375e-13
61.405	0.0
61.41	0.0
61.415	0.0
61.42	0.0
61.425	0.0
61.43	0.0
61.435	0.0
61.44	0.0
61.445	0.0
61.45	2.27375e-13
61.455	2.27375e-13
61.46	2.27375e-13
61.465	-2.27375e-13
61.47	0.0
61.475	2.27375e-13
61.48	2.27375e-13
61.485	4.54751e-13
61.49	0.0
61.495	0.0
61.5	0.0
61.505	0.0
61.51	0.0
61.515	4.54751e-13
61.52	2.27375e-13
61.525	2.27375e-13
61.53	4.54751e-13
61.535	2.27375e-13
61.54	0.0
61.545	-2.27375e-13
61.55	0.0
61.555	2.27375e-13
61.56	4.54751e-13
61.565	2.27375e-13
61.57	0.0
61.575	2.27375e-13
61.58	4.54751e-13
61.585	2.27375e-13
61.59	4.54751e-13
61.595	4.54751e-13
61.6	2.27375e-13
61.605	2.27375e-13
61.61	9.09502e-13
61.615	9.09502e-13
61.62	6.82124e-13
61.625	9.09502e-13
61.63	6.82124e-13
61.635	4.54751e-13
61.64	0.0
61.645	4.54751e-13
61.65	6.82124e-13
61.655	4.54751e-13
61.66	0.0
61.665	4.54751e-13
61.67	4.54751e-13
61.675	4.54751e-13
61.68	6.82124e-13
61.685	4.54751e-13
61.69	6.82124e-13
61.695	4.54751e-13
61.7	4.54751e-13
61.705	6.82124e-13
61.71	9.09502e-13
61.715	6.82124e-13
61.72	4.54751e-13
61.725	4.54751e-13
61.73	6.82124e-13
61.735	1.13688e-12
61.74	4.54751e-13
61.745	6.82124e-13
61.75	9.09502e-13
61.755	4.54751e-13
61.76	9.09502e-13
61.765	4.54751e-13
61.77	0.0
61.775	0.0
61.78	-2.27375e-13
61.785	-2.27375e-13
61.79	0.0
61.795	-4.54751e-13
61.8	-6.82124e-13
61.805	-1.36425e-12
61.81	-1.36425e-12
61.815	-1.13688e-12
61.82	-1.36425e-12
61.825	-1.13688e-12
61.83	-2.04638e-12
61.835	-2.27375e-12
61.84	-2.04638e-12
61.845	-1.819e-12
61.85	-1.819e-12
61.855	-2.04638e-12
61.86	-2.04638e-12
61.865	-1.819e-12
61.87	-1.13688e-12
61.875	-9.09502e-13
61.88	-9.09502e-13
61.885	-6.82124e-13
61.89	-4.54751e-13
61.895	-6.82124e-13
61.9	0.0
61.905	4.54751e-13
61.91	6.82124e-13
61.915	1.13688e-12
61.92	1.13688e-12
61.925	1.13688e-12
61.93	9.09502e-13
61.935	1.13688e-12
61.94	1.59162e-12
61.945	1.59162e-12
61.95	1.819e-12
61.955	1.59162e-12
61.96	1.59162e-12
61.965	1.13688e-12
61.97	1.59162e-12
61.975	1.59162e-12
61.98	1.13688e-12
61.985	6.82124e-13
61.99	9.09502e-13
61.995	4.54751e-13
62.0	4.54751e-13
62.005	4.54751e-13
62.01	2.27375e-13
62.015	2.27375e-13
62.02	0.0
62.025	-2.27375e-13
62.03	-2.27375e-13
62.035	-1.13688e-12
62.04	-9.09502e-13
62.045	-1.13688e-12
62.05	-6.82124e-13
