pos	X
58.0	-2.27375e-12
58.005	-2.95587e-12
58.01	-2.04638e-12
58.015	-2.04638e-12
58.02	-2.7285e-12
58.025	-2.27375e-12
58.03	-2.95587e-12
58.035	-2.95587e-12
58.04	-3.18325e-12
58.045	-4.5475e-12
58.05	-4.5475e-12
58.055	-3.63801e-12
58.06	-5.00225e-12
58.065	-4.5475e-12
58.07	-5.00225e-12
58.075	-5.22962e-12
58.08	-5.68437e-12
58.085	-5.457e-12
58.09	-5.457e-12
58.095	-4.77487e-12
58.1	-5.457e-12
58.105	-5.00225e-12
58.11	-4.5475e-12
58.115	-5.68437e-12
58.12	-5.91174e-12
58.125	-5.91174e-12
58.13	-5.68437e-12
58.135	-5.457e-12
58.14	-6.82124e-12
58.145	-5.91174e-12
58.15	-7.04861e-12
58.155	-7.04861e-12
58.16	-7.50339e-12
58.165	-7.27601e-12
58.17	-6.82124e-12
58.175	-6.36649e-12
58.18	-8.18551e-12
58.185	-7.50339e-12
58.19	-7.95813e-12
58.195	-8.86763e-12
58.2	-8.64026e-12
58.205	-8.64026e-12
58.21	-8.18551e-12
58.215	-8.86763e-12
58.22	-1.0914e-11
58.225	-1.0914e-11
58.23	-1.0914e-11
58.235	-1.04592e-11
58.24	-1.20509e-11
58.245	-1.13687e-11
58.25	-1.25056e-11
58.255	-1.38698e-11
58.26	-1.54615e-11
58.265	-1.6371e-11
58.27	-1.72805e-11
58.275	-1.86448e-11
58.28	-1.88721e-11
58.285	-2.04637e-11
58.29	-2.25101e-11
58.295	-2.41017e-11
58.3	-2.56933e-11
58.305	-2.75123e-11
58.31	-2.88766e-11
58.315	-3.11504e-11
58.32	-3.34242e-11
58.325	-3.68348e-11
58.33	-3.88811e-11
58.335	-4.32012e-11
58.34	-4.50202e-11
58.345	-4.79761e-11
58.35	-5.20688e-11
58.355	-5.54794e-11
58.36	-5.84355e-11
58.365	-6.25282e-11
58.37	-6.57114e-11
58.375	-7.0941e-11
58.38	-7.66254e-11
58.385	-8.07181e-11
58.39	-8.59477e-11
58.395	-9.14047e-11
58.4	-9.75438e-11
58.405	-1.03455e-10
58.41	-1.10959e-10
58.415	-1.17553e-10
58.42	-1.26648e-10
58.425	-1.35061e-10
58.43	-1.46657e-10
58.435	-1.56661e-10
58.44	-1.64847e-10
58.445	-1.75306e-10
58.45	-1.88266e-10
58.455	-1.9918e-10
58.46	-2.11686e-10
58.465	-2.24191e-10
58.47	-2.35788e-10
58.475	-2.5034e-10
58.48	-2.63755e-10
58.485	-2.79671e-10
58.49	-2.95588e-10
58.495	-3.13323e-10
58.5	-3.31967e-10
58.505	-3.50612e-10
58.51	-3.69711e-10
58.515	-3.91767e-10
58.52	-4.13822e-10
58.525	-4.37696e-10
58.53	-4.60433e-10
58.535	-4.86128e-10
58.54	-5.11594e-10
58.545	-5.40698e-10
58.55	-5.65027e-10
58.555	-5.92994e-10
58.56	-6.21416e-10
58.565	-6.45972e-10
58.57	-6.70074e-10
58.575	-6.89173e-10
58.58	-7.04635e-10
58.585	-7.11228e-10
58.59	-7.09637e-10
58.595	-7.01224e-10
58.6	-6.78714e-10
58.605	-6.43244e-10
58.61	-5.91175e-10
58.615	-5.20689e-10
58.62	-4.38151e-10
58.625	-3.29694e-10
58.63	-2.04637e-10
58.635	-5.9345e-11
58.64	1.01182e-10
58.645	2.65574e-10
58.65	4.56795e-10
58.655	6.55067e-10
58.66	8.4265e-10
58.665	1.04706e-09
58.67	1.24169e-09
58.675	1.42655e-09
58.68	1.59549e-09
58.685	1.74374e-09
58.69	1.87153e-09
58.695	1.95702e-09
58.7	2.01636e-09
58.705	2.04706e-09
58.71	2.04206e-09
58.715	1.99999e-09
58.72	1.92723e-09
58.725	1.81672e-09
58.73	1.68098e-09
58.735	1.51523e-09
58.74	1.32491e-09
58.745	1.13074e-09
58.75	9.15637e-10
58.755	6.92584e-10
58.76	4.67256e-10
58.765	2.31467e-10
58.77	1.65984e-11
58.775	-1.84401e-10
58.78	-3.69257e-10
58.785	-5.30694e-10
58.79	-6.8167e-10
58.795	-8.08544e-10
58.8	-9.05178e-10
58.805	-9.76577e-10
58.81	-1.02296e-09
58.815	-1.04047e-09
58.82	-1.03319e-09
58.825	-1.00318e-09
58.83	-9.49974e-10
58.835	-8.72664e-10
58.84	-7.85125e-10
58.845	-6.70756e-10
58.85	-5.5002e-10
58.855	-4.1655e-10
58.86	-2.83991e-10
58.865	-1.48021e-10
58.87	-1.0914e-11
58.875	1.19827e-10
58.88	2.41018e-10
58.885	3.54023e-10
58.89	4.4861e-10
58.895	5.27283e-10
58.9	5.82535e-10
58.905	6.24144e-10
58.91	6.44835e-10
58.915	6.46427e-10
58.92	6.30966e-10
58.925	5.9595e-10
58.93	5.46837e-10
58.935	4.84082e-10
58.94	4.17687e-10
58.945	3.45155e-10
58.95	2.67621e-10
58.955	1.88266e-10
58.96	1.16871e-10
58.965	5.09319e-11
58.97	-1.25056e-11
58.975	-6.32103e-11
58.98	-1.0482e-10
58.985	-1.3688e-10
58.99	-1.58708e-10
58.995	-1.70531e-10
59.0	-1.75306e-10
59.005	-1.7235e-10
59.01	-1.64165e-10
59.015	-1.52569e-10
59.02	-1.39381e-10
59.025	-1.22555e-10
59.03	-1.06411e-10
59.035	-9.09499e-11
59.04	-7.75349e-11
59.045	-6.68483e-11
59.05	-5.75258e-11
59.055	-5.25235e-11
59.06	-5.00224e-11
