pos	X
58.0	2.04638e-12
58.005	2.27375e-12
58.01	2.04638e-12
58.015	2.27375e-12
58.02	2.27375e-12
58.025	2.27375e-12
58.03	1.819e-12
58.035	2.04638e-12
58.04	1.819e-12
58.045	2.04638e-12
58.05	1.819e-12
58.055	2.04638e-12
58.06	2.04638e-12
58.065	2.04638e-12
58.07	2.27375e-12
58.075	1.819e-12
58.08	1.819e-12
58.085	2.27375e-12
58.09	2.27375e-12
58.095	2.04638e-12
58.1	2.27375e-12
58.105	2.27375e-12
58.11	2.50112e-12
58.115	2.27375e-12
58.12	2.27375e-12
58.125	2.7285e-12
58.13	2.95587e-12
58.135	3.18325e-12
58.14	2.95587e-12
58.145	3.63801e-12
58.15	3.63801e-12
58.155	3.86538e-12
58.16	4.09275e-12
58.165	4.32013e-12
58.17	4.77487e-12
58.175	5.22962e-12
58.18	5.22962e-12
58.185	5.91174e-12
58.19	6.36649e-12
58.195	7.04861e-12
58.2	7.27601e-12
58.205	7.73076e-12
58.21	8.41288e-12
58.215	8.86763e-12
58.22	9.095e-12
58.225	1.02319e-11
58.23	1.04592e-11
58.235	1.13687e-11
58.24	1.20509e-11
58.245	1.2733e-11
58.25	1.34151e-11
58.255	1.47794e-11
58.26	1.52341e-11
58.265	1.59163e-11
58.27	1.72805e-11
58.275	1.819e-11
58.28	1.90995e-11
58.285	2.02364e-11
58.29	2.11459e-11
58.295	2.22827e-11
58.3	2.34196e-11
58.305	2.47838e-11
58.31	2.5466e-11
58.315	2.68302e-11
58.32	2.77397e-11
58.325	2.93314e-11
58.33	3.0923e-11
58.335	3.16052e-11
58.34	3.25147e-11
58.345	3.36515e-11
58.35	3.47884e-11
58.355	3.54705e-11
58.36	3.61526e-11
58.365	3.61526e-11
58.37	3.638e-11
58.375	3.61526e-11
58.38	3.59253e-11
58.385	3.47884e-11
58.39	3.34242e-11
58.395	3.16052e-11
58.4	2.91041e-11
58.405	2.56933e-11
58.41	2.22827e-11
58.415	1.77353e-11
58.42	1.25056e-11
58.425	6.36649e-12
58.43	-6.82124e-13
58.435	-8.86763e-12
58.44	-1.88721e-11
58.445	-3.00135e-11
58.45	-4.1837e-11
58.455	-5.5252e-11
58.46	-7.07137e-11
58.465	-8.79941e-11
58.47	-1.05729e-10
58.475	-1.2733e-10
58.48	-1.50295e-10
58.485	-1.75533e-10
58.49	-2.035e-10
58.495	-2.33287e-10
58.5	-2.6421e-10
58.505	-2.9968e-10
58.51	-3.34241e-10
58.515	-3.73804e-10
58.52	-4.12003e-10
58.525	-4.54067e-10
58.53	-4.99316e-10
58.535	-5.38652e-10
58.54	-5.75941e-10
58.545	-6.10502e-10
58.55	-6.46882e-10
58.555	-6.68937e-10
58.56	-6.83489e-10
58.565	-6.92129e-10
58.57	-6.87582e-10
58.575	-6.63707e-10
58.58	-6.29147e-10
58.585	-5.62526e-10
58.59	-4.84082e-10
58.595	-3.80625e-10
58.6	-2.60799e-10
58.605	-1.10277e-10
58.61	6.34377e-11
58.615	2.38062e-10
58.62	4.34968e-10
58.625	6.53475e-10
58.63	8.68116e-10
58.635	1.07458e-09
58.64	1.26443e-09
58.645	1.45156e-09
58.65	1.60868e-09
58.655	1.71918e-09
58.66	1.79694e-09
58.665	1.83673e-09
58.67	1.83559e-09
58.675	1.79376e-09
58.68	1.71509e-09
58.685	1.59594e-09
58.69	1.43542e-09
58.695	1.25215e-09
58.7	1.03888e-09
58.705	8.1241e-10
58.71	5.6821e-10
58.715	3.32195e-10
58.72	9.48153e-11
58.725	-1.47112e-10
58.73	-3.7153e-10
58.735	-5.78215e-10
58.74	-7.56021e-10
58.745	-9.15183e-10
58.75	-1.04934e-09
58.755	-1.15757e-09
58.76	-1.23124e-09
58.765	-1.27989e-09
58.77	-1.2924e-09
58.775	-1.28058e-09
58.78	-1.2467e-09
58.785	-1.19076e-09
58.79	-1.11596e-09
58.795	-1.02296e-09
58.8	-9.18593e-10
58.805	-8.05134e-10
58.81	-6.76668e-10
58.815	-5.48201e-10
58.82	-4.21325e-10
58.825	-2.93769e-10
58.83	-1.67348e-10
58.835	-5.07046e-11
58.84	6.1164e-11
58.845	1.63483e-10
58.85	2.57389e-10
58.855	3.38789e-10
58.86	4.045e-10
58.865	4.60888e-10
58.87	5.03636e-10
58.875	5.31831e-10
58.88	5.5093e-10
58.885	5.57296e-10
58.89	5.48429e-10
58.895	5.31148e-10
58.9	5.0591e-10
58.905	4.72259e-10
58.91	4.29283e-10
58.915	3.8108e-10
58.92	3.28102e-10
58.925	2.71486e-10
58.93	2.12823e-10
58.935	1.52114e-10
58.94	9.54974e-11
58.945	4.0018e-11
58.95	-1.47794e-11
58.955	-6.61662e-11
58.96	-1.11868e-10
58.965	-1.5416e-10
58.97	-1.93496e-10
58.975	-2.23964e-10
58.98	-2.52159e-10
58.985	-2.73532e-10
58.99	-2.89903e-10
58.995	-3.00362e-10
59.0	-3.03091e-10
59.005	-3.03773e-10
59.01	-2.98771e-10
59.015	-2.89676e-10
59.02	-2.77398e-10
59.025	-2.62164e-10
59.03	-2.43292e-10
59.035	-2.20781e-10
59.04	-1.98043e-10
59.045	-1.75988e-10
59.05	-1.52341e-10
59.055	-1.28012e-10
59.06	-1.05274e-10
59.065	-8.14002e-11
59.07	-5.9345e-11
59.075	-3.86537e-11
59.08	-1.95542e-11
59.085	-2.04638e-12
59.09	1.43246e-11
59.095	2.79671e-11
59.1	3.97906e-11
59.105	5.00224e-11
59.11	5.82081e-11
59.115	6.38924e-11
59.12	6.84399e-11
59.125	7.04863e-11
59.13	7.02589e-11
59.135	6.84399e-11
59.14	6.48019e-11
59.145	5.95723e-11
59.15	5.27509e-11
59.155	4.47928e-11
59.16	3.638e-11
59.165	2.68302e-11
59.17	1.75079e-11
59.175	8.18551e-12
59.18	0.0
59.185	-7.73076e-12
59.19	-1.4552e-11
59.195	-2.02364e-11
59.2	-2.38743e-11
59.205	-2.68302e-11
59.21	-2.75123e-11
59.215	-2.70576e-11
59.22	-2.63755e-11
59.225	-2.45565e-11
59.23	-2.13732e-11
59.235	-1.72805e-11
59.24	-1.31877e-11
59.245	-8.64026e-12
59.25	-4.5475e-12
59.255	2.27375e-13
59.26	4.32013e-12
59.265	9.32238e-12
59.27	1.31877e-11
59.275	1.75079e-11
59.28	2.09185e-11
59.285	2.43291e-11
59.29	2.7285e-11
59.295	3.04683e-11
59.3	3.31968e-11
59.305	3.61526e-11
59.31	3.84264e-11
59.315	4.04727e-11
59.32	4.16096e-11
59.325	4.29738e-11
59.33	4.41107e-11
59.335	4.45655e-11
59.34	4.50202e-11
59.345	4.41107e-11
59.35	4.32012e-11
59.355	4.22917e-11
59.36	4.07001e-11
59.365	3.91085e-11
59.37	3.66074e-11
59.375	3.41063e-11
59.38	3.11504e-11
59.385	2.79671e-11
59.39	2.41017e-11
59.395	2.04637e-11
59.4	1.65984e-11
59.405	1.29604e-11
59.41	8.41288e-12
59.415	4.09275e-12
59.42	4.54751e-13
59.425	-3.86538e-12
59.43	-7.95813e-12
59.435	-1.18235e-11
59.44	-1.50068e-11
59.445	-1.77353e-11
59.45	-2.0009e-11
59.455	-2.20554e-11
59.46	-2.27375e-11
59.465	-2.34196e-11
59.47	-2.31922e-11
59.475	-2.1828e-11
59.48	-2.09185e-11
59.485	-1.88721e-11
59.49	-1.65984e-11
59.495	-1.40972e-11
59.5	-1.13687e-11
59.505	-8.64026e-12
59.51	-5.457e-12
59.515	-2.7285e-12
59.52	4.54751e-13
59.525	3.63801e-12
59.53	6.59386e-12
59.535	9.32238e-12
59.54	1.20509e-11
59.545	1.47794e-11
59.55	1.72805e-11
59.555	1.95542e-11
59.56	2.16006e-11
59.565	2.29649e-11
59.57	2.52386e-11
59.575	2.61481e-11
59.58	2.63755e-11
59.585	2.63755e-11
59.59	2.61481e-11
59.595	2.56933e-11
59.6	2.43291e-11
59.605	2.3647e-11
59.61	2.1828e-11
59.615	2.0009e-11
59.62	1.79626e-11
59.625	1.68258e-11
59.63	1.50068e-11
59.635	1.31877e-11
59.64	1.11414e-11
59.645	9.32238e-12
59.65	7.95813e-12
59.655	6.13912e-12
59.66	4.77487e-12
59.665	3.18325e-12
59.67	1.59162e-12
59.675	4.54751e-13
59.68	-1.13688e-12
59.685	-2.50112e-12
59.69	-3.86538e-12
59.695	-5.00225e-12
59.7	-6.36649e-12
59.705	-7.50339e-12
59.71	-8.18551e-12
59.715	-8.86763e-12
59.72	-9.32238e-12
59.725	-9.095e-12
59.73	-9.095e-12
59.735	-8.86763e-12
59.74	-7.95813e-12
59.745	-6.82124e-12
59.75	-5.00225e-12
59.755	-3.63801e-12
59.76	-2.50112e-12
59.765	-2.27375e-13
59.77	1.59162e-12
59.775	3.18325e-12
59.78	4.77487e-12
59.785	6.59386e-12
59.79	7.95813e-12
59.795	8.86763e-12
59.8	9.77712e-12
59.805	1.06866e-11
59.81	1.18235e-11
59.815	1.20509e-11
59.82	1.22782e-11
59.825	1.22782e-11
59.83	1.2733e-11
59.835	1.29604e-11
59.84	1.29604e-11
59.845	1.2733e-11
59.85	1.22782e-11
59.855	1.18235e-11
59.86	1.18235e-11
59.865	1.06866e-11
59.87	9.54975e-12
59.875	8.64026e-12
59.88	7.50339e-12
59.885	6.82124e-12
59.89	5.457e-12
59.895	3.63801e-12
59.9	2.27375e-12
59.905	1.59162e-12
59.91	6.82124e-13
59.915	-2.27375e-13
59.92	-6.82124e-13
59.925	-9.09502e-13
59.93	-1.13688e-12
59.935	-1.13688e-12
59.94	-1.36425e-12
59.945	-1.13688e-12
59.95	-1.36425e-12
59.955	-9.09502e-13
59.96	-6.82124e-13
59.965	-6.82124e-13
59.97	-6.82124e-13
59.975	-9.09502e-13
59.98	-9.09502e-13
59.985	-1.36425e-12
59.99	-1.59162e-12
59.995	-1.59162e-12
60.0	-2.04638e-12
60.005	-2.50112e-12
60.01	-2.50112e-12
60.015	-2.95587e-12
60.02	-2.95587e-12
60.025	-3.18325e-12
60.03	-3.18325e-12
60.035	-2.95587e-12
