pos	X
58.0	2.95587e-12
58.005	2.27375e-12
58.01	2.27375e-12
58.015	2.04638e-12
58.02	2.04638e-12
58.025	1.819e-12
58.03	1.819e-12
58.035	2.04638e-12
58.04	2.04638e-12
58.045	2.27375e-12
58.05	2.27375e-12
58.055	2.50112e-12
58.06	2.27375e-12
58.065	1.819e-12
58.07	1.819e-12
58.075	1.59162e-12
58.08	1.59162e-12
58.085	1.819e-12
58.09	1.819e-12
58.095	1.36425e-12
58.1	1.819e-12
58.105	2.04638e-12
58.11	2.04638e-12
58.115	2.7285e-12
58.12	2.95587e-12
58.125	3.18325e-12
58.13	2.95587e-12
58.135	2.27375e-12
58.14	2.7285e-12
58.145	3.41062e-12
58.15	3.63801e-12
58.155	3.41062e-12
58.16	3.63801e-12
58.165	4.32013e-12
58.17	4.77487e-12
58.175	5.68437e-12
58.18	6.13912e-12
58.185	6.59386e-12
58.19	6.82124e-12
58.195	7.27601e-12
58.2	7.27601e-12
58.205	7.95813e-12
58.21	8.41288e-12
58.215	8.64026e-12
58.22	9.32238e-12
58.225	9.77712e-12
58.23	1.06866e-11
58.235	1.11414e-11
58.24	1.18235e-11
58.245	1.25056e-11
58.25	1.36425e-11
58.255	1.43246e-11
58.26	1.52341e-11
58.265	1.59163e-11
58.27	1.6371e-11
58.275	1.75079e-11
58.28	1.86448e-11
58.285	1.97816e-11
58.29	2.09185e-11
58.295	2.13732e-11
58.3	2.25101e-11
58.305	2.3647e-11
58.31	2.5466e-11
58.315	2.59207e-11
58.32	2.66028e-11
58.325	2.86492e-11
58.33	3.02409e-11
58.335	3.16052e-11
58.34	3.22873e-11
58.345	3.34242e-11
58.35	3.38789e-11
58.355	3.50158e-11
58.36	3.61526e-11
58.365	3.66074e-11
58.37	3.66074e-11
58.375	3.638e-11
58.38	3.59253e-11
58.385	3.52431e-11
58.39	3.36515e-11
58.395	3.16052e-11
58.4	2.95588e-11
58.405	2.68302e-11
58.41	2.27375e-11
58.415	1.819e-11
58.42	1.25056e-11
58.425	7.27601e-12
58.43	0.0
58.435	-8.86763e-12
58.44	-1.88721e-11
58.445	-2.84218e-11
58.45	-4.16096e-11
58.455	-5.54794e-11
58.46	-6.98042e-11
58.465	-8.50382e-11
58.47	-1.05957e-10
58.475	-1.26193e-10
58.48	-1.47339e-10
58.485	-1.69849e-10
58.49	-1.96679e-10
58.495	-2.2601e-10
58.5	-2.59208e-10
58.505	-2.91722e-10
58.51	-3.29466e-10
58.515	-3.66301e-10
58.52	-4.02908e-10
58.525	-4.41334e-10
58.53	-4.84537e-10
58.535	-5.2319e-10
58.54	-5.60025e-10
58.545	-5.95723e-10
58.55	-6.31875e-10
58.555	-6.5825e-10
58.56	-6.78487e-10
58.565	-6.87582e-10
58.57	-6.82807e-10
58.575	-6.66436e-10
58.58	-6.36195e-10
58.585	-5.82308e-10
58.59	-5.01817e-10
58.595	-4.14959e-10
58.6	-2.92177e-10
58.605	-1.48703e-10
58.61	1.93269e-11
58.615	1.85993e-10
58.62	3.84036e-10
58.625	5.88901e-10
58.63	7.83761e-10
58.635	9.99314e-10
58.64	1.19099e-09
58.645	1.38267e-09
58.65	1.54615e-09
58.655	1.67689e-09
58.66	1.76784e-09
58.665	1.81718e-09
58.67	1.829e-09
58.675	1.79603e-09
58.68	1.73896e-09
58.685	1.61777e-09
58.69	1.46634e-09
58.695	1.29081e-09
58.7	1.09208e-09
58.705	8.63569e-10
58.71	6.34831e-10
58.715	3.84263e-10
58.72	1.53478e-10
58.725	-8.75393e-11
58.73	-3.08093e-10
58.735	-5.23645e-10
58.74	-7.15549e-10
58.745	-8.84032e-10
58.75	-1.00454e-09
58.755	-1.12119e-09
58.76	-1.206e-09
58.765	-1.26466e-09
58.77	-1.28785e-09
58.775	-1.2833e-09
58.78	-1.25329e-09
58.785	-1.20622e-09
58.79	-1.13346e-09
58.795	-1.05297e-09
58.8	-9.4952e-10
58.805	-8.40149e-10
58.81	-7.11911e-10
58.815	-5.85491e-10
58.82	-4.66347e-10
58.825	-3.28557e-10
58.83	-2.00544e-10
58.835	-8.04907e-11
58.84	3.0923e-11
58.845	1.28467e-10
58.85	2.19416e-10
58.855	3.01045e-10
58.86	3.68575e-10
58.865	4.26555e-10
58.87	4.75669e-10
58.875	5.10457e-10
58.88	5.32967e-10
58.885	5.41153e-10
58.89	5.41608e-10
58.895	5.30921e-10
58.9	5.08866e-10
58.905	4.84082e-10
58.91	4.47473e-10
58.915	4.05409e-10
58.92	3.55614e-10
58.925	3.07184e-10
58.93	2.50113e-10
58.935	1.90767e-10
58.94	1.28922e-10
58.945	7.52611e-11
58.95	1.86448e-11
58.955	-3.54705e-11
58.96	-8.77667e-11
58.965	-1.35516e-10
58.97	-1.79853e-10
58.975	-2.1396e-10
58.98	-2.4602e-10
58.985	-2.70804e-10
58.99	-2.90358e-10
58.995	-3.04e-10
59.0	-3.10822e-10
59.005	-3.12186e-10
59.01	-3.06501e-10
59.015	-2.9968e-10
59.02	-2.89221e-10
59.025	-2.74214e-10
59.03	-2.55342e-10
59.035	-2.31695e-10
59.04	-2.11004e-10
59.045	-1.86447e-10
59.05	-1.5939e-10
59.055	-1.36198e-10
59.06	-1.11186e-10
59.065	-8.64024e-11
59.07	-6.32103e-11
59.075	-3.91085e-11
59.08	-2.0009e-11
59.085	-3.63801e-12
59.09	1.22782e-11
59.095	2.66028e-11
59.1	3.79716e-11
59.105	4.66118e-11
59.11	5.45699e-11
59.115	5.97997e-11
59.12	6.2983e-11
59.125	6.48019e-11
59.13	6.43472e-11
59.135	6.2983e-11
59.14	5.97997e-11
59.145	5.61615e-11
59.15	5.11593e-11
59.155	4.41107e-11
59.16	3.77443e-11
59.165	3.06957e-11
59.17	2.3647e-11
59.175	1.59163e-11
59.18	9.32238e-12
59.185	3.63801e-12
59.19	-1.819e-12
59.195	-7.04861e-12
59.2	-1.13687e-11
59.205	-1.50068e-11
59.21	-1.75079e-11
59.215	-1.88721e-11
59.22	-1.86448e-11
59.225	-1.84174e-11
59.23	-1.75079e-11
59.235	-1.59163e-11
59.24	-1.31877e-11
59.245	-1.00045e-11
59.25	-7.04861e-12
59.255	-3.18325e-12
59.26	6.82124e-13
59.265	4.77487e-12
59.27	8.86763e-12
59.275	1.25056e-11
59.28	1.65984e-11
59.285	2.0009e-11
59.29	2.3647e-11
59.295	2.68302e-11
59.3	2.97862e-11
59.305	3.29694e-11
59.31	3.54705e-11
59.315	3.79716e-11
59.32	3.91085e-11
59.325	3.93359e-11
59.33	3.93359e-11
59.335	4.0018e-11
59.34	4.04727e-11
59.345	3.97906e-11
59.35	3.86537e-11
59.355	3.72895e-11
59.36	3.54705e-11
59.365	3.29694e-11
59.37	3.0923e-11
59.375	2.88766e-11
59.38	2.50112e-11
59.385	2.25101e-11
59.39	1.95542e-11
59.395	1.68258e-11
59.4	1.40972e-11
59.405	1.13687e-11
59.41	8.41288e-12
59.415	5.22962e-12
59.42	3.18325e-12
59.425	4.54751e-13
59.43	-1.59162e-12
59.435	-3.86538e-12
59.44	-5.68437e-12
59.445	-7.50339e-12
59.45	-8.86763e-12
59.455	-1.02319e-11
59.46	-1.04592e-11
59.465	-1.06866e-11
59.47	-1.13687e-11
59.475	-1.13687e-11
59.48	-1.13687e-11
59.485	-1.02319e-11
59.49	-9.54975e-12
59.495	-8.18551e-12
59.5	-7.50339e-12
59.505	-6.36649e-12
59.51	-4.77487e-12
59.515	-2.7285e-12
59.52	-4.54751e-13
59.525	1.13688e-12
59.53	2.50112e-12
59.535	4.09275e-12
59.54	6.13912e-12
59.545	7.27601e-12
59.55	8.64026e-12
59.555	1.04592e-11
59.56	1.2733e-11
59.565	1.43246e-11
59.57	1.56889e-11
59.575	1.70531e-11
59.58	1.75079e-11
59.585	1.84174e-11
59.59	1.86448e-11
59.595	1.90995e-11
59.6	1.93269e-11
59.605	1.88721e-11
59.61	1.819e-11
59.615	1.72805e-11
59.62	1.65984e-11
59.625	1.54615e-11
59.63	1.4552e-11
59.635	1.29604e-11
59.64	1.20509e-11
59.645	1.06866e-11
59.65	9.32238e-12
59.655	7.95813e-12
59.66	6.59386e-12
59.665	4.77487e-12
59.67	4.32013e-12
59.675	2.27375e-12
59.68	1.59162e-12
59.685	6.82124e-13
59.69	-4.54751e-13
59.695	-1.36425e-12
59.7	-2.50112e-12
59.705	-2.7285e-12
59.71	-3.18325e-12
59.715	-3.18325e-12
59.72	-3.18325e-12
59.725	-3.18325e-12
59.73	-3.18325e-12
59.735	-3.18325e-12
59.74	-2.7285e-12
59.745	-2.04638e-12
59.75	-1.36425e-12
59.755	0.0
59.76	2.27375e-13
59.765	1.13688e-12
59.77	2.04638e-12
59.775	2.7285e-12
59.78	3.63801e-12
59.785	4.32013e-12
59.79	5.457e-12
59.795	5.457e-12
59.8	6.13912e-12
59.805	6.82124e-12
59.81	7.04861e-12
59.815	7.27601e-12
59.82	7.95813e-12
59.825	8.41288e-12
59.83	8.41288e-12
59.835	8.41288e-12
59.84	8.64026e-12
59.845	9.32238e-12
59.85	9.32238e-12
59.855	9.32238e-12
59.86	9.095e-12
59.865	8.64026e-12
59.87	8.41288e-12
59.875	7.95813e-12
59.88	7.27601e-12
59.885	6.13912e-12
59.89	5.91174e-12
59.895	4.77487e-12
59.9	3.63801e-12
59.905	2.50112e-12
59.91	1.819e-12
59.915	9.09502e-13
59.92	0.0
59.925	-6.82124e-13
59.93	-9.09502e-13
59.935	-1.36425e-12
59.94	-2.04638e-12
59.945	-2.27375e-12
59.95	-2.27375e-12
