pos	X
59.5	2.27375e-13
59.505	-4.54751e-13
59.51	2.27375e-13
59.515	2.27375e-13
59.52	2.27375e-13
59.525	0.0
59.53	0.0
59.535	4.54751e-13
59.54	0.0
59.545	2.27375e-13
59.55	4.54751e-13
59.555	4.54751e-13
59.56	4.54751e-13
59.565	9.09502e-13
59.57	9.09502e-13
59.575	1.13688e-12
59.58	4.54751e-13
59.585	6.82124e-13
59.59	4.54751e-13
59.595	4.54751e-13
59.6	4.54751e-13
59.605	4.54751e-13
59.61	6.82124e-13
59.615	6.82124e-13
59.62	6.82124e-13
59.625	1.13688e-12
59.63	6.82124e-13
59.635	4.54751e-13
59.64	4.54751e-13
59.645	4.54751e-13
59.65	4.54751e-13
59.655	6.82124e-13
59.66	9.09502e-13
59.665	4.54751e-13
59.67	6.82124e-13
59.675	9.09502e-13
59.68	6.82124e-13
59.685	0.0
59.69	2.27375e-13
59.695	6.82124e-13
59.7	6.82124e-13
59.705	6.82124e-13
59.71	4.54751e-13
59.715	4.54751e-13
59.72	4.54751e-13
59.725	4.54751e-13
59.73	4.54751e-13
59.735	0.0
59.74	0.0
59.745	4.54751e-13
59.75	4.54751e-13
59.755	2.27375e-13
59.76	4.54751e-13
59.765	4.54751e-13
59.77	4.54751e-13
59.775	4.54751e-13
59.78	4.54751e-13
59.785	4.54751e-13
59.79	6.82124e-13
59.795	4.54751e-13
59.8	4.54751e-13
59.805	6.82124e-13
59.81	4.54751e-13
59.815	6.82124e-13
59.82	9.09502e-13
59.825	4.54751e-13
59.83	4.54751e-13
59.835	4.54751e-13
59.84	4.54751e-13
59.845	4.54751e-13
59.85	0.0
59.855	4.54751e-13
59.86	2.27375e-13
59.865	2.27375e-13
59.87	6.82124e-13
59.875	6.82124e-13
59.88	4.54751e-13
59.885	4.54751e-13
59.89	4.54751e-13
59.895	4.54751e-13
59.9	4.54751e-13
59.905	4.54751e-13
59.91	4.54751e-13
59.915	4.54751e-13
59.92	0.0
59.925	2.27375e-13
59.93	4.54751e-13
59.935	4.54751e-13
59.94	4.54751e-13
59.945	4.54751e-13
59.95	4.54751e-13
59.955	4.54751e-13
59.96	6.82124e-13
59.965	1.13688e-12
59.97	4.54751e-13
59.975	2.27375e-13
59.98	4.54751e-13
59.985	4.54751e-13
59.99	0.0
59.995	0.0
60.0	2.27375e-13
60.005	0.0
60.01	0.0
60.015	2.27375e-13
60.02	4.54751e-13
60.025	6.82124e-13
60.03	4.54751e-13
60.035	0.0
60.04	0.0
60.045	-2.27375e-13
60.05	0.0
60.055	0.0
60.06	2.27375e-13
60.065	0.0
60.07	-4.54751e-13
60.075	-4.54751e-13
60.08	-2.27375e-13
60.085	-2.27375e-13
60.09	-9.09502e-13
60.095	-9.09502e-13
60.1	-1.13688e-12
60.105	-1.36425e-12
60.11	-1.13688e-12
60.115	-1.59162e-12
60.12	-2.04638e-12
60.125	-2.7285e-12
60.13	-2.7285e-12
60.135	-3.18325e-12
60.14	-3.18325e-12
60.145	-3.41062e-12
60.15	-3.18325e-12
60.155	-3.86538e-12
60.16	-4.5475e-12
60.165	-5.00225e-12
60.17	-4.32013e-12
60.175	-4.09275e-12
60.18	-3.86538e-12
60.185	-3.63801e-12
60.19	-3.86538e-12
60.195	-3.86538e-12
60.2	-2.50112e-12
60.205	-2.27375e-12
60.21	-2.04638e-12
60.215	-6.82124e-13
60.22	4.54751e-13
60.225	1.36425e-12
60.23	2.04638e-12
60.235	2.95587e-12
60.24	3.86538e-12
60.245	5.457e-12
60.25	7.27601e-12
60.255	8.41288e-12
60.26	9.32238e-12
60.265	1.04592e-11
60.27	1.0914e-11
60.275	1.18235e-11
60.28	1.22782e-11
60.285	1.22782e-11
60.29	1.22782e-11
60.295	1.2733e-11
60.3	1.20509e-11
60.305	1.11414e-11
60.31	1.00045e-11
60.315	8.64026e-12
60.32	7.73076e-12
60.325	6.13912e-12
60.33	4.32013e-12
60.335	2.7285e-12
60.34	9.09502e-13
60.345	-4.54751e-13
60.35	-2.04638e-12
60.355	-3.41062e-12
60.36	-5.00225e-12
60.365	-6.36649e-12
60.37	-6.82124e-12
60.375	-7.50339e-12
60.38	-8.18551e-12
60.385	-8.41288e-12
60.39	-8.86763e-12
60.395	-8.86763e-12
60.4	-8.64026e-12
60.405	-8.64026e-12
60.41	-8.18551e-12
60.415	-7.50339e-12
60.42	-6.82124e-12
60.425	-5.68437e-12
60.43	-5.00225e-12
60.435	-3.63801e-12
60.44	-2.50112e-12
60.445	-1.59162e-12
60.45	-1.13688e-12
60.455	0.0
60.46	1.13688e-12
60.465	1.13688e-12
60.47	2.27375e-12
60.475	3.18325e-12
60.48	3.63801e-12
60.485	3.86538e-12
60.49	4.09275e-12
60.495	4.09275e-12
60.5	4.77487e-12
