pos	X
59.5	9.09502e-13
59.505	4.54751e-13
59.51	2.27375e-13
59.515	4.54751e-13
59.52	4.54751e-13
59.525	6.82124e-13
59.53	4.54751e-13
59.535	4.54751e-13
59.54	6.82124e-13
59.545	4.54751e-13
59.55	4.54751e-13
59.555	9.09502e-13
59.56	6.82124e-13
59.565	2.27375e-13
59.57	4.54751e-13
59.575	2.27375e-13
59.58	2.27375e-13
59.585	2.27375e-13
59.59	2.27375e-13
59.595	0.0
59.6	4.54751e-13
59.605	4.54751e-13
59.61	6.82124e-13
59.615	6.82124e-13
59.62	2.27375e-13
59.625	6.82124e-13
59.63	4.54751e-13
59.635	4.54751e-13
59.64	4.54751e-13
59.645	4.54751e-13
59.65	4.54751e-13
59.655	4.54751e-13
59.66	4.54751e-13
59.665	4.54751e-13
59.67	0.0
59.675	0.0
59.68	9.09502e-13
59.685	9.09502e-13
59.69	4.54751e-13
59.695	4.54751e-13
59.7	6.82124e-13
59.705	6.82124e-13
59.71	9.09502e-13
59.715	6.82124e-13
59.72	6.82124e-13
59.725	4.54751e-13
59.73	4.54751e-13
59.735	1.13688e-12
59.74	9.09502e-13
59.745	9.09502e-13
59.75	4.54751e-13
59.755	2.27375e-13
59.76	4.54751e-13
59.765	4.54751e-13
59.77	4.54751e-13
59.775	6.82124e-13
59.78	9.09502e-13
59.785	1.13688e-12
59.79	1.13688e-12
59.795	9.09502e-13
59.8	4.54751e-13
59.805	4.54751e-13
59.81	4.54751e-13
59.815	6.82124e-13
59.82	6.82124e-13
59.825	1.13688e-12
59.83	6.82124e-13
59.835	6.82124e-13
59.84	9.09502e-13
59.845	4.54751e-13
59.85	4.54751e-13
59.855	4.54751e-13
59.86	4.54751e-13
59.865	4.54751e-13
59.87	1.13688e-12
59.875	1.13688e-12
59.88	6.82124e-13
59.885	4.54751e-13
59.89	2.27375e-13
59.895	4.54751e-13
59.9	4.54751e-13
59.905	6.82124e-13
59.91	1.13688e-12
59.915	4.54751e-13
59.92	4.54751e-13
59.925	9.09502e-13
59.93	4.54751e-13
59.935	4.54751e-13
59.94	4.54751e-13
59.945	6.82124e-13
59.95	2.27375e-13
59.955	4.54751e-13
59.96	4.54751e-13
59.965	6.82124e-13
59.97	6.82124e-13
59.975	9.09502e-13
59.98	4.54751e-13
59.985	6.82124e-13
59.99	4.54751e-13
59.995	2.27375e-13
60.0	0.0
60.005	0.0
60.01	4.54751e-13
60.015	2.27375e-13
60.02	4.54751e-13
60.025	0.0
60.03	4.54751e-13
60.035	-2.27375e-13
60.04	2.27375e-13
60.045	4.54751e-13
60.05	6.82124e-13
60.055	4.54751e-13
60.06	2.27375e-13
60.065	0.0
60.07	2.27375e-13
60.075	0.0
60.08	-4.54751e-13
60.085	-6.82124e-13
60.09	-1.13688e-12
60.095	-9.09502e-13
60.1	-1.59162e-12
60.105	-1.59162e-12
60.11	-1.59162e-12
60.115	-1.819e-12
60.12	-2.27375e-12
60.125	-2.27375e-12
60.13	-2.50112e-12
60.135	-2.7285e-12
60.14	-2.50112e-12
60.145	-2.50112e-12
60.15	-3.18325e-12
60.155	-3.18325e-12
60.16	-3.41062e-12
60.165	-4.32013e-12
60.17	-3.63801e-12
60.175	-3.86538e-12
60.18	-4.32013e-12
60.185	-4.09275e-12
60.19	-3.86538e-12
60.195	-2.95587e-12
60.2	-2.50112e-12
60.205	-2.27375e-12
60.21	-1.36425e-12
60.215	-1.13688e-12
60.22	0.0
60.225	4.54751e-13
60.23	1.36425e-12
60.235	2.50112e-12
60.24	4.09275e-12
60.245	4.77487e-12
60.25	5.91174e-12
60.255	6.82124e-12
60.26	7.95813e-12
60.265	9.095e-12
60.27	1.00045e-11
60.275	1.0914e-11
60.28	1.11414e-11
60.285	1.18235e-11
60.29	1.22782e-11
60.295	1.22782e-11
60.3	1.18235e-11
60.305	1.11414e-11
60.31	1.04592e-11
60.315	9.32238e-12
