pos	X
59.5	2.27375e-13
59.505	2.27375e-13
59.51	2.27375e-13
59.515	6.82124e-13
59.52	6.82124e-13
59.525	4.54751e-13
59.53	4.54751e-13
59.535	4.54751e-13
59.54	4.54751e-13
59.545	4.54751e-13
59.55	4.54751e-13
59.555	4.54751e-13
59.56	4.54751e-13
59.565	4.54751e-13
59.57	9.09502e-13
59.575	6.82124e-13
59.58	4.54751e-13
59.585	4.54751e-13
59.59	4.54751e-13
59.595	9.09502e-13
59.6	4.54751e-13
59.605	6.82124e-13
59.61	4.54751e-13
59.615	4.54751e-13
59.62	1.13688e-12
59.625	9.09502e-13
59.63	1.13688e-12
59.635	9.09502e-13
59.64	6.82124e-13
59.645	0.0
59.65	4.54751e-13
59.655	6.82124e-13
59.66	4.54751e-13
59.665	4.54751e-13
59.67	6.82124e-13
59.675	9.09502e-13
59.68	1.13688e-12
59.685	1.13688e-12
59.69	1.36425e-12
59.695	1.36425e-12
59.7	9.09502e-13
59.705	6.82124e-13
59.71	9.09502e-13
59.715	6.82124e-13
59.72	4.54751e-13
59.725	2.27375e-13
59.73	9.09502e-13
59.735	1.13688e-12
59.74	1.13688e-12
59.745	1.36425e-12
59.75	1.13688e-12
59.755	1.13688e-12
59.76	1.13688e-12
59.765	1.13688e-12
59.77	1.13688e-12
59.775	9.09502e-13
59.78	9.09502e-13
59.785	4.54751e-13
59.79	4.54751e-13
59.795	6.82124e-13
59.8	1.13688e-12
59.805	9.09502e-13
59.81	1.59162e-12
59.815	1.36425e-12
59.82	4.54751e-13
59.825	6.82124e-13
59.83	1.13688e-12
59.835	6.82124e-13
59.84	1.13688e-12
59.845	1.13688e-12
59.85	1.13688e-12
59.855	1.13688e-12
59.86	9.09502e-13
59.865	9.09502e-13
59.87	1.13688e-12
59.875	9.09502e-13
59.88	1.13688e-12
59.885	1.13688e-12
59.89	1.13688e-12
59.895	1.36425e-12
59.9	1.36425e-12
59.905	9.09502e-13
59.91	4.54751e-13
59.915	1.13688e-12
59.92	1.13688e-12
59.925	1.13688e-12
59.93	9.09502e-13
59.935	1.13688e-12
59.94	1.13688e-12
59.945	9.09502e-13
59.95	9.09502e-13
59.955	4.54751e-13
59.96	4.54751e-13
59.965	9.09502e-13
59.97	6.82124e-13
59.975	4.54751e-13
59.98	4.54751e-13
59.985	6.82124e-13
59.99	4.54751e-13
59.995	9.09502e-13
60.0	4.54751e-13
60.005	4.54751e-13
60.01	4.54751e-13
60.015	4.54751e-13
60.02	6.82124e-13
60.025	1.13688e-12
60.03	1.13688e-12
60.035	9.09502e-13
60.04	1.13688e-12
60.045	9.09502e-13
60.05	9.09502e-13
60.055	1.13688e-12
60.06	1.13688e-12
60.065	4.54751e-13
60.07	6.82124e-13
60.075	6.82124e-13
60.08	4.54751e-13
60.085	4.54751e-13
60.09	2.27375e-13
60.095	4.54751e-13
60.1	2.27375e-13
60.105	0.0
60.11	0.0
60.115	-2.27375e-13
60.12	-6.82124e-13
60.125	-1.13688e-12
60.13	-1.819e-12
60.135	-2.04638e-12
60.14	-2.04638e-12
60.145	-2.50112e-12
60.15	-2.7285e-12
60.155	-3.63801e-12
60.16	-3.86538e-12
60.165	-4.5475e-12
60.17	-5.457e-12
60.175	-5.457e-12
60.18	-5.68437e-12
60.185	-6.13912e-12
60.19	-7.04861e-12
60.195	-7.50339e-12
60.2	-7.73076e-12
60.205	-8.18551e-12
60.21	-8.41288e-12
60.215	-8.64026e-12
60.22	-8.18551e-12
60.225	-8.18551e-12
60.23	-8.18551e-12
60.235	-7.95813e-12
60.24	-6.82124e-12
60.245	-5.457e-12
60.25	-3.63801e-12
60.255	-2.04638e-12
60.26	-6.82124e-13
60.265	1.36425e-12
60.27	3.63801e-12
60.275	5.91174e-12
60.28	7.95813e-12
60.285	1.04592e-11
60.29	1.36425e-11
60.295	1.56889e-11
60.3	1.77353e-11
60.305	1.93269e-11
60.31	2.11459e-11
60.315	2.1828e-11
60.32	2.22827e-11
60.325	2.22827e-11
60.33	2.22827e-11
60.335	2.11459e-11
60.34	2.0009e-11
60.345	1.84174e-11
60.35	1.61436e-11
60.355	1.34151e-11
60.36	1.13687e-11
60.365	8.64026e-12
60.37	6.36649e-12
60.375	3.41062e-12
60.38	9.09502e-13
60.385	-1.36425e-12
60.39	-3.18325e-12
60.395	-5.68437e-12
60.4	-7.73076e-12
60.405	-9.54975e-12
60.41	-1.06866e-11
60.415	-1.20509e-11
60.42	-1.31877e-11
60.425	-1.31877e-11
60.43	-1.34151e-11
60.435	-1.34151e-11
60.44	-1.29604e-11
60.445	-1.22782e-11
60.45	-1.15961e-11
60.455	-1.06866e-11
60.46	-1.00045e-11
60.465	-8.64026e-12
60.47	-6.82124e-12
60.475	-6.13912e-12
60.48	-4.77487e-12
60.485	-3.86538e-12
60.49	-2.04638e-12
60.495	-9.09502e-13
60.5	2.27375e-13
60.505	1.36425e-12
60.51	2.27375e-12
60.515	3.41062e-12
60.52	4.5475e-12
60.525	5.00225e-12
60.53	5.457e-12
60.535	5.91174e-12
60.54	6.59386e-12
60.545	6.82124e-12
60.55	6.82124e-12
60.555	7.04861e-12
60.56	7.50339e-12
60.565	7.27601e-12
60.57	6.82124e-12
60.575	6.82124e-12
60.58	6.13912e-12
60.585	5.91174e-12
60.59	5.457e-12
60.595	4.77487e-12
60.6	4.32013e-12
60.605	3.86538e-12
60.61	3.63801e-12
60.615	2.95587e-12
60.62	2.04638e-12
60.625	1.819e-12
60.63	1.36425e-12
60.635	9.09502e-13
60.64	0.0
