pos	X
59.5	6.82124e-13
59.505	2.27375e-13
59.51	4.54751e-13
59.515	6.82124e-13
59.52	4.54751e-13
59.525	6.82124e-13
59.53	4.54751e-13
59.535	6.82124e-13
59.54	4.54751e-13
59.545	4.54751e-13
59.55	9.09502e-13
59.555	6.82124e-13
59.56	4.54751e-13
59.565	6.82124e-13
59.57	6.82124e-13
59.575	4.54751e-13
59.58	9.09502e-13
59.585	1.13688e-12
59.59	6.82124e-13
59.595	4.54751e-13
59.6	6.82124e-13
59.605	6.82124e-13
59.61	6.82124e-13
59.615	4.54751e-13
59.62	6.82124e-13
59.625	1.59162e-12
59.63	1.36425e-12
59.635	9.09502e-13
59.64	9.09502e-13
59.645	6.82124e-13
59.65	6.82124e-13
59.655	6.82124e-13
59.66	4.54751e-13
59.665	9.09502e-13
59.67	9.09502e-13
59.675	1.13688e-12
59.68	1.13688e-12
59.685	9.09502e-13
59.69	1.13688e-12
59.695	1.13688e-12
59.7	6.82124e-13
59.705	6.82124e-13
59.71	6.82124e-13
59.715	1.13688e-12
59.72	1.13688e-12
59.725	1.13688e-12
59.73	1.13688e-12
59.735	1.13688e-12
59.74	1.13688e-12
59.745	1.13688e-12
59.75	1.13688e-12
59.755	1.36425e-12
59.76	1.13688e-12
59.765	9.09502e-13
59.77	4.54751e-13
59.775	6.82124e-13
59.78	1.13688e-12
59.785	1.13688e-12
59.79	9.09502e-13
59.795	1.36425e-12
59.8	1.36425e-12
59.805	1.13688e-12
59.81	1.36425e-12
59.815	1.36425e-12
59.82	1.36425e-12
59.825	1.13688e-12
59.83	9.09502e-13
59.835	9.09502e-13
59.84	1.13688e-12
59.845	6.82124e-13
59.85	1.13688e-12
59.855	9.09502e-13
59.86	4.54751e-13
59.865	9.09502e-13
59.87	9.09502e-13
59.875	1.13688e-12
59.88	6.82124e-13
59.885	4.54751e-13
59.89	1.13688e-12
59.895	1.13688e-12
59.9	9.09502e-13
59.905	6.82124e-13
59.91	9.09502e-13
59.915	6.82124e-13
59.92	4.54751e-13
59.925	4.54751e-13
59.93	6.82124e-13
59.935	6.82124e-13
59.94	9.09502e-13
59.945	6.82124e-13
59.95	6.82124e-13
59.955	4.54751e-13
59.96	0.0
59.965	2.27375e-13
59.97	2.27375e-13
59.975	2.27375e-13
59.98	4.54751e-13
59.985	0.0
59.99	0.0
59.995	0.0
60.0	2.27375e-13
60.005	2.27375e-13
60.01	4.54751e-13
60.015	4.54751e-13
60.02	4.54751e-13
60.025	4.54751e-13
60.03	0.0
60.035	0.0
60.04	2.27375e-13
