pos	X
59.5	1.36425e-12
59.505	9.09502e-13
59.51	9.09502e-13
59.515	9.09502e-13
59.52	9.09502e-13
59.525	9.09502e-13
59.53	9.09502e-13
59.535	1.36425e-12
59.54	1.36425e-12
59.545	1.36425e-12
59.55	1.13688e-12
59.555	1.36425e-12
59.56	1.13688e-12
59.565	1.13688e-12
59.57	1.36425e-12
59.575	1.36425e-12
59.58	1.13688e-12
59.585	1.13688e-12
59.59	6.82124e-13
59.595	1.13688e-12
59.6	1.13688e-12
59.605	1.13688e-12
59.61	1.13688e-12
59.615	1.36425e-12
59.62	1.36425e-12
59.625	1.13688e-12
59.63	1.36425e-12
59.635	1.819e-12
59.64	1.819e-12
59.645	2.04638e-12
59.65	2.27375e-12
59.655	2.04638e-12
59.66	2.04638e-12
59.665	2.04638e-12
59.67	2.27375e-12
59.675	2.27375e-12
59.68	2.27375e-12
59.685	2.50112e-12
59.69	3.18325e-12
59.695	3.18325e-12
59.7	3.18325e-12
59.705	3.41062e-12
59.71	3.63801e-12
59.715	3.63801e-12
59.72	4.09275e-12
59.725	4.32013e-12
59.73	4.32013e-12
59.735	4.77487e-12
59.74	5.00225e-12
59.745	5.68437e-12
59.75	5.457e-12
59.755	5.91174e-12
59.76	6.36649e-12
59.765	7.04861e-12
59.77	7.50339e-12
59.775	7.73076e-12
59.78	8.18551e-12
59.785	8.86763e-12
59.79	9.32238e-12
59.795	8.86763e-12
59.8	1.00045e-11
59.805	1.06866e-11
59.81	1.18235e-11
59.815	1.22782e-11
59.82	1.29604e-11
59.825	1.36425e-11
59.83	1.43246e-11
59.835	1.50068e-11
59.84	1.56889e-11
59.845	1.61436e-11
59.85	1.72805e-11
59.855	1.77353e-11
59.86	1.86448e-11
59.865	1.95542e-11
59.87	2.0009e-11
59.875	2.06911e-11
59.88	2.11459e-11
59.885	2.1828e-11
59.89	2.22827e-11
59.895	2.22827e-11
59.9	2.29649e-11
59.905	2.31922e-11
59.91	2.29649e-11
59.915	2.22827e-11
59.92	2.09185e-11
59.925	2.06911e-11
59.93	1.93269e-11
59.935	1.70531e-11
59.94	1.47794e-11
59.945	1.20509e-11
59.95	8.86763e-12
59.955	5.00225e-12
59.96	-6.82124e-13
59.965	-6.36649e-12
59.97	-1.25056e-11
59.975	-1.95542e-11
59.98	-2.84218e-11
59.985	-3.77443e-11
59.99	-4.93403e-11
59.995	-5.95723e-11
60.0	-7.29874e-11
60.005	-8.57203e-11
60.01	-1.03228e-10
60.015	-1.18917e-10
60.02	-1.36198e-10
60.025	-1.53705e-10
60.03	-1.75079e-10
60.035	-1.95997e-10
60.04	-2.19189e-10
60.045	-2.3647e-10
60.05	-2.59208e-10
60.055	-2.79217e-10
60.06	-2.99226e-10
60.065	-3.16961e-10
60.07	-3.34696e-10
60.075	-3.47201e-10
60.08	-3.57206e-10
60.085	-3.6289e-10
60.09	-3.61299e-10
60.095	-3.56524e-10
60.1	-3.40835e-10
60.105	-3.20144e-10
60.11	-2.84219e-10
60.115	-2.4602e-10
60.12	-1.9918e-10
60.125	-1.39836e-10
60.13	-6.73031e-11
60.135	5.22962e-12
60.14	9.7089e-11
60.145	1.85765e-10
60.15	2.92177e-10
60.155	3.93131e-10
60.16	4.96133e-10
60.165	5.82308e-10
60.17	6.76668e-10
60.175	7.59432e-10
60.18	8.35602e-10
60.185	8.89944e-10
60.19	9.32239e-10
60.195	9.48837e-10
60.2	9.50202e-10
60.205	9.31784e-10
60.21	8.89717e-10
60.215	8.25597e-10
60.22	7.40787e-10
60.225	6.37332e-10
60.23	5.22054e-10
60.235	4.13367e-10
60.24	2.79444e-10
60.245	1.49613e-10
60.25	1.29604e-11
60.255	-1.1869e-10
60.26	-2.43292e-10
60.265	-3.447e-10
60.27	-4.48155e-10
60.275	-5.31831e-10
60.28	-6.08001e-10
60.285	-6.66436e-10
60.29	-7.06226e-10
60.295	-7.26008e-10
60.3	-7.29191e-10
60.305	-7.21005e-10
60.31	-6.92811e-10
60.315	-6.59842e-10
60.32	-6.13912e-10
60.325	-5.57524e-10
60.33	-4.91585e-10
60.335	-4.17687e-10
60.34	-3.35833e-10
60.345	-2.67621e-10
60.35	-1.85993e-10
60.355	-1.07548e-10
60.36	-2.75123e-11
60.365	4.04727e-11
60.37	1.06866e-10
60.375	1.66893e-10
60.38	2.27602e-10
60.385	2.73987e-10
60.39	3.12641e-10
60.395	3.39925e-10
60.4	3.64254e-10
60.405	3.79943e-10
60.41	3.87901e-10
60.415	3.88583e-10
60.42	3.79488e-10
60.425	3.6721e-10
60.43	3.46292e-10
60.435	3.21053e-10
60.44	2.89676e-10
60.445	2.5557e-10
60.45	2.1828e-10
60.455	1.82127e-10
60.46	1.39154e-10
60.465	9.75438e-11
60.47	5.54794e-11
60.475	1.72805e-11
60.48	-2.09185e-11
60.485	-5.68436e-11
60.49	-9.11773e-11
60.495	-1.20736e-10
60.5	-1.50295e-10
60.505	-1.73032e-10
60.51	-1.93723e-10
60.515	-2.08957e-10
60.52	-2.20781e-10
60.525	-2.28739e-10
60.53	-2.32832e-10
60.535	-2.34197e-10
60.54	-2.31013e-10
60.545	-2.23964e-10
60.55	-2.14869e-10
60.555	-2.0441e-10
60.56	-1.86902e-10
60.565	-1.73714e-10
60.57	-1.58026e-10
60.575	-1.40973e-10
60.58	-1.21646e-10
60.585	-1.03455e-10
60.59	-8.45835e-11
60.595	-6.84399e-11
60.6	-5.13867e-11
60.605	-3.638e-11
60.61	-1.95542e-11
60.615	-5.68437e-12
60.62	6.59386e-12
60.625	1.75079e-11
60.63	2.68302e-11
60.635	3.34242e-11
60.64	3.86537e-11
60.645	4.25191e-11
60.65	4.5475e-11
60.655	4.68392e-11
60.66	4.66118e-11
60.665	4.5475e-11
60.67	4.34286e-11
60.675	4.07001e-11
60.68	3.68348e-11
60.685	3.16052e-11
60.69	2.66028e-11
60.695	2.22827e-11
60.7	1.68258e-11
60.705	1.20509e-11
60.71	7.27601e-12
60.715	3.63801e-12
60.72	0.0
60.725	-3.18325e-12
60.73	-5.68437e-12
60.735	-7.50339e-12
60.74	-8.41288e-12
60.745	-8.86763e-12
60.75	-8.18551e-12
60.755	-7.50339e-12
60.76	-6.59386e-12
60.765	-5.22962e-12
60.77	-3.86538e-12
60.775	-1.819e-12
60.78	4.54751e-13
60.785	2.04638e-12
60.79	3.86538e-12
60.795	6.13912e-12
60.8	7.50339e-12
60.805	8.64026e-12
60.81	1.02319e-11
60.815	1.13687e-11
60.82	1.22782e-11
60.825	1.31877e-11
60.83	1.40972e-11
60.835	1.4552e-11
60.84	1.50068e-11
60.845	1.56889e-11
60.85	1.61436e-11
60.855	1.6371e-11
60.86	1.59163e-11
60.865	1.47794e-11
60.87	1.43246e-11
60.875	1.29604e-11
60.88	1.11414e-11
60.885	9.32238e-12
60.89	7.04861e-12
60.895	4.32013e-12
60.9	9.09502e-13
60.905	-2.27375e-12
60.91	-6.36649e-12
60.915	-1.06866e-11
60.92	-1.52341e-11
60.925	-1.97816e-11
60.93	-2.50112e-11
60.935	-3.00135e-11
60.94	-3.54705e-11
60.945	-4.0018e-11
60.95	-4.50202e-11
60.955	-5.04772e-11
60.96	-5.57068e-11
60.965	-6.00271e-11
60.97	-6.36651e-11
60.975	-6.66209e-11
60.98	-6.88947e-11
60.985	-7.0941e-11
60.99	-7.16232e-11
60.995	-7.04863e-11
61.0	-6.77578e-11
61.005	-6.50293e-11
61.01	-6.00271e-11
61.015	-5.36604e-11
61.02	-4.47928e-11
61.025	-3.61526e-11
61.03	-2.47838e-11
61.035	-1.22782e-11
61.04	2.04638e-12
61.045	1.70531e-11
61.05	3.34242e-11
61.055	4.79761e-11
61.06	6.48019e-11
61.065	8.0036e-11
61.07	9.66343e-11
61.075	1.09822e-10
61.08	1.24374e-10
61.085	1.3688e-10
61.09	1.49385e-10
61.095	1.57571e-10
61.1	1.63483e-10
61.105	1.66438e-10
61.11	1.66893e-10
61.115	1.65984e-10
61.12	1.60981e-10
61.125	1.5507e-10
61.13	1.45293e-10
61.135	1.32105e-10
61.14	1.16188e-10
61.145	1.02319e-10
61.15	8.34466e-11
61.155	6.48019e-11
61.16	4.43381e-11
61.165	2.61481e-11
61.17	6.59386e-12
61.175	-1.15961e-11
61.18	-2.95588e-11
61.185	-4.3656e-11
61.19	-5.75258e-11
61.195	-7.00315e-11
61.2	-8.07181e-11
61.205	-8.82214e-11
61.21	-9.41331e-11
61.215	-9.75438e-11
61.22	-9.84532e-11
61.225	-9.75438e-11
61.23	-9.43605e-11
61.235	-8.9813e-11
61.24	-8.32192e-11
61.245	-7.61706e-11
61.25	-6.63936e-11
61.255	-5.72984e-11
61.26	-4.59297e-11
61.265	-3.56979e-11
61.27	-2.45565e-11
61.275	-1.25056e-11
61.28	-2.04638e-12
61.285	7.95813e-12
61.29	1.819e-11
61.295	2.66028e-11
61.3	3.52431e-11
61.305	4.20644e-11
61.31	4.82034e-11
61.315	5.25235e-11
61.32	5.61615e-11
61.325	5.79805e-11
61.33	5.86629e-11
61.335	5.86629e-11
61.34	5.75258e-11
61.345	5.50247e-11
61.35	5.1614e-11
61.355	4.75213e-11
61.36	4.22917e-11
61.365	3.72895e-11
61.37	3.11504e-11
61.375	2.45565e-11
61.38	1.79626e-11
61.385	1.15961e-11
61.39	4.5475e-12
61.395	-2.04638e-12
61.4	-8.18551e-12
61.405	-1.36425e-11
61.41	-1.95542e-11
61.415	-2.38743e-11
61.42	-2.81944e-11
61.425	-3.25147e-11
61.43	-3.66074e-11
61.435	-3.93359e-11
61.44	-4.11549e-11
61.445	-4.1837e-11
61.45	-4.20644e-11
61.455	-4.25191e-11
61.46	-4.22917e-11
61.465	-4.07001e-11
61.47	-3.93359e-11
61.475	-3.75169e-11
61.48	-3.50158e-11
61.485	-3.22873e-11
61.49	-2.95588e-11
61.495	-2.68302e-11
61.5	-2.31922e-11
61.505	-2.02364e-11
61.51	-1.65984e-11
61.515	-1.38698e-11
61.52	-1.13687e-11
61.525	-9.54975e-12
61.53	-6.82124e-12
61.535	-4.77487e-12
61.54	-2.50112e-12
61.545	-9.09502e-13
61.55	0.0
61.555	1.36425e-12
61.56	2.7285e-12
61.565	3.63801e-12
61.57	4.09275e-12
61.575	4.77487e-12
61.58	5.457e-12
61.585	6.13912e-12
61.59	6.82124e-12
61.595	7.27601e-12
61.6	7.73076e-12
61.605	8.41288e-12
61.61	8.64026e-12
61.615	9.32238e-12
61.62	9.32238e-12
61.625	9.54975e-12
61.63	1.00045e-11
61.635	1.02319e-11
61.64	1.04592e-11
61.645	1.04592e-11
