pos	X
58.0	-4.5475e-12
58.005	-3.41062e-12
58.01	-3.63801e-12
58.015	-4.32013e-12
58.02	-4.77487e-12
58.025	-3.86538e-12
58.03	-4.5475e-12
58.035	-3.86538e-12
58.04	-4.77487e-12
58.045	-4.09275e-12
58.05	-5.68437e-12
58.055	-4.5475e-12
58.06	-5.22962e-12
58.065	-5.457e-12
58.07	-5.00225e-12
58.075	-5.00225e-12
58.08	-5.68437e-12
58.085	-5.68437e-12
58.09	-5.68437e-12
58.095	-5.68437e-12
58.1	-5.22962e-12
58.105	-5.91174e-12
58.11	-6.13912e-12
58.115	-5.91174e-12
58.12	-6.82124e-12
58.125	-5.68437e-12
58.13	-6.36649e-12
58.135	-7.04861e-12
58.14	-7.04861e-12
58.145	-7.50339e-12
58.15	-7.50339e-12
58.155	-7.04861e-12
58.16	-7.95813e-12
58.165	-7.50339e-12
58.17	-8.18551e-12
58.175	-8.18551e-12
58.18	-7.27601e-12
58.185	-8.86763e-12
58.19	-7.50339e-12
58.195	-9.095e-12
58.2	-1.00045e-11
58.205	-1.06866e-11
58.21	-1.13687e-11
58.215	-1.22782e-11
58.22	-1.25056e-11
58.225	-1.34151e-11
58.23	-1.4552e-11
58.235	-1.59163e-11
58.24	-1.65984e-11
58.245	-1.68258e-11
58.25	-1.819e-11
58.255	-2.06911e-11
58.26	-2.1828e-11
58.265	-2.47838e-11
58.27	-2.59207e-11
58.275	-2.75123e-11
58.28	-2.84218e-11
58.285	-3.16052e-11
58.29	-3.38789e-11
58.295	-3.66074e-11
58.3	-3.8199e-11
58.305	-4.20644e-11
58.31	-4.63845e-11
58.315	-4.91129e-11
58.32	-5.09319e-11
58.325	-5.41152e-11
58.33	-5.77531e-11
58.335	-6.23008e-11
58.34	-6.66209e-11
58.345	-7.07137e-11
58.35	-7.61706e-11
58.355	-8.0036e-11
58.36	-8.50382e-11
58.365	-9.02678e-11
58.37	-9.84532e-11
58.375	-1.06411e-10
58.38	-1.14142e-10
58.385	-1.21191e-10
58.39	-1.28694e-10
58.395	-1.34833e-10
58.4	-1.42109e-10
58.405	-1.51432e-10
58.41	-1.64165e-10
58.415	-1.73942e-10
58.42	-1.84856e-10
58.425	-1.95997e-10
58.43	-2.08503e-10
58.435	-2.19189e-10
58.44	-2.31922e-10
58.445	-2.4602e-10
58.45	-2.58298e-10
58.455	-2.77852e-10
58.46	-2.90358e-10
58.465	-3.06956e-10
58.47	-3.2219e-10
58.475	-3.41062e-10
58.48	-3.60389e-10
58.485	-3.81535e-10
58.49	-4.02681e-10
58.495	-4.23372e-10
58.5	-4.47018e-10
58.505	-4.74987e-10
58.51	-5.01363e-10
58.515	-5.29784e-10
58.52	-5.62299e-10
58.525	-5.95268e-10
58.53	-6.29829e-10
58.535	-6.56204e-10
58.54	-6.83489e-10
58.545	-7.05317e-10
58.55	-7.26008e-10
58.555	-7.3533e-10
58.56	-7.3533e-10
58.565	-7.36694e-10
58.57	-7.22142e-10
58.575	-7.01906e-10
58.58	-6.56659e-10
58.585	-5.77987e-10
58.59	-4.8249e-10
58.595	-3.54477e-10
58.6	-2.04865e-10
58.605	-5.91174e-12
58.61	1.7326e-10
58.615	3.82899e-10
58.62	6.07773e-10
58.625	8.51291e-10
58.63	1.09709e-09
58.635	1.33355e-09
58.64	1.58048e-09
58.645	1.76647e-09
58.65	1.94838e-09
58.655	2.09754e-09
58.66	2.20054e-09
58.665	2.27102e-09
58.67	2.28785e-09
58.675	2.25806e-09
58.68	2.19303e-09
58.685	2.07457e-09
58.69	1.92519e-09
58.695	1.74237e-09
58.7	1.51955e-09
58.705	1.30218e-09
58.71	1.04161e-09
58.715	7.492e-10
58.72	5.17961e-10
58.725	2.39654e-10
58.73	1.36425e-11
58.735	-2.18507e-10
58.74	-4.20416e-10
58.745	-6.13003e-10
58.75	-7.92401e-10
58.755	-9.18593e-10
58.76	-9.99087e-10
58.765	-1.07935e-09
58.77	-1.1155e-09
58.775	-1.13256e-09
58.78	-1.11346e-09
58.785	-1.06684e-09
58.79	-1.01932e-09
58.795	-9.38151e-10
58.8	-8.51973e-10
58.805	-7.5352e-10
58.81	-6.37332e-10
58.815	-5.25691e-10
58.82	-4.05636e-10
58.825	-2.6944e-10
58.83	-1.53251e-10
58.835	-3.77443e-11
58.84	5.7071e-11
58.845	1.56434e-10
58.85	2.51704e-10
58.855	3.32195e-10
58.86	4.04045e-10
58.865	4.69303e-10
58.87	5.1023e-10
58.875	5.49793e-10
58.88	5.74122e-10
58.885	5.84127e-10
58.89	5.85263e-10
58.895	5.82762e-10
58.9	5.62299e-10
58.905	5.32285e-10
58.91	4.99998e-10
58.915	4.56113e-10
58.92	4.1223e-10
58.925	3.58797e-10
58.93	3.0491e-10
58.935	2.38972e-10
58.94	1.82809e-10
58.945	1.34379e-10
58.95	7.84444e-11
58.955	2.5466e-11
58.96	-2.04637e-11
58.965	-6.70757e-11
58.97	-1.10049e-10
58.975	-1.46202e-10
58.98	-1.74169e-10
58.985	-1.98043e-10
58.99	-2.18962e-10
58.995	-2.3738e-10
59.0	-2.4693e-10
59.005	-2.53069e-10
59.01	-2.51477e-10
59.015	-2.4693e-10
59.02	-2.43746e-10
59.025	-2.33515e-10
59.03	-2.21235e-10
59.035	-2.05547e-10
59.04	-1.88494e-10
59.045	-1.72123e-10
59.05	-1.53251e-10
59.055	-1.36652e-10
59.06	-1.20509e-10
59.065	-1.04365e-10
59.07	-8.59477e-11
59.075	-7.00315e-11
59.08	-5.63889e-11
59.085	-4.11549e-11
59.09	-2.93314e-11
59.095	-2.0009e-11
59.1	-1.13687e-11
59.105	-6.13912e-12
59.11	1.59162e-12
59.115	4.77487e-12
59.12	7.27601e-12
59.125	8.64026e-12
59.13	6.82124e-12
59.135	4.5475e-12
59.14	-4.54751e-13
59.145	-5.68437e-12
59.15	-1.25056e-11
59.155	-2.11459e-11
59.16	-2.81944e-11
59.165	-3.638e-11
59.17	-4.68392e-11
59.175	-5.59341e-11
59.18	-6.50293e-11
59.185	-7.41243e-11
59.19	-8.29918e-11
59.195	-9.04952e-11
59.2	-9.41331e-11
59.205	-9.79985e-11
59.21	-1.02546e-10
59.215	-1.05047e-10
59.22	-1.06866e-10
59.225	-1.06866e-10
59.23	-1.06184e-10
59.235	-1.05047e-10
59.24	-1.03001e-10
59.245	-1.02546e-10
59.25	-1.01182e-10
59.255	-9.98175e-11
59.26	-9.73164e-11
59.265	-9.61795e-11
59.27	-9.32237e-11
59.275	-9.18594e-11
59.28	-9.00404e-11
59.285	-8.91309e-11
59.29	-8.66298e-11
59.295	-8.50382e-11
59.3	-8.20823e-11
59.305	-8.07181e-11
59.31	-7.8217e-11
59.315	-7.75349e-11
59.32	-7.57159e-11
59.325	-7.23053e-11
59.33	-7.0941e-11
59.335	-6.84399e-11
59.34	-6.70757e-11
59.345	-6.50293e-11
59.35	-6.18461e-11
59.355	-6.00271e-11
59.36	-5.77531e-11
59.365	-5.63889e-11
59.37	-5.47973e-11
59.375	-5.20688e-11
59.38	-5.1614e-11
59.385	-5.02498e-11
59.39	-4.82034e-11
59.395	-4.68392e-11
59.4	-4.68392e-11
59.405	-4.70666e-11
59.41	-4.57023e-11
59.415	-4.63845e-11
59.42	-4.70666e-11
59.425	-4.82034e-11
59.43	-4.88856e-11
59.435	-4.93403e-11
59.44	-4.93403e-11
59.445	-5.07046e-11
59.45	-5.20688e-11
59.455	-5.09319e-11
59.46	-5.13867e-11
59.465	-5.20688e-11
59.47	-5.09319e-11
59.475	-4.97951e-11
59.48	-5.00224e-11
59.485	-4.93403e-11
59.49	-4.59297e-11
59.495	-4.34286e-11
59.5	-4.27465e-11
59.505	-3.88811e-11
59.51	-3.66074e-11
59.515	-3.52431e-11
59.52	-3.34242e-11
59.525	-3.00135e-11
59.53	-2.84218e-11
59.535	-2.59207e-11
59.54	-2.31922e-11
59.545	-1.95542e-11
59.55	-1.75079e-11
59.555	-1.36425e-11
59.56	-9.54975e-12
59.565	-8.18551e-12
59.57	-5.68437e-12
59.575	-3.63801e-12
59.58	-1.13688e-12
59.585	0.0
59.59	1.13688e-12
59.595	1.36425e-12
59.6	1.13688e-12
59.605	2.7285e-12
59.61	1.59162e-12
59.615	9.09502e-13
59.62	1.13688e-12
59.625	-4.54751e-13
59.63	-6.82124e-13
59.635	-2.04638e-12
59.64	-2.27375e-12
59.645	-3.41062e-12
59.65	-3.86538e-12
59.655	-5.457e-12
59.66	-6.13912e-12
59.665	-6.36649e-12
59.67	-7.04861e-12
59.675	-8.64026e-12
59.68	-8.86763e-12
59.685	-1.04592e-11
59.69	-1.13687e-11
59.695	-1.13687e-11
59.7	-1.13687e-11
59.705	-1.25056e-11
59.71	-1.31877e-11
59.715	-1.31877e-11
59.72	-1.31877e-11
59.725	-1.20509e-11
59.73	-1.22782e-11
59.735	-1.20509e-11
59.74	-1.02319e-11
59.745	-9.32238e-12
59.75	-7.95813e-12
59.755	-5.68437e-12
59.76	-3.18325e-12
59.765	-2.27375e-13
59.77	1.819e-12
59.775	3.63801e-12
59.78	6.13912e-12
59.785	8.86763e-12
59.79	9.77712e-12
59.795	1.18235e-11
59.8	1.36425e-11
59.805	1.43246e-11
59.81	1.61436e-11
59.815	1.68258e-11
59.82	1.79626e-11
59.825	1.95542e-11
59.83	1.95542e-11
59.835	1.95542e-11
59.84	1.90995e-11
59.845	1.86448e-11
59.85	1.75079e-11
59.855	1.79626e-11
59.86	1.65984e-11
59.865	1.68258e-11
59.87	1.56889e-11
59.875	1.38698e-11
59.88	1.36425e-11
59.885	1.11414e-11
59.89	1.00045e-11
59.895	8.64026e-12
59.9	8.18551e-12
59.905	7.27601e-12
59.91	6.36649e-12
59.915	6.59386e-12
59.92	5.457e-12
59.925	5.457e-12
59.93	5.457e-12
59.935	5.68437e-12
59.94	5.457e-12
59.945	5.457e-12
59.95	5.457e-12
59.955	4.5475e-12
59.96	4.09275e-12
59.965	6.13912e-12
59.97	4.77487e-12
59.975	3.41062e-12
59.98	2.27375e-12
59.985	9.09502e-13
59.99	-2.27375e-13
59.995	0.0
60.0	-3.18325e-12
60.005	-4.5475e-12
60.01	-5.68437e-12
60.015	-7.04861e-12
60.02	-7.95813e-12
60.025	-7.50339e-12
60.03	-8.64026e-12
60.035	-9.095e-12
60.04	-9.32238e-12
60.045	-9.095e-12
60.05	-8.18551e-12
60.055	-7.04861e-12
60.06	-6.59386e-12
60.065	-4.32013e-12
60.07	-3.18325e-12
60.075	-6.82124e-13
60.08	1.13688e-12
60.085	2.7285e-12
60.09	5.457e-12
60.095	6.36649e-12
60.1	8.64026e-12
60.105	1.04592e-11
60.11	1.11414e-11
60.115	1.22782e-11
60.12	1.34151e-11
60.125	1.31877e-11
60.13	1.2733e-11
60.135	1.29604e-11
60.14	1.13687e-11
60.145	1.02319e-11
60.15	8.86763e-12
60.155	6.59386e-12
60.16	6.13912e-12
60.165	3.86538e-12
60.17	2.95587e-12
60.175	2.27375e-12
60.18	-6.82124e-13
