pos	X
58.0	2.27375e-12
58.005	1.36425e-12
58.01	9.09502e-13
58.015	1.13688e-12
58.02	1.819e-12
58.025	1.819e-12
58.03	1.819e-12
58.035	2.95587e-12
58.04	2.50112e-12
58.045	1.819e-12
58.05	1.13688e-12
58.055	1.13688e-12
58.06	1.36425e-12
58.065	1.36425e-12
58.07	1.59162e-12
58.075	9.09502e-13
58.08	1.36425e-12
58.085	1.819e-12
58.09	1.819e-12
58.095	2.50112e-12
58.1	2.50112e-12
58.105	1.819e-12
58.11	2.50112e-12
58.115	1.819e-12
58.12	2.27375e-12
58.125	2.7285e-12
58.13	2.95587e-12
58.135	2.50112e-12
58.14	3.18325e-12
58.145	3.18325e-12
58.15	4.09275e-12
58.155	3.63801e-12
58.16	4.32013e-12
58.165	4.32013e-12
58.17	4.77487e-12
58.175	5.22962e-12
58.18	6.13912e-12
58.185	5.91174e-12
58.19	7.27601e-12
58.195	6.36649e-12
58.2	7.27601e-12
58.205	8.18551e-12
58.21	7.95813e-12
58.215	9.32238e-12
58.22	1.02319e-11
58.225	1.04592e-11
58.23	9.32238e-12
58.235	1.15961e-11
58.24	1.13687e-11
58.245	1.18235e-11
58.25	1.2733e-11
58.255	1.43246e-11
58.26	1.36425e-11
58.265	1.47794e-11
58.27	1.50068e-11
58.275	1.6371e-11
58.28	1.68258e-11
58.285	1.75079e-11
58.29	1.93269e-11
58.295	1.93269e-11
58.3	2.09185e-11
58.305	2.22827e-11
58.31	2.25101e-11
58.315	2.41017e-11
58.32	2.52386e-11
58.325	2.68302e-11
58.33	2.5466e-11
58.335	2.68302e-11
58.34	2.84218e-11
58.345	2.86492e-11
58.35	2.88766e-11
58.355	3.04683e-11
58.36	2.91041e-11
58.365	3.06957e-11
58.37	2.86492e-11
58.375	2.86492e-11
58.38	2.84218e-11
58.385	2.61481e-11
58.39	2.3647e-11
58.395	2.1828e-11
58.4	1.93269e-11
58.405	1.43246e-11
58.41	9.54975e-12
58.415	4.5475e-12
58.42	-2.27375e-12
58.425	-1.02319e-11
58.43	-1.84174e-11
58.435	-2.79671e-11
58.44	-3.8199e-11
58.445	-5.02498e-11
58.45	-6.50293e-11
58.455	-7.77622e-11
58.46	-9.3451e-11
58.465	-1.10731e-10
58.47	-1.28694e-10
58.475	-1.48476e-10
58.48	-1.69622e-10
58.485	-1.94178e-10
58.49	-2.18734e-10
58.495	-2.44656e-10
58.5	-2.70349e-10
58.505	-2.96497e-10
58.51	-3.26965e-10
58.515	-3.53568e-10
58.52	-3.8199e-10
58.525	-4.10411e-10
58.53	-4.40425e-10
58.535	-4.71122e-10
58.54	-4.91358e-10
58.545	-5.13868e-10
58.55	-5.37742e-10
58.555	-5.53204e-10
58.56	-5.53204e-10
58.565	-5.43654e-10
58.57	-5.2319e-10
58.575	-4.8863e-10
58.58	-4.38606e-10
58.585	-3.80853e-10
58.59	-2.96042e-10
58.595	-2.0009e-10
58.6	-8.09455e-11
58.605	6.36651e-11
58.61	2.10094e-10
58.615	3.93131e-10
